Orthogroup	CquinquefasciatusJHB2020	AdirusWRAIR2
OG0000020	CQUJHB017925, CQUJHB002221, CQUJHB000651, CQUJHB012860, CQUJHB001170, CQUJHB001510, CQUJHB000979, CQUJHB016664, CQUJHB005107, CQUJHB015711, CQUJHB011553, CQUJHB008384, CQUJHB001331, CQUJHB014167, CQUJHB009842, CQUJHB017866, CQUJHB007697, CQUJHB006001, CQUJHB014125, CQUJHB008701, CQUJHB004842, CQUJHB016137, CQUJHB015041, CQUJHB007495	ADIR001887, ADIR009509, ADIR009511, ADIR014827, ADIR009513, ADIR009514, ADIR009508, ADIR001888, ADIR009510, ADIR009512
OG0000021	CQUJHB014638	ADIR003865
OG0000021	CQUJHB010956	ADIR001186
OG0000021	CQUJHB016733	ADIR002970
OG0000021	CQUJHB012948	ADIR010427
OG0000021	CQUJHB015628	ADIR015616
OG0000022	CQUJHB009998, CQUJHB007412, CQUJHB016624, CQUJHB004757	ADIR005598
OG0000023	CQUJHB000253, CQUJHB005111, CQUJHB002050, CQUJHB007212	ADIR004298
OG0000023	CQUJHB015434, CQUJHB012060	ADIR007551, ADIR007550
OG0000024	CQUJHB005662	ADIR006878
OG0000024	CQUJHB001106, CQUJHB003177	ADIR006877
OG0000024	CQUJHB015002	ADIR015850
OG0000024	CQUJHB015651, CQUJHB010229, CQUJHB003602	ADIR015848, ADIR015847
OG0000024	CQUJHB002318, CQUJHB007527, CQUJHB006873	ADIR015846, ADIR015844, ADIR015845
OG0000026	CQUJHB017272	ADIR015757, ADIR015758, ADIR015759
OG0000026	CQUJHB011732, CQUJHB012165	ADIR015754
OG0000026	CQUJHB005106	ADIR006960
OG0000026	CQUJHB007540	ADIR003488
OG0000027	CQUJHB008109, CQUJHB008680, CQUJHB008247, CQUJHB011016, CQUJHB011122, CQUJHB017358, CQUJHB008899, CQUJHB012953, CQUJHB006211, CQUJHB003906, CQUJHB001161, CQUJHB015070, CQUJHB003476, CQUJHB011300, CQUJHB003752	ADIR009739
OG0000032	CQUJHB013916, CQUJHB002841, CQUJHB018268, CQUJHB000206, CQUJHB010055, CQUJHB001736, CQUJHB009611, CQUJHB001221, CQUJHB005224, CQUJHB003097, CQUJHB017356, CQUJHB004843, CQUJHB006636, CQUJHB013020, CQUJHB004712, CQUJHB014732, CQUJHB012568, CQUJHB000350, CQUJHB015139, CQUJHB009262, CQUJHB001800, CQUJHB002859, CQUJHB015715, CQUJHB005183, CQUJHB008412, CQUJHB008157, CQUJHB003203, CQUJHB010737, CQUJHB010350	ADIR010744
OG0000033	CQUJHB013700	ADIR016019, ADIR002300
OG0000033	CQUJHB008449, CQUJHB010986, CQUJHB008186	ADIR016024, ADIR016022
OG0000034	CQUJHB012032	ADIR007516
OG0000037	CQUJHB011063	ADIR003228, ADIR003227, ADIR010210, ADIR010215, ADIR010214, ADIR010213, ADIR010212, ADIR010211, ADIR010203, ADIR010204
OG0000039	CQUJHB008310, CQUJHB006780, CQUJHB014689, CQUJHB010451, CQUJHB011408, CQUJHB015873, CQUJHB005401, CQUJHB015714, CQUJHB007411	ADIR015925, ADIR015923, ADIR008758, ADIR007693, ADIR015924, ADIR015928, ADIR015927, ADIR007692, ADIR015926
OG0000040	CQUJHB002131, CQUJHB000018, CQUJHB020446	ADIR015602, ADIR015601
OG0000040	CQUJHB020438	ADIR015539, ADIR015541, ADIR015540, ADIR015544, ADIR006103, ADIR015562, ADIR006102
OG0000041	CQUJHB001955, CQUJHB001825	ADIR001834
OG0000041	CQUJHB000581	ADIR001833
OG0000041	CQUJHB013621, CQUJHB007017	ADIR001835
OG0000041	CQUJHB000078, CQUJHB001849, CQUJHB006430	ADIR003420
OG0000042	CQUJHB006261	ADIR000587, ADIR011155, ADIR000580
OG0000042	CQUJHB014357	ADIR004510
OG0000046	CQUJHB005669, CQUJHB017284	ADIR003197
OG0000048	CQUJHB016807, CQUJHB013985, CQUJHB018159, CQUJHB005082, CQUJHB004417, CQUJHB012005, CQUJHB009336, CQUJHB014845, CQUJHB008386	ADIR014671, ADIR016188, ADIR007974, ADIR016182, ADIR016183, ADIR016186, ADIR016187, ADIR016181, ADIR016189
OG0000049	CQUJHB015876	ADIR016124
OG0000049	CQUJHB015556	ADIR016128
OG0000049	CQUJHB015769	ADIR016123
OG0000051	CQUJHB010023, CQUJHB007430, CQUJHB010163, CQUJHB007463, CQUJHB014075, CQUJHB010616	ADIR009276
OG0000053	CQUJHB018432	ADIR009846, ADIR011408, ADIR011407, ADIR009847, ADIR009845
OG0000055	CQUJHB018229	ADIR003019
OG0000057	CQUJHB014741, CQUJHB005612, CQUJHB013656, CQUJHB013556, CQUJHB001778, CQUJHB008046, CQUJHB011652, CQUJHB016655, CQUJHB009785	ADIR009281, ADIR014808, ADIR009282
OG0000058	CQUJHB006852, CQUJHB010727, CQUJHB017219, CQUJHB013842, CQUJHB001265	ADIR006057
OG0000058	CQUJHB005830	ADIR011421
OG0000059	CQUJHB005700	ADIR001566, ADIR015747, ADIR015748, ADIR015749, ADIR001568
OG0000059	CQUJHB006696	ADIR003672, ADIR003674
OG0000059	CQUJHB011753	ADIR016197
OG0000060	CQUJHB002343	ADIR014811, ADIR014810
OG0000061	CQUJHB009715, CQUJHB015055	ADIR009531
OG0000061	CQUJHB017379	ADIR007445
OG0000061	CQUJHB011103, CQUJHB002901	ADIR015571
OG0000063	CQUJHB018065	ADIR010309
