Orthogroup	CquinquefasciatusJHB2020	AdirusWRAIR2
OG0001837	CQUJHB000827	ADIR006742, ADIR006739
OG0001838	CQUJHB001157	ADIR002044, ADIR002046
OG0001839	CQUJHB002246	ADIR006131, ADIR006130
OG0001841	CQUJHB004226	ADIR008203
OG0001842	CQUJHB003224	ADIR000507
OG0001843	CQUJHB001883	ADIR010406, ADIR010405
OG0001844	CQUJHB017539	ADIR009848, ADIR009468
OG0001845	CQUJHB002279	ADIR015691
OG0001846	CQUJHB010678	ADIR000080
OG0001847	CQUJHB010987	ADIR001991, ADIR009777
OG0001848	CQUJHB015143	ADIR001138, ADIR006420
OG0001849	CQUJHB005774	ADIR001750, ADIR001751
OG0001850	CQUJHB015673	ADIR003166, ADIR003167
OG0001851	CQUJHB004201	ADIR009883
OG0001852	CQUJHB014663	ADIR001763, ADIR001764
OG0001853	CQUJHB009903	ADIR015714
OG0001854	CQUJHB010799	ADIR010789
OG0001855	CQUJHB002102	ADIR004321, ADIR003559
OG0001856	CQUJHB016160	ADIR003968, ADIR003969
OG0001857	CQUJHB018237	ADIR003141, ADIR003140
OG0001858	CQUJHB011662	ADIR007219
OG0001859	CQUJHB010404	ADIR010455
OG0001860	CQUJHB017652	ADIR003381
OG0001861	CQUJHB018021	ADIR007161
OG0001862	CQUJHB011807	ADIR005300
OG0001863	CQUJHB006953	ADIR009218, ADIR009220
OG0001864	CQUJHB006273	ADIR011493
OG0001865	CQUJHB016972	ADIR001317
OG0001867	CQUJHB009413, CQUJHB013482	ADIR011076
OG0001869	CQUJHB005793	ADIR005735
OG0001870	CQUJHB010502	ADIR010723
OG0001871	CQUJHB002846	ADIR003838
OG0001872	CQUJHB014005	ADIR008442
OG0001873	CQUJHB017060	ADIR010311
OG0001874	CQUJHB003814	ADIR010714, ADIR010713
OG0001875	CQUJHB003769	ADIR008777
OG0001876	CQUJHB016428	ADIR006683, ADIR006678
OG0001877	CQUJHB007854	ADIR015705
OG0001878	CQUJHB012769	ADIR011224
OG0001879	CQUJHB015487	ADIR000190
OG0001881	CQUJHB006399	ADIR004395
OG0001883	CQUJHB013762	ADIR000879, ADIR008834
OG0001884	CQUJHB010453	ADIR004729
OG0001885	CQUJHB007303	ADIR002574
OG0001886	CQUJHB007991	ADIR000884
OG0001887	CQUJHB010974	ADIR001381
OG0001889	CQUJHB000173	ADIR003948, ADIR003950
OG0001890	CQUJHB018269	ADIR009666
OG0001891	CQUJHB010310	ADIR005043
OG0001892	CQUJHB000339	ADIR009075, ADIR009077
OG0001893	CQUJHB008767	ADIR002005
OG0001894	CQUJHB005240	ADIR001349
OG0001895	CQUJHB005279	ADIR008239, ADIR008240
OG0001896	CQUJHB014927	ADIR004736
OG0001897	CQUJHB000796	ADIR001264
OG0001898	CQUJHB008962	ADIR000959
OG0001899	CQUJHB016916	ADIR000605
OG0001901	CQUJHB001292, CQUJHB007141	ADIR000721
OG0001902	CQUJHB003665, CQUJHB015274	ADIR002907
OG0001903	CQUJHB016326, CQUJHB011952, CQUJHB010866, CQUJHB006662	ADIR003055
OG0001905	CQUJHB015251	ADIR009690
OG0001906	CQUJHB012925	ADIR005354
OG0001907	CQUJHB014583	ADIR009619, ADIR009620
OG0001908	CQUJHB003954	ADIR010310
OG0001909	CQUJHB010206, CQUJHB007957, CQUJHB008854	ADIR011251
OG0001910	CQUJHB011929	ADIR009743, ADIR009742
OG0001912	CQUJHB012127	ADIR002226
OG0001913	CQUJHB010947	ADIR011669
OG0001914	CQUJHB014627	ADIR008620
OG0001915	CQUJHB003422	ADIR003323
OG0001916	CQUJHB017477	ADIR003539
OG0001917	CQUJHB016388	ADIR010533
OG0001918	CQUJHB011861	ADIR001340
OG0001919	CQUJHB013909	ADIR006898
OG0001920	CQUJHB016365	ADIR002718
OG0001921	CQUJHB010226, CQUJHB020401, CQUJHB020267, CQUJHB001248	ADIR002796
OG0001922	CQUJHB001701	ADIR007437
OG0001923	CQUJHB011173	ADIR008022
OG0001924	CQUJHB008851	ADIR004794
OG0001925	CQUJHB008947	ADIR001330
OG0001926	CQUJHB005904	ADIR004600
OG0001928	CQUJHB017584	ADIR008075
OG0001929	CQUJHB009052	ADIR011668, ADIR011667, ADIR011752
OG0001930	CQUJHB000488	ADIR006887
OG0001931	CQUJHB001579	ADIR005212
OG0001933	CQUJHB009853	ADIR008917
OG0001934	CQUJHB008345, CQUJHB014551	ADIR008799
OG0001937	CQUJHB005452	ADIR007321, ADIR007320
OG0001938	CQUJHB013689	ADIR009556
OG0001939	CQUJHB015433	ADIR009997, ADIR009999
OG0001940	CQUJHB003955	ADIR005753
OG0001941	CQUJHB017019	ADIR001354
OG0001942	CQUJHB002444	ADIR015677
OG0001944	CQUJHB012856	ADIR010788
OG0001945	CQUJHB015802	ADIR002380
OG0001946	CQUJHB004460	ADIR009989, ADIR011656
OG0001947	CQUJHB017725	ADIR005933
OG0001948	CQUJHB012140	ADIR001111, ADIR001110
OG0001949	CQUJHB007700	ADIR006014
OG0001950	CQUJHB007473	ADIR006963
OG0001951	CQUJHB017052	ADIR006105
OG0001952	CQUJHB014332	ADIR008015
OG0001953	CQUJHB009317	ADIR006890
OG0001954	CQUJHB006751	ADIR003809, ADIR003810
OG0001955	CQUJHB014791	ADIR009700
OG0001956	CQUJHB015498	ADIR000846
OG0001957	CQUJHB008729, CQUJHB007723	ADIR006911
OG0001958	CQUJHB015953	ADIR001005
OG0001959	CQUJHB009277	ADIR008941
OG0001960	CQUJHB018138	ADIR005313
OG0001961	CQUJHB014631	ADIR006030
OG0001962	CQUJHB016651	ADIR004077, ADIR004078
OG0001963	CQUJHB011444	ADIR011496
OG0001964	CQUJHB018337	ADIR007696
OG0001965	CQUJHB013662	ADIR002199
OG0001968	CQUJHB002848	ADIR009169
OG0001969	CQUJHB009273	ADIR007937
OG0001970	CQUJHB014942, CQUJHB003598, CQUJHB006771	ADIR006593
OG0001971	CQUJHB009557	ADIR002099
OG0001972	CQUJHB009191, CQUJHB017842	ADIR009182
OG0001974	CQUJHB003100	ADIR001226
OG0001975	CQUJHB017537, CQUJHB000395	ADIR007393
OG0001976	CQUJHB002571	ADIR010396
OG0001977	CQUJHB018154	ADIR001519
OG0001978	CQUJHB012118	ADIR011175
OG0001979	CQUJHB002147	ADIR003410
OG0001980	CQUJHB016028	ADIR003936
OG0001981	CQUJHB002973	ADIR010600
OG0001982	CQUJHB010272, CQUJHB001693, CQUJHB010161	ADIR003949
OG0001983	CQUJHB007443	ADIR004189, ADIR001406
OG0001988	CQUJHB001325	ADIR005678
OG0001998	CQUJHB006595	ADIR003932, ADIR003929
OG0002000	CQUJHB006851	ADIR000420
OG0002005	CQUJHB016333	ADIR005756, ADIR009025, ADIR001529, ADIR009090, ADIR010832
OG0002010	CQUJHB004416	ADIR004637
OG0002011	CQUJHB008730	ADIR005361
OG0002012	CQUJHB006495	ADIR005846
OG0002027	CQUJHB015303	ADIR010703
OG0002028	CQUJHB000015	ADIR002646
OG0002029	CQUJHB000454, CQUJHB003417	ADIR016013
OG0002030	CQUJHB007781	ADIR002665
OG0002031	CQUJHB015561, CQUJHB016004	ADIR004200
OG0002032	CQUJHB007591, CQUJHB017901	ADIR010613
OG0002033	CQUJHB000201	ADIR009911
OG0002034	CQUJHB002364	ADIR010637
OG0002035	CQUJHB012676	ADIR008433
OG0002036	CQUJHB008731	ADIR002724
OG0002037	CQUJHB020324, CQUJHB020378	ADIR009116
OG0002038	CQUJHB001224	ADIR010123
OG0002039	CQUJHB010689	ADIR005740
OG0002040	CQUJHB018123	ADIR010121
OG0002041	CQUJHB010072	ADIR003903
OG0002042	CQUJHB011332	ADIR005750
OG0002043	CQUJHB013302	ADIR009807
OG0002044	CQUJHB016863	ADIR000975
OG0002045	CQUJHB011243	ADIR001210
OG0002046	CQUJHB018449, CQUJHB016117	ADIR009486
OG0002047	CQUJHB002076	ADIR007533
OG0002048	CQUJHB001769	ADIR000048
OG0002049	CQUJHB005527, CQUJHB007692	ADIR009494
OG0002050	CQUJHB014964	ADIR007560
OG0002051	CQUJHB005235, CQUJHB010587, CQUJHB000316	ADIR005803
OG0002052	CQUJHB007752	ADIR010765
OG0002053	CQUJHB001207	ADIR007557
OG0002054	CQUJHB014552	ADIR000537
OG0002055	CQUJHB013576	ADIR010679
OG0002056	CQUJHB002626	ADIR006577
OG0002057	CQUJHB012693	ADIR010674
OG0002058	CQUJHB004327	ADIR006455
OG0002059	CQUJHB003851	ADIR008365
OG0002060	CQUJHB018185	ADIR010673
OG0002061	CQUJHB009512	ADIR006456
OG0002062	CQUJHB012677	ADIR015513
OG0002063	CQUJHB004868	ADIR002815
OG0002064	CQUJHB017762	ADIR001818
OG0002065	CQUJHB001303	ADIR002153
OG0002066	CQUJHB015590	ADIR002146
OG0002067	CQUJHB014615	ADIR010490
OG0002068	CQUJHB001906	ADIR010495
OG0002069	CQUJHB017104	ADIR005080
OG0002070	CQUJHB009199	ADIR004363
OG0002072	CQUJHB008226	ADIR005433
OG0002073	CQUJHB009920	ADIR016208
OG0002074	CQUJHB008271	ADIR008164
OG0002075	CQUJHB015158	ADIR008162
OG0002076	CQUJHB013464	ADIR016207
OG0002077	CQUJHB015918	ADIR002355
OG0002078	CQUJHB011705	ADIR010262
OG0002079	CQUJHB001903	ADIR010264
OG0002080	CQUJHB013277	ADIR010263
OG0002081	CQUJHB009731	ADIR016129
OG0002082	CQUJHB003397	ADIR005638
OG0002083	CQUJHB013356	ADIR000528
OG0002084	CQUJHB013949	ADIR005560
OG0002085	CQUJHB017489	ADIR007900
OG0002086	CQUJHB010646	ADIR001971
OG0002087	CQUJHB006590	ADIR000409
OG0002088	CQUJHB010181	ADIR000384
OG0002089	CQUJHB002003	ADIR000392
OG0002090	CQUJHB003030	ADIR000426
OG0002091	CQUJHB013258	ADIR007899
OG0002092	CQUJHB017744	ADIR001969
OG0002093	CQUJHB009534	ADIR005161
OG0002094	CQUJHB007383	ADIR009678
OG0002095	CQUJHB005853	ADIR008396
OG0002096	CQUJHB005530	ADIR007815, ADIR007814
OG0002097	CQUJHB017962, CQUJHB012489, CQUJHB011659	ADIR007818
OG0002098	CQUJHB013710	ADIR005329
OG0002099	CQUJHB000391	ADIR008981
OG0002100	CQUJHB014387	ADIR003121
OG0002101	CQUJHB012215	ADIR010177
OG0002102	CQUJHB004208	ADIR006581
OG0002104	CQUJHB017798	ADIR009552
OG0002105	CQUJHB011479	ADIR005178
OG0002106	CQUJHB015190	ADIR004838
OG0002107	CQUJHB015721	ADIR004840
OG0002108	CQUJHB017811	ADIR006832
OG0002109	CQUJHB003037	ADIR011522
OG0002110	CQUJHB006433	ADIR004018
OG0002111	CQUJHB001706	ADIR005057
OG0002112	CQUJHB012500	ADIR003966
OG0002113	CQUJHB011651, CQUJHB014730	ADIR004987
OG0002114	CQUJHB010172, CQUJHB010508	ADIR008833
OG0002116	CQUJHB000110	ADIR004326
OG0002117	CQUJHB002257, CQUJHB017164	ADIR007168
OG0002118	CQUJHB003964, CQUJHB008253	ADIR009250
OG0002119	CQUJHB014981	ADIR008593
OG0002120	CQUJHB014175	ADIR001060
OG0002122	CQUJHB003340	ADIR009453
OG0002123	CQUJHB013223	ADIR016146
OG0002124	CQUJHB012406, CQUJHB007350	ADIR003763
OG0002125	CQUJHB011922	ADIR006229
OG0002126	CQUJHB014744, CQUJHB000820	ADIR003762
OG0002127	CQUJHB014050, CQUJHB015643	ADIR003793
OG0002128	CQUJHB009908	ADIR007277
OG0002129	CQUJHB012894, CQUJHB016886	ADIR007259
OG0002130	CQUJHB009924	ADIR007271
OG0002131	CQUJHB001427	ADIR007270
OG0002132	CQUJHB014710	ADIR007272
OG0002133	CQUJHB006683	ADIR007247
OG0002134	CQUJHB012801	ADIR001141
OG0002135	CQUJHB002700	ADIR006789
OG0002136	CQUJHB011012	ADIR011211
OG0002137	CQUJHB008468	ADIR004772
OG0002138	CQUJHB008948	ADIR008547
OG0002139	CQUJHB001861	ADIR011114
OG0002140	CQUJHB003839	ADIR004023
OG0002141	CQUJHB011348	ADIR011071
OG0002142	CQUJHB004693	ADIR006790
OG0002143	CQUJHB018228	ADIR000177
OG0002144	CQUJHB006170	ADIR000165
OG0002145	CQUJHB002789	ADIR000173
OG0002146	CQUJHB011719	ADIR007098
OG0002149	CQUJHB008545, CQUJHB010818	ADIR007043
OG0002150	CQUJHB011406	ADIR007108
OG0002151	CQUJHB009644, CQUJHB007757	ADIR007150
OG0002152	CQUJHB014510	ADIR015914
OG0002153	CQUJHB003031	ADIR004944
OG0002154	CQUJHB002808	ADIR000739
OG0002155	CQUJHB005873, CQUJHB005980	ADIR008661
OG0002156	CQUJHB012918	ADIR011176
OG0002157	CQUJHB000632	ADIR007452
OG0002158	CQUJHB003434	ADIR008651
OG0002159	CQUJHB016275	ADIR008646
OG0002160	CQUJHB015104	ADIR004971
OG0002161	CQUJHB001120	ADIR004695
OG0002162	CQUJHB002048	ADIR004970
OG0002163	CQUJHB004123	ADIR011122
OG0002164	CQUJHB003090	ADIR004691
OG0002165	CQUJHB005631	ADIR000706
OG0002166	CQUJHB015094	ADIR004024
OG0002167	CQUJHB009230	ADIR009269
OG0002168	CQUJHB009807	ADIR000709
OG0002169	CQUJHB008100	ADIR000708
OG0002170	CQUJHB015311	ADIR000777
OG0002171	CQUJHB017228	ADIR005172
OG0002172	CQUJHB013281	ADIR000778
OG0002173	CQUJHB000228	ADIR006237
OG0002174	CQUJHB003725	ADIR005034
OG0002175	CQUJHB008401	ADIR006239
OG0002176	CQUJHB012513	ADIR006247
OG0002177	CQUJHB012766	ADIR000311
OG0002178	CQUJHB001425	ADIR000309
OG0002179	CQUJHB001471	ADIR011216
OG0002180	CQUJHB003808	ADIR011229
OG0002181	CQUJHB017639, CQUJHB016180	ADIR011060
OG0002182	CQUJHB006550	ADIR011247
OG0002183	CQUJHB012486	ADIR011245
OG0002184	CQUJHB008635	ADIR003494
OG0002185	CQUJHB016880	ADIR006566
OG0002186	CQUJHB004159	ADIR002889
OG0002187	CQUJHB017101	ADIR015585
OG0002188	CQUJHB016517	ADIR015586
OG0002189	CQUJHB016647	ADIR004127
OG0002190	CQUJHB002487	ADIR000629
OG0002191	CQUJHB018069	ADIR006344
OG0002192	CQUJHB005712	ADIR000627, ADIR000628
OG0002193	CQUJHB007235	ADIR011446
OG0002194	CQUJHB013506	ADIR007670
OG0002195	CQUJHB010450	ADIR007515
OG0002196	CQUJHB010713	ADIR007671
OG0002197	CQUJHB000244	ADIR000546
OG0002198	CQUJHB006518	ADIR005225
OG0002199	CQUJHB009360	ADIR005274
OG0002200	CQUJHB005566	ADIR008017
OG0002201	CQUJHB005134	ADIR003744
OG0002202	CQUJHB004704	ADIR003740
OG0002203	CQUJHB012321, CQUJHB015547	ADIR004226
OG0002204	CQUJHB005442, CQUJHB009865	ADIR001051
OG0002205	CQUJHB007144	ADIR008018
OG0002206	CQUJHB011470	ADIR003741
OG0002207	CQUJHB004389	ADIR005159
OG0002208	CQUJHB015490	ADIR005019
OG0002209	CQUJHB006118	ADIR004997
OG0002210	CQUJHB000032	ADIR011383
OG0002211	CQUJHB005012, CQUJHB008285	ADIR007898
OG0002212	CQUJHB006368	ADIR005441
OG0002213	CQUJHB013538	ADIR003292
OG0002214	CQUJHB000717	ADIR000890
OG0002215	CQUJHB005950	ADIR000810
OG0002216	CQUJHB009349	ADIR003835
OG0002217	CQUJHB009119	ADIR007947
OG0002218	CQUJHB015348	ADIR008557
OG0002219	CQUJHB006148	ADIR001290
OG0002220	CQUJHB003376	ADIR006633
OG0002221	CQUJHB016640	ADIR010460
OG0002222	CQUJHB010238	ADIR010462
OG0002223	CQUJHB008688	ADIR005672
OG0002224	CQUJHB008876, CQUJHB001015	ADIR003142
OG0002226	CQUJHB007377	ADIR002188
OG0002227	CQUJHB007253	ADIR005494
OG0002229	CQUJHB005588	ADIR000479
OG0002230	CQUJHB014027	ADIR004922
OG0002231	CQUJHB011725, CQUJHB008978, CQUJHB015693	ADIR004933
OG0002232	CQUJHB016597	ADIR008520, ADIR003557
OG0002233	CQUJHB016148	ADIR007046
OG0002234	CQUJHB009841	ADIR007184
OG0002235	CQUJHB010122	ADIR005468
OG0002236	CQUJHB007151	ADIR010260
OG0002237	CQUJHB014136	ADIR004571
OG0002238	CQUJHB014723	ADIR002662
OG0002239	CQUJHB003596	ADIR002664
OG0002240	CQUJHB000437	ADIR002876
OG0002242	CQUJHB014480	ADIR005447
OG0002244	CQUJHB005805	ADIR002103, ADIR001379
OG0002245	CQUJHB016908	ADIR015492, ADIR000798
OG0002246	CQUJHB010050	ADIR001378
OG0002247	CQUJHB004418, CQUJHB009622	ADIR003551
OG0002248	CQUJHB016195	ADIR000044
OG0002249	CQUJHB009438	ADIR000824
OG0002250	CQUJHB001918	ADIR008320
OG0002251	CQUJHB014276	ADIR008321
OG0002252	CQUJHB009674	ADIR008319
OG0002253	CQUJHB004508	ADIR000111
OG0002254	CQUJHB004592	ADIR002444
OG0002255	CQUJHB010680	ADIR002929
OG0002256	CQUJHB008335	ADIR015707
OG0002257	CQUJHB013146	ADIR010728
OG0002258	CQUJHB003065	ADIR003358
OG0002259	CQUJHB004536	ADIR001527
OG0002260	CQUJHB003014, CQUJHB015254	ADIR004591
OG0002261	CQUJHB010012	ADIR007912
OG0002262	CQUJHB003690	ADIR007698
OG0002263	CQUJHB003385	ADIR007700
OG0002264	CQUJHB006913	ADIR005763
OG0002265	CQUJHB007912	ADIR003745
OG0002266	CQUJHB000401	ADIR001443
OG0002267	CQUJHB011217	ADIR003607
OG0002268	CQUJHB006856	ADIR000383
OG0002269	CQUJHB011397	ADIR000382
OG0002270	CQUJHB014938	ADIR009665
OG0002271	CQUJHB010861	ADIR000393
OG0002272	CQUJHB005130	ADIR000395
OG0002273	CQUJHB005373	ADIR002227
OG0002274	CQUJHB006935	ADIR004000
OG0002275	CQUJHB000691	ADIR008272
OG0002276	CQUJHB003103	ADIR003995
OG0002277	CQUJHB005431	ADIR002931
OG0002278	CQUJHB002987	ADIR002936
OG0002279	CQUJHB009582	ADIR002932
OG0002280	CQUJHB016835	ADIR016217
OG0002281	CQUJHB000127	ADIR010379
OG0002282	CQUJHB011642	ADIR004337
OG0002283	CQUJHB002344	ADIR011342
OG0002284	CQUJHB001446	ADIR001698
OG0002285	CQUJHB002955, CQUJHB008269	ADIR011189
OG0002286	CQUJHB007418	ADIR006253
OG0002287	CQUJHB010863	ADIR006255
OG0002288	CQUJHB004334	ADIR006254
OG0002289	CQUJHB016882	ADIR004323
OG0002290	CQUJHB007502	ADIR008876
OG0002291	CQUJHB013153	ADIR004956
OG0002292	CQUJHB001130	ADIR002167, ADIR002168
OG0002293	CQUJHB003490	ADIR009168
OG0002294	CQUJHB003662	ADIR011306
OG0002295	CQUJHB000982	ADIR011308
OG0002296	CQUJHB000898	ADIR011322
OG0002297	CQUJHB020344	ADIR000873
OG0002298	CQUJHB006545	ADIR003087
OG0002299	CQUJHB009293	ADIR002681
OG0002300	CQUJHB013387	ADIR003084
OG0002301	CQUJHB018039	ADIR002689
OG0002302	CQUJHB004570	ADIR010824
OG0002304	CQUJHB010742	ADIR002341
OG0002305	CQUJHB004635	ADIR005770
OG0002306	CQUJHB013760	ADIR001922
OG0002307	CQUJHB005630	ADIR001928
OG0002308	CQUJHB011917	ADIR007280
OG0002309	CQUJHB004445	ADIR007022
OG0002310	CQUJHB009311	ADIR009158
OG0002311	CQUJHB006845	ADIR010486
OG0002312	CQUJHB004384	ADIR007430
OG0002313	CQUJHB015733	ADIR002263
OG0002314	CQUJHB012634	ADIR011385
OG0002315	CQUJHB009401	ADIR002040
OG0002316	CQUJHB003740	ADIR002041
OG0002317	CQUJHB011893, CQUJHB013333	ADIR007523
OG0002318	CQUJHB003199	ADIR010966
OG0002319	CQUJHB002990	ADIR011389
OG0002320	CQUJHB014318, CQUJHB016145, CQUJHB005410	ADIR011391
OG0002321	CQUJHB004639	ADIR008493
OG0002322	CQUJHB005601	ADIR008498
OG0002325	CQUJHB010565	ADIR003264
OG0002326	CQUJHB013806	ADIR004482
OG0002328	CQUJHB009440	ADIR004751
OG0002329	CQUJHB008476	ADIR004480
OG0002330	CQUJHB009297	ADIR007335
OG0002331	CQUJHB000409	ADIR005376
OG0002332	CQUJHB009608	ADIR008288
OG0002333	CQUJHB014213	ADIR005375
OG0002334	CQUJHB009980	ADIR005368
OG0002335	CQUJHB012103	ADIR005374
OG0002336	CQUJHB007046	ADIR005372
OG0002337	CQUJHB016521	ADIR010737
OG0002338	CQUJHB016912	ADIR009138
OG0002339	CQUJHB000264, CQUJHB002185	ADIR005606
OG0002340	CQUJHB015241	ADIR008517
OG0002341	CQUJHB017309	ADIR008513
OG0002342	CQUJHB000893	ADIR010411
OG0002343	CQUJHB010668	ADIR010661
OG0002344	CQUJHB010557	ADIR003538
OG0002345	CQUJHB003096	ADIR002248
OG0002346	CQUJHB006185	ADIR005001
OG0002347	CQUJHB014113	ADIR002330
OG0002348	CQUJHB006469	ADIR002524
OG0002349	CQUJHB011400	ADIR002826
OG0002350	CQUJHB015440	ADIR005825
OG0002351	CQUJHB004563	ADIR015686
OG0002352	CQUJHB010594	ADIR011541
OG0002353	CQUJHB006051	ADIR001143
OG0002354	CQUJHB010462, CQUJHB008752, CQUJHB007099	ADIR001178
OG0002355	CQUJHB005547	ADIR000506
OG0002356	CQUJHB018068	ADIR002837
OG0002357	CQUJHB013014, CQUJHB004041	ADIR005568
OG0002358	CQUJHB002612	ADIR003024
OG0002359	CQUJHB014974	ADIR002838
OG0002360	CQUJHB011367	ADIR008746
OG0002361	CQUJHB004650	ADIR008855
OG0002362	CQUJHB014684	ADIR011000
OG0002363	CQUJHB006766	ADIR009699
OG0002364	CQUJHB004756	ADIR002965
OG0002365	CQUJHB012487	ADIR011004
OG0002366	CQUJHB009929	ADIR004707
OG0002367	CQUJHB016718, CQUJHB012929	ADIR010085
OG0002368	CQUJHB012789	ADIR011364
OG0002369	CQUJHB007800	ADIR005696
OG0002370	CQUJHB009564	ADIR005709
OG0002371	CQUJHB012855	ADIR000446
OG0002372	CQUJHB016742	ADIR010650
OG0002373	CQUJHB000794	ADIR000378
OG0002374	CQUJHB016411	ADIR009304
OG0002375	CQUJHB009769	ADIR001781
OG0002376	CQUJHB007982	ADIR000403
OG0002377	CQUJHB003022	ADIR001768
OG0002378	CQUJHB006638	ADIR001780
OG0002379	CQUJHB017208	ADIR001771
OG0002380	CQUJHB010596	ADIR001766
OG0002381	CQUJHB009411	ADIR001769
OG0002382	CQUJHB012201	ADIR009119
OG0002383	CQUJHB010836	ADIR006424
OG0002384	CQUJHB014687	ADIR010382
OG0002385	CQUJHB012067	ADIR003169
OG0002386	CQUJHB004362	ADIR015611
OG0002387	CQUJHB015201	ADIR006081
OG0002388	CQUJHB012524	ADIR006819, ADIR006818
OG0002389	CQUJHB010100	ADIR004846
OG0002390	CQUJHB017513	ADIR006730
OG0002391	CQUJHB001336	ADIR002851
OG0002392	CQUJHB005239	ADIR006728
OG0002393	CQUJHB010590	ADIR007608
OG0002395	CQUJHB016537	ADIR001493
OG0002396	CQUJHB001013	ADIR006504
OG0002397	CQUJHB013685	ADIR007429
OG0002398	CQUJHB006627	ADIR010193
OG0002399	CQUJHB000834	ADIR006505
OG0002400	CQUJHB018220	ADIR006487
OG0002401	CQUJHB017267	ADIR010860
OG0002402	CQUJHB015436	ADIR004682
OG0002403	CQUJHB003337	ADIR010862
OG0002404	CQUJHB010074	ADIR016111
OG0002405	CQUJHB007031	ADIR005174
OG0002406	CQUJHB018093	ADIR009277
OG0002408	CQUJHB000279	ADIR009273
OG0002409	CQUJHB001593	ADIR000364
OG0002410	CQUJHB013798	ADIR000359
OG0002411	CQUJHB011085	ADIR000365
OG0002412	CQUJHB012360	ADIR000361
OG0002414	CQUJHB002452	ADIR007380
OG0002415	CQUJHB015531	ADIR004420
OG0002416	CQUJHB001206	ADIR004284
OG0002417	CQUJHB005610	ADIR007684
OG0002418	CQUJHB006127	ADIR004277
OG0002419	CQUJHB015871	ADIR009328
OG0002420	CQUJHB015617, CQUJHB017009	ADIR009321
OG0002421	CQUJHB016995	ADIR004516
OG0002422	CQUJHB017800	ADIR010842
OG0002423	CQUJHB012261	ADIR009359
OG0002424	CQUJHB013532	ADIR010846
OG0002425	CQUJHB007575	ADIR006334
OG0002426	CQUJHB015489	ADIR009357
OG0002427	CQUJHB012702	ADIR005773
OG0002428	CQUJHB006392, CQUJHB003056	ADIR004517
OG0002429	CQUJHB010909	ADIR005775
OG0002430	CQUJHB012663, CQUJHB006534	ADIR003643
OG0002431	CQUJHB018145	ADIR009767, ADIR009766
OG0002432	CQUJHB002271	ADIR006218
OG0002433	CQUJHB008079	ADIR002129
OG0002434	CQUJHB006991	ADIR002128
OG0002435	CQUJHB007429	ADIR009763
OG0002436	CQUJHB018128	ADIR002127
OG0002437	CQUJHB015695	ADIR003596
OG0002438	CQUJHB008564, CQUJHB008781	ADIR006000
OG0002439	CQUJHB003907	ADIR008750
OG0002440	CQUJHB011136	ADIR008749
OG0002441	CQUJHB011205	ADIR007443
OG0002442	CQUJHB000964	ADIR009284
OG0002443	CQUJHB003308	ADIR009190
OG0002444	CQUJHB013675	ADIR009184
OG0002445	CQUJHB005823	ADIR009189
OG0002446	CQUJHB014878	ADIR006993
OG0002447	CQUJHB011832	ADIR006406
OG0002448	CQUJHB013948	ADIR006403
OG0002449	CQUJHB005751	ADIR011498
OG0002450	CQUJHB010116	ADIR005392
OG0002451	CQUJHB013600	ADIR003389
OG0002452	CQUJHB017719	ADIR016060
OG0002453	CQUJHB013401	ADIR001323
OG0002454	CQUJHB013158	ADIR001223
OG0002455	CQUJHB008588	ADIR009389
OG0002456	CQUJHB003838	ADIR009474
OG0002457	CQUJHB002815	ADIR002156
OG0002458	CQUJHB000792	ADIR002157
OG0002459	CQUJHB002715	ADIR002158
OG0002460	CQUJHB011919	ADIR010221
OG0002461	CQUJHB010798	ADIR010218
OG0002462	CQUJHB017675	ADIR010205
OG0002463	CQUJHB000507	ADIR000972
OG0002464	CQUJHB009902	ADIR004800
OG0002465	CQUJHB008691	ADIR005415
OG0002466	CQUJHB011920	ADIR009562
OG0002467	CQUJHB006115	ADIR000338
OG0002468	CQUJHB012385	ADIR015965
OG0002469	CQUJHB011123	ADIR015978
OG0002470	CQUJHB002211	ADIR009784
OG0002471	CQUJHB017557	ADIR011429
OG0002472	CQUJHB007761, CQUJHB001566	ADIR004924
OG0002473	CQUJHB012618	ADIR004266
OG0002474	CQUJHB006279	ADIR011293
OG0002475	CQUJHB001696	ADIR011285
OG0002476	CQUJHB001299	ADIR011288
OG0002477	CQUJHB009749	ADIR001777, ADIR001776
OG0002478	CQUJHB000020	ADIR005567
OG0002479	CQUJHB017215	ADIR005193, ADIR007494
OG0002480	CQUJHB013708	ADIR009692
OG0002481	CQUJHB005702	ADIR004893
OG0002482	CQUJHB000819	ADIR015841
OG0002483	CQUJHB000171	ADIR003441
OG0002484	CQUJHB010442	ADIR006591
OG0002485	CQUJHB005479	ADIR008445
OG0002486	CQUJHB007533	ADIR006588
OG0002487	CQUJHB016355	ADIR005363
OG0002488	CQUJHB010277, CQUJHB010094	ADIR005662
OG0002489	CQUJHB006093, CQUJHB018006	ADIR002057
OG0002490	CQUJHB012668, CQUJHB015680	ADIR002060
OG0002491	CQUJHB013800	ADIR015715
OG0002492	CQUJHB015851	ADIR015716
OG0002493	CQUJHB015991	ADIR009731
OG0002494	CQUJHB007287	ADIR000354
OG0002495	CQUJHB008579	ADIR010654
OG0002496	CQUJHB017281	ADIR008474
OG0002497	CQUJHB003657	ADIR002578
OG0002498	CQUJHB000643	ADIR003438, ADIR003437
