Orthogroup	CquinquefasciatusJHB2020	AsinensisChina
OG0000799	CQUJHB001573	ASIC013358
OG0000800	CQUJHB013205	ASIC014042, ASIC014037
OG0000801	CQUJHB009680	ASIC008758, ASIC008769
OG0000802	CQUJHB001349	ASIC010833
OG0000803	CQUJHB005304	ASIC006627, ASIC006616
OG0000806	CQUJHB011050, CQUJHB001077, CQUJHB005760, CQUJHB011077	ASIC007906
OG0000808	CQUJHB015905	ASIC014189, ASIC014182
OG0000809	CQUJHB008254	ASIC006983
OG0000810	CQUJHB017437	ASIC003966, ASIC014687
OG0000811	CQUJHB007508	ASIC003969
OG0000812	CQUJHB007121	ASIC018087
OG0000813	CQUJHB000588	ASIC012108, ASIC012110, ASIC012109, ASIC012111
OG0000814	CQUJHB008496, CQUJHB002534, CQUJHB006769	ASIC005584
OG0000815	CQUJHB001854, CQUJHB008231	ASIC020637
OG0000816	CQUJHB002704, CQUJHB007050, CQUJHB011222	ASIC012651
OG0000817	CQUJHB016385	ASIC006311, ASIC011944
OG0000820	CQUJHB016297	ASIC012997
OG0000821	CQUJHB016785	ASIC005223
OG0000822	CQUJHB000969	ASIC003247
OG0000823	CQUJHB002292	ASIC018052
OG0000824	CQUJHB004976	ASIC016002
OG0000825	CQUJHB012419	ASIC009744, ASIC009778
OG0000827	CQUJHB005149, CQUJHB007861, CQUJHB002780, CQUJHB013085	ASIC019496
OG0000828	CQUJHB013820	ASIC006317, ASIC006324
OG0000829	CQUJHB007273	ASIC003920
OG0000830	CQUJHB003884, CQUJHB018079	ASIC011142
OG0000831	CQUJHB014481, CQUJHB000218	ASIC010156
OG0000832	CQUJHB001671	ASIC009101
OG0000833	CQUJHB005405	ASIC018216, ASIC008915
OG0000834	CQUJHB010709, CQUJHB010995	ASIC017356
OG0000835	CQUJHB016074	ASIC020621
OG0000836	CQUJHB005801	ASIC002676
OG0000837	CQUJHB005519	ASIC016440
OG0000838	CQUJHB010959	ASIC009560, ASIC015831, ASIC008806, ASIC007665
OG0000839	CQUJHB014955	ASIC008421
OG0000839	CQUJHB012690	ASIC008420, ASIC008419
OG0000841	CQUJHB018107	ASIC007143
OG0000841	CQUJHB002467	ASIC007141
OG0000842	CQUJHB006931, CQUJHB010621	ASIC006696, ASIC006697
OG0000843	CQUJHB002606, CQUJHB000456, CQUJHB003094	ASIC021030
OG0000844	CQUJHB004101, CQUJHB011913	ASIC020295
OG0000845	CQUJHB009300	ASIC016333
OG0000846	CQUJHB010474	ASIC007965
OG0000847	CQUJHB004007	ASIC007549
OG0000849	CQUJHB002962, CQUJHB015850	ASIC002768
OG0000850	CQUJHB005772	ASIC007559
OG0000852	CQUJHB017491, CQUJHB005833	ASIC018361
OG0000854	CQUJHB002878	ASIC019634, ASIC019639
OG0000855	CQUJHB012685	ASIC010229
OG0000855	CQUJHB015793	ASIC010228
OG0000856	CQUJHB005654	ASIC019688
OG0000858	CQUJHB013735	ASIC001875, ASIC001876, ASIC001414
OG0000859	CQUJHB015175, CQUJHB007368	ASIC011203
OG0000859	CQUJHB009689	ASIC011204
OG0000860	CQUJHB010213, CQUJHB011973, CQUJHB003675, CQUJHB008896, CQUJHB009979, CQUJHB018059	ASIC015296
OG0000861	CQUJHB006478	ASIC018072
OG0000862	CQUJHB006077	ASIC019152, ASIC019190
OG0000863	CQUJHB005277	ASIC019790
OG0000864	CQUJHB009866	ASIC013860
OG0000865	CQUJHB011654	ASIC005377, ASIC005935
OG0000866	CQUJHB014812	ASIC015035
OG0000867	CQUJHB002856	ASIC011242, ASIC016184
OG0000868	CQUJHB017512	ASIC021136
OG0000869	CQUJHB002047	ASIC011670
OG0000870	CQUJHB000329	ASIC020396
OG0000871	CQUJHB016231	ASIC008491, ASIC004522
OG0000872	CQUJHB008866	ASIC007709, ASIC003733
OG0000873	CQUJHB010528, CQUJHB011068, CQUJHB008763, CQUJHB005938, CQUJHB014877	ASIC019046
OG0000874	CQUJHB004819	ASIC014135, ASIC014142
OG0000875	CQUJHB006381	ASIC017056, ASIC015356
OG0000878	CQUJHB003331	ASIC016491
OG0000880	CQUJHB010198, CQUJHB008509	ASIC011748
OG0000881	CQUJHB006011	ASIC008413, ASIC008409
OG0000882	CQUJHB012547	ASIC019412, ASIC019413
OG0000883	CQUJHB002993	ASIC018442, ASIC018444
OG0000884	CQUJHB008395	ASIC008951, ASIC008954, ASIC008952
OG0000885	CQUJHB004480	ASIC011979
OG0000887	CQUJHB005562	ASIC013297
OG0000888	CQUJHB013300	ASIC010717, ASIC010720
OG0000889	CQUJHB014198	ASIC019922, ASIC019929
OG0000890	CQUJHB013314	ASIC014867, ASIC008439
OG0000891	CQUJHB012263	ASIC003576
OG0000893	CQUJHB007906	ASIC004679
OG0000894	CQUJHB005788	ASIC020550, ASIC012840
OG0000895	CQUJHB015553	ASIC017057, ASIC017058
OG0000896	CQUJHB006387	ASIC017732, ASIC017731
OG0000897	CQUJHB002986	ASIC011817
OG0000900	CQUJHB003458	ASIC017002
OG0000900	CQUJHB008881, CQUJHB008191	ASIC017003, ASIC017004
OG0000901	CQUJHB009729	ASIC017457, ASIC017451
OG0000903	CQUJHB007592, CQUJHB014028	ASIC000500, ASIC019245
OG0000906	CQUJHB004156, CQUJHB006767	ASIC019097
OG0000907	CQUJHB017993, CQUJHB009363	ASIC006166
OG0000910	CQUJHB008293	ASIC015064, ASIC003325
OG0000911	CQUJHB004769	ASIC009667
OG0000913	CQUJHB018091, CQUJHB002158, CQUJHB015260	ASIC021904
OG0000935	CQUJHB015049, CQUJHB005689, CQUJHB004645, CQUJHB003785, CQUJHB009833, CQUJHB003931, CQUJHB006854, CQUJHB001814, CQUJHB003779, CQUJHB000630, CQUJHB003123, CQUJHB017895, CQUJHB016932, CQUJHB006204	ASIC018829
OG0000940	CQUJHB004520	ASIC016260, ASIC016015, ASIC016018, ASIC016013, ASIC016259
OG0000941	CQUJHB009645	ASIC021485, ASIC021436, ASIC021487
OG0000942	CQUJHB017523	ASIC010363
OG0000943	CQUJHB014395, CQUJHB007606, CQUJHB001770	ASIC018152, ASIC018151
OG0000944	CQUJHB016531	ASIC008233
OG0000945	CQUJHB009634	ASIC002969, ASIC002968
OG0000946	CQUJHB001073	ASIC021493, ASIC021504
OG0000947	CQUJHB014338, CQUJHB009540, CQUJHB002226	ASIC009305
OG0000948	CQUJHB004396, CQUJHB011163	ASIC000641
OG0000949	CQUJHB014138	ASIC013181, ASIC013167
OG0000950	CQUJHB018106	ASIC012104
OG0000951	CQUJHB005663	ASIC015194, ASIC015193
OG0000952	CQUJHB017278	ASIC002966
OG0000953	CQUJHB003522, CQUJHB013131, CQUJHB000138, CQUJHB007179	ASIC020386
OG0000954	CQUJHB001350	ASIC020471
OG0000955	CQUJHB014863	ASIC013403
OG0000956	CQUJHB008114	ASIC007294
OG0000957	CQUJHB008389	ASIC003738
OG0000958	CQUJHB003261	ASIC004476
OG0000959	CQUJHB002198	ASIC004659, ASIC004656
OG0000960	CQUJHB012755	ASIC021667, ASIC021680
OG0000962	CQUJHB009877, CQUJHB015515, CQUJHB011384, CQUJHB008236	ASIC011118
OG0000963	CQUJHB009639	ASIC008300, ASIC008299
OG0000964	CQUJHB008744, CQUJHB010722	ASIC005083, ASIC005081
OG0000965	CQUJHB017790, CQUJHB006908, CQUJHB007964	ASIC012479
OG0000966	CQUJHB016172, CQUJHB017954	ASIC019954
OG0000967	CQUJHB005852	ASIC009917
OG0000968	CQUJHB014690	ASIC020347
OG0000970	CQUJHB014664, CQUJHB011743	ASIC009351
OG0000972	CQUJHB018311, CQUJHB012214	ASIC006679
OG0000973	CQUJHB016185	ASIC020184, ASIC020186
OG0000974	CQUJHB003428	ASIC006392
OG0000976	CQUJHB001997, CQUJHB005014	ASIC016838, ASIC016839
OG0000977	CQUJHB010487, CQUJHB018398, CQUJHB004772, CQUJHB003256, CQUJHB012401	ASIC021684
OG0000978	CQUJHB014489	ASIC012758
OG0000979	CQUJHB010582	ASIC003185
OG0000980	CQUJHB005278	ASIC020979, ASIC010262, ASIC010263
OG0000982	CQUJHB016893	ASIC006307
OG0000983	CQUJHB012820	ASIC020950
OG0000984	CQUJHB009150	ASIC016301, ASIC016306
OG0000985	CQUJHB005271	ASIC016678
OG0000986	CQUJHB011518	ASIC015268
OG0000987	CQUJHB008220	ASIC007258
OG0000989	CQUJHB003833	ASIC012020, ASIC012021
OG0000990	CQUJHB004540	ASIC007221
OG0000991	CQUJHB003449	ASIC015520
OG0000992	CQUJHB002157, CQUJHB000145	ASIC018564, ASIC018563
OG0000994	CQUJHB002391	ASIC016389, ASIC016387, ASIC016386, ASIC016385, ASIC016381
OG0000995	CQUJHB013694	ASIC015404, ASIC009598
OG0000996	CQUJHB015466	ASIC017229
OG0000997	CQUJHB004237	ASIC019080, ASIC019076, ASIC019081
OG0000998	CQUJHB012886	ASIC012645
OG0000999	CQUJHB014645	ASIC019299
OG0001000	CQUJHB012706	ASIC017776
OG0001001	CQUJHB007634	ASIC000014, ASIC010786
OG0001002	CQUJHB004437	ASIC007151
OG0001003	CQUJHB010786, CQUJHB001291, CQUJHB006893	ASIC006287
OG0001004	CQUJHB008887	ASIC007842
OG0001005	CQUJHB009416	ASIC009647, ASIC008582
OG0001006	CQUJHB005281, CQUJHB001670	ASIC009653
OG0001007	CQUJHB017109	ASIC014225
OG0001008	CQUJHB018152	ASIC014457
OG0001009	CQUJHB006049	ASIC007645
OG0001010	CQUJHB008609, CQUJHB010465	ASIC007604
OG0001011	CQUJHB006775	ASIC008845
OG0001012	CQUJHB007749	ASIC006842
OG0001013	CQUJHB008606, CQUJHB009163	ASIC009610
OG0001014	CQUJHB000862, CQUJHB018422, CQUJHB002738, CQUJHB007997	ASIC006512
OG0001015	CQUJHB005079	ASIC018825, ASIC018828
OG0001016	CQUJHB012911	ASIC002109
OG0001017	CQUJHB004504	ASIC009459, ASIC009457
OG0001018	CQUJHB015199, CQUJHB006119	ASIC020388
OG0001019	CQUJHB017240	ASIC019363
OG0001020	CQUJHB011426	ASIC016968
OG0001021	CQUJHB014949	ASIC002330, ASIC002339
OG0001022	CQUJHB008189, CQUJHB009115	ASIC005644
OG0001023	CQUJHB014680	ASIC016431, ASIC016432
OG0001024	CQUJHB008615	ASIC010752
OG0001025	CQUJHB005668, CQUJHB013040, CQUJHB004270, CQUJHB015661, CQUJHB014308	ASIC004318
OG0001026	CQUJHB010510	ASIC019437
OG0001027	CQUJHB003034	ASIC015551
OG0001028	CQUJHB005131, CQUJHB007966	ASIC008874, ASIC003514
OG0001029	CQUJHB013179	ASIC009642
OG0001030	CQUJHB004864	ASIC016782, ASIC016781, ASIC016780
OG0001031	CQUJHB007639	ASIC017539
OG0001032	CQUJHB005167, CQUJHB007849, CQUJHB005901	ASIC004759
OG0001033	CQUJHB008878, CQUJHB003193	ASIC015477, ASIC015476
OG0001034	CQUJHB008761	ASIC021524, ASIC021528, ASIC021527, ASIC021525
OG0001035	CQUJHB014148, CQUJHB012364	ASIC004152
OG0001036	CQUJHB009624	ASIC007397
OG0001037	CQUJHB010944	ASIC013855
OG0001037	CQUJHB016163	ASIC002100
OG0001038	CQUJHB012793	ASIC021511, ASIC021512
OG0001039	CQUJHB012892	ASIC004085, ASIC004096
OG0001040	CQUJHB014554	ASIC017745
OG0001041	CQUJHB004800, CQUJHB014502, CQUJHB014637, CQUJHB014731	ASIC014693
OG0001042	CQUJHB011988, CQUJHB007438	ASIC011532
OG0001043	CQUJHB014003	ASIC009006
OG0001044	CQUJHB009456	ASIC018691
OG0001045	CQUJHB002304	ASIC005228
OG0001046	CQUJHB014333, CQUJHB005302, CQUJHB006810	ASIC021917, ASIC021918, ASIC021915
OG0001047	CQUJHB002752	ASIC011591
OG0001048	CQUJHB006541, CQUJHB015947, CQUJHB017293	ASIC017966
OG0001049	CQUJHB007601	ASIC022309
OG0001050	CQUJHB008829, CQUJHB004223	ASIC019160
OG0001051	CQUJHB004689, CQUJHB017302	ASIC001512
OG0001053	CQUJHB012825	ASIC022256, ASIC022255
OG0001054	CQUJHB008911	ASIC017738
OG0001055	CQUJHB000174	ASIC021890
OG0001057	CQUJHB006290	ASIC002942
OG0001058	CQUJHB003510	ASIC007054
OG0001059	CQUJHB001699, CQUJHB008683	ASIC005336
OG0001060	CQUJHB002435	ASIC014678, ASIC014689
OG0001061	CQUJHB012829	ASIC010737
OG0001062	CQUJHB018401	ASIC021526
OG0001062	CQUJHB001563	ASIC021515
OG0001063	CQUJHB000027	ASIC002518, ASIC001736
OG0001064	CQUJHB005644	ASIC011699, ASIC011701
OG0001065	CQUJHB012881	ASIC020340, ASIC020339
OG0001066	CQUJHB010424	ASIC014097
OG0001067	CQUJHB014809	ASIC009000, ASIC001664
OG0001068	CQUJHB004688	ASIC020966
OG0001069	CQUJHB017320	ASIC005764, ASIC005767
OG0001070	CQUJHB006431	ASIC017182, ASIC017184
OG0001071	CQUJHB008812	ASIC015918
OG0001071	CQUJHB013112	ASIC015920, ASIC015919
OG0001072	CQUJHB018472	ASIC009078
OG0001073	CQUJHB016253	ASIC009568, ASIC009569
OG0001074	CQUJHB017478, CQUJHB013073	ASIC017968, ASIC005155
OG0001075	CQUJHB001253	ASIC021814
OG0001076	CQUJHB014057	ASIC010084
OG0001077	CQUJHB017342	ASIC018001, ASIC018000, ASIC017998
OG0001078	CQUJHB000845	ASIC012769
OG0001080	CQUJHB005199	ASIC019274, ASIC019273
OG0001081	CQUJHB001310	ASIC012969
OG0001082	CQUJHB008406	ASIC005371, ASIC013577, ASIC005369
OG0001083	CQUJHB007924	ASIC001417
OG0001084	CQUJHB010600	ASIC017799, ASIC017802
OG0001085	CQUJHB016838	ASIC000548, ASIC000547
OG0001086	CQUJHB017140	ASIC002992, ASIC002984
OG0001088	CQUJHB013090	ASIC004315, ASIC004324
OG0001090	CQUJHB009490	ASIC005258
OG0001091	CQUJHB012191	ASIC003387, ASIC003380, ASIC003390
OG0001092	CQUJHB010151	ASIC007959
OG0001094	CQUJHB012076	ASIC020472
OG0001095	CQUJHB001970	ASIC008516, ASIC008517
OG0001096	CQUJHB009987, CQUJHB004050	ASIC016949
OG0001097	CQUJHB013069	ASIC013838, ASIC013837
OG0001098	CQUJHB013863	ASIC013589, ASIC013584
OG0001101	CQUJHB001198	ASIC019857, ASIC019856
OG0001102	CQUJHB002778	ASIC007492, ASIC007493, ASIC005486, ASIC003626
OG0001103	CQUJHB018442	ASIC020366, ASIC002035, ASIC020193
OG0001105	CQUJHB000989	ASIC002338, ASIC002333
OG0001106	CQUJHB013092	ASIC007740
OG0001106	CQUJHB018273	ASIC007739
OG0001107	CQUJHB000759	ASIC021952, ASIC021954, ASIC021960
OG0001109	CQUJHB008455	ASIC006997, ASIC006992
OG0001110	CQUJHB014045	ASIC018582, ASIC018517
OG0001111	CQUJHB011303	ASIC016146, ASIC016145, ASIC016144
OG0001112	CQUJHB008113	ASIC015640, ASIC015639
OG0001113	CQUJHB007943, CQUJHB007461	ASIC021203
OG0001120	CQUJHB002023, CQUJHB001732	ASIC015803, ASIC002792
OG0001138	CQUJHB007348, CQUJHB000295	ASIC008225
OG0001139	CQUJHB010719	ASIC012451
OG0001140	CQUJHB001743, CQUJHB012004	ASIC004228, ASIC004227
OG0001141	CQUJHB003042, CQUJHB000129	ASIC003491
OG0001142	CQUJHB002686	ASIC011995
OG0001143	CQUJHB005711, CQUJHB014381	ASIC001196
OG0001144	CQUJHB006357	ASIC009181
OG0001145	CQUJHB010484	ASIC009582
OG0001146	CQUJHB008463, CQUJHB002417, CQUJHB008999	ASIC021261, ASIC021260
OG0001147	CQUJHB008274	ASIC012981
OG0001149	CQUJHB018083	ASIC021370
OG0001150	CQUJHB008800	ASIC007916, ASIC007911
OG0001152	CQUJHB011363, CQUJHB014477	ASIC007426, ASIC007427
OG0001153	CQUJHB003298	ASIC004993, ASIC004982
OG0001154	CQUJHB005576	ASIC005060, ASIC020518, ASIC005027, ASIC005038
OG0001155	CQUJHB003017	ASIC005082, ASIC005012, ASIC005013, ASIC004949
OG0001156	CQUJHB017425, CQUJHB017329, CQUJHB005884, CQUJHB016186, CQUJHB016622	ASIC015320
OG0001158	CQUJHB001257	ASIC000841
OG0001159	CQUJHB006668	ASIC018817
OG0001160	CQUJHB014102, CQUJHB016217	ASIC006190
OG0001162	CQUJHB008377	ASIC006527, ASIC006505, ASIC006516
OG0001163	CQUJHB003901	ASIC000640
OG0001164	CQUJHB012880, CQUJHB017377, CQUJHB003895	ASIC012202
OG0001166	CQUJHB004804, CQUJHB012775, CQUJHB017235	ASIC014178
OG0001167	CQUJHB000861, CQUJHB005636, CQUJHB000790	ASIC015763, ASIC015764
OG0001168	CQUJHB003000	ASIC008122
OG0001169	CQUJHB008411	ASIC015029
OG0001170	CQUJHB005763	ASIC012964
OG0001171	CQUJHB002512	ASIC011370, ASIC011371
OG0001172	CQUJHB018242, CQUJHB007240	ASIC016593
OG0001173	CQUJHB014673	ASIC017173
OG0001174	CQUJHB001642	ASIC011863
OG0001176	CQUJHB010130, CQUJHB017815	ASIC021821
OG0001177	CQUJHB004326	ASIC010259
OG0001178	CQUJHB016014	ASIC020470
OG0001179	CQUJHB000147	ASIC006576
OG0001180	CQUJHB018140	ASIC007401, ASIC007402
OG0001181	CQUJHB007629	ASIC010080
OG0001182	CQUJHB005470	ASIC019704, ASIC002754
OG0001183	CQUJHB003155	ASIC004278
OG0001184	CQUJHB016075	ASIC018232, ASIC018233
OG0001185	CQUJHB014228	ASIC013220, ASIC013223
OG0001186	CQUJHB001111	ASIC014720
OG0001187	CQUJHB006308	ASIC004827
OG0001188	CQUJHB006492, CQUJHB000473	ASIC011163
OG0001189	CQUJHB007511	ASIC006170
OG0001190	CQUJHB014246	ASIC018031, ASIC018030
OG0001191	CQUJHB003666, CQUJHB003991	ASIC022165
OG0001192	CQUJHB011394	ASIC014609
OG0001193	CQUJHB013945	ASIC016869
OG0001194	CQUJHB004740	ASIC019966
OG0001195	CQUJHB012265	ASIC018275
OG0001196	CQUJHB017906	ASIC015926, ASIC015925
OG0001197	CQUJHB010291, CQUJHB006315	ASIC004924, ASIC004925
OG0001198	CQUJHB016045, CQUJHB002943	ASIC008224
OG0001199	CQUJHB010339	ASIC017053, ASIC017042
OG0001200	CQUJHB005650, CQUJHB002786	ASIC017358
OG0001201	CQUJHB007565	ASIC013619
OG0001202	CQUJHB015157	ASIC008883
OG0001204	CQUJHB011526	ASIC008889
OG0001206	CQUJHB006483	ASIC014890
OG0001207	CQUJHB011194	ASIC020169
OG0001208	CQUJHB001959, CQUJHB009601	ASIC009335
OG0001209	CQUJHB013094	ASIC000265, ASIC000264
OG0001210	CQUJHB014801	ASIC004887
OG0001211	CQUJHB013663	ASIC015537
OG0001212	CQUJHB013955, CQUJHB015741	ASIC020298
OG0001213	CQUJHB000153, CQUJHB002045, CQUJHB014566	ASIC012895
OG0001214	CQUJHB006567, CQUJHB001389	ASIC013939
OG0001215	CQUJHB007784	ASIC013069
OG0001216	CQUJHB010948, CQUJHB002297	ASIC006415
OG0001218	CQUJHB015464, CQUJHB005474	ASIC010456
OG0001219	CQUJHB014977	ASIC019128, ASIC019113
OG0001220	CQUJHB004911	ASIC016616, ASIC016619
OG0001221	CQUJHB000175, CQUJHB011467	ASIC014964
OG0001222	CQUJHB005963	ASIC009251, ASIC009250
OG0001223	CQUJHB001107	ASIC012672, ASIC012671, ASIC010255
OG0001224	CQUJHB010964	ASIC017307
OG0001225	CQUJHB002797	ASIC020477
OG0001226	CQUJHB004897	ASIC017157, ASIC017155
OG0001227	CQUJHB010670	ASIC004186, ASIC015067
OG0001228	CQUJHB012061, CQUJHB004750	ASIC020261
OG0001229	CQUJHB006235	ASIC015135
OG0001230	CQUJHB011435	ASIC009478, ASIC005349, ASIC017454, ASIC007190
OG0001232	CQUJHB016364	ASIC002829
OG0001234	CQUJHB010175	ASIC000832, ASIC000833
OG0001235	CQUJHB003925	ASIC011098
OG0001236	CQUJHB001267	ASIC003575, ASIC003579
OG0001238	CQUJHB002472	ASIC011403
OG0001239	CQUJHB005397, CQUJHB016379	ASIC004355
OG0001240	CQUJHB006799, CQUJHB010004	ASIC002681
OG0001241	CQUJHB016654	ASIC013833
OG0001242	CQUJHB011751, CQUJHB002453, CQUJHB001061	ASIC006115
OG0001244	CQUJHB011548	ASIC017864, ASIC017865
OG0001245	CQUJHB010710	ASIC017083
OG0001246	CQUJHB018055	ASIC017005, ASIC020914
OG0001247	CQUJHB012283	ASIC011229
OG0001248	CQUJHB002127	ASIC021381
OG0001249	CQUJHB011797	ASIC008276
OG0001250	CQUJHB005451	ASIC008337
OG0001251	CQUJHB006519, CQUJHB013100	ASIC018162
OG0001252	CQUJHB012657	ASIC016810
OG0001253	CQUJHB001382	ASIC015044, ASIC015046, ASIC015045, ASIC015043
OG0001254	CQUJHB001940	ASIC021383
OG0001255	CQUJHB006501, CQUJHB009583	ASIC017232
OG0001256	CQUJHB017727, CQUJHB007395, CQUJHB008043, CQUJHB004032, CQUJHB009446	ASIC020097
OG0001257	CQUJHB016767	ASIC013092
OG0001258	CQUJHB003392	ASIC002662, ASIC002663
OG0001259	CQUJHB016438, CQUJHB010682	ASIC010774
OG0001260	CQUJHB016170	ASIC009032
OG0001261	CQUJHB013883	ASIC003327
OG0001263	CQUJHB003620, CQUJHB002466	ASIC011117
OG0001264	CQUJHB002884	ASIC005997
OG0001265	CQUJHB006364	ASIC010243, ASIC010242
OG0001266	CQUJHB004429	ASIC011291, ASIC011295
OG0001267	CQUJHB013444	ASIC004132
OG0001268	CQUJHB014430	ASIC010415, ASIC010416, ASIC010418
OG0001269	CQUJHB001567	ASIC007939, ASIC013090, ASIC007937, ASIC007940
OG0001270	CQUJHB014681	ASIC001348, ASIC001350
OG0001271	CQUJHB010717	ASIC005400
OG0001272	CQUJHB004263	ASIC004875
OG0001273	CQUJHB003614, CQUJHB008222	ASIC009976
OG0001274	CQUJHB018240	ASIC004313
OG0001276	CQUJHB013322, CQUJHB013951	ASIC008667
OG0001277	CQUJHB011436	ASIC006913
OG0001278	CQUJHB002935	ASIC019451, ASIC019450, ASIC019449
OG0001279	CQUJHB007827	ASIC013008, ASIC013006
OG0001281	CQUJHB010234	ASIC006653, ASIC006652
OG0001283	CQUJHB010410	ASIC012355, ASIC012354, ASIC012353
OG0001284	CQUJHB014665, CQUJHB017369	ASIC014335
OG0001285	CQUJHB011728	ASIC015634, ASIC015632
OG0001286	CQUJHB014654	ASIC016947
OG0001287	CQUJHB017594	ASIC022173
OG0001288	CQUJHB000463, CQUJHB004855, CQUJHB017025	ASIC002152
OG0001289	CQUJHB012802	ASIC019507
OG0001290	CQUJHB011896	ASIC019512
OG0001292	CQUJHB004373	ASIC018795
OG0001293	CQUJHB009962	ASIC018104
OG0001294	CQUJHB011730, CQUJHB000828	ASIC011749
OG0001295	CQUJHB008918	ASIC010510
OG0001297	CQUJHB018209	ASIC014859, ASIC014848
OG0001298	CQUJHB007683	ASIC015500, ASIC009058, ASIC009716, ASIC011133
OG0001299	CQUJHB006418, CQUJHB014237	ASIC008029, ASIC008031
OG0001300	CQUJHB009670	ASIC003215
OG0001302	CQUJHB018342, CQUJHB001441	ASIC008613
OG0001303	CQUJHB013080	ASIC003991, ASIC005106, ASIC003104, ASIC005109
OG0001304	CQUJHB013488, CQUJHB016757	ASIC014906
OG0001305	CQUJHB014866, CQUJHB013275	ASIC005672
OG0001306	CQUJHB006883	ASIC006326, ASIC009808
OG0001307	CQUJHB000868, CQUJHB013714	ASIC013435
OG0001308	CQUJHB007838	ASIC015154
OG0001309	CQUJHB008601	ASIC016566, ASIC016677
OG0001311	CQUJHB013473, CQUJHB016401, CQUJHB004886	ASIC000579, ASIC000576, ASIC000580, ASIC000577
OG0001312	CQUJHB015646, CQUJHB004492	ASIC011164
OG0001313	CQUJHB012662	ASIC007704, ASIC007702
OG0001314	CQUJHB000328	ASIC015902
OG0001315	CQUJHB006394	ASIC019802
OG0001316	CQUJHB002261	ASIC007698, ASIC007696
OG0001318	CQUJHB015916	ASIC021509, ASIC021508
OG0001319	CQUJHB000073, CQUJHB006576	ASIC004320, ASIC004321
OG0001321	CQUJHB011715	ASIC012970
OG0001322	CQUJHB003265	ASIC019100
OG0001322	CQUJHB002842	ASIC019089
OG0001323	CQUJHB000193	ASIC010560
OG0001324	CQUJHB001239	ASIC017342
OG0001326	CQUJHB012480	ASIC012791, ASIC012792
OG0001327	CQUJHB000322	ASIC005247
OG0001328	CQUJHB008380, CQUJHB003930, CQUJHB018062, CQUJHB014431	ASIC009680
OG0001329	CQUJHB014297	ASIC020082
OG0001330	CQUJHB020314, CQUJHB020393	ASIC016697, ASIC016695, ASIC016696, ASIC016694, ASIC016698
OG0001331	CQUJHB007949	ASIC005592
OG0001332	CQUJHB008565, CQUJHB018036, CQUJHB005506	ASIC010529
OG0001333	CQUJHB006569, CQUJHB001421	ASIC001185
OG0001334	CQUJHB006508	ASIC013994
OG0001335	CQUJHB010728	ASIC015090, ASIC015089
OG0001336	CQUJHB008230	ASIC012930
OG0001337	CQUJHB012843	ASIC002367, ASIC002763
OG0001338	CQUJHB001630	ASIC008258, ASIC008254
OG0001339	CQUJHB004028	ASIC021414, ASIC021380
OG0001340	CQUJHB004913	ASIC017191
OG0001341	CQUJHB003700	ASIC007904, ASIC007905
OG0001342	CQUJHB008742	ASIC012603, ASIC012601, ASIC012604
OG0001343	CQUJHB001026	ASIC020854
OG0001344	CQUJHB018089	ASIC002135, ASIC004261
OG0001345	CQUJHB017357	ASIC015917
OG0001346	CQUJHB011760	ASIC019974, ASIC019977
OG0001347	CQUJHB008308	ASIC002721, ASIC015751
OG0001349	CQUJHB005377	ASIC019762
OG0001350	CQUJHB001074	ASIC022264
OG0001351	CQUJHB012777	ASIC011337, ASIC011350
OG0001352	CQUJHB004014	ASIC000731, ASIC000735
OG0001354	CQUJHB000702	ASIC016675, ASIC016676, ASIC016670
OG0001356	CQUJHB011521	ASIC003828
OG0001357	CQUJHB002637	ASIC010471, ASIC010472
OG0001358	CQUJHB008620	ASIC004957, ASIC004954
OG0001360	CQUJHB006192	ASIC013049, ASIC013000
OG0001361	CQUJHB004312	ASIC014254, ASIC014251, ASIC014261
OG0001362	CQUJHB017826	ASIC020771, ASIC020774
OG0001363	CQUJHB004617	ASIC016554, ASIC016556, ASIC016553
OG0001364	CQUJHB013055	ASIC014214, ASIC000606
OG0001366	CQUJHB009155	ASIC020494
OG0001369	CQUJHB016113	ASIC015297, ASIC015295
OG0001370	CQUJHB010009	ASIC014495
OG0001371	CQUJHB002308, CQUJHB002124, CQUJHB018437	ASIC020751
OG0001372	CQUJHB012398	ASIC014464, ASIC014467
OG0001373	CQUJHB013261	ASIC006281
OG0001374	CQUJHB010990, CQUJHB007748	ASIC017238
OG0001375	CQUJHB017175	ASIC019832
OG0001376	CQUJHB017166	ASIC012357
OG0001377	CQUJHB004018, CQUJHB015054	ASIC015473
OG0001378	CQUJHB001552	ASIC004816
OG0001379	CQUJHB009835	ASIC003551
OG0001380	CQUJHB016599	ASIC003786, ASIC003787, ASIC003785
OG0001381	CQUJHB017011	ASIC012653, ASIC012654
OG0001382	CQUJHB011132	ASIC015179
OG0001383	CQUJHB012611, CQUJHB007484	ASIC002313
OG0001384	CQUJHB017133	ASIC009461, ASIC009465
OG0001385	CQUJHB018156	ASIC009729, ASIC009721
OG0001386	CQUJHB003605	ASIC010938, ASIC010940
OG0001387	CQUJHB001300	ASIC003020, ASIC003220
OG0001388	CQUJHB006494	ASIC005673
OG0001389	CQUJHB001996	ASIC017672, ASIC010789
OG0001390	CQUJHB018418	ASIC020880
OG0001391	CQUJHB005978, CQUJHB001894	ASIC006221
OG0001392	CQUJHB006359	ASIC019157
