Orthogroup	CquinquefasciatusJHB2020	AsinensisChina
OG0000079	CQUJHB013618, CQUJHB018436, CQUJHB007263	ASIC011459
OG0000080	CQUJHB017034, CQUJHB010133	ASIC016601
OG0000080	CQUJHB015069	ASIC019812
OG0000080	CQUJHB005257, CQUJHB005516	ASIC019334, ASIC019335
OG0000081	CQUJHB001153	ASIC007880
OG0000081	CQUJHB000320	ASIC007881
OG0000082	CQUJHB007898	ASIC018896, ASIC012751, ASIC012750, ASIC012735, ASIC012720, ASIC012721, ASIC015552, ASIC020059, ASIC017041, ASIC015969, ASIC015961, ASIC015947, ASIC015968, ASIC015948, ASIC015980, ASIC015942, ASIC012745, ASIC012746, ASIC012744, ASIC004383, ASIC004382, ASIC012729, ASIC012752, ASIC012731, ASIC004377, ASIC012726, ASIC004379, ASIC004372, ASIC004376, ASIC004368, ASIC014144, ASIC012727, ASIC012728, ASIC012714
OG0000085	CQUJHB014727, CQUJHB008083	ASIC009268, ASIC004322, ASIC009271, ASIC009270, ASIC009269, ASIC009272
OG0000086	CQUJHB008375, CQUJHB001568, CQUJHB015160	ASIC008317
OG0000088	CQUJHB017248, CQUJHB001576, CQUJHB008137, CQUJHB008822, CQUJHB009095, CQUJHB004456, CQUJHB013474	ASIC008371, ASIC008372, ASIC008376
OG0000089	CQUJHB015151	ASIC019476
OG0000089	CQUJHB003816	ASIC019432, ASIC019443, ASIC019421, ASIC019454, ASIC019465
OG0000090	CQUJHB007824	ASIC019695
OG0000091	CQUJHB004684, CQUJHB009553, CQUJHB002066, CQUJHB006383, CQUJHB007123	ASIC002280
OG0000091	CQUJHB017444	ASIC002279
OG0000093	CQUJHB010789	ASIC022154, ASIC014826, ASIC001437
OG0000096	CQUJHB002716	ASIC015638
OG0000096	CQUJHB018308	ASIC010647, ASIC010609
OG0000096	CQUJHB008108	ASIC010449
OG0000096	CQUJHB008616	ASIC015635
OG0000097	CQUJHB012977	ASIC021951
OG0000097	CQUJHB011218, CQUJHB006589	ASIC021949
OG0000097	CQUJHB015073	ASIC021947, ASIC021950
OG0000098	CQUJHB009178, CQUJHB009893, CQUJHB003108, CQUJHB017910	ASIC020759, ASIC013848, ASIC013849, ASIC020756, ASIC020757, ASIC020760, ASIC020758, ASIC020762, ASIC020761, ASIC020755
OG0000101	CQUJHB011092, CQUJHB004788, CQUJHB017263	ASIC004494
OG0000104	CQUJHB016210, CQUJHB015480, CQUJHB006103, CQUJHB017990, CQUJHB017746, CQUJHB005521, CQUJHB012378, CQUJHB001763	ASIC017885, ASIC009066, ASIC009065
OG0000107	CQUJHB018415, CQUJHB004852, CQUJHB009068, CQUJHB013239, CQUJHB016501, CQUJHB015111, CQUJHB013703, CQUJHB006294, CQUJHB013989, CQUJHB013568, CQUJHB000838, CQUJHB001925	ASIC005646, ASIC005645, ASIC005655
OG0000108	CQUJHB012501, CQUJHB014940, CQUJHB002184, CQUJHB006363	ASIC013421, ASIC013593
OG0000109	CQUJHB017035	ASIC002584
OG0000109	CQUJHB000019	ASIC014258
OG0000109	CQUJHB012435	ASIC014260
