Orthogroup	CquinquefasciatusJHB2020	AgambiaePEST
OG0001026	CQUJHB010510	AGAP011091, AGAP011092
OG0001027	CQUJHB003034	AGAP029893
OG0001028	CQUJHB005131, CQUJHB007966	AGAP004059
OG0001029	CQUJHB013179	AGAP002589, AGAP000723
OG0001030	CQUJHB004864	AGAP029615, AGAP029364
OG0001031	CQUJHB007639	AGAP011617, AGAP028207
OG0001032	CQUJHB005167, CQUJHB007849, CQUJHB005901	AGAP011159
OG0001033	CQUJHB008878, CQUJHB003193	AGAP012881, AGAP029295
OG0001034	CQUJHB008761	AGAP003230
OG0001035	CQUJHB014148, CQUJHB012364	AGAP009121
OG0001036	CQUJHB009624	AGAP009418, AGAP009419, AGAP009416, AGAP009417, AGAP009415
OG0001037	CQUJHB010944	AGAP008026
OG0001038	CQUJHB012793	AGAP003215, AGAP003216
OG0001039	CQUJHB012892	AGAP001572, AGAP001570
OG0001040	CQUJHB014554	AGAP008408
OG0001041	CQUJHB004800, CQUJHB014502, CQUJHB014637, CQUJHB014731	AGAP013368
OG0001042	CQUJHB011988, CQUJHB007438	AGAP001240
OG0001043	CQUJHB014003	AGAP013284, AGAP001441
OG0001044	CQUJHB009456	AGAP006327
OG0001045	CQUJHB002304	AGAP000523
OG0001046	CQUJHB014333, CQUJHB005302, CQUJHB006810	AGAP004529
OG0001047	CQUJHB002752	AGAP001101
OG0001048	CQUJHB006541, CQUJHB015947, CQUJHB017293	AGAP012113
OG0001049	CQUJHB007601	AGAP010767
OG0001050	CQUJHB008829, CQUJHB004223	AGAP006718
OG0001051	CQUJHB004689, CQUJHB017302	AGAP008514
OG0001053	CQUJHB012825	AGAP002631, AGAP002632
OG0001054	CQUJHB008911	AGAP009242, AGAP009245
OG0001055	CQUJHB000174	AGAP007858, AGAP000325
OG0001056	CQUJHB011726	AGAP001701
OG0001057	CQUJHB006290	AGAP029769
OG0001058	CQUJHB003510	AGAP004192
OG0001059	CQUJHB001699, CQUJHB008683	AGAP012955
OG0001060	CQUJHB002435	AGAP003073, AGAP003074
OG0001061	CQUJHB012829	AGAP008868
OG0001062	CQUJHB018401	AGAP008310
OG0001063	CQUJHB000027	AGAP003568
OG0001064	CQUJHB005644	AGAP005989, AGAP005988
OG0001065	CQUJHB012881	AGAP029508
OG0001066	CQUJHB010424	AGAP002824
OG0001067	CQUJHB014809	AGAP001439, AGAP001444
OG0001068	CQUJHB004688	AGAP002942
OG0001069	CQUJHB017320	AGAP013057
OG0001070	CQUJHB006431	AGAP029648, AGAP009820
OG0001071	CQUJHB013112	AGAP011192
OG0001073	CQUJHB016253	AGAP000504
OG0001074	CQUJHB017478, CQUJHB013073	AGAP000082
OG0001075	CQUJHB001253	AGAP012958
OG0001076	CQUJHB014057	AGAP002083
OG0001077	CQUJHB017342	AGAP029514
OG0001080	CQUJHB005199	AGAP011138
OG0001081	CQUJHB001310	AGAP005661
OG0001082	CQUJHB008406	AGAP000323, AGAP029259
OG0001083	CQUJHB007924	AGAP029492
OG0001084	CQUJHB010600	AGAP012303
OG0001085	CQUJHB016838	AGAP010347
OG0001086	CQUJHB017140	AGAP007181, AGAP029504
OG0001087	CQUJHB012362, CQUJHB013935	AGAP008077
OG0001088	CQUJHB013090	AGAP013016, AGAP012979, AGAP013492
OG0001090	CQUJHB009490	AGAP010423, AGAP000099
OG0001091	CQUJHB012191	AGAP029482
OG0001092	CQUJHB010151	AGAP001084
OG0001094	CQUJHB012076	AGAP000798, AGAP002797
OG0001095	CQUJHB001970	AGAP008818
OG0001096	CQUJHB009987, CQUJHB004050	AGAP000862
OG0001097	CQUJHB013069	AGAP009293
OG0001098	CQUJHB013863	AGAP008357
OG0001101	CQUJHB001198	AGAP007537
OG0001102	CQUJHB002778	AGAP006405
OG0001103	CQUJHB018442	AGAP000189, AGAP028457
OG0001105	CQUJHB000989	AGAP013545, AGAP012949
OG0001106	CQUJHB013092, CQUJHB018273	AGAP007248
OG0001107	CQUJHB000759	AGAP002591
OG0001109	CQUJHB008455	AGAP029774, AGAP029773
OG0001110	CQUJHB014045	AGAP004835
OG0001111	CQUJHB011303	AGAP005057, AGAP028440
OG0001112	CQUJHB008113	AGAP010930, AGAP029301
OG0001113	CQUJHB007943, CQUJHB007461	AGAP007008
OG0001138	CQUJHB007348, CQUJHB000295	AGAP001952
OG0001139	CQUJHB010296	AGAP005491
OG0001139	CQUJHB010719	AGAP029819
OG0001140	CQUJHB001743, CQUJHB012004	AGAP003481
OG0001141	CQUJHB003042, CQUJHB000129	AGAP004081
OG0001142	CQUJHB002686	AGAP012801, AGAP003516, AGAP012661
OG0001143	CQUJHB005711, CQUJHB014381	AGAP029080, AGAP010798
OG0001144	CQUJHB006357	AGAP004849
OG0001145	CQUJHB010484	AGAP000254
OG0001146	CQUJHB008463, CQUJHB002417, CQUJHB008999	AGAP000365
OG0001147	CQUJHB008274	AGAP012831, AGAP005672
OG0001148	CQUJHB007885, CQUJHB009789	AGAP013270
OG0001149	CQUJHB018083	AGAP003235
OG0001150	CQUJHB008800	AGAP011320
OG0001151	CQUJHB012350	AGAP009431
OG0001152	CQUJHB007774, CQUJHB011363, CQUJHB014477	AGAP013764
OG0001153	CQUJHB003298	AGAP011654, AGAP011653
OG0001154	CQUJHB005576	AGAP011638
OG0001155	CQUJHB003017	AGAP029506
OG0001156	CQUJHB017425, CQUJHB017329, CQUJHB005884, CQUJHB016186, CQUJHB016622	AGAP010902
OG0001157	CQUJHB010532, CQUJHB002936	AGAP028696
OG0001158	CQUJHB001257	AGAP002487
OG0001159	CQUJHB006668	AGAP005564
OG0001160	CQUJHB016217	AGAP000974
OG0001162	CQUJHB008377	AGAP009384, AGAP028142
OG0001163	CQUJHB003901	AGAP007819
OG0001164	CQUJHB012880, CQUJHB017377, CQUJHB003895	AGAP005319
OG0001166	CQUJHB004804, CQUJHB012775, CQUJHB017235	AGAP007779
OG0001167	CQUJHB000861, CQUJHB005636, CQUJHB000790	AGAP008984
OG0001168	CQUJHB003000	AGAP012893, AGAP012845, AGAP011531
OG0001169	CQUJHB008411	AGAP005400
OG0001170	CQUJHB005763	AGAP012873, AGAP005655
OG0001171	CQUJHB002512	AGAP002807
OG0001172	CQUJHB018242, CQUJHB007240	AGAP006383
OG0001173	CQUJHB014673	AGAP009936
OG0001174	CQUJHB001642	AGAP004230
OG0001176	CQUJHB010130, CQUJHB017815	AGAP002613
OG0001177	CQUJHB004326	AGAP001070
OG0001178	CQUJHB016014	AGAP000803, AGAP012447
OG0001179	CQUJHB000147	AGAP029914
OG0001180	CQUJHB018140	AGAP007935
OG0001181	CQUJHB007629	AGAP001799
OG0001182	CQUJHB005470	AGAP002544
OG0001183	CQUJHB003155	AGAP002914
OG0001184	CQUJHB016075	AGAP029537
OG0001185	CQUJHB014228	AGAP001415
OG0001186	CQUJHB001111	AGAP003931
OG0001187	CQUJHB006308	AGAP011356
OG0001188	CQUJHB006492, CQUJHB000473	AGAP003408, AGAP012641
OG0001189	CQUJHB007511	AGAP001724
OG0001190	CQUJHB014246	AGAP011956
OG0001191	CQUJHB003666, CQUJHB003991	AGAP010845
OG0001192	CQUJHB014514	AGAP009903
OG0001193	CQUJHB013945	AGAP005862
OG0001194	CQUJHB004740	AGAP010700
OG0001195	CQUJHB012265	AGAP012057
OG0001196	CQUJHB017906	AGAP011188
OG0001197	CQUJHB010291, CQUJHB006315	AGAP012352
OG0001198	CQUJHB016045, CQUJHB002943	AGAP001951
OG0001199	CQUJHB010339	AGAP000477
OG0001200	CQUJHB005650, CQUJHB002786	AGAP010150
OG0001201	CQUJHB007565	AGAP007978
OG0001202	CQUJHB015157	AGAP004038
OG0001203	CQUJHB010629, CQUJHB007576	AGAP001014
OG0001204	CQUJHB011526	AGAP004034, AGAP012698
OG0001205	CQUJHB016582, CQUJHB011022	AGAP009537
OG0001206	CQUJHB006483	AGAP003318
OG0001207	CQUJHB011194	AGAP004497
OG0001208	CQUJHB001959, CQUJHB009601	AGAP010885
OG0001209	CQUJHB013094	AGAP003164
OG0001210	CQUJHB014801	AGAP008533
OG0001211	CQUJHB013663	AGAP010537
OG0001212	CQUJHB013955, CQUJHB015741	AGAP007458
OG0001213	CQUJHB000153, CQUJHB002045, CQUJHB014566	AGAP005696, AGAP005695
OG0001214	CQUJHB006567, CQUJHB001389	AGAP002353
OG0001215	CQUJHB007784	AGAP008260, AGAP008259, AGAP013767, AGAP008258
OG0001216	CQUJHB010948, CQUJHB002297	AGAP008431, AGAP008430
OG0001218	CQUJHB015464, CQUJHB005474	AGAP005299
OG0001219	CQUJHB014977	AGAP028461
OG0001220	CQUJHB004911	AGAP029811
OG0001221	CQUJHB000175, CQUJHB011467	AGAP004793, AGAP012615
OG0001222	CQUJHB005963	AGAP007833
OG0001223	CQUJHB001107	AGAP007635
OG0001224	CQUJHB010964	AGAP009267
OG0001225	CQUJHB002797	AGAP000797
OG0001226	CQUJHB004897	AGAP000317
OG0001227	CQUJHB010670	AGAP002790
OG0001228	CQUJHB012061, CQUJHB004750	AGAP013246, AGAP001781
OG0001229	CQUJHB006235	AGAP005713
OG0001230	CQUJHB011435	AGAP009528
OG0001231	CQUJHB007720, CQUJHB006247, CQUJHB015818	AGAP012627, AGAP010733
OG0001232	CQUJHB016364	AGAP001704
OG0001234	CQUJHB010175	AGAP013525, AGAP002485
OG0001235	CQUJHB003925	AGAP013301
OG0001236	CQUJHB001267	AGAP003669
OG0001237	CQUJHB004175	AGAP028189, AGAP007916
OG0001238	CQUJHB002472	AGAP013440, AGAP013048
OG0001239	CQUJHB005397, CQUJHB016379	AGAP000879
OG0001240	CQUJHB006799, CQUJHB010004	AGAP009110
OG0001241	CQUJHB016654	AGAP009290
OG0001242	CQUJHB011751, CQUJHB002453, CQUJHB001061	AGAP009605
OG0001243	CQUJHB015647	AGAP029440, AGAP000186, AGAP013399, AGAP004515
OG0001244	CQUJHB011548	AGAP029658
OG0001245	CQUJHB010710	AGAP029488
OG0001246	CQUJHB018055	AGAP000110
OG0001247	CQUJHB012283	AGAP003742
OG0001248	CQUJHB002127	AGAP002150
OG0001249	CQUJHB011797	AGAP001854, AGAP012898
OG0001250	CQUJHB005451	AGAP001892
OG0001251	CQUJHB006519, CQUJHB013100	AGAP000751
OG0001252	CQUJHB012657	AGAP007581
OG0001253	CQUJHB001382	AGAP007023
OG0001254	CQUJHB001940	AGAP002151
OG0001255	CQUJHB006501, CQUJHB009583	AGAP009781
OG0001256	CQUJHB017727, CQUJHB007395, CQUJHB008043, CQUJHB004032, CQUJHB009446	AGAP004013
OG0001257	CQUJHB016767	AGAP008222
OG0001258	CQUJHB003392	AGAP028131
OG0001259	CQUJHB016438, CQUJHB010682	AGAP028002
OG0001260	CQUJHB016170	AGAP009598
OG0001261	CQUJHB013883	AGAP002798, AGAP002799
OG0001262	CQUJHB016878	AGAP005245
OG0001263	CQUJHB003620, CQUJHB002466	AGAP003414
OG0001264	CQUJHB002884	AGAP010563
OG0001265	CQUJHB006364	AGAP029808
OG0001266	CQUJHB004429	AGAP029113
OG0001267	CQUJHB013444	AGAP009112
OG0001268	CQUJHB014430	AGAP004883
OG0001269	CQUJHB001567	AGAP008273
OG0001270	CQUJHB014681	AGAP010313
OG0001271	CQUJHB010717	AGAP010318, AGAP012525
OG0001272	CQUJHB004263	AGAP007790
OG0001273	CQUJHB003614, CQUJHB008222	AGAP009946
OG0001274	CQUJHB018240	AGAP013038, AGAP003771
OG0001275	CQUJHB014242	AGAP001236
OG0001276	CQUJHB013322, CQUJHB013951	AGAP009974
OG0001277	CQUJHB011436	AGAP008513
OG0001278	CQUJHB002935	AGAP028510
OG0001279	CQUJHB007827	AGAP029590
OG0001280	CQUJHB010548	AGAP001768, AGAP013328
OG0001281	CQUJHB010234	AGAP009164
OG0001282	CQUJHB008583	AGAP012556
OG0001283	CQUJHB010410	AGAP005145, AGAP005146
OG0001284	CQUJHB014665, CQUJHB017369	AGAP004645
OG0001285	CQUJHB011728	AGAP029625
OG0001286	CQUJHB014654	AGAP029672, AGAP029671
OG0001287	CQUJHB017594	AGAP010848
OG0001288	CQUJHB000463, CQUJHB004855, CQUJHB017025	AGAP003899
OG0001290	CQUJHB011896	AGAP006529
OG0001292	CQUJHB004373	AGAP000514
OG0001293	CQUJHB009962	AGAP029265
OG0001294	CQUJHB011730, CQUJHB000828	AGAP006931
OG0001295	CQUJHB008918	AGAP001558
OG0001297	CQUJHB018209	AGAP002264
OG0001298	CQUJHB007683	AGAP011458
OG0001299	CQUJHB006418, CQUJHB014237	AGAP028611
OG0001300	CQUJHB009670	AGAP003502
OG0001302	CQUJHB018342, CQUJHB001441	AGAP009997
OG0001303	CQUJHB013080	AGAP006098
OG0001304	CQUJHB013488, CQUJHB016757	AGAP005124
OG0001305	CQUJHB014866, CQUJHB013275	AGAP002872
OG0001306	CQUJHB006883	AGAP003629
OG0001307	CQUJHB000868, CQUJHB013714	AGAP010258
OG0001308	CQUJHB007838	AGAP006676
OG0001309	CQUJHB008601	AGAP003174, AGAP003175
OG0001311	CQUJHB013473, CQUJHB016401, CQUJHB004886	AGAP000573
OG0001312	CQUJHB015646, CQUJHB004492	AGAP003409
OG0001313	CQUJHB012662	AGAP000484
OG0001314	CQUJHB000328	AGAP010355
OG0001315	CQUJHB006394	AGAP007498
OG0001316	CQUJHB002261	AGAP000488
OG0001318	CQUJHB015916	AGAP003213
OG0001319	CQUJHB000073, CQUJHB006576	AGAP003765
OG0001321	CQUJHB011715	AGAP005662
OG0001322	CQUJHB003265	AGAP005203
OG0001324	CQUJHB001239	AGAP006367, AGAP006611
OG0001325	CQUJHB017024	AGAP000140
OG0001326	CQUJHB012480	AGAP009000
OG0001327	CQUJHB000322	AGAP000047
OG0001328	CQUJHB008380, CQUJHB003930, CQUJHB018062, CQUJHB014431	AGAP013409
OG0001329	CQUJHB014297	AGAP002556
OG0001330	CQUJHB020314, CQUJHB020393	AGAP006143
OG0001331	CQUJHB007949	AGAP000952
OG0001332	CQUJHB008565, CQUJHB018036, CQUJHB005506	AGAP001296
OG0001333	CQUJHB006569, CQUJHB001421	AGAP029620
OG0001334	CQUJHB006508	AGAP002649
OG0001335	CQUJHB010728	AGAP005962
OG0001336	CQUJHB008230	AGAP006027, AGAP006026
OG0001337	CQUJHB012843	AGAP001446
OG0001338	CQUJHB001630	AGAP001344
OG0001339	CQUJHB004028	AGAP029545
OG0001340	CQUJHB004913	AGAP009809
OG0001341	CQUJHB003700	AGAP029189
OG0001342	CQUJHB008742	AGAP029542
OG0001343	CQUJHB001026	AGAP003939
OG0001344	CQUJHB018089	AGAP003914
OG0001345	CQUJHB017357	AGAP000639
OG0001346	CQUJHB011760	AGAP029103
OG0001347	CQUJHB008308	AGAP008317
OG0001349	CQUJHB005377	AGAP007452
OG0001350	CQUJHB001074	AGAP002628
OG0001351	CQUJHB012777	AGAP029976
OG0001352	CQUJHB004014	AGAP002079
OG0001354	CQUJHB000702	AGAP029236
OG0001355	CQUJHB000958	AGAP008574
OG0001356	CQUJHB011521	AGAP029474
OG0001357	CQUJHB002637	AGAP029899
OG0001358	CQUJHB008620	AGAP029503
OG0001359	CQUJHB000561	AGAP029651
OG0001360	CQUJHB006192	AGAP029538
OG0001361	CQUJHB004312	AGAP004604
OG0001362	CQUJHB017826	AGAP009210
OG0001363	CQUJHB004617	AGAP004982
OG0001366	CQUJHB009155	AGAP000095
OG0001369	CQUJHB016113	AGAP010922
OG0001370	CQUJHB010009	AGAP010655
OG0001371	CQUJHB002308, CQUJHB002124, CQUJHB018437	AGAP009057
OG0001372	CQUJHB012398	AGAP011097
OG0001373	CQUJHB013261	AGAP000420
OG0001374	CQUJHB010990, CQUJHB007748	AGAP009638
OG0001375	CQUJHB017175	AGAP006638
OG0001376	CQUJHB017166	AGAP005143
OG0001377	CQUJHB004018, CQUJHB015054	AGAP011479
OG0001378	CQUJHB001552	AGAP011349
OG0001379	CQUJHB009835	AGAP003679
OG0001380	CQUJHB016599	AGAP007719
OG0001381	CQUJHB017011	AGAP004402
OG0001382	CQUJHB011132	AGAP005931
OG0001383	CQUJHB012611, CQUJHB007484	AGAP002989
OG0001384	CQUJHB017133	AGAP000915
OG0001385	CQUJHB018156	AGAP000383
OG0001386	CQUJHB003605	AGAP029546
OG0001387	CQUJHB001300	AGAP004335
OG0001388	CQUJHB006494	AGAP002879
OG0001389	CQUJHB001996	AGAP008899
OG0001391	CQUJHB005978, CQUJHB001894	AGAP000258
OG0001392	CQUJHB006359	AGAP006721
OG0001393	CQUJHB013884	AGAP008286
OG0001394	CQUJHB014224	AGAP003965
OG0001395	CQUJHB010463	AGAP028469
OG0001396	CQUJHB007755	AGAP005096
OG0001397	CQUJHB004638	AGAP029112
OG0001398	CQUJHB000060	AGAP029897
OG0001399	CQUJHB011585, CQUJHB003426	AGAP029198
OG0001400	CQUJHB001531	AGAP007543
OG0001401	CQUJHB013793	AGAP028616
OG0001402	CQUJHB008128	AGAP008202
OG0001403	CQUJHB018024	AGAP011177
OG0001404	CQUJHB012237	AGAP011534
OG0001405	CQUJHB002067	AGAP012668, AGAP029586
OG0001406	CQUJHB016567	AGAP007077, AGAP007076
OG0001408	CQUJHB005586	AGAP002226
OG0001409	CQUJHB001447	AGAP006235
OG0001410	CQUJHB001143	AGAP029516
OG0001411	CQUJHB007992	AGAP006923
OG0001412	CQUJHB003984, CQUJHB000719	AGAP012340
OG0001413	CQUJHB005006	AGAP006436
OG0001414	CQUJHB006422	AGAP029652
OG0001427	CQUJHB001979	AGAP005337, AGAP005339
OG0001428	CQUJHB004124	AGAP008714, AGAP011982
OG0001444	CQUJHB013095, CQUJHB012168	AGAP006205
OG0001445	CQUJHB017841	AGAP003257
OG0001446	CQUJHB009549, CQUJHB003582	AGAP013231, AGAP012662
OG0001447	CQUJHB001003	AGAP002476
OG0001448	CQUJHB001400	AGAP003202, AGAP003201
OG0001449	CQUJHB017498	AGAP000569
OG0001450	CQUJHB009691	AGAP005673
OG0001451	CQUJHB013141	AGAP009639
OG0001452	CQUJHB013859	AGAP003867
OG0001453	CQUJHB002401	AGAP001789, AGAP012732
OG0001454	CQUJHB003356	AGAP012391
OG0001455	CQUJHB000121, CQUJHB006268	AGAP008570
OG0001456	CQUJHB002989	AGAP010422
OG0001458	CQUJHB006351	AGAP009823
OG0001459	CQUJHB010544	AGAP012012
OG0001460	CQUJHB000007	AGAP010573
OG0001461	CQUJHB009377	AGAP013536, AGAP003991, AGAP003990
OG0001462	CQUJHB005191	AGAP001501
OG0001463	CQUJHB003311	AGAP002494
OG0001464	CQUJHB017818	AGAP005178
OG0001465	CQUJHB012759	AGAP007839
OG0001466	CQUJHB006979	AGAP008931
OG0001467	CQUJHB016140	AGAP009075
OG0001468	CQUJHB009238	AGAP009399, AGAP009400
OG0001469	CQUJHB013666	AGAP001298
OG0001470	CQUJHB001884, CQUJHB013204, CQUJHB016696, CQUJHB010477	AGAP009137
OG0001471	CQUJHB017340	AGAP005886
OG0001472	CQUJHB009188	AGAP006169
OG0001473	CQUJHB006626	AGAP010616, AGAP012469
OG0001474	CQUJHB004358, CQUJHB013900	AGAP010165
OG0001475	CQUJHB003825	AGAP008879
OG0001476	CQUJHB009384	AGAP009036
OG0001477	CQUJHB004817	AGAP011553
OG0001478	CQUJHB004889, CQUJHB018369	AGAP007617
OG0001479	CQUJHB013319	AGAP007609, AGAP007610
OG0001480	CQUJHB003634	AGAP008063
OG0001481	CQUJHB015124	AGAP006118
OG0001482	CQUJHB015032	AGAP006117
OG0001483	CQUJHB014720	AGAP005099
OG0001484	CQUJHB010772	AGAP005311
OG0001486	CQUJHB007093	AGAP006025
OG0001488	CQUJHB017438	AGAP005059, AGAP012612, AGAP005060
OG0001489	CQUJHB003174	AGAP009021
OG0001490	CQUJHB005620, CQUJHB006779	AGAP009140
OG0001491	CQUJHB009598	AGAP011520
OG0001492	CQUJHB017908	AGAP008035
OG0001493	CQUJHB011057	AGAP013736
OG0001494	CQUJHB006222	AGAP008062
OG0001495	CQUJHB004236	AGAP000739
OG0001496	CQUJHB013730	AGAP005654
OG0001497	CQUJHB013736	AGAP005650
OG0001498	CQUJHB002219	AGAP000120
OG0001499	CQUJHB005868	AGAP029969, AGAP001031
OG0001500	CQUJHB002550	AGAP012224, AGAP001032
OG0001501	CQUJHB001360, CQUJHB000445	AGAP001416
OG0001502	CQUJHB010071	AGAP009816
OG0001503	CQUJHB010599	AGAP012744, AGAP003429
OG0001504	CQUJHB017861	AGAP000780
OG0001505	CQUJHB011069	AGAP001065
OG0001506	CQUJHB016211	AGAP000022
OG0001507	CQUJHB004920, CQUJHB005220	AGAP011782
OG0001508	CQUJHB017226	AGAP012316, AGAP028545
OG0001509	CQUJHB010194, CQUJHB004316	AGAP008736
OG0001510	CQUJHB003731, CQUJHB003523	AGAP007705
OG0001511	CQUJHB003943	AGAP011391, AGAP011389, AGAP011390
OG0001512	CQUJHB008488, CQUJHB010982, CQUJHB012250	AGAP028519
OG0001513	CQUJHB003898	AGAP029568
OG0001514	CQUJHB015908	AGAP011985
OG0001515	CQUJHB003378	AGAP000018
OG0001516	CQUJHB016371	AGAP013158
OG0001517	CQUJHB015770	AGAP005747
OG0001518	CQUJHB014184	AGAP011357
OG0001519	CQUJHB016885	AGAP001671
OG0001520	CQUJHB001943, CQUJHB001276	AGAP028569
OG0001521	CQUJHB003530	AGAP003462
OG0001522	CQUJHB004981	AGAP012802, AGAP004109
OG0001523	CQUJHB010954	AGAP008143
OG0001524	CQUJHB000455	AGAP001940
OG0001525	CQUJHB002784	AGAP012364
OG0001526	CQUJHB012704, CQUJHB014960	AGAP029903
OG0001527	CQUJHB006329, CQUJHB009076, CQUJHB017472	AGAP008846
OG0001528	CQUJHB004340	AGAP008843
OG0001529	CQUJHB010435	AGAP003572
OG0001530	CQUJHB007850	AGAP000178
OG0001531	CQUJHB011448, CQUJHB009826	AGAP010855
OG0001532	CQUJHB014995, CQUJHB005138, CQUJHB014354	AGAP001381
OG0001533	CQUJHB008419	AGAP004395
OG0001534	CQUJHB004219	AGAP010751
OG0001535	CQUJHB003258	AGAP011293
OG0001536	CQUJHB008904	AGAP011284
OG0001537	CQUJHB018019	AGAP029469
OG0001538	CQUJHB016634	AGAP003219
OG0001539	CQUJHB005522, CQUJHB005824	AGAP011172
OG0001540	CQUJHB017730	AGAP012910, AGAP011045
OG0001541	CQUJHB007994	AGAP001954
OG0001542	CQUJHB007813	AGAP000108
OG0001543	CQUJHB006512	AGAP000159
OG0001544	CQUJHB011722	AGAP007981
OG0001545	CQUJHB001886	AGAP013732
OG0001546	CQUJHB005770	AGAP011655
OG0001547	CQUJHB016356	AGAP010554
OG0001548	CQUJHB003089	AGAP010553
OG0001549	CQUJHB006350	AGAP012856, AGAP029379, AGAP013035
OG0001550	CQUJHB014932	AGAP004720
OG0001551	CQUJHB014352	AGAP009428
OG0001552	CQUJHB010857	AGAP011535
OG0001553	CQUJHB013025, CQUJHB002513	AGAP005381
OG0001554	CQUJHB009869	AGAP013495
OG0001555	CQUJHB004786	AGAP010094, AGAP013723
OG0001556	CQUJHB013580	AGAP008348
OG0001557	CQUJHB006059	AGAP012694, AGAP002081
OG0001558	CQUJHB003402	AGAP002082
OG0001559	CQUJHB013206	AGAP010517
OG0001560	CQUJHB015935	AGAP029443
OG0001561	CQUJHB010991, CQUJHB006122	AGAP010463
OG0001563	CQUJHB014177	AGAP004649
OG0001564	CQUJHB001600	AGAP007627
OG0001565	CQUJHB005831	AGAP003672
OG0001566	CQUJHB015877	AGAP006376
OG0001567	CQUJHB014453	AGAP000204
OG0001568	CQUJHB007409, CQUJHB003854	AGAP007356
OG0001569	CQUJHB007989	AGAP004329, AGAP004330
OG0001570	CQUJHB002795	AGAP003717, AGAP003716
OG0001571	CQUJHB000043	AGAP008706
OG0001572	CQUJHB001860	AGAP000552
OG0001573	CQUJHB018479	AGAP010676
OG0001574	CQUJHB007907	AGAP001113
OG0001575	CQUJHB001494	AGAP000894
OG0001576	CQUJHB003894	AGAP000403
OG0001577	CQUJHB004564, CQUJHB000443	AGAP008647
OG0001578	CQUJHB006128	AGAP004624
OG0001579	CQUJHB017441	AGAP002558
OG0001580	CQUJHB011676	AGAP003695, AGAP003692
OG0001581	CQUJHB000197, CQUJHB000190	AGAP028434
OG0001582	CQUJHB001601	AGAP004672
OG0001583	CQUJHB002636, CQUJHB009009	AGAP004695
OG0001584	CQUJHB010006, CQUJHB000661	AGAP012191
OG0001585	CQUJHB002648	AGAP010380
OG0001586	CQUJHB008155, CQUJHB002063	AGAP003132
OG0001587	CQUJHB011140	AGAP002891
OG0001588	CQUJHB009152	AGAP002888
OG0001589	CQUJHB014204	AGAP011508
OG0001590	CQUJHB007599	AGAP008098
OG0001591	CQUJHB012781	AGAP012357
OG0001592	CQUJHB010271	AGAP010920, AGAP012418
OG0001593	CQUJHB003357	AGAP001697
OG0001594	CQUJHB006598	AGAP001699
OG0001595	CQUJHB012402	AGAP003755
OG0001596	CQUJHB014376	AGAP029185
OG0001597	CQUJHB006773	AGAP011025
OG0001598	CQUJHB004368	AGAP010985
OG0001599	CQUJHB004600	AGAP011964
OG0001600	CQUJHB008163	AGAP000242
OG0001601	CQUJHB007829	AGAP012900, AGAP012577, AGAP010645
OG0001602	CQUJHB016977	AGAP001471
OG0001603	CQUJHB000521	AGAP009280
OG0001604	CQUJHB016648	AGAP006039
OG0001605	CQUJHB007633	AGAP005431
OG0001606	CQUJHB014943	AGAP001217
OG0001607	CQUJHB000830	AGAP011904
OG0001608	CQUJHB011681	AGAP011907
OG0001609	CQUJHB000477	AGAP011906
OG0001610	CQUJHB015813	AGAP006344
OG0001611	CQUJHB012937	AGAP005412
OG0001612	CQUJHB006423	AGAP029645
OG0001613	CQUJHB012285	AGAP011736
OG0001614	CQUJHB005858	AGAP011659
OG0001615	CQUJHB003375	AGAP002533
OG0001616	CQUJHB016725	AGAP028108, AGAP028157
OG0001617	CQUJHB018130	AGAP003410
OG0001618	CQUJHB017878	AGAP002543
OG0001619	CQUJHB002341	AGAP008666
OG0001620	CQUJHB013609	AGAP008674
OG0001621	CQUJHB011768, CQUJHB012013	AGAP007871
OG0001622	CQUJHB016232	AGAP011444, AGAP012608
OG0001623	CQUJHB011721, CQUJHB000767	AGAP002340
OG0001624	CQUJHB010551	AGAP009183
OG0001625	CQUJHB017514	AGAP001495
OG0001626	CQUJHB015913	AGAP009053
OG0001627	CQUJHB001936, CQUJHB014379, CQUJHB009045	AGAP002465
OG0001628	CQUJHB012184	AGAP005810, AGAP005811
OG0001629	CQUJHB016459, CQUJHB015848	AGAP007480
OG0001630	CQUJHB010279	AGAP011656, AGAP011657, AGAP000355
OG0001631	CQUJHB012109	AGAP002392
OG0001633	CQUJHB008156	AGAP008771, AGAP012796
OG0001634	CQUJHB006424	AGAP009506
OG0001635	CQUJHB003654	AGAP013455
OG0001636	CQUJHB010165	AGAP003739
OG0001637	CQUJHB008618	AGAP008862
OG0001638	CQUJHB002093	AGAP009549
OG0001639	CQUJHB006605	AGAP009188
OG0001640	CQUJHB003721	AGAP009284
OG0001641	CQUJHB000231	AGAP007361
OG0001642	CQUJHB000714	AGAP007379
OG0001643	CQUJHB018425	AGAP003305
OG0001644	CQUJHB016041	AGAP001340, AGAP001341
OG0001645	CQUJHB016366	AGAP002011
OG0001647	CQUJHB008510	AGAP001886
OG0001648	CQUJHB013766	AGAP012906, AGAP001911
OG0001649	CQUJHB017997	AGAP007264
OG0001650	CQUJHB003344	AGAP000809
OG0001651	CQUJHB017540	AGAP008539, AGAP000291
OG0001652	CQUJHB014777	AGAP002307
OG0001653	CQUJHB002668, CQUJHB001147	AGAP002323
OG0001654	CQUJHB007937	AGAP000660
OG0001655	CQUJHB009976	AGAP010670
