Orthogroup	CquinquefasciatusJHB2020	AgambiaePEST
OG0000010	CQUJHB011697, CQUJHB006213, CQUJHB006137, CQUJHB011519, CQUJHB010358, CQUJHB016051, CQUJHB010374	AGAP007251, AGAP006673, AGAP006674, AGAP006675, AGAP005671, AGAP005670, AGAP005669, AGAP005663, AGAP005665, AGAP005664, AGAP005690, AGAP005689, AGAP005691, AGAP005686, AGAP005687, AGAP005688, AGAP012736
OG0000011	CQUJHB010034, CQUJHB012166	AGAP028042
OG0000011	CQUJHB017782	AGAP008893
OG0000011	CQUJHB009406, CQUJHB008703, CQUJHB007209, CQUJHB003154, CQUJHB016900, CQUJHB006977, CQUJHB006084, CQUJHB014128, CQUJHB014298, CQUJHB009992, CQUJHB003864, CQUJHB007951, CQUJHB009382, CQUJHB002707	AGAP028137, AGAP028160, AGAP028156, AGAP028178, AGAP028008, AGAP028044, AGAP028106, AGAP012355, AGAP028016, AGAP028208, AGAP027991, AGAP028013, AGAP028067, AGAP012676
OG0000012	CQUJHB005776, CQUJHB000447	AGAP007508
OG0000012	CQUJHB015331	AGAP012559
OG0000012	CQUJHB006695, CQUJHB006332, CQUJHB001229, CQUJHB004173	AGAP012709
OG0000012	CQUJHB006849	AGAP012197
OG0000013	CQUJHB005557, CQUJHB003968	AGAP001664, AGAP001667, AGAP001665, AGAP001666, AGAP001668, AGAP001669
OG0000013	CQUJHB001230	AGAP003378
OG0000013	CQUJHB017291	AGAP003384
OG0000013	CQUJHB016730, CQUJHB002448, CQUJHB016895	AGAP003385, AGAP003379
OG0000014	CQUJHB010535, CQUJHB010268, CQUJHB016652, CQUJHB005213, CQUJHB010035, CQUJHB004375, CQUJHB007396, CQUJHB004496, CQUJHB013428, CQUJHB011375, CQUJHB017103, CQUJHB002299, CQUJHB002262, CQUJHB000349, CQUJHB009868, CQUJHB010683, CQUJHB003432, CQUJHB007349, CQUJHB000429, CQUJHB012022, CQUJHB011118, CQUJHB018125	AGAP009728
OG0000014	CQUJHB005028	AGAP005848, AGAP028439, AGAP006743, AGAP004917, AGAP004918, AGAP004916
OG0000015	CQUJHB014108, CQUJHB006827	AGAP005645
OG0000015	CQUJHB017458	AGAP005503, AGAP005502, AGAP005501, AGAP005500, AGAP005499
OG0000016	CQUJHB006645, CQUJHB016247	AGAP008861
OG0000016	CQUJHB002864, CQUJHB014022, CQUJHB013033, CQUJHB008355, CQUJHB010597, CQUJHB015483, CQUJHB013841, CQUJHB014607, CQUJHB001605, CQUJHB016745, CQUJHB011147, CQUJHB016507	AGAP008292, AGAP008293, AGAP008296, AGAP008295, AGAP008294, AGAP012842, AGAP008291, AGAP008290
OG0000016	CQUJHB001667, CQUJHB007454, CQUJHB003219, CQUJHB007767, CQUJHB016639	AGAP009966
OG0000017	CQUJHB001516	AGAP012558, AGAP010724
OG0000017	CQUJHB006040, CQUJHB006644	AGAP012574
OG0000017	CQUJHB017511	AGAP005026
OG0000020	CQUJHB017925, CQUJHB002221, CQUJHB000651, CQUJHB012860, CQUJHB001170, CQUJHB001510, CQUJHB000979, CQUJHB016664, CQUJHB005107, CQUJHB015711, CQUJHB011553, CQUJHB008384, CQUJHB001331, CQUJHB014167, CQUJHB009842, CQUJHB017866, CQUJHB007697, CQUJHB006001, CQUJHB014125, CQUJHB008701, CQUJHB004842, CQUJHB016137, CQUJHB015041, CQUJHB007495	AGAP010707, AGAP010709, AGAP002910, AGAP002912, AGAP002911, AGAP010708
OG0000021	CQUJHB005197, CQUJHB014638	AGAP005095
OG0000021	CQUJHB010956	AGAP000651
OG0000021	CQUJHB016733	AGAP011514
OG0000021	CQUJHB012948	AGAP001676
OG0000021	CQUJHB015628	AGAP011515
OG0000023	CQUJHB002404	AGAP006588, AGAP028666, AGAP028665, AGAP006587, AGAP028458, AGAP001176
OG0000023	CQUJHB015434, CQUJHB012060	AGAP029824, AGAP006586, AGAP006584, AGAP029797
OG0000024	CQUJHB005662	AGAP012569, AGAP005636, AGAP005638
OG0000024	CQUJHB001106, CQUJHB003177	AGAP005637
OG0000024	CQUJHB015002	AGAP006226
OG0000024	CQUJHB015651, CQUJHB010229, CQUJHB003602	AGAP006224, AGAP006225
OG0000024	CQUJHB002318, CQUJHB007527, CQUJHB006873	AGAP006221, AGAP006220
OG0000026	CQUJHB017272	AGAP004975, AGAP004977
OG0000026	CQUJHB011732, CQUJHB012165	AGAP004978
OG0000026	CQUJHB005106	AGAP006258
OG0000026	CQUJHB007540	AGAP002825
OG0000027	CQUJHB010117, CQUJHB008521, CQUJHB007524, CQUJHB011421, CQUJHB004925, CQUJHB013189, CQUJHB015720, CQUJHB004094	AGAP029283
OG0000027	CQUJHB008109, CQUJHB008680, CQUJHB008247, CQUJHB011016, CQUJHB011122, CQUJHB017358, CQUJHB008899, CQUJHB012953, CQUJHB006211, CQUJHB003906, CQUJHB001161, CQUJHB015070, CQUJHB003476, CQUJHB011300, CQUJHB003752	AGAP010363, AGAP010364
OG0000030	CQUJHB013699, CQUJHB008107, CQUJHB010736, CQUJHB010439	AGAP010812, AGAP010816, AGAP010830, AGAP010832, AGAP010831, AGAP010819, AGAP010814, AGAP010818, AGAP010815
OG0000033	CQUJHB013700	AGAP003251
OG0000033	CQUJHB008449, CQUJHB010986, CQUJHB008186	AGAP003248
OG0000034	CQUJHB012032	AGAP005938
OG0000037	CQUJHB011063	AGAP012562, AGAP010741, AGAP013316, AGAP013484, AGAP013247, AGAP013225, AGAP013086, AGAP013456, AGAP013517, AGAP013322, AGAP013353, AGAP013110, AGAP013369, AGAP013264, AGAP013050, AGAP013448, AGAP013113
OG0000039	CQUJHB008310, CQUJHB006780, CQUJHB014689, CQUJHB010451, CQUJHB011408, CQUJHB015873, CQUJHB005401, CQUJHB015714, CQUJHB007411	AGAP006420, AGAP006421, AGAP005497, AGAP006417, AGAP006443, AGAP006419, AGAP006418
OG0000040	CQUJHB002131, CQUJHB000018, CQUJHB020446	AGAP006666, AGAP006667
OG0000040	CQUJHB020438	AGAP011468, AGAP011469, AGAP012854, AGAP011467, AGAP009410, AGAP009408, AGAP009409, AGAP009394, AGAP009395, AGAP009396, AGAP009398, AGAP009397
OG0000041	CQUJHB013017, CQUJHB009859	AGAP029305, AGAP029267
OG0000041	CQUJHB001955, CQUJHB001825	AGAP028600
OG0000041	CQUJHB000581	AGAP029755
OG0000041	CQUJHB013621, CQUJHB007017	AGAP029753
OG0000041	CQUJHB000078, CQUJHB001849, CQUJHB006430	AGAP001764, AGAP029756
OG0000042	CQUJHB006261	AGAP008403, AGAP009249, AGAP028179, AGAP028641, AGAP029126
OG0000042	CQUJHB014357	AGAP029929, AGAP029932
OG0000046	CQUJHB005669, CQUJHB017284	AGAP013221
OG0000048	CQUJHB016807, CQUJHB013985, CQUJHB018159, CQUJHB005082, CQUJHB004417, CQUJHB012005, CQUJHB009336, CQUJHB014845, CQUJHB008386	AGAP006196, AGAP006200, AGAP006197, AGAP006202, AGAP008648, AGAP006194, AGAP006199, AGAP006198, AGAP006201, AGAP006195, AGAP006192, AGAP006193
OG0000049	CQUJHB015876	AGAP011788
OG0000049	CQUJHB015556	AGAP011781
OG0000049	CQUJHB013788	AGAP029335, AGAP029286, AGAP011785, AGAP011786
OG0000049	CQUJHB015769	AGAP011789
OG0000051	CQUJHB008348	AGAP010109
OG0000051	CQUJHB010023, CQUJHB007430, CQUJHB010163, CQUJHB007463, CQUJHB014075, CQUJHB010616	AGAP010114, AGAP010127, AGAP010113, AGAP010126, AGAP010128, AGAP010116, AGAP010120, AGAP010112, AGAP010117, AGAP010119, AGAP013749, AGAP012875
OG0000052	CQUJHB005091	AGAP011918
OG0000052	CQUJHB017932, CQUJHB006568, CQUJHB007297, CQUJHB011415	AGAP011920
OG0000053	CQUJHB018432	AGAP008958, AGAP028117, AGAP028033, AGAP028172, AGAP028092, AGAP028134, AGAP028063, AGAP028150, AGAP028118, AGAP028020, AGAP028195, AGAP028165, AGAP008956, AGAP028181, AGAP028155, AGAP027990, AGAP028070, AGAP028082, AGAP028226
OG0000055	CQUJHB018229	AGAP002076
OG0000055	CQUJHB017720	AGAP004944
OG0000055	CQUJHB002352	AGAP004583, AGAP004581
OG0000057	CQUJHB014741, CQUJHB005612, CQUJHB013656, CQUJHB013556, CQUJHB001778, CQUJHB008046, CQUJHB011652, CQUJHB016655, CQUJHB009785	AGAP010105, AGAP010107, AGAP010104, AGAP029247, AGAP010106, AGAP010103, AGAP010121, AGAP010108, AGAP029248
OG0000058	CQUJHB000757	AGAP028729
OG0000058	CQUJHB006852, CQUJHB010727, CQUJHB017219, CQUJHB013842, CQUJHB001265	AGAP009471, AGAP009472
OG0000058	CQUJHB016789	AGAP009467
OG0000058	CQUJHB013221	AGAP009468
OG0000058	CQUJHB005830	AGAP008945
OG0000059	CQUJHB005700	AGAP005194, AGAP012778, AGAP005196, AGAP005195
OG0000059	CQUJHB006696	AGAP006707, AGAP006709, AGAP006710, AGAP006711
OG0000059	CQUJHB011753	AGAP007142, AGAP007141
OG0000060	CQUJHB004792	AGAP010097
OG0000060	CQUJHB016380, CQUJHB008966, CQUJHB012898, CQUJHB014019, CQUJHB012243	AGAP010100, AGAP010099
OG0000060	CQUJHB002343	AGAP010098, AGAP010101
OG0000061	CQUJHB009715, CQUJHB015055	AGAP012230
OG0000061	CQUJHB017379	AGAP006371
OG0000061	CQUJHB011103, CQUJHB002901	AGAP002317
OG0000062	CQUJHB009702	AGAP003960, AGAP008558, AGAP001924, AGAP013452, AGAP013252, AGAP028071, AGAP008808, AGAP000411, AGAP008911, AGAP029120, AGAP029119, AGAP029111, AGAP029114, AGAP029108, AGAP028711, AGAP012749, AGAP012270, AGAP012777, AGAP012817, AGAP029330, AGAP028710, AGAP029067
OG0000063	CQUJHB018065	AGAP002555
OG0000063	CQUJHB002044, CQUJHB000613, CQUJHB012543, CQUJHB009343, CQUJHB015345, CQUJHB000544, CQUJHB010641, CQUJHB004677, CQUJHB012850, CQUJHB007331, CQUJHB015091	AGAP002202
OG0000067	CQUJHB012309	AGAP011939
OG0000067	CQUJHB007474, CQUJHB016064	AGAP012400
OG0000067	CQUJHB016947	AGAP012399
OG0000067	CQUJHB018109	AGAP002102
OG0000067	CQUJHB014152	AGAP012401
OG0000068	CQUJHB004402	AGAP005999
OG0000068	CQUJHB008638, CQUJHB015341, CQUJHB013494, CQUJHB003559	AGAP005998
OG0000068	CQUJHB001983	AGAP005996
OG0000068	CQUJHB009275	AGAP006001
OG0000069	CQUJHB002460	AGAP002851
OG0000069	CQUJHB012428	AGAP007197
OG0000069	CQUJHB001040, CQUJHB012111, CQUJHB002152	AGAP007415, AGAP002849, AGAP002850, AGAP002804
OG0000071	CQUJHB009539, CQUJHB013274	AGAP013490, AGAP000088
OG0000071	CQUJHB005863, CQUJHB017394	AGAP001861
OG0000071	CQUJHB016359, CQUJHB013086, CQUJHB010584, CQUJHB004365	AGAP028019, AGAP008358, AGAP008356
OG0000072	CQUJHB006781	AGAP010971
OG0000072	CQUJHB004785	AGAP002770
OG0000072	CQUJHB005018, CQUJHB006868	AGAP007122
OG0000073	CQUJHB000587	AGAP007754
OG0000073	CQUJHB005489, CQUJHB004178	AGAP007753
OG0000073	CQUJHB014734	AGAP007752
OG0000074	CQUJHB017390, CQUJHB000048, CQUJHB015271, CQUJHB000115	AGAP005385, AGAP005384, AGAP005386, AGAP005387, AGAP005388
OG0000074	CQUJHB007995	AGAP007354
OG0000075	CQUJHB005515, CQUJHB004149, CQUJHB008196, CQUJHB008855	AGAP006980, AGAP006984, AGAP006983, AGAP006981, AGAP006979, AGAP006978, AGAP006985, AGAP006982
OG0000076	CQUJHB017768, CQUJHB012728, CQUJHB015127	AGAP009449, AGAP009448, AGAP010931, AGAP011270, AGAP012638, AGAP011267, AGAP029737, AGAP029736, AGAP011232, AGAP011238, AGAP029734, AGAP005253, AGAP029735, AGAP028622, AGAP011234, AGAP011233, AGAP000216, AGAP011835
OG0000077	CQUJHB001286	AGAP006424
OG0000077	CQUJHB003639, CQUJHB006400, CQUJHB003896, CQUJHB003043	AGAP006425, AGAP006423
OG0000077	CQUJHB018214	AGAP006426
OG0000079	CQUJHB005309	AGAP001162
OG0000079	CQUJHB003821, CQUJHB018448	AGAP012985, AGAP012982, AGAP013149
OG0000079	CQUJHB013618, CQUJHB018436, CQUJHB007263	AGAP001161
OG0000080	CQUJHB017034, CQUJHB010133	AGAP006380
OG0000080	CQUJHB015069	AGAP007504
OG0000080	CQUJHB005257, CQUJHB005516	AGAP012155, AGAP012156
OG0000081	CQUJHB001153	AGAP007161
OG0000081	CQUJHB000320	AGAP007162
OG0000085	CQUJHB014727, CQUJHB008083	AGAP003763, AGAP003764, AGAP013346, AGAP003760, AGAP003759, AGAP003762, AGAP003758
OG0000086	CQUJHB008375, CQUJHB001568, CQUJHB015160	AGAP013155, AGAP001881, AGAP012984
OG0000086	CQUJHB012368	AGAP013150
OG0000088	CQUJHB009482	AGAP011575
OG0000088	CQUJHB017248, CQUJHB001576, CQUJHB008137, CQUJHB008822, CQUJHB009095, CQUJHB004456, CQUJHB013474	AGAP011507, AGAP011509
OG0000089	CQUJHB015151	AGAP029766
OG0000089	CQUJHB003816	AGAP029781, AGAP029780, AGAP029779, AGAP028709, AGAP028708
OG0000089	CQUJHB012139	AGAP029765
OG0000090	CQUJHB017497	AGAP007347, AGAP007343
OG0000090	CQUJHB007824	AGAP007386
OG0000091	CQUJHB004684, CQUJHB009553, CQUJHB002066, CQUJHB006383, CQUJHB007123	AGAP003343
OG0000091	CQUJHB017444	AGAP013511
OG0000093	CQUJHB010789	AGAP028431, AGAP011339, AGAP005077, AGAP005104, AGAP029262, AGAP029447, AGAP005308, AGAP029345
OG0000096	CQUJHB002716	AGAP010929
