Orthogroup	AfunestusAfunGA1	CquinquefasciatusJHB2020
OG0002252	AFUN2_012187	CQUJHB009674
OG0002253	AFUN2_013382	CQUJHB004508
OG0002254	AFUN2_006863	CQUJHB004592
OG0002255	AFUN2_013605	CQUJHB010680
OG0002256	AFUN2_011591	CQUJHB008335
OG0002257	AFUN2_014783	CQUJHB013146
OG0002258	AFUN2_011390	CQUJHB003065
OG0002259	AFUN2_013200	CQUJHB004536
OG0002260	AFUN2_000860	CQUJHB003014, CQUJHB015254
OG0002261	AFUN2_005219	CQUJHB010012
OG0002262	AFUN2_004155	CQUJHB003690
OG0002263	AFUN2_008774	CQUJHB003385
OG0002264	AFUN2_010554	CQUJHB006913
OG0002265	AFUN2_008854	CQUJHB007912
OG0002266	AFUN2_014753, AFUN2_011028	CQUJHB000401
OG0002267	AFUN2_005146	CQUJHB011217
OG0002268	AFUN2_001639	CQUJHB006856
OG0002269	AFUN2_004946	CQUJHB011397
OG0002270	AFUN2_008101	CQUJHB014938
OG0002271	AFUN2_006491	CQUJHB010861
OG0002272	AFUN2_006110	CQUJHB005130
OG0002273	AFUN2_011537	CQUJHB005373
OG0002274	AFUN2_002904	CQUJHB006935
OG0002275	AFUN2_012320	CQUJHB000691
OG0002276	AFUN2_002288	CQUJHB003103
OG0002277	AFUN2_007291	CQUJHB005431
OG0002278	AFUN2_002292	CQUJHB002987
OG0002279	AFUN2_012280	CQUJHB009582
OG0002280	AFUN2_008259	CQUJHB016835
OG0002281	AFUN2_013087	CQUJHB000127
OG0002282	AFUN2_013994	CQUJHB011642
OG0002283	AFUN2_013050, AFUN2_008928	CQUJHB002344
OG0002284	AFUN2_000894	CQUJHB001446
OG0002285	AFUN2_003434	CQUJHB002955, CQUJHB008269
OG0002286	AFUN2_014185	CQUJHB007418
OG0002287	AFUN2_012983	CQUJHB010863
OG0002288	AFUN2_008123	CQUJHB004334
OG0002289	AFUN2_002623	CQUJHB016882
OG0002290	AFUN2_006870	CQUJHB007502
OG0002291	AFUN2_001834	CQUJHB013153
OG0002292	AFUN2_013802	CQUJHB001130
OG0002293	AFUN2_001575	CQUJHB003490
OG0002294	AFUN2_004962	CQUJHB003662
OG0002295	AFUN2_013961	CQUJHB000982
OG0002296	AFUN2_000557	CQUJHB000898
OG0002297	AFUN2_006651	CQUJHB020344
OG0002298	AFUN2_004561	CQUJHB006545
OG0002299	AFUN2_012079	CQUJHB009293
OG0002300	AFUN2_007228	CQUJHB013387
OG0002301	AFUN2_010702	CQUJHB018039
OG0002302	AFUN2_012785	CQUJHB004570
OG0002304	AFUN2_006715	CQUJHB010742
OG0002305	AFUN2_009685	CQUJHB004635
OG0002306	AFUN2_011364	CQUJHB013760
OG0002307	AFUN2_011618	CQUJHB005630
OG0002308	AFUN2_003614	CQUJHB011917
OG0002309	AFUN2_011658	CQUJHB004445
OG0002310	AFUN2_009606	CQUJHB009311
OG0002311	AFUN2_012906	CQUJHB006845
OG0002312	AFUN2_011557	CQUJHB004384
OG0002313	AFUN2_014403	CQUJHB015733
OG0002314	AFUN2_004280	CQUJHB012634
OG0002315	AFUN2_011435	CQUJHB009401
OG0002316	AFUN2_010147	CQUJHB003740
OG0002317	AFUN2_007524	CQUJHB011893, CQUJHB013333
OG0002318	AFUN2_007398	CQUJHB003199
OG0002319	AFUN2_008395	CQUJHB002990
OG0002320	AFUN2_007830	CQUJHB014318, CQUJHB016145, CQUJHB005410
OG0002321	AFUN2_001679	CQUJHB004639
OG0002322	AFUN2_003579	CQUJHB005601
OG0002325	AFUN2_004674	CQUJHB010565
OG0002326	AFUN2_013348	CQUJHB013806
OG0002327	AFUN2_009824, AFUN2_001564	CQUJHB010813
OG0002328	AFUN2_003287	CQUJHB009440
OG0002329	AFUN2_000420	CQUJHB008476
OG0002330	AFUN2_003817	CQUJHB009297
OG0002331	AFUN2_006319	CQUJHB000409
OG0002332	AFUN2_008937	CQUJHB009608
OG0002333	AFUN2_013199	CQUJHB014213
OG0002334	AFUN2_008270	CQUJHB009980
OG0002335	AFUN2_005187	CQUJHB012103
OG0002336	AFUN2_004857	CQUJHB007046
OG0002337	AFUN2_013229	CQUJHB016521
OG0002338	AFUN2_007181	CQUJHB016912
OG0002339	AFUN2_014538	CQUJHB000264, CQUJHB002185
OG0002340	AFUN2_008044	CQUJHB015241
OG0002341	AFUN2_011752	CQUJHB017309
OG0002342	AFUN2_009989	CQUJHB000893
OG0002343	AFUN2_003195	CQUJHB010668
OG0002344	AFUN2_004380	CQUJHB010557
OG0002345	AFUN2_000430	CQUJHB003096
OG0002346	AFUN2_004853	CQUJHB006185
OG0002347	AFUN2_001287	CQUJHB014113
OG0002348	AFUN2_003907	CQUJHB006469
OG0002349	AFUN2_001735	CQUJHB011400
OG0002350	AFUN2_014511	CQUJHB015440
OG0002351	AFUN2_010430	CQUJHB004563
OG0002352	AFUN2_013235	CQUJHB010594
OG0002353	AFUN2_008812	CQUJHB006051
OG0002354	AFUN2_011450	CQUJHB010462, CQUJHB008752, CQUJHB007099
OG0002355	AFUN2_007423	CQUJHB005547
OG0002356	AFUN2_009604	CQUJHB018068
OG0002357	AFUN2_002807	CQUJHB013014, CQUJHB004041
OG0002358	AFUN2_012258	CQUJHB002612
OG0002359	AFUN2_014655	CQUJHB014974
OG0002360	AFUN2_005982	CQUJHB011367
OG0002361	AFUN2_011065	CQUJHB004650
OG0002362	AFUN2_009979	CQUJHB014684
OG0002363	AFUN2_012209	CQUJHB006766
OG0002364	AFUN2_002860	CQUJHB004756
OG0002365	AFUN2_010237	CQUJHB012487
OG0002366	AFUN2_008717	CQUJHB009929
OG0002367	AFUN2_001531	CQUJHB016718, CQUJHB012929
OG0002368	AFUN2_011247	CQUJHB012789
OG0002369	AFUN2_003279	CQUJHB007800
OG0002370	AFUN2_011771	CQUJHB009564
OG0002371	AFUN2_006911	CQUJHB012855
OG0002372	AFUN2_007781	CQUJHB016742
OG0002373	AFUN2_001167	CQUJHB000794
OG0002374	AFUN2_002487	CQUJHB016411
OG0002375	AFUN2_010238	CQUJHB009769
OG0002376	AFUN2_013290	CQUJHB007982
OG0002377	AFUN2_013852	CQUJHB003022
OG0002378	AFUN2_004068	CQUJHB006638
OG0002380	AFUN2_012687	CQUJHB010596
OG0002381	AFUN2_001211	CQUJHB009411
OG0002382	AFUN2_012088	CQUJHB012201
OG0002383	AFUN2_008366	CQUJHB010836
OG0002384	AFUN2_011491	CQUJHB014687
OG0002385	AFUN2_014252	CQUJHB012067
OG0002386	AFUN2_001044	CQUJHB004362
OG0002387	AFUN2_002475	CQUJHB015201
OG0002388	AFUN2_003970	CQUJHB012524
OG0002389	AFUN2_005503	CQUJHB010100
OG0002390	AFUN2_008329	CQUJHB017513
OG0002391	AFUN2_007801	CQUJHB001336
OG0002392	AFUN2_006003	CQUJHB005239
OG0002393	AFUN2_010070	CQUJHB010590
OG0002395	AFUN2_005575	CQUJHB016537
OG0002396	AFUN2_008489	CQUJHB001013
OG0002397	AFUN2_003672	CQUJHB013685
OG0002398	AFUN2_002259	CQUJHB006627
OG0002399	AFUN2_011216	CQUJHB000834
OG0002400	AFUN2_014226	CQUJHB018220
OG0002401	AFUN2_014245	CQUJHB017267
OG0002402	AFUN2_006071	CQUJHB015436
OG0002403	AFUN2_000520	CQUJHB003337
OG0002404	AFUN2_014424	CQUJHB010074
OG0002405	AFUN2_009109	CQUJHB007031
OG0002406	AFUN2_011148	CQUJHB018093
OG0002407	AFUN2_003487	CQUJHB016791
OG0002408	AFUN2_011583	CQUJHB000279
OG0002409	AFUN2_005962	CQUJHB001593
OG0002410	AFUN2_012490	CQUJHB013798
OG0002411	AFUN2_005672	CQUJHB011085
OG0002412	AFUN2_013479	CQUJHB012360
OG0002414	AFUN2_010638	CQUJHB002452
OG0002415	AFUN2_002147	CQUJHB015531
OG0002416	AFUN2_005165	CQUJHB001206
OG0002417	AFUN2_007672	CQUJHB005610
OG0002418	AFUN2_009722	CQUJHB006127
OG0002419	AFUN2_007412	CQUJHB015871
OG0002420	AFUN2_004117	CQUJHB015617, CQUJHB017009
OG0002421	AFUN2_001497	CQUJHB016995
OG0002422	AFUN2_013645	CQUJHB017800
OG0002423	AFUN2_001176	CQUJHB012261
OG0002424	AFUN2_007699	CQUJHB013532
OG0002425	AFUN2_001751	CQUJHB007575
OG0002426	AFUN2_013467	CQUJHB015489
OG0002427	AFUN2_000936	CQUJHB012702
OG0002428	AFUN2_004900	CQUJHB006392, CQUJHB003056
OG0002429	AFUN2_006346	CQUJHB010909
OG0002430	AFUN2_009522	CQUJHB012663, CQUJHB006534
OG0002431	AFUN2_014347	CQUJHB018145
OG0002432	AFUN2_013741	CQUJHB002271
OG0002433	AFUN2_005536	CQUJHB008079
OG0002434	AFUN2_013642	CQUJHB006991
OG0002435	AFUN2_009270, AFUN2_004582	CQUJHB007429
OG0002436	AFUN2_013859	CQUJHB018128
OG0002437	AFUN2_003805	CQUJHB015695
OG0002438	AFUN2_012663	CQUJHB008564, CQUJHB008781
OG0002439	AFUN2_006281	CQUJHB003907
OG0002440	AFUN2_004106	CQUJHB011136
OG0002441	AFUN2_005378	CQUJHB011205
OG0002442	AFUN2_008399	CQUJHB000964
OG0002443	AFUN2_013617	CQUJHB003308
OG0002444	AFUN2_008043	CQUJHB013675
OG0002445	AFUN2_004801	CQUJHB005823
OG0002446	AFUN2_012064	CQUJHB014878
OG0002447	AFUN2_013415	CQUJHB011832
OG0002448	AFUN2_011767	CQUJHB013948
OG0002449	AFUN2_011366	CQUJHB005751
OG0002450	AFUN2_005927	CQUJHB010116
OG0002451	AFUN2_007550	CQUJHB013600
OG0002452	AFUN2_012332	CQUJHB017719
OG0002453	AFUN2_009096	CQUJHB013401
OG0002454	AFUN2_011225	CQUJHB013158
OG0002455	AFUN2_012409	CQUJHB008588
OG0002456	AFUN2_011808	CQUJHB003838
OG0002457	AFUN2_011051	CQUJHB002815
OG0002458	AFUN2_008688	CQUJHB000792
OG0002459	AFUN2_010946	CQUJHB002715
OG0002460	AFUN2_004345	CQUJHB011919
OG0002461	AFUN2_009718	CQUJHB010798
OG0002462	AFUN2_013300	CQUJHB017675
OG0002463	AFUN2_001608	CQUJHB000507
OG0002464	AFUN2_005583	CQUJHB009902
OG0002465	AFUN2_005416	CQUJHB008691
OG0002466	AFUN2_002395	CQUJHB011920
OG0002467	AFUN2_000425	CQUJHB006115
OG0002468	AFUN2_009570	CQUJHB012385
OG0002469	AFUN2_002710	CQUJHB011123
OG0002470	AFUN2_011649	CQUJHB002211
OG0002471	AFUN2_006458	CQUJHB017557
OG0002472	AFUN2_002605	CQUJHB007761, CQUJHB001566
OG0002473	AFUN2_009971	CQUJHB012618
OG0002474	AFUN2_002514	CQUJHB006279
OG0002475	AFUN2_002455	CQUJHB001696
OG0002476	AFUN2_009869	CQUJHB001299
OG0002477	AFUN2_006180	CQUJHB009749
OG0002478	AFUN2_014697	CQUJHB000020
OG0002479	AFUN2_013249	CQUJHB017215
OG0002480	AFUN2_003166	CQUJHB013708
OG0002481	AFUN2_008157	CQUJHB005702
OG0002482	AFUN2_003678	CQUJHB000819
OG0002483	AFUN2_011211	CQUJHB000171
OG0002484	AFUN2_001838	CQUJHB010442
OG0002485	AFUN2_010826	CQUJHB005479
OG0002486	AFUN2_009115	CQUJHB007533
OG0002487	AFUN2_014299	CQUJHB016355
OG0002488	AFUN2_007271	CQUJHB010277, CQUJHB010094
OG0002489	AFUN2_000942	CQUJHB006093, CQUJHB018006
OG0002490	AFUN2_005092	CQUJHB012668, CQUJHB015680
OG0002491	AFUN2_002699	CQUJHB013800
OG0002492	AFUN2_008924	CQUJHB015851
OG0002493	AFUN2_009866	CQUJHB015991
OG0002494	AFUN2_009749	CQUJHB007287
OG0002495	AFUN2_005282	CQUJHB008579
OG0002496	AFUN2_004533	CQUJHB017281
OG0002497	AFUN2_006434	CQUJHB003657
OG0002498	AFUN2_009661	CQUJHB000643
OG0002499	AFUN2_006813	CQUJHB007300
OG0002500	AFUN2_005818	CQUJHB011172
OG0002501	AFUN2_004133	CQUJHB007006
OG0002502	AFUN2_010664	CQUJHB013686
OG0002503	AFUN2_003203	CQUJHB015917
OG0002504	AFUN2_003097	CQUJHB008232
OG0002505	AFUN2_013623	CQUJHB012068, CQUJHB008038
OG0002506	AFUN2_011016	CQUJHB003498
OG0002507	AFUN2_004690	CQUJHB015187
OG0002508	AFUN2_012745	CQUJHB013504
OG0002509	AFUN2_008029	CQUJHB012352
OG0002510	AFUN2_005110	CQUJHB014679
OG0002511	AFUN2_008222	CQUJHB009676
OG0002512	AFUN2_008277	CQUJHB015655
OG0002513	AFUN2_005628	CQUJHB017553
OG0002514	AFUN2_011726	CQUJHB017708
OG0002515	AFUN2_012241	CQUJHB006348, CQUJHB015063
OG0002516	AFUN2_005664	CQUJHB006557
OG0002517	AFUN2_007221	CQUJHB006228
OG0002518	AFUN2_009630	CQUJHB009619
OG0002519	AFUN2_003731	CQUJHB011239
OG0002520	AFUN2_010902	CQUJHB018416
OG0002521	AFUN2_004278	CQUJHB005754
OG0002522	AFUN2_012949	CQUJHB001129
OG0002523	AFUN2_010125	CQUJHB012857
OG0002524	AFUN2_003821	CQUJHB012681
OG0002525	AFUN2_009480	CQUJHB001347
OG0002526	AFUN2_014120	CQUJHB001835
OG0002527	AFUN2_007929	CQUJHB013109
OG0002528	AFUN2_007868	CQUJHB014190
OG0002529	AFUN2_004395	CQUJHB010186
OG0002530	AFUN2_014003	CQUJHB007078, CQUJHB013495
OG0002531	AFUN2_011188	CQUJHB007211, CQUJHB011313
OG0002532	AFUN2_014436	CQUJHB004346
OG0002533	AFUN2_007995	CQUJHB014674
OG0002534	AFUN2_008815	CQUJHB013984
OG0002535	AFUN2_011558	CQUJHB003824
OG0002536	AFUN2_009091	CQUJHB009733
OG0002537	AFUN2_002529	CQUJHB015268
OG0002538	AFUN2_004015	CQUJHB002497, CQUJHB005070
OG0002539	AFUN2_013756	CQUJHB008846
OG0002540	AFUN2_004624	CQUJHB011114
OG0002541	AFUN2_008245	CQUJHB011485
OG0002542	AFUN2_014755	CQUJHB012656
OG0002543	AFUN2_008789	CQUJHB017907
OG0002544	AFUN2_009477	CQUJHB005985
OG0002545	AFUN2_007131	CQUJHB004140
OG0002546	AFUN2_005255	CQUJHB017047
OG0002547	AFUN2_010435	CQUJHB017911
OG0002548	AFUN2_004432	CQUJHB014078
OG0002549	AFUN2_008015	CQUJHB015145
OG0002550	AFUN2_003522	CQUJHB004044
OG0002551	AFUN2_008892	CQUJHB012002
OG0002552	AFUN2_009290	CQUJHB014048
OG0002553	AFUN2_012815	CQUJHB010136
OG0002554	AFUN2_011321	CQUJHB006278
OG0002555	AFUN2_003777	CQUJHB004110
OG0002556	AFUN2_013106	CQUJHB013878
OG0002558	AFUN2_006070	CQUJHB002217
OG0002559	AFUN2_012625	CQUJHB007385
OG0002560	AFUN2_001421	CQUJHB006910
OG0002561	AFUN2_009171	CQUJHB015452
OG0002562	AFUN2_002131	CQUJHB012582
OG0002563	AFUN2_009563	CQUJHB014513
OG0002564	AFUN2_010504	CQUJHB010984
OG0002565	AFUN2_013980	CQUJHB003369
OG0002566	AFUN2_011017	CQUJHB001402
OG0002567	AFUN2_002563	CQUJHB005685
OG0002568	AFUN2_007404	CQUJHB000006
OG0002569	AFUN2_010901	CQUJHB000293
OG0002571	AFUN2_000326	CQUJHB006090
OG0002572	AFUN2_012826	CQUJHB017578
OG0002573	AFUN2_007854	CQUJHB016861
OG0002574	AFUN2_008181	CQUJHB000934
OG0002575	AFUN2_003851	CQUJHB010355
OG0002576	AFUN2_000718	CQUJHB017097
OG0002577	AFUN2_004268	CQUJHB016962
OG0002578	AFUN2_012742	CQUJHB012644
OG0002579	AFUN2_012085	CQUJHB001217
OG0002580	AFUN2_002571	CQUJHB017277
OG0002581	AFUN2_008378	CQUJHB008792
OG0002582	AFUN2_008203	CQUJHB013520
OG0002583	AFUN2_006789	CQUJHB000170
OG0002584	AFUN2_014653	CQUJHB000376
OG0002585	AFUN2_003858	CQUJHB015510
OG0002586	AFUN2_010397	CQUJHB002474
OG0002587	AFUN2_006823	CQUJHB008457
OG0002588	AFUN2_013035	CQUJHB010356, CQUJHB017480
OG0002589	AFUN2_008149	CQUJHB007419, CQUJHB017663
OG0002590	AFUN2_002729	CQUJHB007825
OG0002591	AFUN2_013261	CQUJHB016206
OG0002593	AFUN2_003739	CQUJHB012538
OG0002594	AFUN2_004515	CQUJHB010227, CQUJHB001162
OG0002595	AFUN2_010775	CQUJHB000364
OG0002596	AFUN2_004926	CQUJHB003929
OG0002597	AFUN2_002938	CQUJHB002609
OG0002598	AFUN2_002924	CQUJHB005715
OG0002599	AFUN2_011124	CQUJHB014079
OG0002600	AFUN2_005005	CQUJHB014170
OG0002601	AFUN2_014406	CQUJHB005109
OG0002602	AFUN2_003161	CQUJHB013121
OG0002603	AFUN2_002226	CQUJHB007242
OG0002604	AFUN2_009788	CQUJHB011962
OG0002605	AFUN2_001076	CQUJHB005007
OG0002606	AFUN2_001056	CQUJHB009873
OG0002607	AFUN2_013594	CQUJHB004753
OG0002608	AFUN2_013244	CQUJHB014707
OG0002609	AFUN2_006216	CQUJHB009964
OG0002610	AFUN2_010180	CQUJHB012314
OG0002611	AFUN2_001436	CQUJHB006484
OG0002612	AFUN2_011479	CQUJHB007541, CQUJHB014776
OG0002613	AFUN2_001574	CQUJHB017552
OG0002614	AFUN2_006689	CQUJHB009165
OG0002615	AFUN2_005587	CQUJHB013323
OG0002616	AFUN2_000333	CQUJHB004053
OG0002617	AFUN2_001519	CQUJHB014044
OG0002618	AFUN2_000998	CQUJHB016262
OG0002619	AFUN2_001465	CQUJHB005387, CQUJHB012817
OG0002620	AFUN2_013834	CQUJHB001622
OG0002621	AFUN2_001359	CQUJHB006066
OG0002623	AFUN2_012587	CQUJHB009671
OG0002624	AFUN2_012325	CQUJHB006768
OG0002625	AFUN2_009005	CQUJHB000731
OG0002626	AFUN2_002252	CQUJHB014604
OG0002627	AFUN2_005597	CQUJHB008047
OG0002628	AFUN2_012506	CQUJHB010447
OG0002629	AFUN2_008437	CQUJHB007559
OG0002630	AFUN2_002232	CQUJHB015682
OG0002631	AFUN2_012605	CQUJHB010106
OG0002632	AFUN2_011579	CQUJHB003136
OG0002633	AFUN2_001202	CQUJHB010113
OG0002634	AFUN2_010643	CQUJHB009470
OG0002635	AFUN2_008026	CQUJHB000728
OG0002636	AFUN2_001880	CQUJHB014197
OG0002637	AFUN2_001411	CQUJHB001164
OG0002638	AFUN2_010140	CQUJHB004695, CQUJHB008952
OG0002639	AFUN2_009243	CQUJHB005136
OG0002640	AFUN2_008408	CQUJHB000308
OG0002641	AFUN2_005152	CQUJHB002923
OG0002642	AFUN2_014317	CQUJHB007883
OG0002643	AFUN2_007856	CQUJHB010422
OG0002644	AFUN2_003124	CQUJHB008871
OG0002645	AFUN2_000580	CQUJHB001356
OG0002646	AFUN2_008320	CQUJHB018457
OG0002647	AFUN2_005785	CQUJHB011256
OG0002648	AFUN2_012980	CQUJHB012024
OG0002649	AFUN2_004963	CQUJHB010624
OG0002650	AFUN2_006214	CQUJHB004020
OG0002651	AFUN2_005897	CQUJHB001729
OG0002652	AFUN2_000442	CQUJHB000162
OG0002653	AFUN2_003976	CQUJHB016662
OG0002654	AFUN2_013034	CQUJHB001055
OG0002655	AFUN2_003350	CQUJHB013077
OG0002656	AFUN2_009210	CQUJHB015806
OG0002657	AFUN2_000495	CQUJHB008092
OG0002658	AFUN2_011581	CQUJHB010572
OG0002659	AFUN2_003252	CQUJHB001345
OG0002660	AFUN2_009623	CQUJHB015998
OG0002661	AFUN2_000798	CQUJHB000685
OG0002662	AFUN2_004407, AFUN2_007660	CQUJHB001289
OG0002663	AFUN2_011132	CQUJHB005294
OG0002664	AFUN2_007956	CQUJHB017689
OG0002665	AFUN2_001562	CQUJHB005976
OG0002666	AFUN2_011732	CQUJHB002953
OG0002667	AFUN2_007232	CQUJHB014443
OG0002668	AFUN2_007667	CQUJHB005696
OG0002669	AFUN2_004858	CQUJHB018482
OG0002670	AFUN2_009227	CQUJHB016241, CQUJHB012834
OG0002671	AFUN2_013545	CQUJHB012955
OG0002672	AFUN2_011171	CQUJHB008399
OG0002673	AFUN2_007471	CQUJHB003072
OG0002674	AFUN2_005930	CQUJHB017149
OG0002675	AFUN2_003413	CQUJHB003537
OG0002676	AFUN2_009666	CQUJHB010937
OG0002678	AFUN2_008097	CQUJHB012239
OG0002679	AFUN2_002064	CQUJHB004260
OG0002680	AFUN2_011976	CQUJHB012667
OG0002681	AFUN2_011922	CQUJHB008560
OG0002682	AFUN2_010447	CQUJHB004519
OG0002683	AFUN2_009914	CQUJHB006002
OG0002684	AFUN2_010729	CQUJHB015994
OG0002685	AFUN2_014124	CQUJHB016204, CQUJHB009364
OG0002686	AFUN2_012479	CQUJHB015400, CQUJHB015398
OG0002687	AFUN2_005419	CQUJHB014346
OG0002688	AFUN2_011497	CQUJHB003012
OG0002689	AFUN2_007649	CQUJHB002488
OG0002690	AFUN2_000863	CQUJHB000130, CQUJHB014682
OG0002691	AFUN2_003133	CQUJHB017902
OG0002692	AFUN2_003685	CQUJHB000399
OG0002693	AFUN2_011420	CQUJHB007979
OG0002694	AFUN2_005793	CQUJHB005894
OG0002695	AFUN2_000987	CQUJHB018357
OG0002696	AFUN2_009549	CQUJHB016207
OG0002697	AFUN2_010631	CQUJHB015223, CQUJHB014396
OG0002698	AFUN2_013336	CQUJHB000191, CQUJHB009764
OG0002699	AFUN2_011735	CQUJHB006257
OG0002700	AFUN2_002145	CQUJHB002027
OG0002701	AFUN2_000473	CQUJHB018235
OG0002702	AFUN2_011190	CQUJHB017824
OG0002703	AFUN2_012100	CQUJHB012883
OG0002704	AFUN2_000964	CQUJHB005677
OG0002705	AFUN2_006264	CQUJHB015309
OG0002706	AFUN2_007512	CQUJHB006954
OG0002707	AFUN2_013239	CQUJHB009064
OG0002708	AFUN2_010158	CQUJHB014646
OG0002709	AFUN2_002950	CQUJHB004296
OG0002710	AFUN2_010596	CQUJHB010975, CQUJHB009120
OG0002711	AFUN2_000849	CQUJHB003110
OG0002712	AFUN2_006802	CQUJHB006081
OG0002713	AFUN2_002926	CQUJHB009419
OG0002714	AFUN2_006313	CQUJHB012566
OG0002716	AFUN2_006484	CQUJHB012279
OG0002717	AFUN2_003212	CQUJHB001036
OG0002718	AFUN2_010984	CQUJHB008873
OG0002719	AFUN2_009707	CQUJHB003272
OG0002720	AFUN2_002827	CQUJHB007096
OG0002721	AFUN2_002707	CQUJHB009705
OG0002723	AFUN2_003391	CQUJHB004797
OG0002724	AFUN2_003658	CQUJHB014011
OG0002725	AFUN2_010493	CQUJHB001455
OG0002726	AFUN2_014761	CQUJHB015298
OG0002727	AFUN2_006376	CQUJHB014575
OG0002728	AFUN2_009112	CQUJHB005642
OG0002729	AFUN2_009087	CQUJHB004878
OG0002730	AFUN2_010978	CQUJHB000842
OG0002731	AFUN2_008226	CQUJHB007189
OG0002732	AFUN2_003361	CQUJHB017636
OG0002733	AFUN2_000784	CQUJHB000668
OG0002734	AFUN2_009929	CQUJHB017177
OG0002735	AFUN2_004519	CQUJHB010265
OG0002736	AFUN2_004479	CQUJHB007073
OG0002737	AFUN2_007691	CQUJHB017928
OG0002738	AFUN2_002939	CQUJHB001872
OG0002739	AFUN2_003657	CQUJHB003138
OG0002740	AFUN2_013000	CQUJHB006895
OG0002741	AFUN2_003882	CQUJHB013964, CQUJHB008974
OG0002742	AFUN2_002238	CQUJHB004019
OG0002743	AFUN2_001184	CQUJHB011213
OG0002744	AFUN2_008151	CQUJHB018454
OG0002746	AFUN2_014381	CQUJHB012821
OG0002747	AFUN2_002515	CQUJHB013511
OG0002748	AFUN2_011830	CQUJHB005087
OG0002749	AFUN2_000362	CQUJHB014828
OG0002750	AFUN2_010921	CQUJHB013539
OG0002751	AFUN2_010175	CQUJHB017583, CQUJHB009012
OG0002752	AFUN2_010687	CQUJHB014117
OG0002753	AFUN2_013326	CQUJHB002493
OG0002754	AFUN2_006548	CQUJHB013283
OG0002755	AFUN2_010135	CQUJHB000567
OG0002756	AFUN2_003475	CQUJHB000491
OG0002757	AFUN2_008868	CQUJHB017655
OG0002758	AFUN2_000727	CQUJHB001767
OG0002759	AFUN2_013349	CQUJHB002397
OG0002760	AFUN2_010392	CQUJHB007807
OG0002761	AFUN2_011698	CQUJHB000656
OG0002762	AFUN2_003237	CQUJHB003803
OG0002763	AFUN2_012300	CQUJHB014238
OG0002764	AFUN2_002985	CQUJHB001583
OG0002765	AFUN2_006741	CQUJHB009022, CQUJHB015690
OG0002766	AFUN2_009123	CQUJHB011679
OG0002767	AFUN2_012215	CQUJHB005870
OG0002768	AFUN2_013133	CQUJHB017884
OG0002769	AFUN2_011512	CQUJHB008154
OG0002770	AFUN2_005894	CQUJHB003361
OG0002771	AFUN2_000488	CQUJHB015723
OG0002772	AFUN2_010406	CQUJHB009477
OG0002773	AFUN2_007953	CQUJHB008171
OG0002774	AFUN2_004394	CQUJHB003745
OG0002775	AFUN2_014558	CQUJHB015681
OG0002776	AFUN2_005386	CQUJHB008014
OG0002777	AFUN2_010184	CQUJHB002983
OG0002778	AFUN2_012069	CQUJHB018233
OG0002779	AFUN2_009755	CQUJHB012394, CQUJHB004353
OG0002780	AFUN2_007383	CQUJHB009615
OG0002781	AFUN2_009294	CQUJHB014793, CQUJHB006808
OG0002782	AFUN2_010463	CQUJHB015335
OG0002783	AFUN2_005533	CQUJHB014898
OG0002784	AFUN2_013444	CQUJHB000246
OG0002785	AFUN2_004449	CQUJHB014794
OG0002786	AFUN2_001771	CQUJHB013234
OG0002787	AFUN2_001970	CQUJHB007856
OG0002788	AFUN2_005300	CQUJHB007881
OG0002789	AFUN2_006931	CQUJHB009943
OG0002790	AFUN2_001278	CQUJHB003765
OG0002791	AFUN2_013278	CQUJHB000527
OG0002792	AFUN2_005351	CQUJHB011211
OG0002793	AFUN2_002968	CQUJHB013892
OG0002794	AFUN2_007945	CQUJHB006425
OG0002795	AFUN2_000343	CQUJHB015869
OG0002796	AFUN2_002949	CQUJHB009593, CQUJHB007584
OG0002797	AFUN2_010149	CQUJHB004342
OG0002798	AFUN2_014651	CQUJHB014675
OG0002800	AFUN2_011971	CQUJHB017318
OG0002801	AFUN2_010732	CQUJHB015722
OG0002802	AFUN2_005985	CQUJHB011020
OG0002803	AFUN2_013902	CQUJHB014524, CQUJHB002908
OG0002805	AFUN2_011785	CQUJHB016341, CQUJHB003394
OG0002806	AFUN2_010484	CQUJHB007138
OG0002807	AFUN2_010319	CQUJHB004195
OG0002808	AFUN2_013798	CQUJHB016317
OG0002809	AFUN2_000629	CQUJHB005263
OG0002810	AFUN2_012946	CQUJHB011898
OG0002811	AFUN2_003691	CQUJHB016907
OG0002812	AFUN2_005243	CQUJHB002980
OG0002813	AFUN2_006952	CQUJHB003349, CQUJHB006440
OG0002814	AFUN2_000910	CQUJHB017465
OG0002815	AFUN2_001529	CQUJHB014215
OG0002816	AFUN2_003774	CQUJHB006284
OG0002817	AFUN2_005170	CQUJHB006151
OG0002818	AFUN2_013095	CQUJHB013688
OG0002819	AFUN2_004157	CQUJHB017352
OG0002820	AFUN2_004868	CQUJHB005188, CQUJHB012694
OG0002821	AFUN2_004071	CQUJHB017653
OG0002822	AFUN2_013292	CQUJHB013846
OG0002823	AFUN2_002831	CQUJHB010344
OG0002824	AFUN2_000953	CQUJHB010997
OG0002825	AFUN2_002953	CQUJHB017262
OG0002826	AFUN2_004937	CQUJHB013702
OG0002827	AFUN2_010964	CQUJHB007967
OG0002828	AFUN2_000351	CQUJHB010048
OG0002829	AFUN2_006257	CQUJHB013432
