Orthogroup	AfunestusAfunGA1	CquinquefasciatusJHB2020
OG0000019	AFUN2_003589	CQUJHB010923, CQUJHB017568, CQUJHB012227, CQUJHB003348, CQUJHB005206, CQUJHB011701, CQUJHB008385, CQUJHB008344, CQUJHB016812, CQUJHB000031, CQUJHB005502, CQUJHB009245, CQUJHB004876, CQUJHB006191, CQUJHB011660, CQUJHB002802, CQUJHB006041, CQUJHB016337, CQUJHB008421, CQUJHB002737, CQUJHB005792, CQUJHB003290, CQUJHB008431, CQUJHB018142, CQUJHB009958, CQUJHB013002, CQUJHB014465, CQUJHB016035
OG0000019	AFUN2_002117	CQUJHB002061, CQUJHB002839, CQUJHB017860
OG0000020	AFUN2_010799, AFUN2_008522, AFUN2_009055, AFUN2_003121, AFUN2_013731, AFUN2_014147, AFUN2_010349, AFUN2_009403, AFUN2_012335, AFUN2_001103, AFUN2_007911, AFUN2_001210, AFUN2_001831	CQUJHB017925, CQUJHB002221, CQUJHB000651, CQUJHB012860, CQUJHB001170, CQUJHB001510, CQUJHB000979, CQUJHB016664, CQUJHB005107, CQUJHB015711, CQUJHB011553, CQUJHB008384, CQUJHB001331, CQUJHB014167, CQUJHB009842, CQUJHB017866, CQUJHB007697, CQUJHB006001, CQUJHB014125, CQUJHB008701, CQUJHB004842, CQUJHB016137, CQUJHB015041, CQUJHB007495
OG0000021	AFUN2_013453	CQUJHB005197
OG0000021	AFUN2_010217	CQUJHB014638
OG0000021	AFUN2_001683	CQUJHB010956
OG0000021	AFUN2_001836	CQUJHB016733
OG0000021	AFUN2_002771	CQUJHB012948
OG0000021	AFUN2_007302	CQUJHB015628
OG0000022	AFUN2_006596	CQUJHB013191, CQUJHB015725, CQUJHB017245, CQUJHB003806, CQUJHB013101, CQUJHB004318, CQUJHB008392, CQUJHB003227, CQUJHB002133, CQUJHB015664, CQUJHB010128, CQUJHB005252, CQUJHB004885, CQUJHB003399, CQUJHB015966, CQUJHB017117, CQUJHB003827, CQUJHB018042
OG0000022	AFUN2_002978	CQUJHB009998, CQUJHB007412, CQUJHB016624, CQUJHB004757, CQUJHB001711, CQUJHB013417, CQUJHB016403
OG0000024	AFUN2_008754	CQUJHB005662
OG0000024	AFUN2_004514	CQUJHB001106, CQUJHB003177
OG0000024	AFUN2_001856	CQUJHB015002
OG0000024	AFUN2_009727	CQUJHB015651, CQUJHB010229, CQUJHB003602
OG0000024	AFUN2_006932, AFUN2_001526, AFUN2_012131	CQUJHB002318, CQUJHB007527, CQUJHB006873
OG0000025	AFUN2_014130	CQUJHB005189, CQUJHB017536
OG0000025	AFUN2_011412, AFUN2_009073, AFUN2_014057, AFUN2_001155	CQUJHB015932
OG0000026	AFUN2_005277	CQUJHB016420
OG0000026	AFUN2_003253, AFUN2_004905	CQUJHB011732, CQUJHB012165
OG0000026	AFUN2_006722	CQUJHB005106
OG0000026	AFUN2_005978	CQUJHB007540
OG0000027	AFUN2_012022	CQUJHB010117, CQUJHB008521, CQUJHB007524, CQUJHB011421, CQUJHB004925, CQUJHB013189, CQUJHB015720, CQUJHB004094
OG0000027	AFUN2_002065, AFUN2_004791	CQUJHB008109, CQUJHB008680, CQUJHB008247, CQUJHB011016, CQUJHB011122, CQUJHB017358, CQUJHB008899, CQUJHB012953, CQUJHB006211, CQUJHB003906, CQUJHB001161, CQUJHB015070, CQUJHB003476, CQUJHB011300, CQUJHB003752
OG0000028	AFUN2_013164	CQUJHB016003, CQUJHB011351
OG0000028	AFUN2_012132, AFUN2_006865, AFUN2_005132, AFUN2_002353, AFUN2_001256, AFUN2_004185, AFUN2_006876, AFUN2_003118, AFUN2_003598, AFUN2_008286, AFUN2_011015, AFUN2_003325	CQUJHB009718
OG0000030	AFUN2_012733, AFUN2_007213, AFUN2_001848, AFUN2_011448, AFUN2_005957, AFUN2_010339, AFUN2_010744, AFUN2_005913, AFUN2_012561, AFUN2_001536, AFUN2_011617, AFUN2_011391, AFUN2_001923, AFUN2_011066, AFUN2_014328, AFUN2_006386, AFUN2_012770, AFUN2_005352	CQUJHB013699, CQUJHB008107, CQUJHB010736, CQUJHB010439
OG0000031	AFUN2_011697	CQUJHB004966, CQUJHB011245, CQUJHB016938, CQUJHB013426, CQUJHB002608, CQUJHB000575, CQUJHB001850, CQUJHB002269, CQUJHB014875
OG0000031	AFUN2_011049, AFUN2_008201, AFUN2_008391, AFUN2_011664	CQUJHB013110, CQUJHB001744, CQUJHB018315, CQUJHB001956, CQUJHB015821, CQUJHB000335, CQUJHB007959, CQUJHB003757, CQUJHB016964, CQUJHB016071, CQUJHB013550, CQUJHB018096, CQUJHB005093
OG0000031	AFUN2_002494, AFUN2_002498	CQUJHB005184, CQUJHB006333
OG0000032	AFUN2_000937	CQUJHB013916, CQUJHB002841, CQUJHB018268, CQUJHB000206, CQUJHB010055, CQUJHB001736
OG0000032	AFUN2_010173	CQUJHB003097, CQUJHB017356, CQUJHB004843, CQUJHB006636, CQUJHB013020
OG0000032	AFUN2_002261	CQUJHB004712, CQUJHB014732
OG0000032	AFUN2_003899, AFUN2_006152	CQUJHB008412, CQUJHB008157, CQUJHB003203, CQUJHB010737, CQUJHB010350
OG0000033	AFUN2_008608	CQUJHB013700
OG0000034	AFUN2_014222	CQUJHB012032
OG0000037	AFUN2_013181	CQUJHB011063
OG0000038	AFUN2_013078, AFUN2_005392	CQUJHB015468
OG0000039	AFUN2_009923, AFUN2_010939, AFUN2_002356, AFUN2_001872, AFUN2_008523, AFUN2_002845	CQUJHB008310, CQUJHB006780, CQUJHB014689, CQUJHB010451, CQUJHB011408, CQUJHB015873, CQUJHB005401, CQUJHB015714, CQUJHB007411
OG0000040	AFUN2_012034, AFUN2_000621	CQUJHB002131, CQUJHB000018, CQUJHB020446
OG0000040	AFUN2_012970, AFUN2_011961, AFUN2_013533, AFUN2_004686	CQUJHB020438
OG0000041	AFUN2_000732	CQUJHB013017, CQUJHB009859
OG0000041	AFUN2_014438	CQUJHB001955, CQUJHB001825
OG0000041	AFUN2_001049	CQUJHB000581
OG0000041	AFUN2_010115	CQUJHB013621, CQUJHB007017
OG0000041	AFUN2_014544	CQUJHB000078, CQUJHB001849, CQUJHB006430
OG0000042	AFUN2_004081, AFUN2_014693	CQUJHB006261
OG0000045	AFUN2_006680	CQUJHB000359, CQUJHB018399, CQUJHB003478, CQUJHB004554
OG0000046	AFUN2_006305, AFUN2_003082, AFUN2_013805	CQUJHB005669, CQUJHB017284
OG0000048	AFUN2_006474, AFUN2_003419, AFUN2_007098, AFUN2_011966, AFUN2_007180, AFUN2_001025	CQUJHB016807, CQUJHB013985, CQUJHB018159, CQUJHB005082, CQUJHB004417, CQUJHB012005, CQUJHB009336, CQUJHB014845, CQUJHB008386
OG0000049	AFUN2_008624	CQUJHB015876
OG0000049	AFUN2_012748	CQUJHB015556
OG0000051	AFUN2_012162, AFUN2_006475, AFUN2_002740, AFUN2_001516, AFUN2_005538, AFUN2_008835, AFUN2_014721	CQUJHB010023, CQUJHB007430, CQUJHB010163, CQUJHB007463, CQUJHB014075, CQUJHB010616
OG0000052	AFUN2_013880	CQUJHB017932, CQUJHB006568, CQUJHB007297, CQUJHB011415
OG0000053	AFUN2_014363, AFUN2_010396, AFUN2_010923, AFUN2_007355, AFUN2_008998, AFUN2_014545, AFUN2_013555, AFUN2_000604, AFUN2_007552, AFUN2_012584, AFUN2_001373, AFUN2_002347	CQUJHB018432
OG0000055	AFUN2_003795	CQUJHB018229
OG0000055	AFUN2_007989	CQUJHB017720
OG0000055	AFUN2_001013, AFUN2_010954, AFUN2_006754, AFUN2_002857, AFUN2_009317, AFUN2_014083, AFUN2_006806, AFUN2_010423	CQUJHB002352
