Orthogroup	AfunestusAfunGA1	LlongipalpisASM
OG0001043	AFUN2_002482, AFUN2_003968	LOC129796562
OG0001044	AFUN2_000447	LOC129791588, LOC129791587
OG0001045	AFUN2_007955, AFUN2_014016	LOC129790522
OG0001047	AFUN2_006279	LOC129786341, LOC129786344, LOC129794036, LOC129786345
OG0001048	AFUN2_010445	LOC129797230, LOC129797229
OG0001049	AFUN2_005644	LOC129796382
OG0001050	AFUN2_014552	LOC129794622, LOC129790880
OG0001055	AFUN2_009617, AFUN2_009314	LOC129790165
OG0001056	AFUN2_009990, AFUN2_007147	LOC129790417
OG0001057	AFUN2_014339	LOC129785857
OG0001058	AFUN2_005695	LOC129786362
OG0001059	AFUN2_007716	LOC129797218
OG0001060	AFUN2_008067, AFUN2_009622	LOC129797828
OG0001061	AFUN2_006775	LOC129790603
OG0001062	AFUN2_002716	LOC129788539
OG0001063	AFUN2_006531	LOC129788634
OG0001064	AFUN2_006573, AFUN2_001158	LOC129791853
OG0001065	AFUN2_004796	LOC129787932
OG0001066	AFUN2_010853	LOC129789269
OG0001067	AFUN2_002502	LOC129789781
OG0001068	AFUN2_006558	LOC129787046
OG0001069	AFUN2_005205	LOC129787026
OG0001070	AFUN2_009505	LOC129793530
OG0001070	AFUN2_003690	LOC129793555
OG0001071	AFUN2_006581	LOC129795388
OG0001072	AFUN2_007723	LOC129791290
OG0001073	AFUN2_005792	LOC129790121
OG0001074	AFUN2_007243	LOC129788670
OG0001075	AFUN2_013417	LOC129797022
OG0001076	AFUN2_001822	LOC129785981
OG0001077	AFUN2_014184	LOC129793752
OG0001078	AFUN2_005822	LOC129788875
OG0001079	AFUN2_009468	LOC129793664
OG0001079	AFUN2_012608	LOC129793657
OG0001080	AFUN2_006663	LOC129791356
OG0001081	AFUN2_013522	LOC129791844
OG0001082	AFUN2_013634	LOC129791458
OG0001083	AFUN2_014149	LOC129795765
OG0001084	AFUN2_000885	LOC129794593
OG0001085	AFUN2_001000	LOC129796635
OG0001086	AFUN2_012450	LOC129792225
OG0001087	AFUN2_001438, AFUN2_004332	LOC129794078
OG0001088	AFUN2_000862, AFUN2_010714	LOC129787136
OG0001090	AFUN2_000532, AFUN2_008041	LOC129786306
OG0001091	AFUN2_011436	LOC129794575
OG0001092	AFUN2_002930	LOC129788411, LOC129788409
OG0001094	AFUN2_012568, AFUN2_006565	LOC129790523, LOC129790524
OG0001095	AFUN2_007325, AFUN2_009846	LOC129794186
OG0001096	AFUN2_012999	LOC129790467, LOC129789266
OG0001097	AFUN2_008755	LOC129791217
OG0001098	AFUN2_013971	LOC129791313
OG0001101	AFUN2_009080	LOC129793636
OG0001102	AFUN2_001595	LOC129791849
OG0001103	AFUN2_000409	LOC129794982
OG0001104	AFUN2_005996	LOC129785976
OG0001105	AFUN2_005682	LOC129797284
OG0001106	AFUN2_000881	LOC129791987
OG0001107	AFUN2_011026	LOC129797543
OG0001109	AFUN2_001032	LOC129788390
OG0001110	AFUN2_014729	LOC129791799
OG0001111	AFUN2_011105	LOC129792625
OG0001112	AFUN2_013112, AFUN2_010771	LOC129794923
OG0001113	AFUN2_002364	LOC129793132
OG0001115	AFUN2_010906	LOC129787244, LOC129787243
OG0001123	AFUN2_010628, AFUN2_002615	LOC129787595
OG0001138	AFUN2_004498	LOC129793026
OG0001139	AFUN2_014788	LOC129792462
OG0001142	AFUN2_007932	LOC129797673, LOC129797675
OG0001144	AFUN2_005593	LOC129790186
OG0001145	AFUN2_003719	LOC129790848
OG0001147	AFUN2_000337	LOC129792090
OG0001148	AFUN2_011957	LOC129791114
OG0001149	AFUN2_003751	LOC129796816
OG0001150	AFUN2_008239	LOC129794585
OG0001151	AFUN2_012323	LOC129790954
OG0001152	AFUN2_001783	LOC129790528
OG0001153	AFUN2_007236	LOC129795593
OG0001154	AFUN2_012738	LOC129795336
OG0001155	AFUN2_013654	LOC129795834
OG0001158	AFUN2_008354	LOC129797717
OG0001159	AFUN2_008910	LOC129793087
OG0001160	AFUN2_007170	LOC129789294
OG0001162	AFUN2_009500	LOC129789452
OG0001163	AFUN2_004212	LOC129793609
OG0001166	AFUN2_005845	LOC129791338
OG0001167	AFUN2_012319	LOC129790044
OG0001168	AFUN2_003825	LOC129797215
OG0001170	AFUN2_009501	LOC129791829
OG0001171	AFUN2_009547	LOC129794785
OG0001172	AFUN2_013477	LOC129787585
OG0001173	AFUN2_007904	LOC129797583
OG0001174	AFUN2_010815	LOC129786251
OG0001175	AFUN2_003194	LOC129787315
OG0001176	AFUN2_010087	LOC129797364
OG0001177	AFUN2_012239, AFUN2_003938	LOC129785986
OG0001178	AFUN2_012149	LOC129790517
OG0001179	AFUN2_002606	LOC129791030
OG0001180	AFUN2_005954	LOC129788976
OG0001181	AFUN2_002936	LOC129786120
OG0001182	AFUN2_014404	LOC129787593
OG0001183	AFUN2_010850	LOC129786482
OG0001184	AFUN2_008345, AFUN2_010080	LOC129795045
OG0001185	AFUN2_001928	LOC129788331
OG0001186	AFUN2_010670	LOC129790558
OG0001188	AFUN2_007528	LOC129786823
OG0001189	AFUN2_004285	LOC129787741
OG0001190	AFUN2_006662	LOC129794660
OG0001191	AFUN2_003620	LOC129796042
OG0001192	AFUN2_013792	LOC129795136
OG0001194	AFUN2_006585	LOC129797076, LOC129786937
OG0001195	AFUN2_008211	LOC129796300
OG0001196	AFUN2_007509	LOC129796450
OG0001197	AFUN2_010333	LOC129796231
OG0001198	AFUN2_002016	LOC129796825
OG0001199	AFUN2_012391	LOC129787441
OG0001200	AFUN2_008435	LOC129794951
OG0001201	AFUN2_003377	LOC129793638
OG0001202	AFUN2_006984	LOC129790675
OG0001204	AFUN2_008033	LOC129788920
OG0001205	AFUN2_006374	LOC129788476
OG0001206	AFUN2_005760	LOC129793483
OG0001207	AFUN2_004052	LOC129789730
OG0001208	AFUN2_014640	LOC129792511, LOC129790343
OG0001209	AFUN2_010831	LOC129787116
OG0001210	AFUN2_009110	LOC129789059
OG0001211	AFUN2_002519	LOC129794278, LOC129789216, LOC129796320
OG0001212	AFUN2_011948	LOC129786776
OG0001215	AFUN2_002035	LOC129794117
OG0001218	AFUN2_008969	LOC129787982
OG0001219	AFUN2_007079	LOC129792661
OG0001220	AFUN2_012961	LOC129792760
OG0001221	AFUN2_005229	LOC129795596
OG0001222	AFUN2_012486	LOC129792565
OG0001223	AFUN2_000767	LOC129789118
OG0001224	AFUN2_008679	LOC129789722, LOC129788434
OG0001225	AFUN2_013691	LOC129791107
OG0001226	AFUN2_004885	LOC129789466
OG0001227	AFUN2_008334	LOC129786360
OG0001229	AFUN2_004706	LOC129793019
OG0001230	AFUN2_005077	LOC129790742
OG0001231	AFUN2_004826	LOC129786580
OG0001232	AFUN2_001179	LOC129787800, LOC129797716, LOC129788785, LOC129788854
OG0001234	AFUN2_006791	LOC129797505
OG0001235	AFUN2_001108	LOC129797456
OG0001236	AFUN2_012552	LOC129790098
OG0001237	AFUN2_008407	LOC129788970
OG0001238	AFUN2_008367, AFUN2_008982	LOC129790419
OG0001239	AFUN2_008667	LOC129790877
OG0001241	AFUN2_013121	LOC129789826
OG0001244	AFUN2_010462	LOC129794671
OG0001245	AFUN2_001260	LOC129790968
OG0001246	AFUN2_006396	LOC129792984
OG0001247	AFUN2_005339	LOC129794715, LOC129794718, LOC129791053
OG0001248	AFUN2_002379	LOC129791559
OG0001249	AFUN2_011888	LOC129796838
OG0001250	AFUN2_005917	LOC129787582
OG0001251	AFUN2_011116, AFUN2_008725	LOC129793082
OG0001252	AFUN2_001178	LOC129789405, LOC129786917
OG0001253	AFUN2_002621	LOC129792804
OG0001254	AFUN2_003776	LOC129789034
OG0001255	AFUN2_004736	LOC129790304
OG0001257	AFUN2_014488	LOC129791044
OG0001258	AFUN2_010759	LOC129794691, LOC129795222
OG0001259	AFUN2_012321	LOC129791214
OG0001260	AFUN2_002943	LOC129789595
OG0001262	AFUN2_007810	LOC129791832
OG0001263	AFUN2_004604	LOC129790926
OG0001264	AFUN2_003812	LOC129795841, LOC129795859
OG0001265	AFUN2_008429	LOC129788738
OG0001266	AFUN2_001971	LOC129794670
OG0001267	AFUN2_009797	LOC129790155
OG0001270	AFUN2_013088	LOC129787668
OG0001271	AFUN2_009421	LOC129786592
OG0001272	AFUN2_009970	LOC129788766, LOC129789543
OG0001274	AFUN2_008362	LOC129785967
OG0001275	AFUN2_001422	LOC129792084, LOC129792227, LOC129794467, LOC129792193, LOC129792203
OG0001279	AFUN2_012200	LOC129796608
OG0001281	AFUN2_001466	LOC129794285
OG0001282	AFUN2_006135	LOC129786284
OG0001284	AFUN2_010280	LOC129790360
OG0001285	AFUN2_009996	LOC129796168
OG0001286	AFUN2_014437	LOC129789014
OG0001288	AFUN2_013388	LOC129797044
OG0001290	AFUN2_000644	LOC129787999
OG0001292	AFUN2_001839, AFUN2_002795	LOC129789424
OG0001293	AFUN2_007788	LOC129786935
OG0001294	AFUN2_004970	LOC129791685
OG0001295	AFUN2_014663	LOC129793962
OG0001296	AFUN2_000646	LOC129794252
OG0001297	AFUN2_005211	LOC129797220
OG0001298	AFUN2_009829	LOC129797123
OG0001299	AFUN2_012464	LOC129787722
OG0001300	AFUN2_006368	LOC129797464
OG0001301	AFUN2_011043, AFUN2_001754	LOC129796273
OG0001302	AFUN2_007370	LOC129792444
OG0001303	AFUN2_003469	LOC129797679
OG0001304	AFUN2_004540	LOC129791772
OG0001305	AFUN2_005779	LOC129786484
OG0001306	AFUN2_004028	LOC129796126, LOC129796098, LOC129796104
OG0001307	AFUN2_007329	LOC129792399, LOC129791720
OG0001309	AFUN2_004228	LOC129787408
OG0001310	AFUN2_002253	LOC129787452
OG0001312	AFUN2_004321	LOC129786821
OG0001313	AFUN2_005496	LOC129787578
OG0001314	AFUN2_004662	LOC129796344
OG0001316	AFUN2_013742	LOC129787612
OG0001317	AFUN2_010486, AFUN2_004358	LOC129787196
OG0001318	AFUN2_014427	LOC129789533
OG0001321	AFUN2_003093	LOC129793272, LOC129795294, LOC129791884
OG0001322	AFUN2_005280	LOC129792131, LOC129793391
OG0001323	AFUN2_003675	LOC129785945
OG0001324	AFUN2_005794, AFUN2_008440	LOC129792952
OG0001325	AFUN2_000468	LOC129794890
OG0001326	AFUN2_007366	LOC129788057
OG0001327	AFUN2_009927	LOC129787207, LOC129788203
OG0001329	AFUN2_001677	LOC129787650
OG0001331	AFUN2_011276	LOC129790418
OG0001332	AFUN2_008852	LOC129794793
OG0001333	AFUN2_007446	LOC129786501
OG0001334	AFUN2_013486	LOC129787387
OG0001335	AFUN2_013541	LOC129792520
OG0001336	AFUN2_005063, AFUN2_004916	LOC129791812
OG0001337	AFUN2_009786	LOC129788453
OG0001338	AFUN2_007814	LOC129795569
OG0001339	AFUN2_013660	LOC129797428
OG0001340	AFUN2_007504	LOC129789911
OG0001341	AFUN2_000643	LOC129794983
OG0001342	AFUN2_007553	LOC129791318
OG0001343	AFUN2_012098	LOC129788194
OG0001344	AFUN2_012828	LOC129797436
OG0001345	AFUN2_013079	LOC129790255
OG0001346	AFUN2_007160	LOC129789567
OG0001347	AFUN2_002651	LOC129788984
OG0001348	AFUN2_006653	LOC129786210
OG0001349	AFUN2_002613	LOC129791767
OG0001350	AFUN2_002208	LOC129787246, LOC129787425, LOC129786048
OG0001351	AFUN2_009166	LOC129797309
OG0001352	AFUN2_010199	LOC129786038, LOC129794831
OG0001354	AFUN2_003911	LOC129791656
OG0001355	AFUN2_008199	LOC129790355
OG0001356	AFUN2_011863	LOC129788536
OG0001357	AFUN2_003037	LOC129795488
OG0001358	AFUN2_011978	LOC129794642
OG0001359	AFUN2_008777	LOC129794603
OG0001360	AFUN2_006047	LOC129794827
OG0001361	AFUN2_014615	LOC129787346
OG0001362	AFUN2_010955	LOC129788712
OG0001363	AFUN2_007403	LOC129794094
OG0001364	AFUN2_012706	LOC129790890
OG0001366	AFUN2_003389	LOC129788668
OG0001369	AFUN2_011217	LOC129795634
OG0001370	AFUN2_001897	LOC129795437
OG0001371	AFUN2_011839	LOC129792074
OG0001372	AFUN2_010948	LOC129795849
OG0001373	AFUN2_002768	LOC129789048, LOC129789043, LOC129793651, LOC129789013
OG0001374	AFUN2_011941	LOC129792865
OG0001375	AFUN2_008554	LOC129793978, LOC129792762, LOC129795854, LOC129791830
OG0001376	AFUN2_007050	LOC129792898
OG0001377	AFUN2_012395	LOC129792532
OG0001378	AFUN2_009901	LOC129794706
OG0001379	AFUN2_000946	LOC129788726
OG0001380	AFUN2_010695	LOC129792424
OG0001381	AFUN2_005463	LOC129793780
OG0001382	AFUN2_009081	LOC129793511, LOC129795968
OG0001383	AFUN2_001304	LOC129797248
OG0001384	AFUN2_010839	LOC129792709
OG0001385	AFUN2_002071	LOC129789000
OG0001386	AFUN2_006335	LOC129795895, LOC129795900, LOC129796669
OG0001387	AFUN2_010535	LOC129795414
OG0001388	AFUN2_010312	LOC129787304
OG0001389	AFUN2_008503	LOC129791452
OG0001390	AFUN2_001181	LOC129787307
OG0001391	AFUN2_004789	LOC129789040
OG0001392	AFUN2_013509	LOC129792320
OG0001393	AFUN2_004651	LOC129788658
OG0001394	AFUN2_004313	LOC129786332
OG0001395	AFUN2_004018	LOC129786709
OG0001396	AFUN2_007789	LOC129792394
OG0001397	AFUN2_006710	LOC129790720
OG0001398	AFUN2_008247	LOC129790783
OG0001399	AFUN2_000719	LOC129789852
OG0001400	AFUN2_014138	LOC129794148
OG0001401	AFUN2_002204, AFUN2_000845	LOC129785966
OG0001402	AFUN2_007697	LOC129788358, LOC129788323
OG0001403	AFUN2_013132	LOC129790814
OG0001404	AFUN2_013109	LOC129789519
OG0001405	AFUN2_004613	LOC129787029
OG0001408	AFUN2_010957	LOC129794090
OG0001409	AFUN2_004503	LOC129787691, LOC129787692, LOC129787693, LOC129787694
OG0001410	AFUN2_012431	LOC129795836
OG0001411	AFUN2_012253	LOC129792767
OG0001412	AFUN2_002251	LOC129787254
OG0001413	AFUN2_006847	LOC129792243
OG0001414	AFUN2_013933	LOC129795699
OG0001431	AFUN2_000859, AFUN2_003065	LOC129796692, LOC129796686
OG0001444	AFUN2_001365	LOC129791749
OG0001447	AFUN2_002810	LOC129789309
OG0001448	AFUN2_010023	LOC129797300
OG0001449	AFUN2_007942	LOC129793937
OG0001450	AFUN2_005206	LOC129792179
OG0001452	AFUN2_004290	LOC129796323
OG0001454	AFUN2_003416	LOC129795189
OG0001455	AFUN2_014737	LOC129789413
OG0001456	AFUN2_003939	LOC129796306
OG0001458	AFUN2_002970	LOC129792908
OG0001459	AFUN2_008697	LOC129785982
OG0001460	AFUN2_002626	LOC129792966
OG0001463	AFUN2_009537	LOC129797338, LOC129797339
OG0001464	AFUN2_013842	LOC129797131
OG0001465	AFUN2_011700	LOC129791129
OG0001466	AFUN2_013376	LOC129793510, LOC129786827, LOC129785848
OG0001467	AFUN2_006172, AFUN2_010636	LOC129791077
OG0001468	AFUN2_012233	LOC129788389
OG0001469	AFUN2_006360	LOC129791746
OG0001471	AFUN2_014634	LOC129793106
OG0001472	AFUN2_009854	LOC129794429, LOC129794428, LOC129793075
OG0001473	AFUN2_001987	LOC129787638
OG0001474	AFUN2_011295	LOC129788540
OG0001475	AFUN2_014412	LOC129790456
OG0001476	AFUN2_006229, AFUN2_004837	LOC129790454
OG0001477	AFUN2_005139	LOC129794782
OG0001478	AFUN2_009896	LOC129791803
OG0001479	AFUN2_007778	LOC129792690
OG0001480	AFUN2_002221	LOC129789467
OG0001481	AFUN2_010828	LOC129792723
OG0001482	AFUN2_006148	LOC129792722
OG0001483	AFUN2_002425	LOC129791534
OG0001484	AFUN2_002754	LOC129792446
OG0001486	AFUN2_014768	LOC129791975
OG0001488	AFUN2_013484	LOC129786309
OG0001489	AFUN2_008993	LOC129786140
OG0001491	AFUN2_011316	LOC129795445
OG0001492	AFUN2_004728	LOC129788839
OG0001493	AFUN2_008689	LOC129789657
OG0001494	AFUN2_008313	LOC129795685
OG0001495	AFUN2_009113	LOC129794601, LOC129795731
OG0001496	AFUN2_005684	LOC129791948
OG0001497	AFUN2_014203	LOC129793206
OG0001498	AFUN2_014107	LOC129790584
OG0001499	AFUN2_014795, AFUN2_009169	LOC129789756
OG0001500	AFUN2_010323	LOC129791347
OG0001502	AFUN2_005531	LOC129790803
OG0001503	AFUN2_009974	LOC129797594
OG0001504	AFUN2_002561, AFUN2_009083	LOC129789482
OG0001505	AFUN2_012889	LOC129788406
OG0001506	AFUN2_005291	LOC129797141
OG0001509	AFUN2_012231	LOC129789890
OG0001510	AFUN2_005285	LOC129791619
OG0001511	AFUN2_011728	LOC129794898
OG0001513	AFUN2_002250	LOC129790094
OG0001514	AFUN2_009422	LOC129794509, LOC129788006
OG0001515	AFUN2_006729	LOC129794063
OG0001516	AFUN2_005872	LOC129789723
OG0001517	AFUN2_012857	LOC129793025
OG0001518	AFUN2_014447	LOC129786143
OG0001519	AFUN2_000645	LOC129787590
OG0001520	AFUN2_004949, AFUN2_005401	LOC129792879
OG0001521	AFUN2_012381	LOC129787794
OG0001522	AFUN2_003117	LOC129786952
OG0001523	AFUN2_013991	LOC129789653, LOC129796678, LOC129790491
OG0001524	AFUN2_013433	LOC129787654
OG0001525	AFUN2_008504	LOC129794659
OG0001526	AFUN2_002772	LOC129786471
OG0001527	AFUN2_010612	LOC129786192
OG0001528	AFUN2_000867	LOC129786390, LOC129786377
OG0001530	AFUN2_009250, AFUN2_006133	LOC129785953
OG0001532	AFUN2_004100	LOC129797401
OG0001533	AFUN2_008180	LOC129788033, LOC129788157, LOC129788158
OG0001534	AFUN2_009155	LOC129796090
OG0001535	AFUN2_010804	LOC129790763
OG0001536	AFUN2_008326	LOC129795103, LOC129790583
OG0001537	AFUN2_008238	LOC129795333
OG0001538	AFUN2_002194	LOC129786614
OG0001539	AFUN2_002082	LOC129790300, LOC129793277
OG0001540	AFUN2_005901	LOC129796484
OG0001541	AFUN2_008828	LOC129797282
OG0001543	AFUN2_007707	LOC129790535
OG0001545	AFUN2_008409	LOC129791550
OG0001546	AFUN2_005603	LOC129796309
OG0001547	AFUN2_009947	LOC129795817
OG0001548	AFUN2_005481	LOC129795510
OG0001549	AFUN2_013289	LOC129790245
OG0001550	AFUN2_007869	LOC129786366
OG0001551	AFUN2_010073	LOC129789089
OG0001552	AFUN2_009487, AFUN2_010468	LOC129796512
OG0001553	AFUN2_005805	LOC129792539, LOC129793331
OG0001554	AFUN2_004593	LOC129789305
OG0001555	AFUN2_010245	LOC129791177
OG0001556	AFUN2_011036	LOC129788452
OG0001557	AFUN2_006190	LOC129785961
OG0001558	AFUN2_004173	LOC129786044
OG0001559	AFUN2_013269	LOC129796361
OG0001560	AFUN2_001463	LOC129795006
OG0001561	AFUN2_007177	LOC129795077, LOC129795076
OG0001563	AFUN2_013551	LOC129787878
OG0001564	AFUN2_011258	LOC129793487
OG0001565	AFUN2_003372	LOC129789959
OG0001566	AFUN2_002193	LOC129793035
OG0001569	AFUN2_007663	LOC129787760
OG0001570	AFUN2_007750	LOC129793656
OG0001571	AFUN2_003368	LOC129789218
OG0001572	AFUN2_008632	LOC129788874
OG0001573	AFUN2_006751	LOC129786492
OG0001574	AFUN2_003989	LOC129793674
OG0001575	AFUN2_005409	LOC129790110
OG0001576	AFUN2_006134	LOC129788159
OG0001577	AFUN2_004803	LOC129791301
OG0001578	AFUN2_000690	LOC129790970
OG0001579	AFUN2_002158	LOC129792659
OG0001582	AFUN2_006654	LOC129797368
OG0001583	AFUN2_004974	LOC129797370
OG0001584	AFUN2_001682	LOC129797763
OG0001585	AFUN2_014408	LOC129789268
OG0001586	AFUN2_010022	LOC129788752
OG0001587	AFUN2_011600	LOC129787948
OG0001588	AFUN2_013753	LOC129786414, LOC129786472
OG0001589	AFUN2_005829	LOC129789338, LOC129789341
OG0001590	AFUN2_005748	LOC129792557
OG0001592	AFUN2_008158	LOC129795990
OG0001593	AFUN2_010677	LOC129795094
OG0001594	AFUN2_007255	LOC129787197, LOC129789390
OG0001595	AFUN2_008381	LOC129792937
OG0001596	AFUN2_006283	LOC129793446
OG0001597	AFUN2_000601	LOC129794506
OG0001598	AFUN2_004271	LOC129796977
OG0001599	AFUN2_001580	LOC129795862, LOC129795861
OG0001600	AFUN2_010971	LOC129787918
OG0001601	AFUN2_014262	LOC129794834
OG0001602	AFUN2_001517	LOC129793648
OG0001603	AFUN2_011074	LOC129787433
OG0001604	AFUN2_013383	LOC129791740, LOC129797719
OG0001605	AFUN2_002800	LOC129792643
OG0001606	AFUN2_014414	LOC129786475
OG0001607	AFUN2_007598	LOC129794461
OG0001608	AFUN2_009555	LOC129793958
OG0001609	AFUN2_014251	LOC129793831
OG0001610	AFUN2_005349, AFUN2_012581	LOC129790774
OG0001611	AFUN2_009095	LOC129794313
OG0001612	AFUN2_012580	LOC129795496
OG0001613	AFUN2_001026	LOC129793815, LOC129786668, LOC129786729
OG0001614	AFUN2_003458	LOC129795844
OG0001615	AFUN2_005371	LOC129793898
OG0001616	AFUN2_006005	LOC129792007
OG0001617	AFUN2_010405	LOC129790376
OG0001618	AFUN2_002358	LOC129792832, LOC129787634
OG0001619	AFUN2_012371	LOC129786506, LOC129786488
OG0001620	AFUN2_007434	LOC129786438
OG0001621	AFUN2_005123	LOC129787620
OG0001622	AFUN2_007620	LOC129792130
OG0001623	AFUN2_007808	LOC129787944
OG0001624	AFUN2_011628	LOC129787347
OG0001625	AFUN2_004141	LOC129796179
OG0001626	AFUN2_011451	LOC129792140, LOC129797795
OG0001627	AFUN2_006132	LOC129797847
OG0001628	AFUN2_008094	LOC129791569
OG0001629	AFUN2_009385	LOC129790874, LOC129789217, LOC129792829
OG0001630	AFUN2_004334	LOC129795633
OG0001631	AFUN2_013907	LOC129786221
OG0001632	AFUN2_005382	LOC129793617
OG0001633	AFUN2_013812	LOC129789417
OG0001634	AFUN2_000547	LOC129796839
OG0001635	AFUN2_010220	LOC129795027
OG0001636	AFUN2_004870	LOC129790733
OG0001637	AFUN2_010991	LOC129790595
OG0001638	AFUN2_012185	LOC129790797
OG0001639	AFUN2_013342	LOC129796206
OG0001640	AFUN2_008023	LOC129789851, LOC129789850, LOC129789085
OG0001641	AFUN2_006037	LOC129790175
OG0001642	AFUN2_003656	LOC129793308
OG0001643	AFUN2_001404	LOC129797437
OG0001644	AFUN2_001371	LOC129796435
OG0001645	AFUN2_009626	LOC129795123
OG0001647	AFUN2_002867	LOC129796554
OG0001648	AFUN2_003046	LOC129787158
OG0001649	AFUN2_009771	LOC129786326, LOC129795316, LOC129786322
OG0001650	AFUN2_006582	LOC129790931
OG0001651	AFUN2_000911	LOC129790887
OG0001652	AFUN2_001236	LOC129786116
OG0001654	AFUN2_004766	LOC129789585
OG0001655	AFUN2_011081	LOC129789602
OG0001656	AFUN2_008148	LOC129788086
OG0001657	AFUN2_006519	LOC129789357
OG0001658	AFUN2_007031	LOC129786809
OG0001659	AFUN2_014028	LOC129793899
OG0001660	AFUN2_000737	LOC129786022
OG0001661	AFUN2_011434	LOC129786658
OG0001662	AFUN2_003165	LOC129792648
OG0001663	AFUN2_006539	LOC129796251
OG0001664	AFUN2_002127	LOC129790572
OG0001665	AFUN2_002268	LOC129790134
OG0001666	AFUN2_012727	LOC129789751
OG0001667	AFUN2_008666	LOC129790063
OG0001668	AFUN2_006810	LOC129793929
OG0001669	AFUN2_009579	LOC129792436
OG0001670	AFUN2_012797	LOC129795951
OG0001671	AFUN2_000541	LOC129788616
OG0001672	AFUN2_006518	LOC129789273, LOC129789272
OG0001673	AFUN2_010148	LOC129787185
OG0001674	AFUN2_000710	LOC129792010
OG0001675	AFUN2_003507	LOC129791982
OG0001676	AFUN2_000525	LOC129795464
OG0001677	AFUN2_005849	LOC129797117
OG0001678	AFUN2_013306	LOC129789742
OG0001679	AFUN2_001850	LOC129788938
OG0001680	AFUN2_013461	LOC129797090
OG0001681	AFUN2_014618	LOC129794747, LOC129794746
OG0001682	AFUN2_000664	LOC129788060
OG0001683	AFUN2_014560	LOC129790728
OG0001684	AFUN2_009267	LOC129790725
OG0001685	AFUN2_004923	LOC129793889
OG0001686	AFUN2_005997	LOC129796857
OG0001688	AFUN2_010326	LOC129797292, LOC129797293, LOC129786585
OG0001689	AFUN2_005504	LOC129787992
OG0001690	AFUN2_011134	LOC129789156
OG0001691	AFUN2_000660	LOC129793247, LOC129793246
OG0001692	AFUN2_008960	LOC129790239
OG0001694	AFUN2_008593	LOC129787868
OG0001695	AFUN2_002389	LOC129786751
OG0001696	AFUN2_011336	LOC129788426
OG0001697	AFUN2_004538	LOC129792997
OG0001699	AFUN2_003860	LOC129795526
OG0001700	AFUN2_001530	LOC129793749, LOC129791126, LOC129789479
OG0001702	AFUN2_001611	LOC129789529
OG0001704	AFUN2_013048	LOC129785963
OG0001705	AFUN2_003192, AFUN2_000729	LOC129797629
OG0001706	AFUN2_009721	LOC129789605, LOC129795515
OG0001708	AFUN2_009583	LOC129797541, LOC129792617, LOC129792400
OG0001709	AFUN2_011506	LOC129787238, LOC129790388
OG0001710	AFUN2_007229	LOC129796140
OG0001711	AFUN2_003265	LOC129788442
OG0001712	AFUN2_011250	LOC129789964
OG0001714	AFUN2_003636	LOC129791296
OG0001715	AFUN2_010208, AFUN2_005337	LOC129796923
OG0001716	AFUN2_007940	LOC129790480
OG0001717	AFUN2_012053	LOC129789932
OG0001718	AFUN2_006086, AFUN2_011704	LOC129797155
OG0001719	AFUN2_002889	LOC129791721
OG0001720	AFUN2_000663	LOC129786098
OG0001721	AFUN2_001186	LOC129785973
OG0001722	AFUN2_001009	LOC129797064
OG0001723	AFUN2_008954	LOC129795874
OG0001724	AFUN2_001237	LOC129786652
OG0001725	AFUN2_010068	LOC129794113
OG0001726	AFUN2_002931	LOC129792607, LOC129792727
OG0001727	AFUN2_009762	LOC129788794
OG0001728	AFUN2_012218	LOC129787839
OG0001730	AFUN2_008487	LOC129796021
OG0001731	AFUN2_006726	LOC129788792, LOC129791986
OG0001732	AFUN2_007642	LOC129796695
OG0001733	AFUN2_010267	LOC129786263
OG0001734	AFUN2_001978	LOC129791737, LOC129792398
OG0001735	AFUN2_006734	LOC129790824
OG0001736	AFUN2_001198	LOC129796096
OG0001737	AFUN2_004718	LOC129795468
OG0001738	AFUN2_002380	LOC129788301
OG0001739	AFUN2_009051, AFUN2_009576	LOC129788022
OG0001741	AFUN2_007096	LOC129787555
OG0001742	AFUN2_012173	LOC129792632
OG0001743	AFUN2_012257	LOC129792747
OG0001744	AFUN2_014229	LOC129787602
OG0001745	AFUN2_009992	LOC129787587
OG0001746	AFUN2_009688	LOC129797065
OG0001747	AFUN2_003189	LOC129794259
OG0001748	AFUN2_008016	LOC129786441
OG0001749	AFUN2_003323	LOC129792376
OG0001750	AFUN2_012487	LOC129790222
OG0001751	AFUN2_002625	LOC129794909
OG0001752	AFUN2_013026	LOC129786866
OG0001753	AFUN2_006138	LOC129796574, LOC129796573
OG0001754	AFUN2_007020	LOC129788770, LOC129788776, LOC129795979
OG0001755	AFUN2_003557	LOC129794760
OG0001756	AFUN2_004599	LOC129791759
OG0001757	AFUN2_010325	LOC129789606
OG0001758	AFUN2_005153	LOC129789116
OG0001759	AFUN2_007343	LOC129789065
OG0001760	AFUN2_014433	LOC129787052
OG0001762	AFUN2_005406	LOC129792088
OG0001763	AFUN2_004134	LOC129791736
OG0001764	AFUN2_012453	LOC129794248
OG0001765	AFUN2_008230	LOC129793816
OG0001767	AFUN2_010467	LOC129785893
OG0001768	AFUN2_005225	LOC129792769
OG0001769	AFUN2_008223	LOC129793630
OG0001771	AFUN2_009955, AFUN2_008704	LOC129788791
OG0001772	AFUN2_008091	LOC129789245, LOC129789345
OG0001773	AFUN2_004512	LOC129792735
OG0001774	AFUN2_005883	LOC129789403
