Orthogroup	AfunestusAfunGA1	LlongipalpisASM
OG0000011	AFUN2_011181, AFUN2_008927, AFUN2_000890, AFUN2_006226, AFUN2_002927, AFUN2_003622, AFUN2_009821, AFUN2_002952	LOC129797415
OG0000012	AFUN2_005969	LOC129789249
OG0000012	AFUN2_008516	LOC129796964
OG0000012	AFUN2_006798	LOC129788898
OG0000012	AFUN2_008107	LOC129785913
OG0000013	AFUN2_008231, AFUN2_000667	LOC129797413
OG0000013	AFUN2_002726, AFUN2_011275, AFUN2_004549, AFUN2_003503, AFUN2_006795, AFUN2_014386	LOC129797312
OG0000014	AFUN2_006975, AFUN2_010356, AFUN2_013192, AFUN2_003737, AFUN2_003098, AFUN2_013474, AFUN2_002513, AFUN2_008438, AFUN2_003359, AFUN2_004329, AFUN2_005094, AFUN2_012908, AFUN2_008870, AFUN2_007912, AFUN2_012081, AFUN2_012747, AFUN2_001598, AFUN2_000713, AFUN2_001431	LOC129792111
OG0000015	AFUN2_012161, AFUN2_000980, AFUN2_004072, AFUN2_012163, AFUN2_005101, AFUN2_004396	LOC129788366, LOC129788367, LOC129788777, LOC129788775, LOC129788781, LOC129788778, LOC129788779, LOC129797049, LOC129793013, LOC129795681, LOC129789753, LOC129789752, LOC129797050, LOC129797052, LOC129797053, LOC129797054, LOC129797059, LOC129797058, LOC129797057, LOC129797056, LOC129797048
OG0000016	AFUN2_008470	LOC129794929, LOC129788356
OG0000016	AFUN2_011213, AFUN2_014654, AFUN2_011099, AFUN2_013263, AFUN2_014351, AFUN2_010177, AFUN2_004982	LOC129793987, LOC129790084, LOC129787750, LOC129797705, LOC129797701
OG0000017	AFUN2_003556, AFUN2_007093	LOC129788896
OG0000017	AFUN2_008822	LOC129785930, LOC129789495
OG0000017	AFUN2_006866	LOC129785925
OG0000018	AFUN2_013059, AFUN2_002966, AFUN2_011150, AFUN2_012475, AFUN2_011223, AFUN2_011876, AFUN2_008864, AFUN2_014266, AFUN2_001299, AFUN2_006108, AFUN2_012164, AFUN2_009843, AFUN2_001215, AFUN2_001911, AFUN2_003667, AFUN2_014221, AFUN2_006909, AFUN2_000851	LOC129786868
OG0000021	AFUN2_013453, AFUN2_010217	LOC129797244
OG0000021	AFUN2_001683	LOC129788422
OG0000021	AFUN2_011639, AFUN2_002771, AFUN2_007302, AFUN2_014571, AFUN2_010167	LOC129795630, LOC129795629
OG0000022	AFUN2_003020, AFUN2_009564, AFUN2_014204, AFUN2_008458, AFUN2_006596, AFUN2_002978	LOC129792077
OG0000023	AFUN2_002757, AFUN2_008581, AFUN2_012787, AFUN2_013813, AFUN2_005728, AFUN2_001616	LOC129786633
