Orthogroup	AdirusWRAIR2	Aalbopictus_AalbF5
OG0000039	ADIR015925, ADIR015923, ADIR008758, ADIR007693, ADIR015924, ADIR015928, ADIR015927, ADIR007692, ADIR015926	LOC115267561, LOC109404256, LOC109416577, LOC109429852, LOC109433331, LOC109431626, LOC109401619, LOC115260826
OG0000040	ADIR015602, ADIR015601	LOC109426099, LOC109429627, LOC109623406, LOC109623405
OG0000040	ADIR015539, ADIR015541, ADIR015540, ADIR015544, ADIR006103, ADIR015562, ADIR006102	LOC109429616, LOC109424203
OG0000041	ADIR001834	LOC109623326
OG0000041	ADIR001833	LOC109623385
OG0000041	ADIR001835	LOC109623384, LOC109623325
OG0000041	ADIR003420	LOC109426866
OG0000042	ADIR000587, ADIR011155, ADIR000580	LOC109402120
OG0000046	ADIR003197	LOC109622330, LOC109621357, LOC109622339
OG0000048	ADIR014671, ADIR016188, ADIR007974, ADIR016182, ADIR016183, ADIR016186, ADIR016187, ADIR016181, ADIR016189	LOC109428624, LOC109422505, LOC109420363, LOC109401660, LOC109418726, LOC134292261
OG0000049	ADIR016124	LOC115257883
OG0000049	ADIR016128	LOC115257642
OG0000049	ADIR015764, ADIR015763, ADIR015765, ADIR015762	LOC115253560
OG0000049	ADIR016123	LOC109403394
OG0000051	ADIR009276	LOC134287878, LOC134286741, LOC134286742, LOC134287876, LOC134286737, LOC134287877
OG0000053	ADIR009846, ADIR011408, ADIR011407, ADIR009847, ADIR009845	LOC134290123
OG0000055	ADIR003019	LOC109425568
OG0000057	ADIR009281, ADIR014808, ADIR009282	LOC109400285, LOC109400301, LOC134286750, LOC109400303, LOC109425074
OG0000058	ADIR006057	LOC109429556, LOC109429973
OG0000059	ADIR001566, ADIR015747, ADIR015748, ADIR015749, ADIR001568	LOC115263209
OG0000059	ADIR003672, ADIR003674	LOC109397955
OG0000059	ADIR016197	LOC109398113
OG0000061	ADIR009531	LOC115262216, LOC109407552
OG0000061	ADIR007445	LOC109426588
OG0000061	ADIR015571	LOC109412270, LOC109397255
OG0000063	ADIR010309	LOC109399308, LOC109399296
OG0000063	ADIR008969	LOC109430420, LOC109405725, LOC109413826, LOC109428843, LOC109420947, LOC109399306, LOC115261478, LOC109426952, LOC109405771
OG0000064	ADIR004674	LOC109407215, LOC109407216, LOC109405887, LOC109424210, LOC109412709, LOC134285929
OG0000064	ADIR005809	LOC109433412
OG0000066	ADIR016088	LOC134290054, LOC134289693, LOC134288373
OG0000067	ADIR001930	LOC109399585
OG0000067	ADIR000539	LOC109426033, LOC109426036
OG0000067	ADIR000540	LOC109426037
OG0000068	ADIR007458	LOC109399171
OG0000068	ADIR007459	LOC109413965, LOC109413968, LOC109398683, LOC109405051, LOC109413969
OG0000068	ADIR007460	LOC109399209
OG0000069	ADIR003464	LOC134287966
OG0000069	ADIR007962, ADIR007263, ADIR007262, ADIR003511	LOC109420427, LOC115257481, LOC115257619
OG0000071	ADIR001093	LOC109401104
OG0000071	ADIR002693	LOC109417603, LOC109402034
OG0000071	ADIR011119, ADIR011120, ADIR011116	LOC109419909
OG0000072	ADIR001900	LOC109418556
OG0000072	ADIR003546	LOC115261630
OG0000072	ADIR008039	LOC109403768, LOC109403788
OG0000073	ADIR010953	LOC109433130
OG0000074	ADIR003703, ADIR003702, ADIR003701	LOC109399202, LOC109399162
OG0000074	ADIR007318	LOC109399205
OG0000075	ADIR008602, ADIR008603, ADIR008604	LOC109424138, LOC109430779, LOC109424181, LOC115263087, LOC109424139, LOC115263088, LOC115263086, LOC115263362
OG0000076	ADIR000003, ADIR000001, ADIR011543, ADIR014002, ADIR001442, ADIR000068, ADIR002333, ADIR002334	LOC109433173, LOC109433174
OG0000077	ADIR007690	LOC115267608, LOC115267631, LOC115267607
OG0000078	ADIR014322	LOC134284552
OG0000078	ADIR014246	LOC115267917
OG0000079	ADIR010062	LOC109422560, LOC109399710
OG0000080	ADIR007435	LOC109417818
OG0000080	ADIR000033	LOC109420119, LOC109420142
OG0000081	ADIR007942	LOC115265020
OG0000081	ADIR008727, ADIR007940	LOC109422446, LOC115265018, LOC109422423, LOC115265016
OG0000081	ADIR007943	LOC109425727
OG0000082	ADIR000069, ADIR000071, ADIR000093	LOC109408162
OG0000085	ADIR015828, ADIR015824, ADIR015826, ADIR015825, ADIR015827, ADIR015829	LOC109412325, LOC109422704, LOC109422705, LOC109424438, LOC115254680
OG0000086	ADIR009203	LOC109402934
OG0000086	ADIR003037	LOC115258102, LOC109405184, LOC109426350, LOC115254457
OG0000086	ADIR006613	LOC109399012, LOC109622980
OG0000088	ADIR000163	LOC115257675, LOC115257694
OG0000088	ADIR000290, ADIR000294	LOC109433460, LOC115267981, LOC109433519, LOC109418404, LOC109419766
OG0000089	ADIR009555	LOC109426269, LOC134289925
OG0000089	ADIR009554	LOC134289926, LOC134292138
OG0000090	ADIR015919	LOC109430577, LOC109424283, LOC109428699, LOC109428697
OG0000090	ADIR007286	LOC109399239
OG0000090	ADIR007285	LOC109429051
OG0000091	ADIR006521	LOC109429227
OG0000096	ADIR000343	LOC109422254
OG0000096	ADIR010758	LOC109414298
OG0000096	ADIR009091	LOC115264212
OG0000096	ADIR000344	LOC109422250
OG0000097	ADIR010274, ADIR010273	LOC109433277
OG0000098	ADIR014792, ADIR006291, ADIR006333, ADIR006300, ADIR015892, ADIR015893	LOC115258660, LOC109419553, LOC109409374, LOC115258766, LOC115260917
OG0000102	ADIR010820	LOC134289997, LOC134290347
OG0000104	ADIR006249	LOC109421248, LOC109421247, LOC109410842, LOC109421246
OG0000104	ADIR010870, ADIR010871, ADIR010869	LOC109410832, LOC109427506, LOC109427507
OG0000108	ADIR004058	LOC109429333, LOC109421068, LOC109429251, LOC109421067, LOC109429469, LOC115258785, LOC109421073, LOC109428607, LOC109421072
OG0000109	ADIR007689	LOC134288467, LOC109417980
OG0000109	ADIR009055	LOC109402397, LOC134284738
OG0000111	ADIR000646, ADIR000644	LOC115265527, LOC115253427, LOC115265528, LOC115265526, LOC109432478, LOC115253746
OG0000115	ADIR007384	LOC109413498
OG0000115	ADIR007383	LOC109410773
OG0000116	ADIR006147	LOC115262073
OG0000116	ADIR005173	LOC109400294
OG0000117	ADIR010829	LOC109398787, LOC134290019
OG0000119	ADIR007783	LOC109409689
OG0000119	ADIR007782	LOC109409692, LOC109409691, LOC109409690, LOC134287661
OG0000120	ADIR015976	LOC109402840, LOC109406119, LOC115261111
OG0000120	ADIR015969, ADIR015967	LOC115261112
OG0000127	ADIR002706	LOC109399383, LOC109430899, LOC115263186, LOC115263188, LOC115263189, LOC109411349
OG0000128	ADIR005627	LOC109397004
OG0000128	ADIR016172, ADIR016170	LOC115262796
OG0000130	ADIR003050	LOC109426323
OG0000130	ADIR011436, ADIR011726, ADIR011435	LOC109421326
OG0000131	ADIR011335	LOC109420718
OG0000131	ADIR011339	LOC109420605
OG0000133	ADIR000444	LOC109425940
OG0000133	ADIR000139, ADIR000140	LOC109433309, LOC134291485
OG0000134	ADIR003660	LOC115267595, LOC109399470
OG0000134	ADIR003658	LOC115267583
OG0000135	ADIR005919	LOC109411771
OG0000136	ADIR000092, ADIR000087	LOC109418558, LOC109413120, LOC109400919
OG0000136	ADIR006020	LOC109401827, LOC109412093, LOC109404625
OG0000141	ADIR007903	LOC115266541, LOC109426247, LOC115266539, LOC109411169, LOC109411161, LOC109426249, LOC109426250
OG0000142	ADIR008287	LOC109401436, LOC109423496
OG0000142	ADIR008294	LOC109423512
OG0000142	ADIR003290	LOC109423498
OG0000143	ADIR004529	LOC115271081, LOC109422534, LOC115271082, LOC109422663, LOC109401093, LOC109422664, LOC109422665, LOC109401117
OG0000146	ADIR015797, ADIR015798	LOC109406196, LOC109406203
OG0000147	ADIR011038	LOC109402061, LOC109421511, LOC109421512
OG0000148	ADIR005101	LOC109421171
OG0000149	ADIR007907	LOC109426259
OG0000149	ADIR007908	LOC109426253
OG0000150	ADIR008060	LOC115266551
OG0000151	ADIR015810	LOC109412232
OG0000152	ADIR015582	LOC109408684
OG0000152	ADIR008754, ADIR006715	LOC109408682
