Orthogroup	AdirusWRAIR2	LlongipalpisASM
OG0000058	ADIR011421	LOC129790199
OG0000059	ADIR001566, ADIR015747, ADIR015748, ADIR015749, ADIR001568, ADIR003672, ADIR003674, ADIR016197	LOC129794147
OG0000061	ADIR009531	LOC129795031
OG0000061	ADIR007445	LOC129795029, LOC129795028
OG0000061	ADIR015570, ADIR015571	LOC129795034
OG0000064	ADIR004674, ADIR005809, ADIR004675, ADIR004673	LOC129790088, LOC129790085
OG0000067	ADIR001930, ADIR000539, ADIR000540	LOC129796553, LOC129796550, LOC129789877, LOC129796549
OG0000068	ADIR007458, ADIR007459	LOC129794030
OG0000068	ADIR007460	LOC129794029, LOC129794026, LOC129794027
OG0000069	ADIR003464, ADIR007962, ADIR007263, ADIR007262, ADIR003511	LOC129797773, LOC129786174, LOC129792812
OG0000071	ADIR001093, ADIR002693, ADIR011119, ADIR011120, ADIR011116	LOC129797006
OG0000072	ADIR001900	LOC129787850, LOC129787849
OG0000073	ADIR010953	LOC129790978, LOC129789240, LOC129791095, LOC129786082, LOC129794430, LOC129789666, LOC129795974, LOC129794559, LOC129796201, LOC129786939, LOC129791894, LOC129796558, LOC129796557, LOC129786080, LOC129796556, LOC129791096, LOC129791101, LOC129791098, LOC129791103, LOC129789241, LOC129791100
OG0000077	ADIR007690	LOC129793367
OG0000078	ADIR003319, ADIR005222, ADIR002699, ADIR005603, ADIR003863, ADIR014322, ADIR014246	LOC129795036
OG0000079	ADIR010062	LOC129796831
OG0000080	ADIR007435, ADIR007208, ADIR000033	LOC129790108
OG0000086	ADIR009203, ADIR003037, ADIR006613	LOC129787729, LOC129787734
OG0000088	ADIR000163, ADIR000290, ADIR000294	LOC129795927, LOC129794489, LOC129796007
OG0000090	ADIR015919	LOC129787919, LOC129787933
OG0000090	ADIR007286, ADIR007285	LOC129793252
OG0000090	ADIR015920, ADIR015918	LOC129787938, LOC129787928
OG0000091	ADIR006521	LOC129795565, LOC129795549, LOC129795142, LOC129795133, LOC129795583, LOC129789029, LOC129789027, LOC129789025, LOC129795971, LOC129789035, LOC129789024, LOC129789033, LOC129789030, LOC129796911, LOC129793099, LOC129791148
OG0000093	ADIR002132, ADIR015594, ADIR007529, ADIR003861, ADIR014323	LOC129786127
OG0000096	ADIR000343	LOC129794915
OG0000096	ADIR010758, ADIR009091, ADIR000344	LOC129794914
OG0000097	ADIR010274, ADIR010273	LOC129797700, LOC129797734
OG0000108	ADIR004058	LOC129793972, LOC129793976, LOC129793973, LOC129793970, LOC129793974
OG0000109	ADIR007689	LOC129796958
OG0000109	ADIR009055	LOC129787301
OG0000114	ADIR000642, ADIR000643	LOC129791409
OG0000115	ADIR007384, ADIR007383	LOC129791666, LOC129793325, LOC129793062, LOC129793066, LOC129793059, LOC129793073, LOC129793061, LOC129793070, LOC129791529, LOC129793067, LOC129793065, LOC129793068, LOC129793069, LOC129795580, LOC129796158, LOC129787756, LOC129786908, LOC129794439, LOC129794247, LOC129793072, LOC129793063
OG0000116	ADIR006147	LOC129790116, LOC129790115, LOC129790117
OG0000116	ADIR005173	LOC129791153
OG0000117	ADIR010829, ADIR006765	LOC129796173, LOC129789407, LOC129796171, LOC129789263, LOC129788638
OG0000120	ADIR015976, ADIR015969, ADIR015967, ADIR004301	LOC129795901, LOC129797227
OG0000124	ADIR007238, ADIR007236, ADIR007249, ADIR007237, ADIR007235	LOC129786906
OG0000128	ADIR005627	LOC129794451, LOC129794450
OG0000128	ADIR016172, ADIR016170	LOC129794553, LOC129795542, LOC129795535
OG0000130	ADIR003050, ADIR011436, ADIR011726, ADIR011435	LOC129795831, LOC129797298
OG0000131	ADIR011335	LOC129792347
OG0000131	ADIR011339	LOC129792345
OG0000132	ADIR009202, ADIR010804	LOC129794613
OG0000133	ADIR000444, ADIR000139, ADIR000140	LOC129795866, LOC129794696
OG0000134	ADIR003659, ADIR003660, ADIR003658	LOC129792867
OG0000135	ADIR011399, ADIR005919, ADIR000262, ADIR005920	LOC129786134
OG0000136	ADIR000092, ADIR000087, ADIR006020	LOC129797461, LOC129792712, LOC129794643, LOC129788901
OG0000142	ADIR008287, ADIR008294	LOC129792316, LOC129793845
OG0000142	ADIR003290	LOC129797567
OG0000143	ADIR004529	LOC129791170, LOC129789375, LOC129796631, LOC129797016, LOC129795158
OG0000146	ADIR015797, ADIR015798	LOC129797766, LOC129797769, LOC129797768
OG0000147	ADIR011038	LOC129794463, LOC129794464, LOC129795792, LOC129791878, LOC129794470
OG0000148	ADIR005101	LOC129790546
OG0000150	ADIR008060	LOC129796012, LOC129794490, LOC129793766, LOC129794455, LOC129794453, LOC129794454, LOC129793045, LOC129794465, LOC129787861, LOC129795803, LOC129788664, LOC129789815, LOC129789262, LOC129792961, LOC129794538, LOC129795599, LOC129795594, LOC129795597, LOC129787024, LOC129787028, LOC129794960, LOC129795247, LOC129795605, LOC129786474, LOC129796164
OG0000151	ADIR015810	LOC129787141, LOC129787139, LOC129787137, LOC129787138, LOC129787316, LOC129788322, LOC129794423, LOC129794422, LOC129787140, LOC129791519, LOC129796677, LOC129794556, LOC129795292, LOC129792484, LOC129792407, LOC129787123, LOC129794546, LOC129794547, LOC129787135, LOC129787132, LOC129787133
OG0000152	ADIR015582	LOC129794238
OG0000152	ADIR008753	LOC129787698
OG0000154	ADIR006364	LOC129791038
OG0000157	ADIR006810	LOC129793002
OG0000160	ADIR003566	LOC129797691, LOC129797713, LOC129786217
OG0000161	ADIR005168	LOC129794572
OG0000161	ADIR003591	LOC129790631
OG0000162	ADIR000480, ADIR000482	LOC129792306
OG0000163	ADIR015554, ADIR015557, ADIR015556	LOC129793077, LOC129787054, LOC129793078
OG0000164	ADIR004411	LOC129788007
OG0000164	ADIR004413	LOC129786795
OG0000165	ADIR001509, ADIR001510, ADIR009841, ADIR005706	LOC129785838
OG0000166	ADIR016085, ADIR008138, ADIR016086	LOC129793375, LOC129794220, LOC129793372
OG0000171	ADIR002126	LOC129795354, LOC129794700, LOC129794677, LOC129794701, LOC129795225, LOC129795227, LOC129794699, LOC129795228, LOC129795229, LOC129795541, LOC129794504, LOC129795205, LOC129795346
OG0000172	ADIR000138, ADIR000141, ADIR000131	LOC129796083
OG0000173	ADIR011553, ADIR011554	LOC129796378, LOC129791724, LOC129796377, LOC129787463
OG0000174	ADIR003663, ADIR000944, ADIR015737, ADIR015738	LOC129785929
OG0000176	ADIR005586, ADIR005791, ADIR003904, ADIR006756	LOC129787791, LOC129788000
OG0000183	ADIR006377, ADIR005819	LOC129786975, LOC129786974
OG0000184	ADIR006005, ADIR015591, ADIR015590	LOC129794345
OG0000187	ADIR002758	LOC129796892
OG0000188	ADIR009257, ADIR009256	LOC129786978
OG0000189	ADIR005379	LOC129787889
OG0000189	ADIR010508	LOC129787087
OG0000190	ADIR005000, ADIR011475	LOC129790672
OG0000190	ADIR011077, ADIR004999	LOC129789849
OG0000192	ADIR010909	LOC129789885
OG0000192	ADIR005792	LOC129791401
OG0000192	ADIR000914	LOC129789886
OG0000193	ADIR005330	LOC129791916, LOC129788591, LOC129786638
OG0000194	ADIR005946	LOC129795950
OG0000196	ADIR010880	LOC129795528, LOC129795532, LOC129794832, LOC129789213, LOC129790781, LOC129791275, LOC129789195, LOC129786848, LOC129794519, LOC129789210, LOC129789868, LOC129789795
OG0000200	ADIR000096	LOC129796145
OG0000200	ADIR000097, ADIR000098, ADIR006692	LOC129786068
OG0000201	ADIR004196	LOC129792426, LOC129792425, LOC129792423
OG0000202	ADIR001167, ADIR003924	LOC129795977
OG0000204	ADIR015854, ADIR016103, ADIR015857, ADIR015855, ADIR015856	LOC129790266
OG0000206	ADIR000696	LOC129791164
OG0000207	ADIR016010, ADIR016011	LOC129791699
OG0000208	ADIR001797, ADIR001798	LOC129796425
OG0000209	ADIR001972	LOC129787514, LOC129785969
OG0000217	ADIR010726	LOC129790202
OG0000217	ADIR005194	LOC129790328
OG0000218	ADIR011222, ADIR011220, ADIR011219	LOC129795659
OG0000220	ADIR006414	LOC129787563
OG0000222	ADIR000671, ADIR004389, ADIR004052	LOC129788692
OG0000223	ADIR010046	LOC129786636
OG0000224	ADIR008980, ADIR008979	LOC129786419
OG0000225	ADIR016029, ADIR016028, ADIR016027	LOC129797834, LOC129797833
OG0000229	ADIR002810, ADIR005804, ADIR005315	LOC129787399, LOC129793458
OG0000231	ADIR007453, ADIR007454	LOC129794015
OG0000232	ADIR006899, ADIR016139, ADIR016138	LOC129791885
OG0000233	ADIR010041	LOC129788486, LOC129787862, LOC129786858, LOC129786703, LOC129786707, LOC129786861, LOC129794816, LOC129791369
OG0000234	ADIR000732, ADIR000742, ADIR000738	LOC129793719, LOC129790671
OG0000235	ADIR002045	LOC129790399, LOC129790400
OG0000236	ADIR010024, ADIR000559	LOC129792513, LOC129796101, LOC129796113, LOC129791232, LOC129791233, LOC129796111, LOC129796105, LOC129795313
OG0000237	ADIR015947, ADIR015946	LOC129786679, LOC129789236, LOC129786907, LOC129786678, LOC129786674, LOC129786673, LOC129791926, LOC129796314, LOC129789908, LOC129786865, LOC129786875, LOC129786873
OG0000244	ADIR005063, ADIR005071, ADIR005072	LOC129788572
OG0000245	ADIR002600	LOC129788329, LOC129791448, LOC129788328
OG0000248	ADIR015997, ADIR015996	LOC129790447
OG0000250	ADIR015773	LOC129791946
OG0000250	ADIR015774, ADIR015775	LOC129792061
OG0000254	ADIR005871, ADIR008307	LOC129794727, LOC129794738
OG0000265	ADIR008235, ADIR008228, ADIR001201	LOC129794745
OG0000266	ADIR006770, ADIR000724, ADIR000723	LOC129788826
OG0000268	ADIR005898, ADIR005897, ADIR005896	LOC129790334, LOC129790344
OG0000269	ADIR016218	LOC129786292
OG0000270	ADIR001672, ADIR001921	LOC129795988
OG0000272	ADIR001841, ADIR001852, ADIR009159	LOC129792269
OG0000273	ADIR009959	LOC129794573, LOC129794527, LOC129794600
OG0000274	ADIR009412	LOC129788675, LOC129795658, LOC129788672, LOC129795638
OG0000277	ADIR002721, ADIR002720	LOC129791521
OG0000278	ADIR001634, ADIR001650, ADIR001649, ADIR001631	LOC129786521, LOC129791056, LOC129791052
OG0000280	ADIR004761, ADIR004760, ADIR004759	LOC129794053
OG0000286	ADIR005642	LOC129786965
OG0000289	ADIR016116, ADIR016115	LOC129789651, LOC129789648, LOC129789646
OG0000290	ADIR002288, ADIR002287	LOC129794578
OG0000291	ADIR007609	LOC129796116
OG0000291	ADIR015675	LOC129791815
OG0000292	ADIR009319, ADIR009317	LOC129789397
OG0000293	ADIR000907, ADIR008608	LOC129794823, LOC129788774
OG0000294	ADIR002675, ADIR002676, ADIR001029	LOC129789645
OG0000294	ADIR005219	LOC129789635
OG0000296	ADIR000603	LOC129789943
OG0000297	ADIR015723, ADIR015724	LOC129791271, LOC129795319, LOC129790452, LOC129793248
OG0000299	ADIR010341, ADIR002354	LOC129797703
OG0000302	ADIR016215, ADIR008218	LOC129794019, LOC129794016
OG0000303	ADIR005584, ADIR005583, ADIR004582	LOC129786927
OG0000304	ADIR010873	LOC129788607
OG0000304	ADIR010872	LOC129788353
OG0000305	ADIR005190, ADIR010835, ADIR010833, ADIR010838, ADIR004507, ADIR004700, ADIR010836, ADIR010839, ADIR004701, ADIR010837, ADIR010841, ADIR010840, ADIR004506, ADIR010834	LOC129788936
OG0000306	ADIR010982, ADIR010985, ADIR010986, ADIR010984	LOC129792581
OG0000319	ADIR004939, ADIR007826	LOC129792976, LOC129792973
OG0000324	ADIR010906, ADIR010907	LOC129791049
OG0000325	ADIR006976	LOC129793668
OG0000326	ADIR005565, ADIR003427, ADIR003426	LOC129786690
OG0000327	ADIR004793	LOC129788407
OG0000328	ADIR001956, ADIR001957	LOC129795928
OG0000329	ADIR006061, ADIR003916, ADIR006062	LOC129790306
OG0000330	ADIR001248	LOC129790371
OG0000331	ADIR009969	LOC129786465
OG0000332	ADIR010199, ADIR010356, ADIR010198	LOC129787519
OG0000333	ADIR004150, ADIR004140, ADIR007959, ADIR003780	LOC129792561
OG0000334	ADIR004979	LOC129789420, LOC129789377, LOC129789388, LOC129789243, LOC129789387, LOC129789380, LOC129789362, LOC129789379, LOC129789244, LOC129789242, LOC129789359, LOC129789374
OG0000336	ADIR004183, ADIR004182, ADIR004184	LOC129790183, LOC129792929
OG0000344	ADIR008368, ADIR001581	LOC129796894, LOC129796895, LOC129786968
OG0000345	ADIR000883	LOC129786395
OG0000349	ADIR008567, ADIR008566	LOC129793891
OG0000351	ADIR000179, ADIR000178	LOC129794682
OG0000352	ADIR005371	LOC129786247
OG0000352	ADIR004606	LOC129786294
OG0000353	ADIR007451	LOC129794007
OG0000354	ADIR002946, ADIR010471	LOC129787091
OG0000355	ADIR006415	LOC129787439
OG0000356	ADIR009183	LOC129786611, LOC129786607, LOC129786612, LOC129786240
OG0000357	ADIR010484, ADIR010483, ADIR010481, ADIR010482	LOC129797618
OG0000359	ADIR008488	LOC129793872
OG0000360	ADIR001997	LOC129793800, LOC129796548
OG0000363	ADIR015546, ADIR015547	LOC129797000
OG0000364	ADIR016198, ADIR016196	LOC129791717
OG0000365	ADIR004665	LOC129787071
OG0000367	ADIR003716	LOC129794337, LOC129792101, LOC129795024
OG0000368	ADIR004446	LOC129790768, LOC129790769, LOC129796330, LOC129790703, LOC129790738, LOC129790737, LOC129790736
OG0000369	ADIR010892, ADIR010893, ADIR010887	LOC129790261
OG0000370	ADIR000577	LOC129794441, LOC129794442, LOC129794443
OG0000370	ADIR010058	LOC129786379
OG0000371	ADIR007433, ADIR007434, ADIR007436	LOC129794045
OG0000372	ADIR015735, ADIR015734	LOC129790937
OG0000381	ADIR016122, ADIR016121	LOC129792906, LOC129792907, LOC129792591
OG0000382	ADIR011633	LOC129786797, LOC129796311
OG0000382	ADIR011634	LOC129796310
OG0000383	ADIR009909	LOC129785995
OG0000383	ADIR009553	LOC129787610, LOC129794998
OG0000386	ADIR007470	LOC129794213
OG0000387	ADIR001678, ADIR006893	LOC129792588
OG0000389	ADIR003638	LOC129792672
OG0000390	ADIR009143	LOC129786718
OG0000391	ADIR006703	LOC129787235
OG0000391	ADIR000463	LOC129791955
OG0000393	ADIR008379, ADIR008380	LOC129785949, LOC129785948, LOC129785957
OG0000394	ADIR009815	LOC129791762
OG0000395	ADIR004795	LOC129788433
OG0000395	ADIR000918	LOC129796829, LOC129789717
OG0000396	ADIR006188, ADIR006187	LOC129790169
OG0000397	ADIR005187	LOC129790187
OG0000397	ADIR002696	LOC129790172
OG0000399	ADIR001694, ADIR007577	LOC129794264
OG0000400	ADIR003792, ADIR003582	LOC129786701
OG0000401	ADIR003313	LOC129797202
OG0000401	ADIR001782	LOC129786605
OG0000403	ADIR001185	LOC129788394
OG0000403	ADIR008736	LOC129793356
OG0000404	ADIR000386	LOC129795523
OG0000407	ADIR002282, ADIR009590	LOC129791712
OG0000408	ADIR001544	LOC129797650, LOC129797649
OG0000409	ADIR004706, ADIR004703, ADIR004705	LOC129787069
OG0000410	ADIR002540	LOC129786954, LOC129794457
OG0000412	ADIR002367, ADIR002366, ADIR002365	LOC129788847
OG0000413	ADIR015533, ADIR015532, ADIR015501	LOC129792318
OG0000414	ADIR014057, ADIR000659, ADIR000660, ADIR000661	LOC129790511
OG0000416	ADIR007938, ADIR007755	LOC129792009
OG0000417	ADIR010431	LOC129796020
OG0000417	ADIR005728	LOC129792608, LOC129787782
OG0000424	ADIR001410	LOC129785892
OG0000430	ADIR009309, ADIR003911	LOC129790395
OG0000431	ADIR003217	LOC129786890, LOC129786889, LOC129786888
OG0000432	ADIR009396, ADIR004972	LOC129793235
OG0000433	ADIR003006, ADIR003007	LOC129787458
OG0000435	ADIR010798	LOC129793979, LOC129788654
OG0000437	ADIR005813	LOC129796837, LOC129796843
OG0000437	ADIR005815	LOC129786972
OG0000438	ADIR005817, ADIR005814	LOC129796877, LOC129796853
OG0000439	ADIR010992	LOC129791046
OG0000440	ADIR003328, ADIR003327	LOC129786063
OG0000441	ADIR007412, ADIR000981	LOC129789191
OG0000442	ADIR004523, ADIR004522, ADIR004521	LOC129787812
