Orthogroup	AdirusWRAIR2	LlongipalpisASM
OG0001584	ADIR002058	LOC129797763
OG0001585	ADIR005592	LOC129789268
OG0001586	ADIR010571	LOC129788752
OG0001587	ADIR003431	LOC129787948
OG0001588	ADIR003435, ADIR003436	LOC129786414, LOC129786472
OG0001589	ADIR000292	LOC129789338, LOC129789341
OG0001590	ADIR011260	LOC129792557
OG0001592	ADIR001727	LOC129795990
OG0001593	ADIR010395	LOC129795094
OG0001594	ADIR010394	LOC129787197, LOC129789390
OG0001595	ADIR002543	LOC129792937
OG0001596	ADIR008141	LOC129793446
OG0001597	ADIR002020	LOC129794506
OG0001598	ADIR002009, ADIR002012	LOC129796977
OG0001599	ADIR002006	LOC129795862, LOC129795861
OG0001600	ADIR001072	LOC129787918
OG0001601	ADIR000334	LOC129794834
OG0001602	ADIR004477	LOC129793648
OG0001603	ADIR011203	LOC129787433
OG0001604	ADIR008125	LOC129791740, LOC129797719
OG0001605	ADIR008806	LOC129792643
OG0001606	ADIR010010	LOC129786475
OG0001607	ADIR001965	LOC129794461
OG0001608	ADIR001962	LOC129793958
OG0001609	ADIR001963	LOC129793831
OG0001610	ADIR008093	LOC129790774
OG0001611	ADIR004156	LOC129794313
OG0001612	ADIR009646	LOC129795496
OG0001613	ADIR009638	LOC129793815, LOC129786668, LOC129786729
OG0001614	ADIR001814	LOC129795844
OG0001615	ADIR007417, ADIR010331	LOC129793898
OG0001616	ADIR009673	LOC129792007
OG0001617	ADIR008276	LOC129790376
OG0001618	ADIR010321	LOC129792832, LOC129787634
OG0001619	ADIR006847	LOC129786506, LOC129786488
OG0001620	ADIR006855	LOC129786438
OG0001621	ADIR005959	LOC129787620
OG0001622	ADIR000229	LOC129792130
OG0001623	ADIR002583	LOC129787944
OG0001624	ADIR006279	LOC129787347
OG0001625	ADIR009855, ADIR004503	LOC129796179
OG0001626	ADIR004723	LOC129792140, LOC129797795
OG0001628	ADIR007804	LOC129791569
OG0001630	ADIR001215	LOC129795633
OG0001631	ADIR004561	LOC129786221
OG0001632	ADIR015668	LOC129793617
OG0001633	ADIR004897	LOC129789417
OG0001634	ADIR006023	LOC129796839
OG0001635	ADIR002562	LOC129795027
OG0001636	ADIR002560	LOC129790733
OG0001637	ADIR009721	LOC129790595
OG0001638	ADIR005977	LOC129790797
OG0001639	ADIR015882	LOC129796206
OG0001640	ADIR011206	LOC129789851, LOC129789850, LOC129789085
OG0001641	ADIR007314	LOC129790175
OG0001642	ADIR007293	LOC129793308
OG0001643	ADIR008405	LOC129797437
OG0001644	ADIR010562	LOC129796435
OG0001645	ADIR005317	LOC129795123
OG0001647	ADIR003041	LOC129796554
OG0001648	ADIR003060	LOC129787158
OG0001649	ADIR008229	LOC129786326, LOC129795316, LOC129786322
OG0001650	ADIR001468	LOC129790931
OG0001651	ADIR001466	LOC129790887
OG0001652	ADIR006670	LOC129786116
OG0001654	ADIR011635	LOC129789585
OG0001655	ADIR000770	LOC129789602
OG0001656	ADIR011248	LOC129788086
OG0001657	ADIR011123	LOC129789357
OG0001658	ADIR003215	LOC129786809
OG0001659	ADIR009651	LOC129793899
OG0001660	ADIR002426	LOC129786022
OG0001661	ADIR006856	LOC129786658
OG0001662	ADIR003919, ADIR010988	LOC129792648
OG0001663	ADIR014799	LOC129796251
OG0001664	ADIR001135	LOC129790572
OG0001665	ADIR002090	LOC129790134
OG0001666	ADIR000802	LOC129789751
OG0001667	ADIR001027	LOC129790063
OG0001668	ADIR003407	LOC129793929
OG0001669	ADIR006865	LOC129792436
OG0001670	ADIR000433	LOC129795951
OG0001671	ADIR010938	LOC129788616
OG0001672	ADIR007052	LOC129789273, LOC129789272
OG0001673	ADIR006649	LOC129787185
OG0001674	ADIR007965	LOC129792010
OG0001675	ADIR007966	LOC129791982
OG0001676	ADIR009175	LOC129795464
OG0001677	ADIR009889	LOC129797117
OG0001678	ADIR002374	LOC129789742
OG0001679	ADIR001172	LOC129788938
OG0001680	ADIR006597	LOC129797090
OG0001681	ADIR002123	LOC129794747, LOC129794746
OG0001682	ADIR005052, ADIR005050	LOC129788060
OG0001683	ADIR004442	LOC129790728
OG0001684	ADIR004441	LOC129790725
OG0001685	ADIR004574	LOC129793889
OG0001686	ADIR008918	LOC129796857
OG0001688	ADIR009735	LOC129797292, LOC129797293, LOC129786585
OG0001689	ADIR001139	LOC129787992
OG0001690	ADIR007614, ADIR001176	LOC129789156
OG0001691	ADIR010032	LOC129793247, LOC129793246
OG0001692	ADIR002311	LOC129790239
OG0001694	ADIR009079, ADIR009080	LOC129787868
OG0001695	ADIR002927	LOC129786751
OG0001696	ADIR008991	LOC129788426
OG0001697	ADIR014151	LOC129792997
OG0001699	ADIR011358	LOC129795526
OG0001702	ADIR008553	LOC129789529
OG0001704	ADIR010761	LOC129785963
OG0001705	ADIR004381	LOC129797629
OG0001706	ADIR004384	LOC129789605, LOC129795515
OG0001708	ADIR004177	LOC129797541, LOC129792617, LOC129792400
OG0001709	ADIR015593	LOC129787238, LOC129790388
OG0001710	ADIR011581	LOC129796140
OG0001711	ADIR011673	LOC129788442
OG0001712	ADIR000920	LOC129789964
OG0001714	ADIR005085	LOC129791296
OG0001715	ADIR005602	LOC129796923
OG0001716	ADIR011484	LOC129790480
OG0001717	ADIR011487, ADIR011488	LOC129789932
OG0001718	ADIR002625	LOC129797155
OG0001719	ADIR015742	LOC129791721
OG0001720	ADIR005487	LOC129786098
OG0001721	ADIR002636	LOC129785973
OG0001722	ADIR003382	LOC129797064
OG0001723	ADIR003384	LOC129795874
OG0001724	ADIR008709, ADIR008710	LOC129786652
OG0001725	ADIR008021	LOC129794113
OG0001726	ADIR003882	LOC129792607, LOC129792727
OG0001727	ADIR004632	LOC129788794
OG0001728	ADIR001827	LOC129787839
OG0001730	ADIR009794, ADIR009795	LOC129796021
OG0001731	ADIR007718	LOC129788792, LOC129791986
OG0001732	ADIR009157	LOC129796695
OG0001733	ADIR009156	LOC129786263
OG0001734	ADIR005578, ADIR005577	LOC129791737, LOC129792398
OG0001735	ADIR002968	LOC129790824
OG0001736	ADIR008316	LOC129796096
OG0001737	ADIR009751	LOC129795468
OG0001738	ADIR001387	LOC129788301
OG0001739	ADIR005213	LOC129788022
OG0001741	ADIR010312	LOC129787555
OG0001742	ADIR003927	LOC129792632
OG0001743	ADIR011384	LOC129792747
OG0001744	ADIR015525	LOC129787602
OG0001745	ADIR011382	LOC129787587
OG0001746	ADIR015526	LOC129797065
OG0001747	ADIR009227	LOC129794259
OG0001748	ADIR006656	LOC129786441
OG0001749	ADIR003781	LOC129792376
OG0001750	ADIR001286, ADIR001287	LOC129790222
OG0001751	ADIR010777	LOC129794909
OG0001752	ADIR010445	LOC129786866
OG0001753	ADIR009617	LOC129796574, LOC129796573
OG0001754	ADIR002346	LOC129788770, LOC129788776, LOC129795979
OG0001755	ADIR004804	LOC129794760
OG0001756	ADIR016047	LOC129791759
OG0001757	ADIR002363	LOC129789606
OG0001758	ADIR000672	LOC129789116
OG0001759	ADIR000675	LOC129789065
OG0001760	ADIR004609	LOC129787052
OG0001762	ADIR000795, ADIR000796	LOC129792088
OG0001763	ADIR007031	LOC129791736
OG0001764	ADIR007524, ADIR007526	LOC129794248
OG0001765	ADIR007531	LOC129793816
OG0001768	ADIR004247, ADIR004246	LOC129792769
OG0001769	ADIR002880	LOC129793630
OG0001771	ADIR004977	LOC129788791
OG0001772	ADIR004980	LOC129789245, LOC129789345
OG0001773	ADIR002715	LOC129792735
OG0001774	ADIR006416	LOC129789403
OG0001775	ADIR006167	LOC129790827
OG0001776	ADIR007431	LOC129793498
OG0001777	ADIR004859	LOC129788364
OG0001778	ADIR015496, ADIR006631	LOC129797665
OG0001779	ADIR010780	LOC129794840
OG0001780	ADIR010781	LOC129794939
OG0001781	ADIR005301	LOC129793429
OG0001782	ADIR003096	LOC129787820
OG0001783	ADIR006736	LOC129786246
OG0001784	ADIR007739	LOC129793241
OG0001786	ADIR010961, ADIR010960	LOC129791199
OG0001787	ADIR001236	LOC129791381
OG0001788	ADIR004146	LOC129792127
OG0001789	ADIR004147	LOC129792135
OG0001790	ADIR001802, ADIR001295	LOC129790876
OG0001791	ADIR009902	LOC129786553
OG0001792	ADIR003819	LOC129796385
OG0001793	ADIR003805	LOC129792442
OG0001794	ADIR003806	LOC129797226
OG0001795	ADIR001494	LOC129789520, LOC129789252
OG0001796	ADIR016051	LOC129792783
OG0001798	ADIR010510	LOC129787211
OG0001799	ADIR006465	LOC129788959
OG0001800	ADIR004863	LOC129788729
OG0001802	ADIR005869	LOC129797610
OG0001803	ADIR000935	LOC129791007, LOC129791008
OG0001804	ADIR011312	LOC129795693
OG0001805	ADIR006461	LOC129790995
OG0001806	ADIR016158	LOC129792413
OG0001807	ADIR011423, ADIR011422	LOC129791367
OG0001808	ADIR009820, ADIR009821	LOC129792755
OG0001811	ADIR002536	LOC129792465
OG0001812	ADIR006559, ADIR000843	LOC129787649
OG0001813	ADIR004152	LOC129793732, LOC129793734
OG0001814	ADIR004153	LOC129792252
OG0001815	ADIR004964	LOC129787405
OG0001816	ADIR007852, ADIR004479	LOC129793276
OG0001817	ADIR015888	LOC129790365
OG0001818	ADIR003700	LOC129787508
OG0001819	ADIR003946	LOC129789556
OG0001820	ADIR007027, ADIR007026	LOC129793706
OG0001821	ADIR007655, ADIR007656	LOC129791557
OG0001822	ADIR006265, ADIR006264	LOC129793139
OG0001823	ADIR007204	LOC129791671
OG0001824	ADIR009340	LOC129790984
OG0001825	ADIR000790	LOC129795054
OG0001829	ADIR004343	LOC129795457
OG0001830	ADIR008660	LOC129795064
OG0001831	ADIR000988, ADIR000989	LOC129790640
OG0001832	ADIR002356	LOC129795501
OG0001833	ADIR010845	LOC129791389
OG0001834	ADIR009810, ADIR009809	LOC129792115
OG0001835	ADIR004410, ADIR004409	LOC129787975
OG0001837	ADIR006742, ADIR006739	LOC129787074
OG0001838	ADIR002044, ADIR002046	LOC129795573
OG0001839	ADIR006131, ADIR006130	LOC129791005
OG0001840	ADIR011540, ADIR003133	LOC129788825
OG0001841	ADIR008203	LOC129791580
OG0001842	ADIR000507	LOC129794817
OG0001843	ADIR010406, ADIR010405	LOC129788150
OG0001844	ADIR009848, ADIR009468	LOC129797361
OG0001845	ADIR015691	LOC129792975
OG0001846	ADIR000080	LOC129796912
OG0001848	ADIR001138, ADIR006420	LOC129790690
OG0001849	ADIR001750, ADIR001751	LOC129796195
OG0001850	ADIR003166, ADIR003167	LOC129792298
OG0001851	ADIR009883	LOC129797616, LOC129797574
OG0001852	ADIR001763, ADIR001764	LOC129797324
OG0001853	ADIR015714	LOC129794826
OG0001854	ADIR010789	LOC129794842
OG0001855	ADIR004321, ADIR003559	LOC129794073
OG0001856	ADIR003968, ADIR003969	LOC129789363
OG0001857	ADIR003141, ADIR003140	LOC129797241
OG0001858	ADIR007219	LOC129796202, LOC129796420
OG0001859	ADIR010455	LOC129791467
OG0001860	ADIR003381	LOC129796988
OG0001861	ADIR007161	LOC129792410
OG0001862	ADIR005300	LOC129787215
OG0001863	ADIR009218, ADIR009220	LOC129792072
OG0001864	ADIR011493	LOC129790855
OG0001865	ADIR001317	LOC129790845
OG0001866	ADIR010491	LOC129795328
OG0001867	ADIR011076	LOC129788957
OG0001868	ADIR004552, ADIR004551	LOC129787270
OG0001869	ADIR005735	LOC129795513
OG0001870	ADIR010723	LOC129786560
OG0001871	ADIR003838	LOC129787708
OG0001873	ADIR010311	LOC129787651
OG0001874	ADIR010714, ADIR010713	LOC129795307
OG0001875	ADIR008777, ADIR008778	LOC129794108
OG0001876	ADIR006683, ADIR006678	LOC129786760
OG0001879	ADIR000190	LOC129794824
OG0001880	ADIR006386, ADIR006385, ADIR006387	LOC129786509
OG0001881	ADIR004395	LOC129787945, LOC129794298, LOC129794305
OG0001883	ADIR000879, ADIR008834	LOC129793191
OG0001884	ADIR004729	LOC129790026
OG0001885	ADIR002574	LOC129791203
OG0001886	ADIR000884	LOC129785854
OG0001887	ADIR001381	LOC129789344, LOC129789624
OG0001889	ADIR003948, ADIR003950	LOC129789558
OG0001890	ADIR009666	LOC129796812
OG0001891	ADIR005043	LOC129788054
OG0001892	ADIR009075, ADIR009077	LOC129787869
OG0001893	ADIR002005	LOC129795913
OG0001894	ADIR001349	LOC129790362
OG0001895	ADIR008239, ADIR008240	LOC129793818
OG0001896	ADIR004736	LOC129788046
OG0001897	ADIR001264	LOC129790146
OG0001898	ADIR000959	LOC129793044, LOC129790873, LOC129793877
OG0001899	ADIR000605	LOC129788657
OG0001901	ADIR000721	LOC129791155
OG0001902	ADIR002907	LOC129792775
OG0001905	ADIR009690	LOC129787833
OG0001906	ADIR005354	LOC129788661
OG0001908	ADIR010310	LOC129787564
OG0001909	ADIR011251	LOC129790425
OG0001912	ADIR002226	LOC129795945
OG0001913	ADIR011669	LOC129790847
OG0001914	ADIR008620	LOC129794648
OG0001915	ADIR003323	LOC129795734
OG0001916	ADIR003539	LOC129791707
OG0001917	ADIR010533	LOC129795172, LOC129795169
OG0001918	ADIR001340	LOC129790323
OG0001919	ADIR006898	LOC129791890
OG0001920	ADIR002718	LOC129789627
OG0001923	ADIR008022	LOC129792576
OG0001924	ADIR004794	LOC129788384
OG0001925	ADIR001330	LOC129791354
OG0001926	ADIR004600	LOC129789853
OG0001928	ADIR008075	LOC129787417
OG0001929	ADIR011668, ADIR011667, ADIR011752	LOC129790888
OG0001930	ADIR006887	LOC129791566
OG0001931	ADIR005212	LOC129788027
OG0001933	ADIR008917	LOC129790383
OG0001934	ADIR008799	LOC129793593
OG0001935	ADIR004670	LOC129787271
OG0001937	ADIR007321, ADIR007320	LOC129792078
OG0001938	ADIR009556	LOC129796602
OG0001939	ADIR009997, ADIR009999	LOC129787144
OG0001940	ADIR005753	LOC129788550
OG0001941	ADIR001354	LOC129790566
OG0001942	ADIR015677	LOC129787632, LOC129787549
OG0001943	ADIR010369	LOC129787936
OG0001944	ADIR010788	LOC129787103
OG0001945	ADIR002380	LOC129788609
OG0001946	ADIR009989, ADIR011656	LOC129789835
OG0001947	ADIR005933	LOC129793148
OG0001948	ADIR001111, ADIR001110	LOC129790027
OG0001949	ADIR006014	LOC129791154
OG0001950	ADIR006962, ADIR006963	LOC129791722
OG0001951	ADIR006105	LOC129788275
OG0001952	ADIR008015	LOC129794314
OG0001953	ADIR006890	LOC129793162
OG0001954	ADIR003809, ADIR003810	LOC129794292
OG0001955	ADIR009700	LOC129792214
OG0001956	ADIR000846	LOC129788139
OG0001957	ADIR006911	LOC129793821
OG0001958	ADIR001005	LOC129785990
OG0001959	ADIR008941	LOC129785955, LOC129786145
OG0001960	ADIR005313	LOC129789692, LOC129789672, LOC129795154
OG0001961	ADIR006030	LOC129792189
OG0001962	ADIR004077, ADIR004078	LOC129796121
OG0001963	ADIR011496	LOC129790872
OG0001964	ADIR007696	LOC129793403
OG0001965	ADIR002199	LOC129795975
OG0001968	ADIR009169	LOC129790144, LOC129793916
OG0001970	ADIR006593	LOC129797434
OG0001971	ADIR002099	LOC129793531
OG0001974	ADIR001226	LOC129785856
OG0001975	ADIR007393	LOC129792950, LOC129792892
OG0001976	ADIR010396	LOC129795962
OG0001977	ADIR001519	LOC129789328
OG0001978	ADIR011175	LOC129794833, LOC129795403
OG0001979	ADIR003410	LOC129786351
OG0001980	ADIR003936	LOC129789419, LOC129789930
OG0001981	ADIR010600	LOC129796027
OG0001982	ADIR003949	LOC129789617
OG0001983	ADIR004189, ADIR001406	LOC129789082
OG0001984	ADIR002169	LOC129789641
OG0001988	ADIR005677, ADIR005678	LOC129795250, LOC129795018
OG0001997	ADIR001142	LOC129787900
OG0001998	ADIR003932, ADIR003929	LOC129790854
OG0002010	ADIR004637	LOC129786915
OG0002015	ADIR009019	LOC129788679
OG0002016	ADIR009487	LOC129794168
OG0002027	ADIR010703	LOC129786348
OG0002028	ADIR002646	LOC129786183
OG0002029	ADIR016013	LOC129786150
OG0002030	ADIR002665	LOC129796868
OG0002031	ADIR004200	LOC129794312
OG0002032	ADIR010613	LOC129796943
OG0002033	ADIR009911	LOC129796820
OG0002034	ADIR010637	LOC129790140
OG0002035	ADIR008433	LOC129789332
OG0002036	ADIR002724	LOC129797306
OG0002037	ADIR009116	LOC129786088
OG0002038	ADIR010123	LOC129797429
OG0002039	ADIR005740	LOC129797746
OG0002040	ADIR010121	LOC129797304, LOC129797307
OG0002041	ADIR003903	LOC129787111
OG0002042	ADIR005750	LOC129787206
OG0002043	ADIR009807	LOC129792702
OG0002044	ADIR000975	LOC129793762
OG0002045	ADIR001210	LOC129788678
OG0002046	ADIR009486	LOC129787153
OG0002047	ADIR007533	LOC129792995
OG0002048	ADIR000048	LOC129795712
OG0002049	ADIR009494	LOC129787065
OG0002050	ADIR007560	LOC129787969
OG0002052	ADIR010765	LOC129793489
OG0002053	ADIR007557	LOC129797520
OG0002054	ADIR000537	LOC129796471
OG0002055	ADIR010679	LOC129795446
OG0002056	ADIR006577	LOC129796303
OG0002057	ADIR010674	LOC129796472
OG0002058	ADIR006455	LOC129793910
OG0002059	ADIR008365	LOC129796534
OG0002060	ADIR010673	LOC129794853
OG0002061	ADIR006456	LOC129787988
OG0002062	ADIR015513	LOC129796074
OG0002063	ADIR002815	LOC129797489
OG0002064	ADIR001818	LOC129796436
OG0002065	ADIR002153	LOC129792004, LOC129794614
OG0002066	ADIR002146	LOC129796138
OG0002067	ADIR010490	LOC129795350
OG0002068	ADIR010495	LOC129797761
OG0002069	ADIR005080	LOC129797826, LOC129788594
OG0002072	ADIR005433	LOC129789432
OG0002073	ADIR016208	LOC129794275
OG0002074	ADIR008164	LOC129792662
OG0002075	ADIR008162	LOC129792271
OG0002076	ADIR016207	LOC129792610
OG0002077	ADIR002355	LOC129795742
OG0002078	ADIR010262	LOC129786002
OG0002079	ADIR010264	LOC129786109
OG0002080	ADIR010263	LOC129794911
OG0002081	ADIR016129	LOC129788016, LOC129795800
OG0002082	ADIR005638	LOC129794597
OG0002083	ADIR000528	LOC129787679
OG0002084	ADIR005560	LOC129791859
OG0002085	ADIR007900	LOC129788403, LOC129788402
OG0002086	ADIR001971	LOC129786135, LOC129786019
OG0002087	ADIR000409	LOC129796881
OG0002088	ADIR000384	LOC129795724
OG0002089	ADIR000392	LOC129796615
OG0002090	ADIR000426	LOC129796235
OG0002091	ADIR007899	LOC129788450
OG0002092	ADIR001969	LOC129787669
OG0002093	ADIR005161	LOC129795709
OG0002094	ADIR009678	LOC129795213
OG0002095	ADIR008396	LOC129786568
OG0002098	ADIR005329	LOC129785822
OG0002099	ADIR008981	LOC129797209
OG0002100	ADIR003121	LOC129793188, LOC129793187
OG0002101	ADIR010177	LOC129787041
OG0002102	ADIR006581	LOC129787051
OG0002103	ADIR004603, ADIR003476	LOC129790062
OG0002104	ADIR009552	LOC129795021, LOC129788515
OG0002105	ADIR005178	LOC129790023
OG0002106	ADIR004838	LOC129791064
OG0002107	ADIR004840	LOC129796177
OG0002108	ADIR006832	LOC129788481
OG0002109	ADIR011522	LOC129791914
OG0002110	ADIR004018	LOC129790068
OG0002111	ADIR005057	LOC129796167
OG0002112	ADIR003966	LOC129789295
OG0002113	ADIR004987	LOC129788380
OG0002114	ADIR008833	LOC129790798
OG0002115	ADIR001657	LOC129792622
OG0002116	ADIR004326	LOC129791818
OG0002117	ADIR007168	LOC129792628
OG0002118	ADIR009250	LOC129792365
OG0002119	ADIR008593	LOC129792165
OG0002120	ADIR001060	LOC129786317
OG0002121	ADIR015494	LOC129789097
OG0002122	ADIR009453	LOC129791865
OG0002123	ADIR016146	LOC129792550
OG0002124	ADIR003763	LOC129792128
OG0002125	ADIR006229	LOC129789847, LOC129791422
OG0002126	ADIR003762	LOC129793297
OG0002127	ADIR003793	LOC129792100
OG0002128	ADIR007277	LOC129792548
OG0002129	ADIR007259	LOC129792129
OG0002130	ADIR007271	LOC129794340
OG0002131	ADIR007270	LOC129797194
OG0002132	ADIR007272	LOC129792102
OG0002133	ADIR007247	LOC129793858
OG0002134	ADIR001141	LOC129790066
OG0002135	ADIR006789	LOC129795626
OG0002136	ADIR011211	LOC129789141
OG0002137	ADIR004772	LOC129789022
OG0002138	ADIR008547	LOC129786190
OG0002139	ADIR011114	LOC129788531
OG0002140	ADIR004023	LOC129792041
OG0002141	ADIR011071	LOC129794790
OG0002142	ADIR006790	LOC129794293
OG0002143	ADIR000177	LOC129794878
OG0002144	ADIR000165	LOC129796165
OG0002145	ADIR000173	LOC129794992
OG0002146	ADIR007098	LOC129792611
OG0002149	ADIR007043	LOC129795812
OG0002150	ADIR007108	LOC129793207
OG0002151	ADIR007150	LOC129792849
OG0002152	ADIR015914	LOC129787483
OG0002153	ADIR004944	LOC129792349
OG0002154	ADIR000739	LOC129786459
OG0002156	ADIR011176	LOC129795641
OG0002157	ADIR007452	LOC129794282
OG0002158	ADIR008651	LOC129792677
OG0002159	ADIR008646	LOC129793989
OG0002160	ADIR004971	LOC129788807
OG0002161	ADIR004695	LOC129789584
OG0002162	ADIR004970	LOC129792208
OG0002163	ADIR011122	LOC129789633, LOC129795922
OG0002164	ADIR004691	LOC129789915
OG0002165	ADIR000706	LOC129790660
OG0002166	ADIR004024	LOC129788457
OG0002167	ADIR009269	LOC129793573
OG0002168	ADIR000709	LOC129790952
OG0002169	ADIR000708	LOC129789473
OG0002170	ADIR000777	LOC129790189
OG0002171	ADIR005172	LOC129790264
OG0002172	ADIR000778	LOC129789140
OG0002173	ADIR006237	LOC129789107
OG0002174	ADIR005034	LOC129790705, LOC129790700
OG0002176	ADIR006247	LOC129789087
OG0002177	ADIR000311	LOC129795949
OG0002178	ADIR000309	LOC129795722
OG0002179	ADIR011216	LOC129789021
OG0002180	ADIR011229	LOC129793143
OG0002181	ADIR011060	LOC129790196
OG0002182	ADIR011247	LOC129786453
OG0002183	ADIR011245	LOC129791374
OG0002184	ADIR003494	LOC129797310
OG0002185	ADIR006566	LOC129795865
OG0002186	ADIR002889	LOC129797706
OG0002187	ADIR015585	LOC129786836
OG0002188	ADIR015586	LOC129786895
OG0002189	ADIR004127	LOC129787436
OG0002190	ADIR000629	LOC129788388
OG0002191	ADIR006344	LOC129788510
OG0002192	ADIR000627, ADIR000628	LOC129788448
OG0002193	ADIR011446	LOC129789440
OG0002194	ADIR007670	LOC129792408
OG0002195	ADIR007515	LOC129793090
OG0002196	ADIR007671	LOC129792947
OG0002197	ADIR000546	LOC129796307
OG0002198	ADIR005225	LOC129796032
OG0002199	ADIR005274	LOC129794812
OG0002200	ADIR008017	LOC129793181
OG0002201	ADIR003744	LOC129793237
OG0002202	ADIR003740	LOC129793200
OG0002203	ADIR004226	LOC129793485
OG0002204	ADIR001051	LOC129788693
OG0002205	ADIR008018	LOC129794185
OG0002206	ADIR003741	LOC129793211
OG0002207	ADIR005159	LOC129797559
OG0002208	ADIR005019	LOC129789628
OG0002209	ADIR004997	LOC129789680, LOC129789687
OG0002210	ADIR011383	LOC129791980
OG0002211	ADIR007898	LOC129787391
OG0002212	ADIR005441	LOC129797348
OG0002213	ADIR003292	LOC129788136
OG0002214	ADIR000890	LOC129788860
OG0002215	ADIR000810	LOC129786768
OG0002216	ADIR003835	LOC129794210
OG0002217	ADIR007947	LOC129793381, LOC129793379
OG0002218	ADIR008557	LOC129788862
OG0002219	ADIR001290	LOC129790860
OG0002220	ADIR006633	LOC129797609
OG0002221	ADIR010460	LOC129787562
OG0002222	ADIR010462	LOC129793261
OG0002223	ADIR005672	LOC129795732
OG0002224	ADIR003142	LOC129797443
OG0002226	ADIR002188	LOC129796496
OG0002227	ADIR005494	LOC129795589
OG0002229	ADIR000479	LOC129795588
OG0002230	ADIR004922	LOC129796777
OG0002231	ADIR004933	LOC129788560
OG0002232	ADIR008520, ADIR003557	LOC129785910
OG0002233	ADIR007046	LOC129793461
OG0002234	ADIR007184	LOC129792716
OG0002235	ADIR005468	LOC129796803
OG0002236	ADIR010260	LOC129789903, LOC129797367
OG0002237	ADIR004571	LOC129787792
OG0002238	ADIR002662	LOC129786065
OG0002239	ADIR002664	LOC129797602
OG0002240	ADIR002876	LOC129790493
OG0002242	ADIR005447	LOC129787955
OG0002244	ADIR002103, ADIR001379	LOC129788699
OG0002245	ADIR015492, ADIR000798	LOC129794046
OG0002246	ADIR001378	LOC129788702
OG0002247	ADIR003551	LOC129785965
OG0002248	ADIR000044	LOC129790227, LOC129797606
OG0002249	ADIR000824	LOC129789817
OG0002251	ADIR008321	LOC129789579
OG0002252	ADIR008319	LOC129786273
OG0002253	ADIR000111	LOC129788451
OG0002254	ADIR002444	LOC129793410
OG0002255	ADIR002929	LOC129796246
OG0002256	ADIR015707	LOC129793333
OG0002257	ADIR010728	LOC129786737
OG0002258	ADIR003358	LOC129788415, LOC129793194
OG0002259	ADIR001527	LOC129785858
OG0002260	ADIR004591	LOC129788509
OG0002261	ADIR007912	LOC129793788
OG0002262	ADIR007698	LOC129791873
OG0002263	ADIR007700	LOC129791669
OG0002264	ADIR005763	LOC129793023
OG0002265	ADIR003745	LOC129791657
OG0002266	ADIR001443	LOC129785912
OG0002267	ADIR003607	LOC129791731, LOC129791729
OG0002268	ADIR000383	LOC129797731
OG0002270	ADIR009665	LOC129795116
OG0002271	ADIR000393	LOC129795960
OG0002272	ADIR000395	LOC129790531
OG0002273	ADIR002227	LOC129794997
OG0002274	ADIR004000	LOC129788771
OG0002275	ADIR008272	LOC129788122, LOC129796151
OG0002276	ADIR003995	LOC129788796
OG0002277	ADIR002931	LOC129786934
OG0002278	ADIR002936	LOC129786933, LOC129786932
OG0002281	ADIR010379	LOC129787739
OG0002282	ADIR004337	LOC129788062, LOC129788066
OG0002283	ADIR011342	LOC129793663
OG0002284	ADIR001698	LOC129786555
OG0002285	ADIR011189	LOC129788063
OG0002286	ADIR006253	LOC129793658
OG0002287	ADIR006255	LOC129793672
OG0002288	ADIR006254	LOC129793661
OG0002289	ADIR004323	LOC129788137
OG0002290	ADIR008876	LOC129789278
OG0002291	ADIR004956	LOC129787557
OG0002292	ADIR002167, ADIR002168	LOC129795898
OG0002293	ADIR009168	LOC129794480
OG0002294	ADIR011306	LOC129786106
OG0002295	ADIR011308	LOC129797132
OG0002296	ADIR011322	LOC129790316
OG0002298	ADIR003087	LOC129792758
OG0002299	ADIR002681	LOC129797168
OG0002300	ADIR003084	LOC129787547
OG0002301	ADIR002689	LOC129797203
OG0002302	ADIR010824	LOC129797189
OG0002304	ADIR002341	LOC129795418
OG0002305	ADIR005770	LOC129797328, LOC129792354
OG0002306	ADIR001922	LOC129795987
OG0002307	ADIR001928	LOC129787027
OG0002308	ADIR007280	LOC129791629
OG0002309	ADIR007022	LOC129792903
OG0002310	ADIR009158	LOC129789716
OG0002311	ADIR010486	LOC129797452
OG0002312	ADIR007430	LOC129785887
OG0002313	ADIR002263	LOC129795613
OG0002314	ADIR011385	LOC129797510
OG0002315	ADIR002040	LOC129794653
OG0002316	ADIR002041	LOC129796203
OG0002317	ADIR007523	LOC129793168
OG0002318	ADIR010966	LOC129790590
OG0002319	ADIR011389	LOC129797356
OG0002321	ADIR008493	LOC129787175
OG0002322	ADIR008498	LOC129789941, LOC129789940
OG0002325	ADIR003264	LOC129785876
OG0002326	ADIR004482	LOC129787545
OG0002328	ADIR004751	LOC129791851
OG0002329	ADIR004480	LOC129797403
OG0002330	ADIR007335	LOC129786253
OG0002331	ADIR005376	LOC129786187
OG0002332	ADIR008288	LOC129786748
OG0002333	ADIR005375	LOC129786299
OG0002334	ADIR005368	LOC129786267
OG0002335	ADIR005374	LOC129786296
OG0002336	ADIR005372	LOC129786256
OG0002337	ADIR010737	LOC129791435
OG0002338	ADIR009138	LOC129786699
OG0002339	ADIR005606	LOC129796019
OG0002340	ADIR008517	LOC129795472
