Orthogroup	Aalbopictus_AalbF5	AminimusMINIMUS1
OG0000015	LOC109401312	AMIN015544, AMIN015543, AMIN015541, AMIN015542, AMIN010826
OG0000016	LOC109411296, LOC109622023	AMIN006761
OG0000017	LOC109431229, LOC109404554	AMIN004079
OG0000017	LOC115264622	AMIN009236
OG0000017	LOC109420100	AMIN011507
OG0000018	LOC115256715	AMIN004545, AMIN006661, AMIN009874
OG0000018	LOC115260339	AMIN006478
OG0000019	LOC134289860, LOC134289648, LOC134289865, LOC134287569, LOC134290246, LOC134286922, LOC134290119, LOC134290688, LOC134286092, LOC134291950, LOC134290497, LOC134286074, LOC134290146, LOC134286938, LOC134289657, LOC134286035, LOC134290114, LOC134288517, LOC134290225, LOC134286676, LOC134286375, LOC134288519, LOC134290224, LOC134290941, LOC134290903, LOC134290461, LOC134290048, LOC134286534, LOC134290052, LOC134290129, LOC134291041, LOC134290401, LOC134289481, LOC134288699, LOC134288992, LOC134286273, LOC134289517, LOC134290831, LOC134291988	AMIN009371
OG0000020	LOC109406040	AMIN008653, AMIN008654, AMIN008394, AMIN000732, AMIN009924, AMIN007524, AMIN008655, AMIN008393
OG0000021	LOC109404004	AMIN015466
OG0000021	LOC115267287	AMIN015467
OG0000021	LOC115253654	AMIN015464
OG0000021	LOC109432057	AMIN015465
OG0000021	LOC109412625	AMIN015484
OG0000021	LOC109401551	AMIN015482, AMIN015483
OG0000022	LOC134286212, LOC134286359, LOC134285118, LOC134286958	AMIN001285
OG0000022	LOC134290726, LOC134284928, LOC134286095, LOC109417500, LOC134290725	AMIN001286
OG0000023	LOC109400700, LOC109399437, LOC115266810, LOC115266791	AMIN002713, AMIN003921, AMIN002716, AMIN002718, AMIN007647, AMIN007646
OG0000023	LOC109400762, LOC109399431, LOC109400704, LOC115270033, LOC109400701, LOC109400768	AMIN007806
OG0000024	LOC109408695, LOC109408675	AMIN007573
OG0000024	LOC109403004, LOC109408692	AMIN007572
OG0000024	LOC109408663	AMIN011339
OG0000026	LOC109423856	AMIN015473, AMIN015476
OG0000026	LOC115270199	AMIN015474
OG0000026	LOC115269863	AMIN015475
OG0000026	LOC109431713, LOC115267476, LOC115260125	AMIN015479
OG0000026	LOC109622447	AMIN015731
OG0000027	LOC109406551, LOC109398494, LOC109417369, LOC109417371, LOC109398522, LOC109398512, LOC109398504, LOC109406556, LOC109398492, LOC109406557, LOC109406553, LOC109417368, LOC115262615, LOC115262616	AMIN006557, AMIN006558
OG0000028	LOC134286224	AMIN009876
OG0000028	LOC134286267, LOC134286206, LOC134286205, LOC134286187, LOC134291068, LOC109420058, LOC109428619, LOC134285226, LOC134291670, LOC134287749, LOC115259335, LOC115261576, LOC134290188, LOC115264187, LOC134285395, LOC109432742, LOC134290930, LOC134290388, LOC134288151, LOC134286380, LOC134291669, LOC115255659	AMIN001236
OG0000030	LOC109420622, LOC109420540, LOC109417125, LOC115255076, LOC134289023	AMIN006996, AMIN006995, AMIN006765, AMIN007001, AMIN006992, AMIN002000, AMIN006991, AMIN007005, AMIN007004, AMIN006994
OG0000031	LOC134289257	AMIN005862, AMIN007507
OG0000031	LOC134286814, LOC134291789, LOC134285598	AMIN006442, AMIN004950
OG0000032	LOC134286630, LOC134285376, LOC134286566, LOC134290777, LOC134286981, LOC134285958, LOC134285252, LOC134290546, LOC134290447, LOC134286702, LOC134290488, LOC134284658, LOC134291067, LOC115265199, LOC134290819, LOC134286672, LOC134286685, LOC134289497, LOC134288537, LOC134290314, LOC109427185, LOC134290627, LOC134286565, LOC134290765	AMIN001332
OG0000033	LOC109424827	AMIN015509
OG0000033	LOC134290105, LOC109416028	AMIN000381
OG0000033	LOC109416027, LOC109414897, LOC109416024, LOC109416023	AMIN014039
OG0000034	LOC109623111	AMIN010991
OG0000035	LOC109431735, LOC109419479, LOC115269187	AMIN007272, AMIN009877, AMIN010812, AMIN015498, AMIN010811, AMIN010810, AMIN015472, AMIN010814, AMIN010135, AMIN007574
OG0000037	LOC115267800	AMIN002827, AMIN006508, AMIN006509, AMIN003922, AMIN008939, AMIN009372, AMIN008941, AMIN008940, AMIN009373, AMIN008942, AMIN003923, AMIN003925, AMIN003924, AMIN000003, AMIN004541, AMIN004540, AMIN004539
OG0000039	LOC115267561, LOC109404256, LOC109416577, LOC109429852, LOC109433331, LOC109431626, LOC109401619, LOC115260826	AMIN015958, AMIN015957, AMIN010824, AMIN007947, AMIN007946, AMIN015959
OG0000040	LOC109426099, LOC109429627, LOC109623406, LOC109623405	AMIN015663, AMIN015662
OG0000040	LOC109429616, LOC109424203	AMIN015574, AMIN015575, AMIN001806, AMIN001807, AMIN015590, AMIN015591
OG0000041	LOC109623326	AMIN008776
OG0000041	LOC109623385	AMIN008777
OG0000041	LOC109426866	AMIN003187
OG0000042	LOC109402120	AMIN005907, AMIN001699
OG0000045	LOC115254791, LOC115266674, LOC134288587, LOC115262239, LOC115260912, LOC109400123, LOC134286497, LOC134288132, LOC134290932, LOC134286194, LOC109424601, LOC134284219, LOC115265664, LOC115258448, LOC134289039, LOC134287579, LOC109402167, LOC115255999, LOC134286347, LOC134285044, LOC134286727, LOC115269455, LOC134288646, LOC134284322, LOC134291242, LOC134291243, LOC134284310	AMIN001066
OG0000046	LOC109622330, LOC109621357, LOC109622339	AMIN002797
OG0000048	LOC109428624, LOC109422505, LOC109420363, LOC109401660, LOC109418726, LOC134292261	AMIN011325
OG0000049	LOC115257883	AMIN015888
OG0000049	LOC115257642	AMIN015889
OG0000049	LOC115253560	AMIN015891
OG0000049	LOC109403394	AMIN015890
OG0000050	LOC134289991	AMIN005873
OG0000051	LOC134287878, LOC134286741, LOC134286742, LOC134287876, LOC134286737, LOC134287877	AMIN006620, AMIN014521
OG0000052	LOC109418812	AMIN015582
OG0000052	LOC109418979, LOC109398291, LOC109398344, LOC109399682, LOC109418960	AMIN015585, AMIN015584
OG0000053	LOC134290123	AMIN009403, AMIN009402
OG0000055	LOC109425568	AMIN002458
OG0000056	LOC134289642, LOC134288597, LOC134288754, LOC134285059	AMIN004372
OG0000057	LOC109400285, LOC109400301, LOC134286750, LOC109400303, LOC109425074	AMIN006625, AMIN006626, AMIN014522
OG0000058	LOC109429556, LOC109429973	AMIN001846
OG0000059	LOC115263209	AMIN016229, AMIN016293
OG0000059	LOC109397955	AMIN010123
OG0000060	LOC109400289, LOC109425201, LOC109425203, LOC109425111, LOC109425112	AMIN006628
