Orthogroup	Aalbopictus_AalbF5	AminimusMINIMUS1
OG0001098	LOC109419910, LOC134287707	AMIN005944, AMIN016144
OG0001101	LOC109410008	AMIN010394
OG0001102	LOC109403065	AMIN015757
OG0001103	LOC109427539	AMIN005413
OG0001104	LOC115260266	AMIN000780
OG0001105	LOC109405833	AMIN003708, AMIN003705
OG0001106	LOC109400621	AMIN010606
OG0001107	LOC109433280	AMIN003986, AMIN003987
OG0001109	LOC109432525	AMIN006240, AMIN006239
OG0001110	LOC134286761, LOC109403813	AMIN011622, AMIN011621
OG0001111	LOC109431650	AMIN011548
OG0001112	LOC109422256	AMIN009312
OG0001113	LOC109415821	AMIN009994, AMIN009995
OG0001115	LOC109404189	AMIN016157, AMIN004187
OG0001120	LOC134288586, LOC109427826, LOC115266680, LOC115265003, LOC134290961	AMIN007506
OG0001123	LOC134284832, LOC134286670	AMIN007727, AMIN002886
OG0001138	LOC109420901, LOC109425977	AMIN000512
OG0001139	LOC109408072	AMIN015609
OG0001140	LOC109400141, LOC109400144	AMIN000911
OG0001141	LOC109400108, LOC115254309, LOC109400127	AMIN002645
OG0001142	LOC109430404	AMIN000881
OG0001143	LOC109405767	AMIN007019
OG0001144	LOC115254213, LOC109417979, LOC109398203	AMIN011633
OG0001145	LOC109424932	AMIN005804
OG0001145	LOC115254883	AMIN009888, AMIN005805
OG0001146	LOC109424953, LOC115256337	AMIN005828
OG0001147	LOC134288547, LOC109416473	AMIN010168
OG0001148	LOC109401796, LOC115257064	AMIN000695
OG0001149	LOC115261300	AMIN000393
OG0001150	LOC115267983	AMIN009169, AMIN009166
OG0001151	LOC109415097, LOC109408543	AMIN001819
OG0001152	LOC109429914	AMIN007075
OG0001153	LOC109408999, LOC109426467	AMIN008797
OG0001154	LOC115253958	AMIN008806
OG0001155	LOC109408988	AMIN008799
OG0001157	LOC109396993, LOC109397000, LOC109397051, LOC109397020	AMIN016005
OG0001158	LOC109411232	AMIN002500, AMIN002499
OG0001159	LOC109406167	AMIN010879, AMIN010881
OG0001160	LOC109422898	AMIN005106, AMIN005105
OG0001162	LOC109429639	AMIN015818
OG0001163	LOC109408144	AMIN006407
OG0001164	LOC109426660, LOC115260748	AMIN007583
OG0001166	LOC134287911, LOC109433152	AMIN006363
OG0001167	LOC109427842	AMIN009427
OG0001168	LOC115254133, LOC115259941	AMIN004522
OG0001169	LOC109422497	AMIN007432, AMIN007431, AMIN007429
OG0001170	LOC109400599, LOC109404937	AMIN010178
OG0001171	LOC109398784	AMIN003910, AMIN003909
OG0001172	LOC109402238, LOC115267212	AMIN007984
OG0001173	LOC115254019, LOC109409323	AMIN006798
OG0001174	LOC109423252	AMIN004122
OG0001175	LOC109430199	AMIN004115, AMIN004117
OG0001176	LOC109407838, LOC109406699	AMIN003957
OG0001177	LOC109398410, LOC134285080	AMIN006333, AMIN005797
OG0001178	LOC109398429, LOC109400389	AMIN001994
OG0001179	LOC109424163	AMIN001390
OG0001180	LOC109398296	AMIN007064, AMIN007063
OG0001181	LOC109431898	AMIN000679
OG0001182	LOC109404407	AMIN002553, AMIN002554
OG0001183	LOC115254245	AMIN000735, AMIN000734
OG0001184	LOC115260379	AMIN008267
OG0001185	LOC109408324	AMIN000592, AMIN000594
OG0001186	LOC109399828, LOC109425278	AMIN000290, AMIN000288
OG0001187	LOC115268790, LOC115257806	AMIN004254
OG0001188	LOC109400071, LOC134285480	AMIN003869
OG0001189	LOC134285458, LOC109430336	AMIN003531
OG0001191	LOC109426877, LOC109623336	AMIN004463
OG0001192	LOC109404765	AMIN006834
OG0001193	LOC109622575, LOC134287488	AMIN011202
OG0001194	LOC109422324	AMIN008662, AMIN008664
OG0001195	LOC109420175, LOC115265507, LOC115253931	AMIN008234
OG0001196	LOC109402290	AMIN008391, AMIN008390
OG0001197	LOC109425930	AMIN009348
OG0001199	LOC109401821	AMIN005356, AMIN005355
OG0001200	LOC109429397, LOC109429398	AMIN007229
OG0001201	LOC109429413	AMIN006287
OG0001202	LOC109429357, LOC109399008	AMIN002606
OG0001203	LOC109402653, LOC134284821, LOC134284842, LOC134284829	AMIN005391
OG0001204	LOC109398994	AMIN002600, AMIN002601
OG0001205	LOC109423381, LOC109411733	AMIN001913
OG0001206	LOC115266521, LOC109405943	AMIN002843, AMIN002845
OG0001207	LOC109400415, LOC134285561	AMIN004870
OG0001208	LOC109401631	AMIN009276
OG0001209	LOC109412137	AMIN002768
OG0001210	LOC109419765	AMIN001022
OG0001211	LOC109418670	AMIN014129
OG0001212	LOC109413525, LOC109404511	AMIN016214
OG0001213	LOC115265128	AMIN010151
OG0001214	LOC115267647, LOC109407286, LOC134285833	AMIN000223
OG0001215	LOC109402519	AMIN015920
OG0001216	LOC109406522	AMIN009787
OG0001218	LOC115264208, LOC109424846	AMIN010751
OG0001219	LOC109397997	AMIN010100
OG0001220	LOC109409965	AMIN007993, AMIN007994
OG0001221	LOC109424732, LOC115262659	AMIN008134
OG0001222	LOC109429370	AMIN007210
OG0001223	LOC109397896, LOC134284903	AMIN010277
OG0001224	LOC109419778	AMIN001712, AMIN001711
OG0001225	LOC109422806, LOC109422805	AMIN002003, AMIN002002
OG0001226	LOC109423007	AMIN001953, AMIN001952
OG0001227	LOC109398837	AMIN000799, AMIN000798
OG0001228	LOC109424084	AMIN000703, AMIN000702
OG0001229	LOC109432373	AMIN011018, AMIN011017, AMIN011016
OG0001230	LOC109421195	AMIN001906
OG0001231	LOC134289400, LOC109421940	AMIN009230
OG0001232	LOC109425023	AMIN003514
OG0001234	LOC109411239	AMIN002494
OG0001235	LOC109429483	AMIN003152
OG0001236	LOC109425430	AMIN004029, AMIN004028
OG0001237	LOC109429816	AMIN009654, AMIN007084
OG0001238	LOC134290013, LOC109431876	AMIN005146
OG0001239	LOC134285050, LOC109402083	AMIN005832
OG0001240	LOC109430111, LOC109430116, LOC109430112	AMIN009649
OG0001241	LOC134287589, LOC109409124	AMIN001732
OG0001242	LOC109409140, LOC109421534	AMIN015506
OG0001243	LOC109411872, LOC109412715	AMIN004889
OG0001244	LOC109407655	AMIN006909, AMIN006908
OG0001245	LOC109397845, LOC134284920	AMIN001089, AMIN001090
OG0001246	LOC115256389, LOC109422032	AMIN005074
OG0001247	LOC109401126	AMIN002950
OG0001248	LOC109411800, LOC134284657	AMIN003116
OG0001249	LOC109426998, LOC134289906	AMIN000429
OG0001251	LOC109433013	AMIN005148
OG0001252	LOC109622518, LOC115265421	AMIN016023
OG0001253	LOC109424155	AMIN011119
OG0001254	LOC109428509, LOC115256602, LOC115256201	AMIN003115
OG0001255	LOC109406841	AMIN009515, AMIN009516
OG0001256	LOC115267144	AMIN002813
OG0001257	LOC109421565	AMIN006061
OG0001257	LOC134287600	AMIN006060
OG0001258	LOC115268579, LOC109424235	AMIN001331
OG0001259	LOC109411315, LOC115256778	AMIN001660
OG0001260	LOC134287926	AMIN009843
OG0001261	LOC109429164	AMIN003902, AMIN003903
OG0001262	LOC134288991	AMIN011587
OG0001263	LOC109427473, LOC115253538	AMIN003863
OG0001264	LOC109623253, LOC134283943	AMIN001305
OG0001265	LOC109397730	AMIN005285, AMIN005286
OG0001266	LOC109397755	AMIN007451, AMIN007453
OG0001267	LOC115261027	AMIN009655, AMIN009653
OG0001268	LOC109427980	AMIN008180
OG0001269	LOC134286042, LOC115265573	AMIN006015
OG0001270	LOC109397767, LOC109428788	AMIN006447
OG0001271	LOC115254229	AMIN006448
OG0001272	LOC115256865, LOC115256862	AMIN006375
OG0001273	LOC115259235, LOC109419784	AMIN006786
OG0001274	LOC109422727	AMIN002923
OG0001275	LOC134292068	AMIN002236
OG0001276	LOC109416267, LOC134287628, LOC109423903	AMIN006751
OG0001277	LOC115255477, LOC109416191, LOC109415073	AMIN001451
OG0001278	LOC109425769	AMIN008506
OG0001279	LOC109622238	AMIN004417, AMIN004416
OG0001280	LOC115268747, LOC109425210	AMIN003191, AMIN003193
OG0001281	LOC109419875	AMIN009709, AMIN009710
OG0001282	LOC115267375, LOC109414779, LOC109403608, LOC134283976	AMIN000962
OG0001283	LOC109417628	AMIN007309
OG0001284	LOC109423481, LOC109432158	AMIN000096
OG0001285	LOC109431042	AMIN001256, AMIN001258
OG0001286	LOC109431437	AMIN002057
OG0001287	LOC109623370, LOC109623392	AMIN004465, AMIN004466
OG0001288	LOC109404970	AMIN000261
OG0001289	LOC115269772	AMIN007842
OG0001289	LOC109404340	AMIN014610
OG0001290	LOC115253728	AMIN007840
OG0001292	LOC109405109	AMIN005261
OG0001293	LOC109428987, LOC109428986	AMIN009368
OG0001294	LOC109420767, LOC109420768	AMIN007703
OG0001295	LOC115253773	AMIN002451
OG0001296	LOC115253446, LOC109417626	AMIN001577, AMIN007728, AMIN007729
OG0001297	LOC115267280	AMIN000139, AMIN000140
OG0001298	LOC109418502	AMIN009005
OG0001299	LOC109416152	AMIN003736
OG0001300	LOC134287657, LOC115269315, LOC115258242	AMIN000893
OG0001301	LOC109419050	AMIN009551
OG0001302	LOC134286327, LOC109409335, LOC115258647	AMIN015933
OG0001303	LOC115254181	AMIN009941
OG0001304	LOC109423814, LOC109423816	AMIN007286
OG0001305	LOC134287947, LOC134285832	AMIN003218
OG0001306	LOC109410908	AMIN002798
OG0001307	LOC109411157	AMIN001134
OG0001308	LOC109409757, LOC109432166, LOC109409762	AMIN016081
OG0001309	LOC109412146	AMIN002761
OG0001310	LOC109423622	AMIN000010
OG0001312	LOC134284789, LOC115253587, LOC109400069	AMIN003868
OG0001313	LOC109415593	AMIN005226, AMIN005227
OG0001314	LOC109418486, LOC134290799	AMIN006550, AMIN006549
OG0001315	LOC109410593	AMIN010426
OG0001316	LOC109415596	AMIN005229, AMIN005230
OG0001317	LOC109405223	AMIN004677
OG0001318	LOC109429474	AMIN000664
OG0001319	LOC115253800	AMIN015856, AMIN015857
OG0001321	LOC109404943	AMIN010169
OG0001322	LOC109430816	AMIN007360
OG0001324	LOC109405167	AMIN007783
OG0001326	LOC109417777	AMIN009441, AMIN009442
OG0001327	LOC109428554, LOC115256775	AMIN002110
OG0001329	LOC109399298, LOC109433350	AMIN002565
OG0001331	LOC109431357	AMIN009042, AMIN002026
OG0001332	LOC109429511	AMIN002187
OG0001333	LOC109405215, LOC109400336	AMIN007021
OG0001334	LOC109429898, LOC109418351	AMIN003654
OG0001335	LOC109425652	AMIN010967, AMIN010968
OG0001336	LOC109622846	AMIN010915
OG0001337	LOC109398792	AMIN003261, AMIN003263
OG0001338	LOC109408443	AMIN000536, AMIN000534
OG0001339	LOC109411545	AMIN003119, AMIN003118
OG0001340	LOC134284004	AMIN009541, AMIN009542
OG0001341	LOC109409870	AMIN009181, AMIN009182
OG0001342	LOC109429299	AMIN006102
OG0001343	LOC109425390	AMIN000295
OG0001344	LOC109409584	AMIN000271, AMIN000272
OG0001345	LOC109397824	AMIN005721, AMIN005727, AMIN005728
OG0001346	LOC109429111	AMIN004057, AMIN004056
OG0001347	LOC109423693	AMIN005985, AMIN005986
OG0001348	LOC109398732	AMIN009422, AMIN009423, AMIN009424
OG0001349	LOC115261534	AMIN016225
OG0001350	LOC109398757	AMIN003939, AMIN003937
OG0001351	LOC109409011	AMIN003884, AMIN003880
OG0001352	LOC109431771	AMIN002461
OG0001354	LOC109414240	AMIN016152
OG0001355	LOC134288770	AMIN000985
OG0001355	LOC109410234	AMIN000986
OG0001356	LOC134287590, LOC109421539	AMIN006081, AMIN006083
OG0001357	LOC134289560, LOC109416894	AMIN008735
OG0001358	LOC109401679	AMIN008219, AMIN008217
OG0001359	LOC134289509	AMIN007037
OG0001360	LOC109621323	AMIN004407, AMIN004412
OG0001361	LOC109402379	AMIN000019, AMIN000021
OG0001362	LOC109417226	AMIN009748, AMIN009746
OG0001363	LOC109423859	AMIN011466
OG0001364	LOC109415242	AMIN005344
OG0001366	LOC134284978	AMIN005058
OG0001369	LOC109433666	AMIN009302, AMIN009303
OG0001370	LOC134291765, LOC115264667	AMIN008697, AMIN008696
OG0001371	LOC115263025, LOC109410219	AMIN015804
OG0001372	LOC109431036	AMIN008496, AMIN008495
OG0001373	LOC109422117	AMIN005713
OG0001374	LOC109427893	AMIN001494, AMIN001493, AMIN001492
OG0001375	LOC115254608	AMIN007757
OG0001376	LOC109426839	AMIN007306, AMIN007308
OG0001377	LOC109401309	AMIN009022, AMIN009023
OG0001378	LOC109399634	AMIN004247
OG0001380	LOC115255807	AMIN010353
OG0001381	LOC134285580, LOC109417800	AMIN004788
OG0001382	LOC134284445, LOC109416467	AMIN010997
OG0001383	LOC109405057	AMIN003691
OG0001384	LOC115263576	AMIN001216, AMIN001210
OG0001385	LOC109433599	AMIN005663, AMIN005665
OG0001386	LOC115257876	AMIN008862
OG0001387	LOC109400433	AMIN004734
OG0001388	LOC109405203	AMIN003213
OG0001389	LOC109420544	AMIN001670
OG0001390	LOC134284141	AMIN000299
OG0001392	LOC109398078	AMIN010115
OG0001393	LOC109421628, LOC115265587	AMIN006007
OG0001394	LOC109423405	AMIN000308
OG0001395	LOC109406231	AMIN003459, AMIN003460
OG0001396	LOC109410520	AMIN010195, AMIN010193, AMIN010194
OG0001397	LOC109426160, LOC109418423	AMIN000349
OG0001398	LOC134287342	AMIN001926
OG0001399	LOC109404024	AMIN000936
OG0001400	LOC109410014	AMIN016027, AMIN015773
OG0001402	LOC109421548	AMIN006070
OG0001403	LOC109431372	AMIN008406, AMIN008408
OG0001404	LOC109401891	AMIN006185
OG0001405	LOC109402372	AMIN003010, AMIN003011
OG0001406	LOC109417578	AMIN011216
OG0001408	LOC109416447	AMIN000824
OG0001409	LOC109409967	AMIN011346
OG0001410	LOC109424724	AMIN008767
OG0001411	LOC134287310, LOC109407909	AMIN007694
OG0001412	LOC109432366, LOC109423073	AMIN009358
OG0001413	LOC134284471, LOC134283931, LOC109623134	AMIN016156
OG0001414	LOC134289566, LOC109432331	AMIN009304, AMIN009305
OG0001443	LOC109409048, LOC109398988	AMIN007487
OG0001444	LOC115254260	AMIN011327
OG0001445	LOC109415316	AMIN015547
OG0001447	LOC109400053	AMIN002748
OG0001448	LOC134284498, LOC109430466	AMIN002473
OG0001449	LOC134288003, LOC134284401, LOC109413202	AMIN005327
OG0001450	LOC134283904, LOC109402569	AMIN010167
OG0001451	LOC109412699, LOC109427211, LOC115254074	AMIN001495
OG0001452	LOC115261415	AMIN004042
OG0001453	LOC109401790	AMIN016098
OG0001454	LOC109426047	AMIN008932
OG0001455	LOC109417637	AMIN007267
OG0001456	LOC109411415, LOC109411417, LOC115267899	AMIN004976
OG0001458	LOC115258944	AMIN009550
OG0001459	LOC109410753	AMIN004437
OG0001460	LOC109410759	AMIN001311
OG0001461	LOC134291262, LOC109410390	AMIN002831
OG0001462	LOC109417375, LOC109410397	AMIN002399
OG0001463	LOC109411214	AMIN002507
OG0001464	LOC115255401, LOC109411220	AMIN007342
OG0001465	LOC109418060	AMIN007168, AMIN007169
OG0001466	LOC109421653	AMIN005886
OG0001467	LOC109421659	AMIN009736, AMIN009620
OG0001468	LOC134283928, LOC109429626	AMIN001798
OG0001469	LOC134289575, LOC109403034	AMIN002185
OG0001470	LOC109430774	AMIN009683
OG0001471	LOC109423771	AMIN010014
OG0001472	LOC109423748	AMIN011302
OG0001473	LOC109403573	AMIN005773
OG0001474	LOC115257191, LOC109432861	AMIN007243
OG0001475	LOC109412369	AMIN001644
OG0001476	LOC109412368	AMIN001035, AMIN001032
OG0001477	LOC134291944, LOC109424500	AMIN008885
OG0001478	LOC109423370, LOC115257528	AMIN010257
OG0001479	LOC109408358	AMIN010250
OG0001480	LOC109431403, LOC134285926	AMIN006208
OG0001481	LOC109426648, LOC134284780, LOC134288523	AMIN010693
OG0001482	LOC134287358, LOC109426647	AMIN010695
OG0001483	LOC109426672	AMIN010198
OG0001484	LOC115267285	AMIN007577, AMIN007578
OG0001486	LOC109413954	AMIN010918
OG0001487	LOC109431718	AMIN011083, AMIN011084
OG0001488	LOC109430940	AMIN011553
OG0001489	LOC134284001	AMIN001570
OG0001490	LOC115254898, LOC109428049	AMIN009685
OG0001491	LOC109415901	AMIN009063
OG0001492	LOC109421432	AMIN006235, AMIN006233
OG0001493	LOC115266443, LOC109432536	AMIN006226
OG0001494	LOC115265509	AMIN006210, AMIN006209
OG0001495	LOC134285717, LOC109401923	AMIN005162
OG0001496	LOC109404954	AMIN010179
OG0001497	LOC109404952	AMIN010182
OG0001498	LOC109415195	AMIN005084
OG0001499	LOC109428390	AMIN005373
OG0001500	LOC109415202	AMIN006943, AMIN005372
OG0001501	LOC109424018, LOC109399279	AMIN000593
OG0001502	LOC109409324, LOC115258583	AMIN009547
OG0001503	LOC109432154	AMIN000955
OG0001504	LOC115256587	AMIN002024
OG0001505	LOC109409418, LOC134285076	AMIN005745
OG0001506	LOC109409431	AMIN002088
OG0001507	LOC115257757, LOC115257606	AMIN004292
OG0001508	LOC109416719	AMIN006859, AMIN006863
OG0001509	LOC109427823, LOC115259047	AMIN001375
OG0001510	LOC109621708	AMIN010341
OG0001511	LOC115264697	AMIN009313
OG0001512	LOC109422268	AMIN009316
OG0001513	LOC109623099	AMIN003485, AMIN003483
OG0001514	LOC109431589	AMIN004405
OG0001515	LOC109397596, LOC134284656	AMIN002085
OG0001516	LOC109398423, LOC134284660	AMIN005442
OG0001517	LOC109410291	AMIN016039
OG0001518	LOC109415941, LOC134290778	AMIN004255
OG0001519	LOC109411048, LOC109411047	AMIN003478
OG0001521	LOC109418948, LOC109400097	AMIN000933
OG0001522	LOC109622284, LOC109409963	AMIN003837
OG0001523	LOC109416057	AMIN006137
OG0001524	LOC134289496, LOC134289494, LOC134289495	AMIN000500
OG0001525	LOC134289673, LOC109399658	AMIN009335
OG0001526	LOC115266550	AMIN007977
OG0001527	LOC109412015	AMIN001603
OG0001528	LOC109412018	AMIN001600
OG0001529	LOC115261461	AMIN000175, AMIN000176
OG0001531	LOC109426929, LOC134291542, LOC109623394	AMIN004473
OG0001532	LOC134289439	AMIN000561
OG0001533	LOC109621513	AMIN004780
OG0001534	LOC109399108	AMIN009213
OG0001535	LOC109399100	AMIN009198, AMIN009197
OG0001536	LOC109399093	AMIN009206
OG0001537	LOC109422342, LOC109424442	AMIN008239, AMIN008240
OG0001538	LOC109406517, LOC109403312	AMIN000668
OG0001539	LOC109431389	AMIN008412
OG0001540	LOC109407674	AMIN008541
OG0001541	LOC109422649, LOC134291372, LOC109402824	AMIN000514
OG0001542	LOC109412267	AMIN005072
OG0001543	LOC109412996	AMIN005437
OG0001544	LOC109425086, LOC109429448	AMIN006283
OG0001545	LOC134286314, LOC109425088	AMIN006286
OG0001546	LOC134289754, LOC109426437	AMIN008796
OG0001547	LOC115257489	AMIN001298
OG0001548	LOC109412921	AMIN001297
OG0001549	LOC109409558	AMIN002475
OG0001550	LOC134291447	AMIN007466
OG0001551	LOC109429598, LOC115262100	AMIN001816
OG0001552	LOC109420357	AMIN004519, AMIN009554
OG0001553	LOC109406422	AMIN007416
OG0001554	LOC115260696, LOC109432362	AMIN001228
OG0001555	LOC134286757	AMIN006630
OG0001556	LOC109400308	AMIN016154
OG0001557	LOC109431868	AMIN002464
OG0001559	LOC115260213, LOC109414794	AMIN001265
OG0001560	LOC109428936	AMIN004441, AMIN004440
OG0001561	LOC109428933	AMIN005018
OG0001563	LOC109409653	AMIN000106, AMIN000107
OG0001564	LOC109409662	AMIN010269, AMIN010268
OG0001565	LOC109432222	AMIN004033, AMIN004032
OG0001566	LOC109409964	AMIN007990, AMIN007992
OG0001567	LOC115255706	AMIN002031
OG0001569	LOC109429359, LOC109398210	AMIN004727
OG0001570	LOC109429314, LOC109400906	AMIN004721
OG0001571	LOC109427435	AMIN001348
OG0001572	LOC109427434	AMIN005305
OG0001573	LOC109410664	AMIN008687, AMIN008686
OG0001574	LOC109427067	AMIN002350
OG0001575	LOC109424979	AMIN001074
OG0001576	LOC109431106, LOC109424968	AMIN005694
OG0001577	LOC115254138, LOC109421033	AMIN009097
OG0001578	LOC109416121, LOC109419098, LOC109405787	AMIN000048
OG0001579	LOC109433328	AMIN002569
OG0001580	LOC109430281	AMIN004698
OG0001581	LOC109401806	AMIN007494
OG0001582	LOC109398907	AMIN007518
OG0001583	LOC115264563	AMIN007493
OG0001584	LOC109398917	AMIN004460
OG0001585	LOC109431046, LOC134284127	AMIN006574
OG0001586	LOC115261381	AMIN004651
OG0001587	LOC115255928, LOC109421116	AMIN003198
OG0001588	LOC109431331	AMIN003202
OG0001589	LOC109412611, LOC109401544	AMIN009052
OG0001590	LOC109419966, LOC134287715	AMIN006174
OG0001591	LOC109421937, LOC109421936, LOC109421938	AMIN009340
OG0001592	LOC115268366	AMIN015974
OG0001593	LOC134284199, LOC109424033	AMIN003508
OG0001594	LOC109424032	AMIN003510
OG0001595	LOC115264858, LOC134284715	AMIN002936
OG0001596	LOC109412832	AMIN009891
OG0001597	LOC109425981	AMIN004363, AMIN004365
OG0001598	LOC115268041	AMIN004380, AMIN004377
OG0001599	LOC109425997	AMIN004383
OG0001600	LOC115256111	AMIN005508
OG0001601	LOC109411829	AMIN008703
OG0001602	LOC115261561, LOC109402475	AMIN016270
OG0001603	LOC109402525	AMIN001724
OG0001604	LOC115269208, LOC109418988	AMIN007532
OG0001605	LOC109398184	AMIN011379
OG0001606	LOC134289650, LOC109422742	AMIN016251
OG0001607	LOC109410579	AMIN008584
OG0001608	LOC109421160	AMIN008587
OG0001609	LOC109421159	AMIN008586
OG0001610	LOC134283998, LOC109427105	AMIN008022
OG0001611	LOC109410535, LOC134287361	AMIN011361
OG0001612	LOC109418813	AMIN008714
OG0001613	LOC109405806	AMIN008721
OG0001614	LOC109403984	AMIN008794
OG0001615	LOC115254470	AMIN002543
OG0001616	LOC109403403	AMIN008207
OG0001617	LOC109621635, LOC109429086	AMIN003867
OG0001618	LOC109431932	AMIN002552
OG0001619	LOC109427882	AMIN009082
OG0001620	LOC109427885	AMIN009076
OG0001621	LOC109398864	AMIN007133
OG0001622	LOC134283989, LOC109426925	AMIN008991
OG0001623	LOC134285599, LOC109416957	AMIN000212
OG0001624	LOC109397551	AMIN009727
OG0001625	LOC109432771	AMIN016222
OG0001626	LOC109417532, LOC109410216	AMIN016236
OG0001627	LOC109421124	AMIN002736
OG0001628	LOC109621710	AMIN011153
OG0001630	LOC109397865	AMIN005818
OG0001631	LOC109400499	AMIN002655
OG0001632	LOC109415156	AMIN011494, AMIN011492, AMIN011495
OG0001633	LOC109622893, LOC115258542	AMIN001413
OG0001634	LOC109411700, LOC134288815	AMIN001878
OG0001635	LOC115254267	AMIN002954
OG0001636	LOC109401140, LOC109422552	AMIN002952
OG0001637	LOC109433074	AMIN001620, AMIN001621
OG0001638	LOC109420450	AMIN014197, AMIN001924
OG0001639	LOC115253945, LOC109416842, LOC109405681	AMIN009729
OG0001640	LOC109621844	AMIN001727
OG0001641	LOC109399186	AMIN010513
OG0001642	LOC109420954, LOC109399228	AMIN016032
OG0001643	LOC115257156	AMIN000337, AMIN000338
OG0001644	LOC109408449	AMIN000528
OG0001645	LOC109415684, LOC109425047	AMIN003320
OG0001647	LOC109426339	AMIN000456
OG0001648	LOC109405852	AMIN000474
OG0001649	LOC109409730	AMIN010588
OG0001650	LOC115271010	AMIN001986, AMIN001985
OG0001651	LOC109409494	AMIN001983
OG0001652	LOC109397239	AMIN004587
OG0001653	LOC109397269	AMIN004604
OG0001654	LOC109398935	AMIN010756
OG0001655	LOC109427527, LOC115256522	AMIN005792
OG0001656	LOC109417569	AMIN006186
OG0001657	LOC109419928, LOC134284520	AMIN016153
OG0001658	LOC109411254	AMIN002815
OG0001659	LOC109400136, LOC109413090	AMIN008225
OG0001660	LOC109426168	AMIN003346
OG0001661	LOC109428200	AMIN009074
OG0001662	LOC109427897, LOC115263986	AMIN006302
OG0001663	LOC109398740, LOC109418764	AMIN014628
OG0001664	LOC109427405, LOC109410123	AMIN005474
OG0001665	LOC109427431, LOC134285038	AMIN004491
OG0001666	LOC109410126, LOC109427407	AMIN005479
OG0001667	LOC115254514, LOC109427416	AMIN010062, AMIN005572
OG0001668	LOC115261817, LOC109405709	AMIN000236
OG0001669	LOC109417873, LOC134288487	AMIN007557
OG0001670	LOC109621464	AMIN006905, AMIN004952, AMIN004953
OG0001671	LOC109433059	AMIN006353
OG0001672	LOC109409320	AMIN010337
OG0001673	LOC115253996	AMIN004565
OG0001674	LOC109418062	AMIN010633
OG0001675	LOC109414834	AMIN010632
OG0001676	LOC109623260	AMIN014634, AMIN008119
OG0001677	LOC109428052, LOC109428054, LOC115261585	AMIN002429
OG0001678	LOC115264498, LOC109406869	AMIN005374
OG0001679	LOC109401866, LOC134284971	AMIN005705, AMIN005708
OG0001680	LOC134285041, LOC109406867	AMIN003163
OG0001681	LOC109399621	AMIN004248
OG0001682	LOC109417772	AMIN009446
OG0001683	LOC109411854, LOC115259476	AMIN004904
OG0001684	LOC109412731, LOC109411856	AMIN004905
OG0001686	LOC134291965, LOC109422607	AMIN000150
OG0001687	LOC109431059, LOC109431039	AMIN006572
OG0001688	LOC109411570	AMIN006563
OG0001689	LOC134288000, LOC109413201	AMIN005738
OG0001690	LOC109421972	AMIN005716
OG0001691	LOC109427990	AMIN002277
OG0001692	LOC109409457, LOC115256851	AMIN001087
OG0001693	LOC109621313, LOC109413128	AMIN008688
OG0001694	LOC109405232	AMIN000112, AMIN000111
OG0001695	LOC115254377, LOC109400080	AMIN003825
OG0001696	LOC109421739	AMIN003087
OG0001697	LOC115270187	AMIN011457
OG0001698	LOC109405751, LOC109429050	AMIN000403
OG0001699	LOC109416248	AMIN007190
OG0001700	LOC115253486	AMIN006163
OG0001701	LOC109414896, LOC134286191, LOC134286192, LOC115255478	AMIN006157
OG0001702	LOC109416535	AMIN007162
OG0001704	LOC109407506	AMIN008503
OG0001705	LOC109622241	AMIN004423, AMIN004424
OG0001706	LOC109622242	AMIN004427
OG0001708	LOC109403032	AMIN011340
OG0001709	LOC109416365	AMIN004221
OG0001710	LOC134284301, LOC109424714	AMIN007022
OG0001711	LOC109398767, LOC134284945	AMIN009564
OG0001712	LOC134284927, LOC109427493	AMIN005114
OG0001713	LOC115268078, LOC109408019, LOC109405158	AMIN007563
OG0001714	LOC109404794, LOC109423879	AMIN009480
OG0001715	LOC109623312	AMIN007500, AMIN007498
OG0001716	LOC109419530	AMIN009853, AMIN009378
OG0001717	LOC109409288	AMIN009855, AMIN009856
OG0001718	LOC109410458	AMIN000197, AMIN000198
OG0001719	LOC109427538	AMIN007341
OG0001720	LOC109415992	AMIN004085
OG0001721	LOC115267417	AMIN000752
OG0001722	LOC109404966	AMIN000262
OG0001723	LOC109416168	AMIN000260
OG0001724	LOC115266621	AMIN015519
OG0001725	LOC109417806	AMIN011280
OG0001726	LOC134283970, LOC109426755	AMIN010691
OG0001727	LOC109431071	AMIN005082
OG0001728	LOC109405380	AMIN008781
OG0001729	LOC109420617, LOC109420616	AMIN007144
OG0001730	LOC109414978	AMIN010737, AMIN010736
OG0001731	LOC109414740, LOC109426838	AMIN008041
OG0001732	LOC134284641, LOC109412044	AMIN008097
OG0001733	LOC109412040, LOC134284643	AMIN008094
OG0001734	LOC109423450	AMIN000136
OG0001735	LOC109432041, LOC109432033	AMIN004224, AMIN000973
OG0001736	LOC109404016	AMIN000931
OG0001737	LOC109413566	AMIN006545
OG0001738	LOC134285257, LOC134285256	AMIN005607
OG0001740	LOC109431730, LOC109431727	AMIN008073
OG0001741	LOC109405745, LOC109433391	AMIN002561
OG0001742	LOC134285350, LOC109406906	AMIN005632
OG0001743	LOC109409336, LOC109419088	AMIN001594
OG0001744	LOC115266916, LOC109409339	AMIN015660
OG0001745	LOC115253436, LOC109409337	AMIN001592
OG0001746	LOC109419087, LOC115254144	AMIN015661
