Orthogroup	AaegyptiLVP_AGWG	AstephensiUCISS2018
OG0000013	AAEL009791, AAEL009790, AAEL020010, AAEL009802, AAEL009783, AAEL009788, AAEL009803, AAEL015363, AAEL009793, AAEL020011, AAEL009807, AAEL009796, AAEL009784, AAEL009801, AAEL015163	ASTEI20_044393, ASTEI20_036070, ASTEI20_034401
OG0000013	AAEL023763, AAEL002110	ASTEI20_042039
OG0000013	AAEL002099	ASTEI20_033404
OG0000013	AAEL026306, AAEL027846, AAEL028212, AAEL002092	ASTEI20_042237, ASTEI20_043320
OG0000014	AAEL003156, AAEL007942, AAEL020192	ASTEI20_035937
OG0000014	AAEL011007	ASTEI20_030803, ASTEI20_045732, ASTEI20_043799, ASTEI20_033207, ASTEI20_037522, ASTEI20_042376, ASTEI20_038148, ASTEI20_041712
OG0000015	AAEL010677	ASTEI20_036599, ASTEI20_042102, ASTEI20_045009, ASTEI20_045231
OG0000015	AAEL010671	ASTEI20_044899, ASTEI20_031600, ASTEI20_037282, ASTEI20_034188
OG0000016	AAEL010202, AAEL013712, AAEL010196, AAEL013703, AAEL007601, AAEL023729, AAEL013715, AAEL012852, AAEL006425	ASTEI20_031052, ASTEI20_044106, ASTEI20_037566, ASTEI20_040856, ASTEI20_042351
OG0000016	AAEL007818, AAEL004996	ASTEI20_033956
OG0000017	AAEL003846	ASTEI20_041579
OG0000017	AAEL021922, AAEL021577, AAEL021058, AAEL020565, AAEL020145, AAEL020506, AAEL021628, AAEL020517, AAEL020976, AAEL020216, AAEL020914, AAEL021529, AAEL021405, AAEL000517, AAEL003673, AAEL021516, AAEL021956, AAEL021604, AAEL013709, AAEL020831, AAEL021350, AAEL020032	ASTEI20_039449
OG0000018	AAEL025777, AAEL024340, AAEL020545, AAEL026872, AAEL026850, AAEL012477, AAEL021374	ASTEI20_033285, ASTEI20_031707, ASTEI20_045349, ASTEI20_039025, ASTEI20_040652, ASTEI20_038491
OG0000018	AAEL020762, AAEL026324	ASTEI20_042175, ASTEI20_035312, ASTEI20_037388, ASTEI20_044061, ASTEI20_045497, ASTEI20_043074
OG0000020	AAEL008681	ASTEI20_041350, ASTEI20_045487, ASTEI20_041417, ASTEI20_041247, ASTEI20_030966, ASTEI20_044090, ASTEI20_042722, ASTEI20_033349, ASTEI20_033857, ASTEI20_043843, ASTEI20_038201
OG0000021	AAEL004631	ASTEI20_031602
OG0000021	AAEL001673	ASTEI20_042507
OG0000021	AAEL011197	ASTEI20_033844
OG0000021	AAEL004616	ASTEI20_036164
OG0000021	AAEL009451	ASTEI20_042454
OG0000021	AAEL001951	ASTEI20_044345
OG0000021	AAEL005964	ASTEI20_032692
OG0000021	AAEL005961	ASTEI20_040880
OG0000023	AAEL000351, AAEL029065	ASTEI20_033419, ASTEI20_039293, ASTEI20_044320, ASTEI20_035887, ASTEI20_034207, ASTEI20_038660
OG0000023	AAEL021993, AAEL000379	ASTEI20_042495
OG0000023	AAEL000323, AAEL024983	ASTEI20_035807
OG0000024	AAEL010380, AAEL017311	ASTEI20_036317
OG0000024	AAEL010367, AAEL024680	ASTEI20_030796
OG0000024	AAEL010384	ASTEI20_042294
OG0000024	AAEL010370, AAEL010382	ASTEI20_032042, ASTEI20_038906
OG0000024	AAEL026787	ASTEI20_045971, ASTEI20_035495
OG0000026	AAEL013496, AAEL013501	ASTEI20_034431, ASTEI20_045957
OG0000026	AAEL015116, AAEL015113	ASTEI20_037139
OG0000026	AAEL013492	ASTEI20_036805
OG0000026	AAEL011763, AAEL011764, AAEL020579	ASTEI20_033037
OG0000026	AAEL014544	ASTEI20_038151
OG0000027	AAEL012642, AAEL012648, AAEL012653, AAEL015254, AAEL015252	ASTEI20_032352
OG0000027	AAEL012641, AAEL012649, AAEL012646, AAEL012652, AAEL012645, AAEL027171, AAEL012651, AAEL025465, AAEL012644, AAEL012650, AAEL012647	ASTEI20_038580, ASTEI20_036720
OG0000030	AAEL000087, AAEL025334, AAEL019959, AAEL001794, AAEL019958	ASTEI20_038223
OG0000033	AAEL000038	ASTEI20_045015
OG0000033	AAEL000074	ASTEI20_034999
OG0000033	AAEL000037, AAEL000028, AAEL000099	ASTEI20_036373, ASTEI20_031788, ASTEI20_044530, ASTEI20_042735
OG0000034	AAEL013562	ASTEI20_032776
OG0000034	AAEL002279	ASTEI20_040625
OG0000035	AAEL009610, AAEL025842, AAEL013024	ASTEI20_034591, ASTEI20_038434, ASTEI20_044858, ASTEI20_040523, ASTEI20_035326, ASTEI20_036996, ASTEI20_033591, ASTEI20_034577, ASTEI20_044193, ASTEI20_030889, ASTEI20_040393, ASTEI20_037776, ASTEI20_045503, ASTEI20_045781, ASTEI20_042171, ASTEI20_041634, ASTEI20_035874
OG0000037	AAEL008895	ASTEI20_038052, ASTEI20_032497, ASTEI20_031459, ASTEI20_042647, ASTEI20_041766, ASTEI20_039477, ASTEI20_034438, ASTEI20_044399, ASTEI20_045557, ASTEI20_042942
OG0000039	AAEL002693, AAEL006524, AAEL002682, AAEL002476, AAEL009239, AAEL000793	ASTEI20_041961, ASTEI20_034016, ASTEI20_042151, ASTEI20_039200, ASTEI20_040849, ASTEI20_035166, ASTEI20_036321, ASTEI20_037293
OG0000040	AAEL008368, AAEL022663	ASTEI20_037172
OG0000040	AAEL020825, AAEL008448	ASTEI20_034704, ASTEI20_040829, ASTEI20_045547, ASTEI20_039503
OG0000041	AAEL007060	ASTEI20_038827
OG0000041	AAEL007063	ASTEI20_038756
OG0000041	AAEL007051, AAEL007070	ASTEI20_034624
OG0000041	AAEL023132	ASTEI20_036497
OG0000042	AAEL018347	ASTEI20_044170, ASTEI20_041547, ASTEI20_038339
OG0000045	AAEL026336, AAEL021875, AAEL024639, AAEL020919, AAEL019803, AAEL024333, AAEL024795, AAEL021215, AAEL027670, AAEL000157, AAEL021144, AAEL005377, AAEL023120, AAEL027327, AAEL017283, AAEL022558, AAEL027412, AAEL022317, AAEL026643, AAEL021928, AAEL027742, AAEL023167, AAEL022378, AAEL023311	ASTEI20_038821
OG0000046	AAEL005753	ASTEI20_033536, ASTEI20_045137
