Orthogroup	AaegyptiLVP_AGWG	AstephensiUCISS2018
OG0000849	AAEL008651	ASTEI20_042112
OG0000850	AAEL008921	ASTEI20_031769, ASTEI20_041948
OG0000852	AAEL008952	ASTEI20_035599
OG0000853	AAEL009050, AAEL009045	ASTEI20_040852
OG0000854	AAEL021942, AAEL009230	ASTEI20_034595
OG0000855	AAEL009479	ASTEI20_032493, ASTEI20_042132
OG0000856	AAEL010097	ASTEI20_036510, ASTEI20_041735
OG0000857	AAEL022757	ASTEI20_042730
OG0000857	AAEL010584	ASTEI20_040336
OG0000858	AAEL010907	ASTEI20_034712
OG0000859	AAEL011229, AAEL015552	ASTEI20_037362
OG0000860	AAEL011352	ASTEI20_043892
OG0000861	AAEL011915	ASTEI20_041727
OG0000861	AAEL022536	ASTEI20_038521
OG0000862	AAEL011944	ASTEI20_044800, ASTEI20_033388
OG0000863	AAEL012042	ASTEI20_039681
OG0000864	AAEL012058	ASTEI20_040084
OG0000865	AAEL012239	ASTEI20_044183
OG0000866	AAEL012916	ASTEI20_036038
OG0000867	AAEL012998	ASTEI20_041802, ASTEI20_036774
OG0000868	AAEL013445	ASTEI20_031032
OG0000869	AAEL013517	ASTEI20_045680, ASTEI20_043696, ASTEI20_044341
OG0000870	AAEL013887	ASTEI20_041721, ASTEI20_039027
OG0000871	AAEL013936	ASTEI20_043245
OG0000872	AAEL014039	ASTEI20_035045
OG0000873	AAEL014292	ASTEI20_037241
OG0000874	AAEL014343	ASTEI20_032447, ASTEI20_036343
OG0000875	AAEL014729	ASTEI20_031975
OG0000876	AAEL014762	ASTEI20_038171
OG0000876	AAEL027643, AAEL014761	ASTEI20_036250
OG0000877	AAEL014945	ASTEI20_040971, ASTEI20_037309
OG0000878	AAEL014958	ASTEI20_041893, ASTEI20_036003
OG0000879	AAEL017101	ASTEI20_043715
OG0000882	AAEL018248	ASTEI20_039800
OG0000883	AAEL021437	ASTEI20_038661
OG0000883	AAEL019432	ASTEI20_031209
OG0000884	AAEL019475	ASTEI20_040416
OG0000885	AAEL019525	ASTEI20_046138
OG0000886	AAEL019538	ASTEI20_044506, ASTEI20_037892
OG0000887	AAEL019578	ASTEI20_038548, ASTEI20_045008
OG0000888	AAEL019596	ASTEI20_033933
OG0000889	AAEL019726	ASTEI20_045458
OG0000890	AAEL019844	ASTEI20_045313
OG0000893	AAEL019973	ASTEI20_039923
OG0000894	AAEL019989	ASTEI20_036594
OG0000895	AAEL025763, AAEL019997	ASTEI20_042878
OG0000896	AAEL020008	ASTEI20_034832
OG0000897	AAEL021294, AAEL020288, AAEL022360, AAEL020388	ASTEI20_043474, ASTEI20_036984, ASTEI20_032916, ASTEI20_042579
OG0000898	AAEL020392, AAEL027229	ASTEI20_043964
OG0000900	AAEL020941	ASTEI20_039875
OG0000901	AAEL021209	ASTEI20_038514, ASTEI20_032584
OG0000902	AAEL021736	ASTEI20_033803, ASTEI20_039735
OG0000903	AAEL027405, AAEL022409	ASTEI20_032454, ASTEI20_032648
OG0000904	AAEL022566	ASTEI20_036389, ASTEI20_039996
OG0000906	AAEL023434	ASTEI20_039052
OG0000907	AAEL023595, AAEL027839, AAEL027013	ASTEI20_030972, ASTEI20_043706
OG0000908	AAEL025140	ASTEI20_032103, ASTEI20_036217
OG0000909	AAEL025937, AAEL026627	ASTEI20_040014
OG0000910	AAEL026147	ASTEI20_038822
OG0000911	AAEL026758	ASTEI20_034906
OG0000940	AAEL000324	ASTEI20_034935
OG0000941	AAEL026240, AAEL000427	ASTEI20_033136
OG0000942	AAEL017467, AAEL000507, AAEL000496	ASTEI20_044731
OG0000943	AAEL000781, AAEL005040	ASTEI20_041590
OG0000944	AAEL001227	ASTEI20_031002, ASTEI20_035316
OG0000945	AAEL001448	ASTEI20_030978, ASTEI20_039745
OG0000946	AAEL001483	ASTEI20_032242
OG0000947	AAEL001514, AAEL002623	ASTEI20_041716
OG0000948	AAEL001646	ASTEI20_034366, ASTEI20_036279
OG0000949	AAEL027778, AAEL001710	ASTEI20_041438
OG0000950	AAEL023215	ASTEI20_035813
OG0000951	AAEL002269	ASTEI20_037697, ASTEI20_033085
OG0000952	AAEL002435	ASTEI20_036430
OG0000953	AAEL002531, AAEL002514	ASTEI20_036115
OG0000954	AAEL002518	ASTEI20_044671
OG0000955	AAEL002574, AAEL002555	ASTEI20_040949
OG0000956	AAEL002721	ASTEI20_032161
OG0000957	AAEL002731	ASTEI20_034570
OG0000958	AAEL002924	ASTEI20_041178
OG0000959	AAEL002998, AAEL022096	ASTEI20_034877
OG0000960	AAEL003014	ASTEI20_032481
OG0000961	AAEL003056, AAEL003066	ASTEI20_039897, ASTEI20_043406
OG0000962	AAEL003206	ASTEI20_042867
OG0000963	AAEL024398, AAEL003373	ASTEI20_042343
OG0000964	AAEL003424	ASTEI20_030858, ASTEI20_041502
OG0000965	AAEL011715, AAEL003756	ASTEI20_038733
OG0000966	AAEL003961, AAEL003959	ASTEI20_032401
OG0000967	AAEL004021	ASTEI20_045321
OG0000968	AAEL004167	ASTEI20_031786, ASTEI20_038030
OG0000969	AAEL025999, AAEL004175	ASTEI20_044721
OG0000970	AAEL004397	ASTEI20_043170
OG0000972	AAEL010716, AAEL004523	ASTEI20_040349
OG0000973	AAEL004572	ASTEI20_044892
OG0000974	AAEL005017	ASTEI20_037996, ASTEI20_037917
OG0000975	AAEL005079, AAEL005073, AAEL023627, AAEL012510	ASTEI20_040912
OG0000976	AAEL005174	ASTEI20_038305
OG0000977	AAEL005356	ASTEI20_040796
OG0000978	AAEL005368	ASTEI20_042079, ASTEI20_041204
OG0000979	AAEL024751, AAEL005386	ASTEI20_041890
OG0000980	AAEL005522	ASTEI20_033638
OG0000982	AAEL005773	ASTEI20_041497
OG0000983	AAEL005792	ASTEI20_043351
OG0000983	AAEL019781	ASTEI20_038937
OG0000984	AAEL005972	ASTEI20_044204
OG0000985	AAEL005997, AAEL025330	ASTEI20_043691, ASTEI20_042027
OG0000986	AAEL006467, AAEL006471, AAEL006458	ASTEI20_036620
OG0000987	AAEL006526	ASTEI20_040186
OG0000988	AAEL006617, AAEL006630	ASTEI20_045087
OG0000989	AAEL006776	ASTEI20_040964, ASTEI20_037454
OG0000990	AAEL007696	ASTEI20_044951
OG0000991	AAEL007926	ASTEI20_032561
OG0000992	AAEL007109, AAEL015527	ASTEI20_036956, ASTEI20_036478
OG0000993	AAEL007281	ASTEI20_039519
OG0000994	AAEL007407	ASTEI20_032257
OG0000995	AAEL007469	ASTEI20_035459, ASTEI20_041125
OG0000996	AAEL007544	ASTEI20_031926, ASTEI20_044157
OG0000997	AAEL007631	ASTEI20_039712
OG0000998	AAEL007692, AAEL020254, AAEL024197, AAEL019534	ASTEI20_038439
OG0000999	AAEL007794	ASTEI20_032079
OG0001000	AAEL024196, AAEL007880	ASTEI20_045504
OG0001001	AAEL007882	ASTEI20_036585
OG0001002	AAEL007911	ASTEI20_034265
OG0001003	AAEL008097, AAEL013628, AAEL013623	ASTEI20_036096
OG0001004	AAEL008220	ASTEI20_042577, ASTEI20_035708
OG0001005	AAEL008341	ASTEI20_037489
OG0001006	AAEL008350, AAEL008346, AAEL023131	ASTEI20_043740
OG0001007	AAEL008658	ASTEI20_036987
OG0001008	AAEL021957, AAEL014231	ASTEI20_032053
OG0001009	AAEL022297, AAEL008963	ASTEI20_043443
OG0001010	AAEL009017	ASTEI20_044389
OG0001011	AAEL009114	ASTEI20_045764
OG0001012	AAEL009120	ASTEI20_037949, ASTEI20_041799, ASTEI20_034831, ASTEI20_045279
OG0001013	AAEL009150	ASTEI20_034929
OG0001014	AAEL009160	ASTEI20_034354
OG0001015	AAEL009182	ASTEI20_041127, ASTEI20_039394
OG0001016	AAEL009449, AAEL013018	ASTEI20_040727
OG0001017	AAEL009473	ASTEI20_040130
OG0001018	AAEL009475	ASTEI20_035014
OG0001019	AAEL009537	ASTEI20_031537, ASTEI20_033808
OG0001020	AAEL009772	ASTEI20_038412, ASTEI20_042447
OG0001021	AAEL017022, AAEL009852	ASTEI20_044575
OG0001022	AAEL015139, AAEL009956	ASTEI20_040004
OG0001023	AAEL010094	ASTEI20_036841, ASTEI20_035782
OG0001024	AAEL010139, AAEL020990, AAEL024387	ASTEI20_037928
OG0001025	AAEL027157, AAEL010166	ASTEI20_041827
OG0001027	AAEL019901	ASTEI20_044527
OG0001028	AAEL021538, AAEL010924	ASTEI20_034918
OG0001029	AAEL011019	ASTEI20_031132
OG0001030	AAEL011211	ASTEI20_043871
OG0001031	AAEL011333	ASTEI20_043066, ASTEI20_030931
OG0001032	AAEL011406, AAEL014944	ASTEI20_041822
OG0001033	AAEL011543	ASTEI20_033764, ASTEI20_039173
OG0001034	AAEL011815	ASTEI20_043071
OG0001035	AAEL016975, AAEL011889, AAEL011891	ASTEI20_042050
OG0001036	AAEL011898	ASTEI20_033259
OG0001037	AAEL012057	ASTEI20_037174, ASTEI20_045118
OG0001038	AAEL012095	ASTEI20_036062, ASTEI20_036166
OG0001039	AAEL012206	ASTEI20_043152
OG0001040	AAEL012262	ASTEI20_040946
OG0001041	AAEL012342, AAEL015326	ASTEI20_037997
OG0001042	AAEL012351	ASTEI20_045209
OG0001043	AAEL025613, AAEL012417	ASTEI20_034315, ASTEI20_046090
OG0001044	AAEL012538	ASTEI20_031687
OG0001045	AAEL012740	ASTEI20_034716, ASTEI20_041546
OG0001046	AAEL012859, AAEL012864	ASTEI20_041254
OG0001047	AAEL012886	ASTEI20_036049, ASTEI20_031951
OG0001048	AAEL013052	ASTEI20_032710
OG0001049	AAEL013102	ASTEI20_044919
OG0001050	AAEL013109, AAEL013111	ASTEI20_037230
OG0001051	AAEL013365	ASTEI20_034000
OG0001052	AAEL017129, AAEL016981, AAEL013507	ASTEI20_038574
OG0001053	AAEL013961	ASTEI20_033613
OG0001054	AAEL014102	ASTEI20_040565, ASTEI20_034260
OG0001055	AAEL014702	ASTEI20_036501
OG0001056	AAEL015064	ASTEI20_031303
OG0001057	AAEL015637, AAEL019767	ASTEI20_036077
OG0001058	AAEL024802, AAEL018061, AAEL017349, AAEL026215	ASTEI20_035953
OG0001059	AAEL024164, AAEL017458	ASTEI20_037629
OG0001060	AAEL017508	ASTEI20_035632, ASTEI20_030825
OG0001061	AAEL018154	ASTEI20_044823
OG0001062	AAEL018240	ASTEI20_032371
OG0001063	AAEL018294	ASTEI20_042203
OG0001064	AAEL018326	ASTEI20_042469, ASTEI20_039353
OG0001065	AAEL019424	ASTEI20_039474
OG0001066	AAEL019433	ASTEI20_036725
OG0001067	AAEL019479	ASTEI20_045488
OG0001068	AAEL019499	ASTEI20_036207
OG0001069	AAEL019505	ASTEI20_046052
OG0001070	AAEL019541	ASTEI20_041079
OG0001072	AAEL019652	ASTEI20_046181
OG0001073	AAEL019733, AAEL027627	ASTEI20_040311
OG0001074	AAEL019735	ASTEI20_045114, ASTEI20_045774, ASTEI20_037135
OG0001075	AAEL019758	ASTEI20_038097
OG0001076	AAEL019765	ASTEI20_035622
OG0001077	AAEL019801	ASTEI20_034898
OG0001079	AAEL019846	ASTEI20_041084
OG0001080	AAEL019851	ASTEI20_031701
OG0001081	AAEL019863, AAEL026810	ASTEI20_043227, ASTEI20_044836
OG0001082	AAEL026588, AAEL019900	ASTEI20_038405
OG0001083	AAEL019907	ASTEI20_031837
OG0001084	AAEL019913, AAEL019912	ASTEI20_034735
OG0001085	AAEL019937	ASTEI20_031097
OG0001085	AAEL019938	ASTEI20_035255
OG0001086	AAEL019939	ASTEI20_032661
OG0001087	AAEL022726	ASTEI20_040078
OG0001088	AAEL020127	ASTEI20_045457, ASTEI20_033963
OG0001090	AAEL020559	ASTEI20_040246, ASTEI20_034602
OG0001091	AAEL020586	ASTEI20_031436
OG0001092	AAEL021335, AAEL027155, AAEL024693	ASTEI20_034519
OG0001094	AAEL022196	ASTEI20_035834, ASTEI20_034269
OG0001095	AAEL022262	ASTEI20_032860
OG0001096	AAEL022548, AAEL022931	ASTEI20_044127
OG0001097	AAEL022895, AAEL025283, AAEL027544	ASTEI20_033846
OG0001098	AAEL023100	ASTEI20_032972
OG0001101	AAEL024796, AAEL027832, AAEL027728, AAEL023898	ASTEI20_034829
OG0001102	AAEL024145	ASTEI20_040761, ASTEI20_034711
OG0001103	AAEL024441	ASTEI20_034331, ASTEI20_045627
OG0001104	AAEL024560	ASTEI20_041682
OG0001105	AAEL024627	ASTEI20_039566
OG0001106	AAEL024632	ASTEI20_031793
OG0001107	AAEL024641	ASTEI20_035830
OG0001109	AAEL025245	ASTEI20_040528
OG0001110	AAEL025903	ASTEI20_036552
OG0001111	AAEL025977	ASTEI20_044348
OG0001112	AAEL026409	ASTEI20_036444, ASTEI20_041485
OG0001113	AAEL026479	ASTEI20_031840
OG0001114	AAEL026891	ASTEI20_033768
OG0001115	AAEL027099	ASTEI20_045551
OG0001138	AAEL023987, AAEL000108	ASTEI20_043819
OG0001139	AAEL000151	ASTEI20_036863
OG0001140	AAEL000127, AAEL017443	ASTEI20_036602
OG0001141	AAEL000140, AAEL023842, AAEL003176	ASTEI20_040448
OG0001142	AAEL000143	ASTEI20_034324
OG0001143	AAEL000203, AAEL024571	ASTEI20_043905
OG0001144	AAEL013852, AAEL000226	ASTEI20_038739
OG0001145	AAEL000242	ASTEI20_043426
OG0001146	AAEL000244	ASTEI20_038617
OG0001147	AAEL000293	ASTEI20_044326, ASTEI20_036312
OG0001148	AAEL000484, AAEL027334, AAEL013718	ASTEI20_042033
OG0001149	AAEL000498	ASTEI20_034126
OG0001150	AAEL000528	ASTEI20_034115
OG0001151	AAEL004503, AAEL020737, AAEL000529, AAEL023769	ASTEI20_045831
OG0001152	AAEL000682	ASTEI20_032962
OG0001154	AAEL000824	ASTEI20_044879
OG0001155	AAEL000845	ASTEI20_037761
OG0001157	AAEL000898, AAEL000905, AAEL021128, AAEL000889	ASTEI20_036944
OG0001158	AAEL001148	ASTEI20_030873
OG0001159	AAEL001168	ASTEI20_041806, ASTEI20_033490
OG0001160	AAEL001231	ASTEI20_038639
OG0001162	AAEL001295	ASTEI20_039448
OG0001163	AAEL023150, AAEL027653, AAEL001651, AAEL021881	ASTEI20_034387
OG0001164	AAEL001687, AAEL009513	ASTEI20_045255
OG0001166	AAEL001857	ASTEI20_038551
OG0001167	AAEL001910	ASTEI20_032275
OG0001168	AAEL001937	ASTEI20_045785
OG0001170	AAEL002049	ASTEI20_043395, ASTEI20_040323
OG0001171	AAEL002125	ASTEI20_039876
OG0001172	AAEL002174	ASTEI20_040091, ASTEI20_044472
OG0001173	AAEL021031, AAEL002395	ASTEI20_034896
OG0001174	AAEL002410	ASTEI20_038468
OG0001175	AAEL002427, AAEL026436	ASTEI20_040159
OG0001176	AAEL002725, AAEL002449	ASTEI20_037117
OG0001177	AAEL002502	ASTEI20_044013, ASTEI20_037360
OG0001178	AAEL002538, AAEL002506	ASTEI20_032693
OG0001179	AAEL002642	ASTEI20_033884
OG0001180	AAEL002684	ASTEI20_035035
OG0001181	AAEL002759	ASTEI20_031047
OG0001182	AAEL002765	ASTEI20_043923
OG0001183	AAEL002781	ASTEI20_042369
OG0001184	AAEL002846	ASTEI20_043317, ASTEI20_041197
OG0001185	AAEL002876	ASTEI20_039486
OG0001186	AAEL002999	ASTEI20_041013
OG0001187	AAEL003128, AAEL021885, AAEL024262, AAEL024666	ASTEI20_037510
OG0001188	AAEL003154	ASTEI20_040907
OG0001189	AAEL021106, AAEL003188	ASTEI20_032182, ASTEI20_036336
OG0001190	AAEL003407	ASTEI20_039244, ASTEI20_036889
OG0001191	AAEL003616, AAEL028038	ASTEI20_041595
OG0001192	AAEL003683	ASTEI20_038126
OG0001193	AAEL003797, AAEL022585, AAEL021797, AAEL024960	ASTEI20_039615
OG0001194	AAEL003968	ASTEI20_034839, ASTEI20_039727
OG0001195	AAEL003976	ASTEI20_040722
OG0001196	AAEL003996	ASTEI20_039060
OG0001197	AAEL004120	ASTEI20_043018
OG0001198	AAEL004127, AAEL021809, AAEL004137	ASTEI20_030970
OG0001199	AAEL004217	ASTEI20_041683
OG0001200	AAEL005737, AAEL004278	ASTEI20_032316
OG0001201	AAEL004290, AAEL019535	ASTEI20_041949, ASTEI20_045078, ASTEI20_036270
OG0001202	AAEL004388, AAEL004390, AAEL004386	ASTEI20_035931
OG0001203	AAEL004392, AAEL014196	ASTEI20_035162
OG0001204	AAEL004398	ASTEI20_035671
OG0001205	AAEL019906, AAEL004457	ASTEI20_040926
OG0001206	AAEL004544	ASTEI20_036701
OG0001207	AAEL027515, AAEL028140, AAEL004564	ASTEI20_033357
OG0001208	AAEL004677, AAEL004676	ASTEI20_035106
OG0001209	AAEL004694	ASTEI20_031594
OG0001210	AAEL004717	ASTEI20_035556
OG0001211	AAEL004804	ASTEI20_040238, ASTEI20_039987
OG0001212	AAEL004861, AAEL007167	ASTEI20_041598
OG0001213	AAEL004915	ASTEI20_043541, ASTEI20_036617
OG0001214	AAEL004933, AAEL012340	ASTEI20_042489
OG0001215	AAEL005019	ASTEI20_041685
OG0001216	AAEL022457, AAEL005036	ASTEI20_041429, ASTEI20_037591
OG0001218	AAEL005058, AAEL018331	ASTEI20_034852
OG0001219	AAEL005111	ASTEI20_035173
OG0001220	AAEL005256	ASTEI20_036333
OG0001221	AAEL005289	ASTEI20_035973
OG0001222	AAEL026757, AAEL022228, AAEL005450	ASTEI20_035938
OG0001223	AAEL005638	ASTEI20_040140
OG0001224	AAEL005649	ASTEI20_032086
OG0001225	AAEL005774	ASTEI20_039472
OG0001226	AAEL005829	ASTEI20_041077
OG0001227	AAEL005895	ASTEI20_040805
OG0001228	AAEL005922	ASTEI20_044020
OG0001229	AAEL005978	ASTEI20_033440
OG0001230	AAEL006006	ASTEI20_037753
OG0001231	AAEL006023	ASTEI20_035857
OG0001232	AAEL006144	ASTEI20_034063
OG0001234	AAEL006319	ASTEI20_045679, ASTEI20_045030
OG0001235	AAEL006567	ASTEI20_043063
OG0001236	AAEL006593	ASTEI20_038843
OG0001237	AAEL006623	ASTEI20_039747, ASTEI20_042138
OG0001238	AAEL006645	ASTEI20_038086, ASTEI20_031674
OG0001239	AAEL006985, AAEL006830	ASTEI20_041060
OG0001240	AAEL006968, AAEL006971	ASTEI20_044077
OG0001241	AAEL007234	ASTEI20_045999
OG0001242	AAEL007246, AAEL007238	ASTEI20_044309
OG0001243	AAEL007248, AAEL020271	ASTEI20_041872
OG0001244	AAEL007404	ASTEI20_041786
OG0001245	AAEL007465	ASTEI20_033276
OG0001246	AAEL027458, AAEL007762	ASTEI20_034564
OG0001247	AAEL022067, AAEL007799	ASTEI20_040370
OG0001248	AAEL008056	ASTEI20_038974
OG0001249	AAEL013179, AAEL008148	ASTEI20_044243
OG0001250	AAEL008173, AAEL023000, AAEL008157	ASTEI20_036475
OG0001251	AAEL008316	ASTEI20_036781
OG0001252	AAEL008474, AAEL008472	ASTEI20_037283
OG0001253	AAEL008564	ASTEI20_045648
OG0001254	AAEL023635, AAEL008575	ASTEI20_031419
OG0001255	AAEL008687	ASTEI20_038178, ASTEI20_038352
OG0001256	AAEL008699	ASTEI20_041385
OG0001257	AAEL008961	ASTEI20_044701
OG0001258	AAEL009019	ASTEI20_042582
OG0001259	AAEL009054, AAEL027056	ASTEI20_034415
OG0001260	AAEL009062	ASTEI20_040339
OG0001261	AAEL009176	ASTEI20_031118, ASTEI20_033138
OG0001262	AAEL022573	ASTEI20_043346
OG0001263	AAEL009328, AAEL009324	ASTEI20_033024
OG0001264	AAEL009362	ASTEI20_039480, ASTEI20_039924
OG0001265	AAEL009489	ASTEI20_031100
OG0001266	AAEL009684	ASTEI20_044830
OG0001267	AAEL009761	ASTEI20_036119
OG0001268	AAEL009836	ASTEI20_037694, ASTEI20_034761
OG0001269	AAEL010041	ASTEI20_043574
OG0001270	AAEL010069, AAEL024373	ASTEI20_041208
OG0001271	AAEL026935, AAEL027269, AAEL010070	ASTEI20_044512
OG0001272	AAEL010140, AAEL010148	ASTEI20_032452
OG0001273	AAEL023181, AAEL010157	ASTEI20_042664, ASTEI20_033683
OG0001274	AAEL010182	ASTEI20_045270
OG0001275	AAEL010219	ASTEI20_031688
OG0001276	AAEL010235, AAEL010228	ASTEI20_044988
OG0001277	AAEL021534, AAEL026085, AAEL010265	ASTEI20_040166
OG0001278	AAEL027836, AAEL024539, AAEL010314	ASTEI20_031435
OG0001279	AAEL010364	ASTEI20_045175
OG0001280	AAEL010397	ASTEI20_030833, ASTEI20_039688
OG0001281	AAEL010545	ASTEI20_031355
OG0001282	AAEL010628, AAEL010631	ASTEI20_037170
OG0001283	AAEL010647	ASTEI20_038777, ASTEI20_032878
OG0001284	AAEL021724, AAEL010789	ASTEI20_037848
OG0001285	AAEL010926	ASTEI20_045902
OG0001286	AAEL010941	ASTEI20_046079, ASTEI20_046017
OG0001287	AAEL011032, AAEL011029	ASTEI20_045173
OG0001288	AAEL011150	ASTEI20_037853, ASTEI20_033120
OG0001289	AAEL011238	ASTEI20_044446
OG0001290	AAEL011239	ASTEI20_031637
OG0001292	AAEL011357	ASTEI20_038206, ASTEI20_045992
OG0001293	AAEL011419, AAEL027486, AAEL011428	ASTEI20_037544
OG0001294	AAEL011458, AAEL013031	ASTEI20_039396
OG0001295	AAEL025944, AAEL011475	ASTEI20_045894
OG0001296	AAEL014842, AAEL011510	ASTEI20_041214
OG0001297	AAEL011575	ASTEI20_039168
OG0001298	AAEL011632	ASTEI20_032981
OG0001299	AAEL011786	ASTEI20_044797
OG0001300	AAEL011941	ASTEI20_035501
OG0001301	AAEL011992	ASTEI20_030945, ASTEI20_039379
OG0001302	AAEL011995	ASTEI20_031273
OG0001303	AAEL012107	ASTEI20_041016
OG0001304	AAEL012161, AAEL012162	ASTEI20_038999
OG0001305	AAEL014916, AAEL012344	ASTEI20_044825
OG0001306	AAEL012382	ASTEI20_043155
OG0001307	AAEL012472, AAEL027557	ASTEI20_037477
OG0001308	AAEL012564, AAEL012565, AAEL012563	ASTEI20_031823
OG0001309	AAEL019473, AAEL012613	ASTEI20_041047
OG0001310	AAEL012621	ASTEI20_032624
OG0001311	AAEL012712	ASTEI20_032457
OG0001312	AAEL013335	ASTEI20_037527
OG0001313	AAEL013405	ASTEI20_043313
OG0001314	AAEL013882	ASTEI20_035855
OG0001315	AAEL027503, AAEL023538, AAEL025158, AAEL024757, AAEL014089	ASTEI20_041233
OG0001316	AAEL014125	ASTEI20_041760
OG0001317	AAEL014361	ASTEI20_032953, ASTEI20_039009
OG0001318	AAEL023570, AAEL020504, AAEL014377	ASTEI20_033878
OG0001319	AAEL014441	ASTEI20_036764
OG0001321	AAEL014452	ASTEI20_031728, ASTEI20_044505
OG0001322	AAEL014640	ASTEI20_038075
OG0001324	AAEL027937, AAEL014744	ASTEI20_043409
OG0001325	AAEL015079, AAEL015267, AAEL020714, AAEL015265	ASTEI20_045463
OG0001326	AAEL015109	ASTEI20_031232
OG0001327	AAEL021791, AAEL015119	ASTEI20_034219
OG0001328	AAEL028238, AAEL015150	ASTEI20_041917
OG0001329	AAEL018025, AAEL015313	ASTEI20_038893, ASTEI20_032602
OG0001330	AAEL017158	ASTEI20_031051
OG0001331	AAEL017198	ASTEI20_032502, ASTEI20_036204
OG0001332	AAEL017357, AAEL026428	ASTEI20_038793
OG0001333	AAEL019858, AAEL018036	ASTEI20_031383
OG0001334	AAEL018126	ASTEI20_041251
OG0001335	AAEL018131	ASTEI20_035142
OG0001336	AAEL018149	ASTEI20_037664, ASTEI20_040121
OG0001337	AAEL018161	ASTEI20_031448
OG0001338	AAEL018165	ASTEI20_034924
OG0001339	AAEL018211	ASTEI20_037969
OG0001340	AAEL018230	ASTEI20_031806
OG0001341	AAEL018298	ASTEI20_033932
OG0001342	AAEL019430	ASTEI20_033836
OG0001343	AAEL019439	ASTEI20_035967
OG0001344	AAEL019444	ASTEI20_042158
OG0001345	AAEL019446	ASTEI20_039482
OG0001346	AAEL019476	ASTEI20_042704
OG0001347	AAEL019480	ASTEI20_041149
OG0001348	AAEL019489	ASTEI20_037819
OG0001349	AAEL020521, AAEL024405, AAEL024673, AAEL019542	ASTEI20_039577
OG0001350	AAEL019573	ASTEI20_039856
OG0001351	AAEL019577	ASTEI20_045765
OG0001352	AAEL019587	ASTEI20_033173, ASTEI20_041673
OG0001354	AAEL019667	ASTEI20_045741, ASTEI20_033595
OG0001355	AAEL019714	ASTEI20_032490
OG0001356	AAEL019762	ASTEI20_042013
OG0001357	AAEL019795	ASTEI20_036470
OG0001358	AAEL019835	ASTEI20_034439
OG0001359	AAEL019837	ASTEI20_032014
OG0001360	AAEL019843	ASTEI20_045198
OG0001362	AAEL019852	ASTEI20_032543
OG0001363	AAEL019879	ASTEI20_032553
OG0001364	AAEL019990	ASTEI20_036955
OG0001365	AAEL023710, AAEL026194, AAEL020009, AAEL020072, AAEL023263, AAEL021911, AAEL022094, AAEL025920, AAEL020461	ASTEI20_035423
OG0001366	AAEL020095	ASTEI20_045232
OG0001369	AAEL020499	ASTEI20_041363
OG0001370	AAEL020551, AAEL025762	ASTEI20_046089
OG0001371	AAEL020651	ASTEI20_046176
OG0001372	AAEL020702	ASTEI20_039706
OG0001373	AAEL020789	ASTEI20_043710
OG0001374	AAEL020800	ASTEI20_041703
OG0001375	AAEL021099	ASTEI20_032879
OG0001376	AAEL021805, AAEL022509	ASTEI20_045181
OG0001377	AAEL021865	ASTEI20_035538
OG0001378	AAEL027926	ASTEI20_040876
OG0001379	AAEL026542, AAEL025489, AAEL021883, AAEL027561, AAEL023613	ASTEI20_036252
OG0001380	AAEL021945	ASTEI20_035766, ASTEI20_043359
OG0001381	AAEL022092, AAEL024337	ASTEI20_042971
OG0001382	AAEL022155, AAEL028005	ASTEI20_037044
OG0001383	AAEL023190, AAEL024558, AAEL022214	ASTEI20_031395
OG0001384	AAEL022539	ASTEI20_045158
OG0001385	AAEL022589	ASTEI20_042174
OG0001386	AAEL022718	ASTEI20_037585
OG0001388	AAEL028188, AAEL023294	ASTEI20_033476
OG0001389	AAEL025458, AAEL024104, AAEL026110	ASTEI20_043859
OG0001391	AAEL024239, AAEL026747	ASTEI20_035284
OG0001392	AAEL024268	ASTEI20_032895
OG0001393	AAEL024506, AAEL024812	ASTEI20_039933, ASTEI20_044313
OG0001395	AAEL024922	ASTEI20_038627, ASTEI20_039598
OG0001396	AAEL025165	ASTEI20_045373
OG0001397	AAEL025298, AAEL028110, AAEL026623	ASTEI20_031646
OG0001398	AAEL025391	ASTEI20_032973
OG0001399	AAEL025547	ASTEI20_045622
OG0001400	AAEL025567	ASTEI20_032621
OG0001401	AAEL025911	ASTEI20_035719
OG0001402	AAEL025973	ASTEI20_038506, ASTEI20_035528, ASTEI20_035017
OG0001403	AAEL026169	ASTEI20_037368
OG0001404	AAEL026227	ASTEI20_036395
OG0001405	AAEL026287	ASTEI20_043820
OG0001406	AAEL026387	ASTEI20_034506, ASTEI20_046158
OG0001408	AAEL026581	ASTEI20_041103
OG0001409	AAEL026671	ASTEI20_041400
OG0001410	AAEL026939	ASTEI20_033841
OG0001411	AAEL027023	ASTEI20_040823
OG0001412	AAEL027589	ASTEI20_037936
OG0001413	AAEL027616	ASTEI20_032148
OG0001414	AAEL028205	ASTEI20_039471
OG0001443	AAEL000044, AAEL014995	ASTEI20_043189
OG0001444	AAEL000081, AAEL020741	ASTEI20_042232
OG0001445	AAEL000092	ASTEI20_033406
OG0001446	AAEL000146, AAEL000111	ASTEI20_032195
OG0001447	AAEL027754, AAEL025874, AAEL000154	ASTEI20_031721
OG0001448	AAEL000217	ASTEI20_038801
OG0001449	AAEL000250	ASTEI20_034512
OG0001450	AAEL000284	ASTEI20_043043, ASTEI20_036182
OG0001451	AAEL013951, AAEL000432	ASTEI20_039282
