Orthogroup	LlongipalpisASM	AaegyptiLVP_AGWG
OG0001610	LOC129790774	AAEL006718
OG0001611	LOC129794313	AAEL026097, AAEL006732
OG0001612	LOC129795496	AAEL006772, AAEL024260
OG0001613	LOC129793815, LOC129786668, LOC129786729	AAEL006774
OG0001614	LOC129795844	AAEL006790
OG0001615	LOC129793898	AAEL006839
OG0001616	LOC129792007	AAEL020314, AAEL006854
OG0001617	LOC129790376	AAEL006859, AAEL014276
OG0001618	LOC129792832, LOC129787634	AAEL006919
OG0001619	LOC129786506, LOC129786488	AAEL006987, AAEL006990
OG0001620	LOC129786438	AAEL021420, AAEL006998, AAEL028089
OG0001621	LOC129787620	AAEL025660, AAEL007001
OG0001622	LOC129792130	AAEL007049
OG0001623	LOC129787944	AAEL020187, AAEL007078
OG0001624	LOC129787347	AAEL007278, AAEL022274
OG0001625	LOC129796179	AAEL007285
OG0001626	LOC129792140, LOC129797795	AAEL007349
OG0001627	LOC129797847	AAEL010393, AAEL007385
OG0001628	LOC129791569	AAEL007409
OG0001629	LOC129790874, LOC129789217, LOC129792829	AAEL007473
OG0001630	LOC129795633	AAEL007476
OG0001631	LOC129786221	AAEL025261, AAEL007492
OG0001632	LOC129793617	AAEL007505
OG0001633	LOC129789417	AAEL007568
OG0001634	LOC129796839	AAEL026096, AAEL007708
OG0001635	LOC129795027	AAEL007805
OG0001636	LOC129790733	AAEL007814, AAEL021591
OG0001637	LOC129790595	AAEL007823
OG0001638	LOC129790797	AAEL007902
OG0001639	LOC129796206	AAEL007959
OG0001640	LOC129789851, LOC129789850, LOC129789085	AAEL007979
OG0001641	LOC129790175	AAEL007987, AAEL025151
OG0001642	LOC129793308	AAEL007996
OG0001643	LOC129797437	AAEL008010, AAEL025987
OG0001644	LOC129796435	AAEL008041
OG0001645	LOC129795123	AAEL023409, AAEL008046
OG0001647	LOC129796554	AAEL008154
OG0001648	LOC129787158	AAEL008188
OG0001649	LOC129786326, LOC129795316, LOC129786322	AAEL008219
OG0001650	LOC129790931	AAEL008403
OG0001651	LOC129790887	AAEL012845, AAEL008412
OG0001652	LOC129786116	AAEL021627, AAEL008416, AAEL022499, AAEL023848
OG0001654	LOC129789585	AAEL008459
OG0001655	LOC129789602	AAEL008463
OG0001656	LOC129788086	AAEL008592
OG0001657	LOC129789357	AAEL008596
OG0001658	LOC129786809	AAEL008700
OG0001659	LOC129793899	AAEL008738
OG0001660	LOC129786022	AAEL008826
OG0001661	LOC129786658	AAEL023781, AAEL008842
OG0001662	LOC129792648	AAEL008849
OG0001663	LOC129796251	AAEL008865
OG0001664	LOC129790572	AAEL008941
OG0001665	LOC129790134	AAEL008942
OG0001666	LOC129789751	AAEL026683, AAEL008956
OG0001667	LOC129790063	AAEL008960
OG0001668	LOC129793929	AAEL009097
OG0001669	LOC129792436	AAEL009183, AAEL027505
OG0001670	LOC129795951	AAEL009196
OG0001671	LOC129788616	AAEL009265
OG0001672	LOC129789273, LOC129789272	AAEL009298
OG0001673	LOC129787185	AAEL009307
OG0001674	LOC129792010	AAEL009351, AAEL021624
OG0001675	LOC129791982	AAEL009356, AAEL024601
OG0001676	LOC129795464	AAEL009364
OG0001677	LOC129797117	AAEL009438
OG0001678	LOC129789742	AAEL009471, AAEL009458
OG0001679	LOC129788938	AAEL009466
OG0001680	LOC129797090	AAEL023741, AAEL009469
OG0001681	LOC129794747, LOC129794746	AAEL009503, AAEL020495
OG0001682	LOC129788060	AAEL009588
OG0001683	LOC129790728	AAEL009634
OG0001684	LOC129790725	AAEL009637
OG0001685	LOC129790413	AAEL009639
OG0001685	LOC129793889	AAEL026149
OG0001686	LOC129796857	AAEL025383, AAEL009701
OG0001688	LOC129797292, LOC129797293, LOC129786585	AAEL009753
OG0001689	LOC129787992	AAEL009763
OG0001690	LOC129789156	AAEL009779
OG0001691	LOC129793247, LOC129793246	AAEL009850
OG0001692	LOC129790239	AAEL028144, AAEL009872
OG0001694	LOC129787868	AAEL009950
OG0001695	LOC129786751	AAEL010008, AAEL026984
OG0001696	LOC129788426	AAEL010062
OG0001697	LOC129792997	AAEL010090
OG0001699	LOC129795526	AAEL021547, AAEL024827, AAEL010226
OG0001700	LOC129793749, LOC129791126, LOC129789479	AAEL010260
OG0001702	LOC129789529	AAEL010283, AAEL027623
OG0001704	LOC129785963	AAEL010311
OG0001705	LOC129797629	AAEL010354
OG0001706	LOC129789605, LOC129795515	AAEL010355
OG0001708	LOC129797541, LOC129792617, LOC129792400	AAEL010389
OG0001709	LOC129787238, LOC129790388	AAEL010422
OG0001710	LOC129796140	AAEL021184, AAEL010511
OG0001711	LOC129788442	AAEL010568
OG0001712	LOC129789964	AAEL010571, AAEL026067
OG0001714	LOC129791296	AAEL010742, AAEL024119
OG0001715	LOC129796923	AAEL010757
OG0001716	LOC129790480	AAEL010771
OG0001717	LOC129789932	AAEL010778
OG0001718	LOC129797155	AAEL010827
OG0001719	LOC129791721	AAEL010855
OG0001720	LOC129786098	AAEL021416, AAEL011123
OG0001721	LOC129785973	AAEL024207, AAEL011124
OG0001722	LOC129797064	AAEL011157
OG0001723	LOC129795874	AAEL011159
OG0001724	LOC129786652	AAEL026600, AAEL011271
OG0001725	LOC129794113	AAEL011345
OG0001726	LOC129792607, LOC129792727	AAEL011349
OG0001727	LOC129788794	AAEL011379
OG0001728	LOC129787839	AAEL011382
OG0001730	LOC129796021	AAEL011436
OG0001731	LOC129788792, LOC129791986	AAEL011500
OG0001732	LOC129796695	AAEL011560
OG0001733	LOC129786263	AAEL011562
OG0001734	LOC129791737, LOC129792398	AAEL011566
OG0001735	LOC129790824	AAEL011690, AAEL011691
OG0001736	LOC129796096	AAEL011697
OG0001737	LOC129795468	AAEL025949, AAEL021786, AAEL011731
OG0001738	LOC129788301	AAEL011751, AAEL023265
OG0001739	LOC129788022	AAEL011754, AAEL023977
OG0001741	LOC129787555	AAEL011808, AAEL027830
OG0001742	LOC129792632	AAEL011850
OG0001743	LOC129792747	AAEL011989
OG0001744	LOC129787602	AAEL011991
OG0001745	LOC129787587	AAEL011993
OG0001746	LOC129797065	AAEL011996
OG0001747	LOC129794259	AAEL012016
OG0001748	LOC129786441	AAEL027882, AAEL012059
OG0001749	LOC129792376	AAEL021939, AAEL012178
OG0001750	LOC129790222	AAEL012233
OG0001751	LOC129794909	AAEL012324
OG0001752	LOC129786866	AAEL022520, AAEL012341
OG0001753	LOC129796574, LOC129796573	AAEL012410
OG0001754	LOC129788770, LOC129788776, LOC129795979	AAEL012501
OG0001755	LOC129794760	AAEL012525
OG0001756	LOC129791759	AAEL012539
OG0001757	LOC129789606	AAEL012552
OG0001758	LOC129789116	AAEL021254, AAEL012585
OG0001759	LOC129789065	AAEL012671
OG0001760	LOC129787052	AAEL012710, AAEL012715
OG0001762	LOC129792088	AAEL012717
OG0001763	LOC129791736	AAEL012731
OG0001764	LOC129794248	AAEL012751
OG0001765	LOC129793816	AAEL012756
OG0001767	LOC129785893	AAEL012822
OG0001768	LOC129792769	AAEL012823
OG0001769	LOC129793630	AAEL012826
OG0001771	LOC129788791	AAEL013151
OG0001772	LOC129789245, LOC129789345	AAEL013157, AAEL013152
OG0001773	LOC129792735	AAEL013197
OG0001774	LOC129789403	AAEL026895, AAEL013199
OG0001775	LOC129790827	AAEL013253
OG0001776	LOC129793498	AAEL013278
OG0001777	LOC129788364	AAEL013366
OG0001778	LOC129797665	AAEL013424
OG0001779	LOC129794840	AAEL013478
OG0001780	LOC129794939	AAEL013479
OG0001781	LOC129793429	AAEL013527
OG0001782	LOC129787820	AAEL013613
OG0001783	LOC129786246	AAEL013724
OG0001784	LOC129793241	AAEL013744
OG0001785	LOC129797674	AAEL013758
OG0001786	LOC129791199	AAEL013776
OG0001787	LOC129791381	AAEL013814
OG0001788	LOC129792127	AAEL013872
OG0001789	LOC129792135	AAEL013875
OG0001790	LOC129790876	AAEL013883
OG0001791	LOC129786553	AAEL013962
OG0001792	LOC129796385	AAEL020316, AAEL013974
OG0001793	LOC129792442	AAEL028215, AAEL013994
OG0001794	LOC129797226	AAEL013998, AAEL027973
OG0001795	LOC129789520, LOC129789252	AAEL014009
OG0001796	LOC129792783	AAEL014022
OG0001798	LOC129787211	AAEL014054, AAEL025786
OG0001799	LOC129788959	AAEL014059
OG0001800	LOC129788729	AAEL025776, AAEL014216
OG0001802	LOC129797610	AAEL014271
OG0001803	LOC129791007, LOC129791008	AAEL014272
OG0001804	LOC129795693	AAEL014284
OG0001805	LOC129790995	AAEL014303
OG0001806	LOC129792413	AAEL024066, AAEL014318
OG0001807	LOC129791367	AAEL014326
OG0001808	LOC129792755	AAEL014340
OG0001811	LOC129792465	AAEL014435
OG0001812	LOC129787649	AAEL014505
OG0001813	LOC129793732, LOC129793734	AAEL014577
OG0001814	LOC129792252	AAEL014578, AAEL023117
OG0001815	LOC129787405	AAEL014653
OG0001816	LOC129793276	AAEL014774
OG0001817	LOC129790365	AAEL014824
OG0001818	LOC129787508	AAEL014851
OG0001819	LOC129789556	AAEL024910, AAEL014853
OG0001820	LOC129793706	AAEL014863
OG0001821	LOC129791557	AAEL015118
OG0001822	LOC129793139	AAEL015255
OG0001823	LOC129791671	AAEL020424, AAEL015402
OG0001824	LOC129790984	AAEL015557
OG0001825	LOC129795054	AAEL015640
OG0001827	LOC129787714, LOC129787776	AAEL017167
OG0001829	LOC129795457	AAEL017251
OG0001830	LOC129795064	AAEL017356
OG0001831	LOC129790640	AAEL017391
OG0001832	LOC129795501	AAEL017512
OG0001833	LOC129791389	AAEL018103, AAEL026175
OG0001834	LOC129792115	AAEL018114
OG0001835	LOC129787975	AAEL018141
OG0001837	LOC129787074	AAEL018215
OG0001838	LOC129795573	AAEL018227
OG0001839	LOC129791005	AAEL018232
OG0001840	LOC129788825	AAEL018263
OG0001841	LOC129791580	AAEL018302
OG0001842	LOC129794817	AAEL018310
OG0001843	LOC129788150	AAEL018324
OG0001844	LOC129797361	AAEL019406
OG0001845	LOC129792975	AAEL023349, AAEL019418
OG0001846	LOC129796912	AAEL019420, AAEL019419
OG0001848	LOC129790690	AAEL019425
OG0001849	LOC129796195	AAEL019457
OG0001850	LOC129792298	AAEL019467
OG0001851	LOC129797616, LOC129797574	AAEL019491
OG0001852	LOC129797324	AAEL019502
OG0001853	LOC129794826	AAEL019515, AAEL021312
OG0001854	LOC129794842	AAEL019543
OG0001855	LOC129794073	AAEL019551
OG0001856	LOC129789363	AAEL019553
OG0001857	LOC129797241	AAEL019566
OG0001858	LOC129796202, LOC129796420	AAEL027018, AAEL019593
OG0001859	LOC129791467	AAEL019600, AAEL022282, AAEL023044
OG0001860	LOC129796988	AAEL019610
OG0001861	LOC129792410	AAEL019617
OG0001862	LOC129787215	AAEL025304, AAEL019619
OG0001863	LOC129792072	AAEL019632
OG0001864	LOC129790855	AAEL019640
OG0001865	LOC129790845	AAEL019656
OG0001866	LOC129795328	AAEL021311, AAEL019671
OG0001867	LOC129788957	AAEL019680
OG0001868	LOC129787270	AAEL019686
OG0001869	LOC129795513	AAEL019704
OG0001870	LOC129786560	AAEL019721, AAEL021660
OG0001871	LOC129787708	AAEL019723
OG0001873	LOC129787651	AAEL019738, AAEL022521
OG0001874	LOC129795307	AAEL019743
OG0001875	LOC129794108	AAEL019757
OG0001876	LOC129786760	AAEL019779
OG0001879	LOC129794824	AAEL019817, AAEL019816
OG0001880	LOC129786509	AAEL019872
OG0001881	LOC129787945, LOC129794298, LOC129794305	AAEL019888
OG0001882	LOC129789049	AAEL019914
OG0001883	LOC129793191	AAEL019934
OG0001884	LOC129790026	AAEL019942, AAEL019943
OG0001885	LOC129791203	AAEL020938, AAEL019995
OG0001886	LOC129785854	AAEL020006
OG0001887	LOC129789344, LOC129789624	AAEL020075
OG0001889	LOC129789558	AAEL020236
OG0001890	LOC129796812	AAEL020259
OG0001891	LOC129788054	AAEL020367, AAEL027037
OG0001892	LOC129787869	AAEL020427
OG0001893	LOC129795913	AAEL020670, AAEL026210
OG0001894	LOC129790362	AAEL020781, AAEL024786, AAEL024800
OG0001895	LOC129793818	AAEL024451, AAEL020804
OG0001896	LOC129788046	AAEL020847
OG0001897	LOC129790146	AAEL021006
OG0001898	LOC129793044, LOC129790873, LOC129793877	AAEL021019
OG0001899	LOC129788657	AAEL021029
OG0001901	LOC129791155	AAEL022782, AAEL021202
OG0001902	LOC129792775	AAEL021288
OG0001905	LOC129787833	AAEL021386
OG0001906	LOC129788661	AAEL021402, AAEL024170, AAEL025488
OG0001908	LOC129787564	AAEL026022, AAEL021519
OG0001909	LOC129790425	AAEL021548
OG0001911	LOC129791574	AAEL023577, AAEL027960, AAEL021586, AAEL024532, AAEL027202
OG0001912	LOC129795945	AAEL021655, AAEL023077
OG0001913	LOC129790847	AAEL021676
OG0001914	LOC129794648	AAEL021748
OG0001915	LOC129795734	AAEL024321, AAEL022608, AAEL021767
OG0001916	LOC129791707	AAEL021771
OG0001917	LOC129795172, LOC129795169	AAEL021925
OG0001918	LOC129790323	AAEL021955, AAEL028133
OG0001919	LOC129791890	AAEL022200
OG0001920	LOC129789627	AAEL022248
OG0001923	LOC129792576	AAEL022431
OG0001924	LOC129788384	AAEL022611
OG0001925	LOC129791354	AAEL022632, AAEL023223
OG0001926	LOC129789853	AAEL022657, AAEL026213
OG0001928	LOC129787417	AAEL026719, AAEL022716
OG0001929	LOC129790888	AAEL022855
OG0001930	LOC129791566	AAEL022893, AAEL025265
OG0001931	LOC129788027	AAEL024358, AAEL022938
OG0001933	LOC129790383	AAEL024674, AAEL023115
OG0001934	LOC129793593	AAEL023151
OG0001935	LOC129787271	AAEL023352
OG0001937	LOC129792078	AAEL023471
OG0001938	LOC129796602	AAEL023498, AAEL027331
OG0001939	LOC129787144	AAEL023502, AAEL025398
OG0001940	LOC129788550	AAEL023745
OG0001941	LOC129790566	AAEL023750, AAEL026150, AAEL024982
OG0001942	LOC129787632	AAEL023810
OG0001943	LOC129787936	AAEL026260, AAEL023943
OG0001944	LOC129787103	AAEL023989
OG0001945	LOC129788609	AAEL024005
OG0001946	LOC129789835	AAEL027002, AAEL024101
OG0001947	LOC129793148	AAEL024141
OG0001948	LOC129790027	AAEL024258
OG0001949	LOC129791154	AAEL024480
OG0001950	LOC129791722	AAEL024598
OG0001951	LOC129788275	AAEL025046, AAEL024618
OG0001952	LOC129794314	AAEL024623
OG0001953	LOC129793162	AAEL024710
OG0001954	LOC129794292	AAEL024713
OG0001955	LOC129792214	AAEL024788
OG0001956	LOC129788139	AAEL025473, AAEL025076
OG0001957	LOC129793821	AAEL025133, AAEL026994
OG0001958	LOC129785990	AAEL025230
OG0001959	LOC129786145	AAEL025353
OG0001960	LOC129789692, LOC129789672, LOC129795154	AAEL025443
OG0001961	LOC129792189	AAEL025578, AAEL025984
OG0001962	LOC129796121	AAEL025606
OG0001963	LOC129790872	AAEL026618, AAEL025692
OG0001964	LOC129793403	AAEL026074
OG0001965	LOC129795975	AAEL026170
OG0001968	LOC129790144, LOC129793916	AAEL026355
OG0001970	LOC129797434	AAEL026710
OG0001971	LOC129793531	AAEL026716, AAEL027637
OG0001974	LOC129785856	AAEL026796
OG0001975	LOC129792950, LOC129792892	AAEL026846
OG0001976	LOC129795962	AAEL026945
OG0001977	LOC129789328	AAEL027527
OG0001978	LOC129794833, LOC129795403	AAEL027566
OG0001979	LOC129786351	AAEL027644
OG0001980	LOC129789419, LOC129789930	AAEL027654
OG0001981	LOC129796027	AAEL028004
OG0001982	LOC129789617	AAEL028021
OG0001983	LOC129789082	AAEL028129
OG0001984	LOC129789641	AAEL029070, AAEL029071
OG0002027	LOC129786348	AAEL000008
OG0002028	LOC129786183	AAEL002639, AAEL000010
OG0002029	LOC129786150	AAEL000032
OG0002030	LOC129796868	AAEL000036
OG0002031	LOC129794312	AAEL000049
OG0002032	LOC129796943	AAEL000091
OG0002033	LOC129796820	AAEL000098
OG0002034	LOC129790140	AAEL000102
OG0002035	LOC129789332	AAEL000109, AAEL025680
OG0002036	LOC129797306	AAEL000159
OG0002037	LOC129786088	AAEL000162
OG0002038	LOC129797429	AAEL000181
OG0002039	LOC129797746	AAEL000186
OG0002040	LOC129797304, LOC129797307	AAEL000188
OG0002041	LOC129787111	AAEL000193
OG0002042	LOC129787206	AAEL000206, AAEL004665
OG0002043	LOC129792702	AAEL000221
OG0002044	LOC129793762	AAEL000236
OG0002045	LOC129788678	AAEL021776, AAEL000243
OG0002046	LOC129787153	AAEL000258
OG0002047	LOC129792995	AAEL000267
OG0002048	LOC129795712	AAEL000272
OG0002049	LOC129787065	AAEL000291
OG0002050	LOC129787969	AAEL000327
OG0002052	LOC129793489	AAEL000343
OG0002053	LOC129797520	AAEL000362
OG0002054	LOC129796471	AAEL000397, AAEL027318
OG0002055	LOC129795446	AAEL000416
OG0002056	LOC129796303	AAEL000424
OG0002057	LOC129796472	AAEL000440, AAEL023005
OG0002058	LOC129793910	AAEL027802, AAEL000445
OG0002059	LOC129796534	AAEL000452
OG0002060	LOC129794853	AAEL000457
OG0002061	LOC129787988	AAEL000460, AAEL020197
OG0002062	LOC129796074	AAEL000464
OG0002063	LOC129797489	AAEL000510
OG0002064	LOC129796436	AAEL000550
OG0002065	LOC129792004, LOC129794614	AAEL000551
OG0002066	LOC129796138	AAEL000559
OG0002067	LOC129795350	AAEL000590
OG0002068	LOC129797761	AAEL000593
OG0002069	LOC129797826, LOC129788594	AAEL000618
OG0002071	LOC129795692	AAEL000670
OG0002072	LOC129789432	AAEL000716
OG0002073	LOC129794275	AAEL000721
OG0002074	LOC129792662	AAEL000724
OG0002075	LOC129792271	AAEL000746
OG0002076	LOC129792610	AAEL000750
OG0002077	LOC129795742	AAEL000755
OG0002078	LOC129786002	AAEL020913, AAEL000825
OG0002079	LOC129786109	AAEL000849, AAEL027279
OG0002080	LOC129794911	AAEL000852, AAEL022708
OG0002081	LOC129788016, LOC129795800	AAEL000883
OG0002082	LOC129794597	AAEL000897
OG0002083	LOC129787679	AAEL000924
OG0002084	LOC129791859	AAEL000925
OG0002085	LOC129788403, LOC129788402	AAEL000933
OG0002086	LOC129786135, LOC129786019	AAEL000938
OG0002087	LOC129796881	AAEL000940, AAEL022151
OG0002088	LOC129795724	AAEL000942
OG0002089	LOC129796615	AAEL024591, AAEL000950
OG0002090	LOC129796235	AAEL000951
OG0002091	LOC129788450	AAEL000953
OG0002092	LOC129787669	AAEL007879, AAEL000961
OG0002093	LOC129795709	AAEL026006, AAEL028134, AAEL000964
OG0002094	LOC129795213	AAEL000967
OG0002095	LOC129786568	AAEL000978
OG0002098	LOC129785822	AAEL001000
OG0002099	LOC129797209	AAEL001007
OG0002100	LOC129793188, LOC129793187	AAEL001044
OG0002101	LOC129787041	AAEL001060
OG0002102	LOC129787051	AAEL001085
OG0002103	LOC129790062	AAEL001099
OG0002104	LOC129795021, LOC129788515	AAEL001113
OG0002105	LOC129790023	AAEL001154
OG0002106	LOC129791064	AAEL021364, AAEL001162
OG0002107	LOC129796177	AAEL025170, AAEL001176
OG0002108	LOC129788481	AAEL020244, AAEL001182
OG0002109	LOC129791914	AAEL001184
OG0002110	LOC129790068	AAEL001191, AAEL020438
OG0002111	LOC129796167	AAEL001199, AAEL020222
OG0002112	LOC129789295	AAEL001228
OG0002113	LOC129788380	AAEL001238
OG0002114	LOC129790798	AAEL001241
OG0002115	LOC129792622	AAEL001245
OG0002116	LOC129791818	AAEL001254
OG0002117	LOC129792628	AAEL001257
OG0002118	LOC129792365	AAEL001268
OG0002119	LOC129792165	AAEL001281
OG0002120	LOC129786317	AAEL020619, AAEL001289
OG0002121	LOC129789097	AAEL001308
OG0002122	LOC129791865	AAEL001317
OG0002123	LOC129792550	AAEL001356
OG0002124	LOC129792128	AAEL001359
OG0002125	LOC129789847, LOC129791422	AAEL001368
OG0002126	LOC129793297	AAEL001378
OG0002127	LOC129792100	AAEL001389
OG0002128	LOC129792548	AAEL001397
OG0002129	LOC129792129	AAEL001422
OG0002130	LOC129794340	AAEL001423
OG0002131	LOC129797194	AAEL001425
OG0002132	LOC129792102	AAEL023408, AAEL001426
OG0002133	LOC129793858	AAEL001428
OG0002134	LOC129790066	AAEL001446
OG0002135	LOC129795626	AAEL001472
OG0002136	LOC129789141	AAEL001474
OG0002137	LOC129789022	AAEL001475
OG0002138	LOC129786190	AAEL001493
OG0002139	LOC129788531	AAEL001497
OG0002140	LOC129792041	AAEL001500
OG0002141	LOC129794790	AAEL001505
OG0002142	LOC129794293	AAEL001506
OG0002143	LOC129794878	AAEL001513
OG0002144	LOC129796165	AAEL001518
OG0002145	LOC129794992	AAEL001526
OG0002146	LOC129792611	AAEL001541
OG0002149	LOC129795812	AAEL001557
OG0002150	LOC129793207	AAEL001559
OG0002151	LOC129792849	AAEL001573
OG0002152	LOC129787483	AAEL001593
OG0002153	LOC129792349	AAEL001636
OG0002154	LOC129786459	AAEL001649
OG0002156	LOC129795641	AAEL001707
OG0002157	LOC129794282	AAEL001736
OG0002158	LOC129792677	AAEL001751
OG0002159	LOC129793989	AAEL001764
OG0002160	LOC129788807	AAEL001797, AAEL022985
OG0002161	LOC129789584	AAEL001808
OG0002162	LOC129792208	AAEL026493, AAEL001810
OG0002163	LOC129789633, LOC129795922	AAEL001813
OG0002164	LOC129789915	AAEL001832
OG0002165	LOC129790660	AAEL001847
OG0002166	LOC129788457	AAEL026860, AAEL001852
OG0002167	LOC129793573	AAEL001856
OG0002168	LOC129790952	AAEL001864
OG0002169	LOC129789473	AAEL001865
OG0002170	LOC129790189	AAEL001869
OG0002171	LOC129790264	AAEL001874
OG0002172	LOC129789140	AAEL020591, AAEL001875
OG0002173	LOC129789107	AAEL001888
OG0002174	LOC129790705, LOC129790700	AAEL001896
OG0002176	LOC129789087	AAEL001913, AAEL020754
OG0002177	LOC129795949	AAEL001920
OG0002178	LOC129795722	AAEL023816, AAEL001952
OG0002179	LOC129789021	AAEL021869, AAEL001962
OG0002180	LOC129793143	AAEL001978
OG0002181	LOC129790196	AAEL002016
OG0002182	LOC129786453	AAEL021392, AAEL002068
OG0002183	LOC129791374	AAEL002079
OG0002184	LOC129797310	AAEL002132
OG0002185	LOC129795865	AAEL002134
OG0002186	LOC129797706	AAEL002142
OG0002187	LOC129786836	AAEL002165
OG0002188	LOC129786895	AAEL002167
OG0002189	LOC129787436	AAEL012075, AAEL002178
OG0002190	LOC129788388	AAEL002215
OG0002191	LOC129788510	AAEL002216
OG0002192	LOC129788448	AAEL002220
OG0002193	LOC129789440	AAEL002232
OG0002194	LOC129792408	AAEL002248, AAEL027046
OG0002195	LOC129793090	AAEL002250
OG0002196	LOC129792947	AAEL002271
OG0002197	LOC129796307	AAEL002307, AAEL002295
OG0002198	LOC129796032	AAEL002312
OG0002199	LOC129794812	AAEL002318, AAEL020455
OG0002200	LOC129793181	AAEL002322
OG0002201	LOC129793237	AAEL002324
OG0002202	LOC129793200	AAEL002329
OG0002203	LOC129793485	AAEL002341
OG0002204	LOC129788693	AAEL002343
OG0002205	LOC129794185	AAEL002345
OG0002206	LOC129793211	AAEL002355
OG0002207	LOC129797559	AAEL002387, AAEL025830
OG0002208	LOC129789628	AAEL002390
OG0002209	LOC129789680, LOC129789687	AAEL002399
OG0002210	LOC129791980	AAEL002401
OG0002211	LOC129787391	AAEL002404
OG0002212	LOC129797348	AAEL002412
OG0002213	LOC129788136	AAEL002433, AAEL024815
OG0002214	LOC129788860	AAEL002438
OG0002215	LOC129786768	AAEL002451
OG0002216	LOC129794210	AAEL021792, AAEL002463
OG0002217	LOC129793381, LOC129793379	AAEL002483
OG0002218	LOC129788862	AAEL002504
OG0002219	LOC129790860	AAEL002537
OG0002220	LOC129797609	AAEL002543, AAEL023018
OG0002221	LOC129787562	AAEL002560
OG0002222	LOC129793261	AAEL002569
OG0002223	LOC129795732	AAEL002578
OG0002224	LOC129797443	AAEL002581
OG0002225	LOC129795743, LOC129795745	AAEL002591, AAEL002605
OG0002226	LOC129796496	AAEL002597, AAEL023576
OG0002227	LOC129795589	AAEL002602, AAEL011967
OG0002229	LOC129795588	AAEL022118, AAEL002615
OG0002230	LOC129796777	AAEL002645
OG0002231	LOC129788560	AAEL002652
OG0002232	LOC129785910	AAEL002701
OG0002233	LOC129793461	AAEL002714
OG0002234	LOC129792716	AAEL002752
OG0002235	LOC129796803	AAEL002775
OG0002236	LOC129789903, LOC129797367	AAEL002782
OG0002237	LOC129787792	AAEL002783
OG0002238	LOC129786065	AAEL002815, AAEL022913
OG0002239	LOC129797602	AAEL002818
OG0002240	LOC129790493	AAEL002860
OG0002241	LOC129787979	AAEL002867, AAEL017409, AAEL026318, AAEL024386
OG0002242	LOC129787955	AAEL002870
OG0002244	LOC129788699	AAEL002887
OG0002245	LOC129794046	AAEL002888
OG0002246	LOC129788702	AAEL002905, AAEL009418
OG0002247	LOC129785965	AAEL002906
OG0002248	LOC129790227, LOC129797606	AAEL002921
OG0002249	LOC129789817	AAEL002933
OG0002251	LOC129789579	AAEL002961
OG0002252	LOC129786273	AAEL024580, AAEL002962
OG0002253	LOC129788451	AAEL002980, AAEL021837
OG0002254	LOC129793410	AAEL002988
OG0002255	LOC129796246	AAEL002993, AAEL021617
OG0002256	LOC129793333	AAEL003003
OG0002257	LOC129786737	AAEL003011
OG0002258	LOC129788415	AAEL003018
OG0002259	LOC129785858	AAEL003020
OG0002260	LOC129788509	AAEL003032
OG0002261	LOC129793788	AAEL024996, AAEL003063
OG0002262	LOC129791873	AAEL003064
OG0002263	LOC129791669	AAEL003067
OG0002264	LOC129793023	AAEL003071
OG0002265	LOC129791657	AAEL003089
OG0002266	LOC129785912	AAEL003103
OG0002267	LOC129791731, LOC129791729	AAEL003125
OG0002268	LOC129797731	AAEL003130
OG0002270	LOC129795116	AAEL026506, AAEL003136
OG0002271	LOC129795960	AAEL003140
OG0002272	LOC129790531	AAEL003143
OG0002273	LOC129794997	AAEL022327, AAEL003145
OG0002274	LOC129788771	AAEL003151
OG0002275	LOC129788122, LOC129796151	AAEL003161
OG0002276	LOC129788796	AAEL003174
OG0002277	LOC129786934	AAEL003183
OG0002278	LOC129786933, LOC129786932	AAEL003184
OG0002281	LOC129787739	AAEL003208, AAEL019417
OG0002282	LOC129788062, LOC129788066	AAEL003214
OG0002283	LOC129793663	AAEL003216
OG0002284	LOC129786555	AAEL003229
OG0002285	LOC129788063	AAEL003237
OG0002286	LOC129793658	AAEL003246
OG0002287	LOC129793672	AAEL003264
OG0002288	LOC129793661	AAEL003269
OG0002289	LOC129788137	AAEL003275
OG0002290	LOC129789278	AAEL003277
OG0002291	LOC129787557	AAEL003282
OG0002292	LOC129795898	AAEL003301
OG0002293	LOC129794480	AAEL028035, AAEL003320
OG0002294	LOC129786106	AAEL003326
OG0002295	LOC129797132	AAEL003344
OG0002296	LOC129790316	AAEL003346
OG0002298	LOC129792758	AAEL003365
OG0002299	LOC129797168	AAEL003367
OG0002300	LOC129787547	AAEL003377
OG0002301	LOC129797203	AAEL003397, AAEL024180
OG0002302	LOC129797189	AAEL003398
OG0002304	LOC129795418	AAEL003418
OG0002305	LOC129797328, LOC129792354	AAEL003432
OG0002306	LOC129795987	AAEL003443
OG0002307	LOC129787027	AAEL017549, AAEL003448
OG0002308	LOC129791629	AAEL024469, AAEL003452
OG0002309	LOC129792903	AAEL003461, AAEL024690
OG0002310	LOC129789716	AAEL003485, AAEL011554
OG0002311	LOC129797452	AAEL003495
OG0002312	LOC129785887	AAEL003505
OG0002313	LOC129795613	AAEL003509
OG0002314	LOC129797510	AAEL003516
OG0002315	LOC129794653	AAEL003517
OG0002316	LOC129796203	AAEL003526
OG0002317	LOC129793168	AAEL003529
OG0002318	LOC129790590	AAEL003530, AAEL005027
OG0002319	LOC129797356	AAEL003541, AAEL026564
