Orthogroup	LlongipalpisASM	AaegyptiLVP_AGWG
OG0000088	LOC129795927, LOC129794489, LOC129796007	AAEL001517, AAEL000546, AAEL000530, AAEL000545, AAEL008532, AAEL004724
OG0000090	LOC129787919, LOC129787933	AAEL003723, AAEL003712
OG0000090	LOC129793252	AAEL017132, AAEL015404
OG0000091	LOC129795565, LOC129795549, LOC129795142, LOC129795133, LOC129795583, LOC129789029, LOC129789027, LOC129789025, LOC129795971, LOC129789035, LOC129789024, LOC129789033, LOC129789030, LOC129796911, LOC129793099, LOC129791148	AAEL006992, AAEL006989, AAEL003890, AAEL007010, AAEL021861, AAEL007024
OG0000096	LOC129794915	AAEL002851
OG0000096	LOC129794914	AAEL019894, AAEL005052, AAEL005084, AAEL002848
OG0000097	LOC129797700, LOC129797734	AAEL009561, AAEL009559, AAEL009567, AAEL009566, AAEL029014
OG0000108	LOC129793972, LOC129793976, LOC129793973, LOC129793970, LOC129793974	AAEL022600, AAEL026025, AAEL026981, AAEL019469, AAEL019471, AAEL019470, AAEL029074, AAEL010435, AAEL013118, AAEL009166, AAEL013127, AAEL009165
OG0000109	LOC129796958	AAEL018267
OG0000109	LOC129787301	AAEL023958
OG0000109	LOC129787299, LOC129787302	AAEL019847, AAEL012395
OG0000114	LOC129791409	AAEL002241, AAEL002191, AAEL002229, AAEL002211, AAEL025678, AAEL002231, AAEL002246, AAEL002223, AAEL002233, AAEL002187
OG0000115	LOC129791666, LOC129793325, LOC129793062, LOC129793066, LOC129793059, LOC129793073, LOC129793061, LOC129793070, LOC129791529, LOC129793067, LOC129793065, LOC129793068, LOC129793069, LOC129795580, LOC129796158, LOC129787756, LOC129786908, LOC129794439, LOC129794247, LOC129793072, LOC129793063	AAEL004247, AAEL022427
OG0000116	LOC129790116, LOC129790115, LOC129790117	AAEL005045, AAEL017209, AAEL005043, AAEL005026
OG0000116	LOC129791153	AAEL004743
OG0000117	LOC129796173, LOC129789407, LOC129796171, LOC129789263, LOC129788638	AAEL020121, AAEL022048
OG0000120	LOC129795901, LOC129797227	AAEL019920, AAEL005609, AAEL005607, AAEL019919, AAEL005594, AAEL005611
OG0000128	LOC129794451, LOC129794450	AAEL000904, AAEL000918
OG0000128	LOC129794553, LOC129795542, LOC129795535	AAEL019933
OG0000129	LOC129797028	AAEL012683, AAEL012688, AAEL002373, AAEL012680, AAEL012685, AAEL001195
OG0000130	LOC129795831, LOC129797298	AAEL008160, AAEL002228, AAEL022506, AAEL029069, AAEL020799, AAEL002237
OG0000131	LOC129792347	AAEL024660
OG0000131	LOC129797128	AAEL003272, AAEL003226
OG0000131	LOC129792345	AAEL003259
OG0000132	LOC129794613	AAEL003844, AAEL005293, AAEL012003, AAEL003840
OG0000133	LOC129795866, LOC129794696	AAEL004091, AAEL014230
