Orthogroup	AsinensisChina	LlongipalpisASM
OG0000024	ASIC018921, ASIC018920, ASIC018905	LOC129791793, LOC129792085, LOC129792882, LOC129794330, LOC129792888, LOC129792886, LOC129792324, LOC129794524, LOC129791470, LOC129795452, LOC129794434, LOC129795453
OG0000026	ASIC016558, ASIC016557, ASIC016559, ASIC016561, ASIC016560, ASIC016118	LOC129792737, LOC129792738
OG0000026	ASIC014095	LOC129794486, LOC129789610
OG0000030	ASIC003377, ASIC003385, ASIC003382, ASIC003384, ASIC004709, ASIC004705, ASIC004703, ASIC004701, ASIC003400, ASIC013656, ASIC004707, ASIC004704, ASIC004708, ASIC004706, ASIC003393, ASIC015022, ASIC003420, ASIC003419, ASIC003381, ASIC003417, ASIC003383	LOC129790527
OG0000033	ASIC021804, ASIC009220, ASIC001195, ASIC011903, ASIC001193, ASIC011904, ASIC011902, ASIC011901, ASIC009221, ASIC009222	LOC129794355, LOC129787784
OG0000034	ASIC012442, ASIC012440, ASIC012445, ASIC012446, ASIC021981	LOC129791586
OG0000037	ASIC013351, ASIC013352, ASIC013353, ASIC022219, ASIC014023	LOC129794681, LOC129790942
OG0000041	ASIC005058, ASIC005063, ASIC005062, ASIC005064, ASIC005684, ASIC005059, ASIC005061	LOC129796428, LOC129796429, LOC129796432, LOC129795648, LOC129796430, LOC129796431
OG0000046	ASIC005431, ASIC001384, ASIC012560, ASIC001352, ASIC009809, ASIC005432, ASIC009407, ASIC009810, ASIC002914, ASIC005430, ASIC005429, ASIC001385, ASIC009812, ASIC009813, ASIC009814	LOC129797654
OG0000049	ASIC018403, ASIC018371, ASIC018370, ASIC018401, ASIC018400, ASIC001190, ASIC017764, ASIC018404	LOC129794518
OG0000051	ASIC010146, ASIC010154, ASIC010151, ASIC010148	LOC129786156
OG0000052	ASIC018088	LOC129794482
OG0000052	ASIC018082	LOC129790600, LOC129794525, LOC129792980, LOC129794483, LOC129786796, LOC129795916, LOC129795917, LOC129795920, LOC129795921, LOC129795919, LOC129792330, LOC129792977, LOC129795918, LOC129796369, LOC129795146, LOC129795143, LOC129795145, LOC129795365, LOC129795124, LOC129795125, LOC129795126, LOC129795144, LOC129794484, LOC129796215, LOC129796367, LOC129794515
OG0000055	ASIC000721	LOC129797106
OG0000055	ASIC016078	LOC129792602
OG0000055	ASIC014234	LOC129793457, LOC129787314
OG0000058	ASIC007323	LOC129790208, LOC129796355, LOC129795518, LOC129789259, LOC129786833, LOC129786898, LOC129787589
OG0000058	ASIC007325, ASIC007324, ASIC002529	LOC129790199
OG0000059	ASIC019011, ASIC019000, ASIC019170, ASIC016660	LOC129794147
OG0000061	ASIC015402	LOC129795031
OG0000061	ASIC016621	LOC129795029, LOC129795028
OG0000061	ASIC008790, ASIC008789, ASIC008791	LOC129795034
OG0000064	ASIC014147, ASIC002653, ASIC002651, ASIC001146, ASIC002656, ASIC002652	LOC129790088, LOC129790085
OG0000067	ASIC018220, ASIC018219	LOC129796553, LOC129796550, LOC129789877, LOC129796549
OG0000068	ASIC011681, ASIC011682	LOC129794030
OG0000068	ASIC011687, ASIC011679	LOC129794029, LOC129794026, LOC129794027
OG0000069	ASIC005652, ASIC002404, ASIC005650, ASIC005651, ASIC000407	LOC129797773, LOC129786174, LOC129792812
OG0000071	ASIC008283, ASIC013586	LOC129797006
OG0000072	ASIC019961	LOC129787850, LOC129787849
OG0000073	ASIC014115	LOC129790978, LOC129789240, LOC129791095, LOC129786082, LOC129794430, LOC129789666, LOC129795974, LOC129794559, LOC129796201, LOC129786939, LOC129791894, LOC129796558, LOC129796557, LOC129786080, LOC129796556, LOC129791096, LOC129791101, LOC129791098, LOC129791103, LOC129789241, LOC129791100
OG0000077	ASIC002587	LOC129789368, LOC129791094
OG0000077	ASIC002588, ASIC002586	LOC129793367
OG0000078	ASIC022286	LOC129795036
OG0000079	ASIC011457, ASIC011456, ASIC011455, ASIC011459	LOC129796831
OG0000080	ASIC016601, ASIC016602, ASIC019812, ASIC019334, ASIC019335	LOC129790108
OG0000086	ASIC009153, ASIC008317	LOC129787729, LOC129787734
OG0000088	ASIC008371, ASIC008372, ASIC008376	LOC129795927, LOC129794489, LOC129796007
OG0000090	ASIC019694, ASIC019695	LOC129793252
OG0000091	ASIC002280, ASIC002279	LOC129795565, LOC129795549, LOC129795142, LOC129795133, LOC129795583, LOC129789029, LOC129789027, LOC129789025, LOC129795971, LOC129789035, LOC129789024, LOC129789033, LOC129789030, LOC129796911, LOC129793099, LOC129791148
OG0000093	ASIC022154, ASIC014826, ASIC001437	LOC129786127
OG0000096	ASIC015638	LOC129794915
OG0000096	ASIC010647, ASIC010609, ASIC010449, ASIC015635	LOC129794914
OG0000097	ASIC021951, ASIC021949, ASIC021947, ASIC021950	LOC129797700, LOC129797734
OG0000106	ASIC004134, ASIC019308, ASIC008730, ASIC008745, ASIC004561, ASIC009531, ASIC002122, ASIC009798, ASIC015530, ASIC012831, ASIC004133, ASIC012126, ASIC015538, ASIC015534, ASIC015536, ASIC015579, ASIC010579, ASIC020066, ASIC020065, ASIC020067, ASIC020064, ASIC015583, ASIC015580, ASIC015584, ASIC015533, ASIC015535, ASIC015531, ASIC010577, ASIC008267, ASIC004270, ASIC015528, ASIC020068, ASIC012828, ASIC002718, ASIC002717, ASIC007187, ASIC012827, ASIC015529, ASIC004135	LOC129790838
OG0000108	ASIC013421, ASIC013593	LOC129793972, LOC129793976, LOC129793973, LOC129793970, LOC129793974
OG0000109	ASIC002584	LOC129796958
OG0000109	ASIC014258	LOC129787301
OG0000109	ASIC014260	LOC129787299, LOC129787302
OG0000114	ASIC012081	LOC129791409
OG0000115	ASIC017431, ASIC017432	LOC129791666, LOC129793325, LOC129793062, LOC129793066, LOC129793059, LOC129793073, LOC129793061, LOC129793070, LOC129791529, LOC129793067, LOC129793065, LOC129793068, LOC129793069, LOC129795580, LOC129796158, LOC129787756, LOC129786908, LOC129794439, LOC129794247, LOC129793072, LOC129793063
OG0000116	ASIC006403, ASIC006402	LOC129790116, LOC129790115, LOC129790117
OG0000116	ASIC014540	LOC129791153
OG0000120	ASIC011544, ASIC011541, ASIC013726	LOC129795901, LOC129797227
OG0000124	ASIC019768, ASIC019753, ASIC019769, ASIC019770, ASIC019771	LOC129786906
OG0000128	ASIC015246, ASIC015309	LOC129794451, LOC129794450
OG0000128	ASIC015247, ASIC015248	LOC129794553, LOC129795542, LOC129795535
OG0000129	ASIC008763, ASIC008762	LOC129797028
OG0000130	ASIC008146, ASIC012064, ASIC012065	LOC129795831, LOC129797298
OG0000131	ASIC012145	LOC129792347
OG0000131	ASIC012146, ASIC012147, ASIC012148	LOC129797128
OG0000131	ASIC012034	LOC129792345
OG0000132	ASIC014945, ASIC014943, ASIC014946, ASIC002822	LOC129794613
OG0000133	ASIC017840, ASIC017841, ASIC017521, ASIC017520	LOC129795866, LOC129794696
OG0000134	ASIC019150, ASIC019149, ASIC019146, ASIC019145, ASIC019147	LOC129792867
OG0000135	ASIC020740, ASIC020739, ASIC015458, ASIC007191	LOC129786134
OG0000136	ASIC007232	LOC129797461, LOC129792712, LOC129794643, LOC129788901
OG0000140	ASIC017498	LOC129792679, LOC129794270, LOC129793278, LOC129790730, LOC129792765, LOC129790574, LOC129788130, LOC129790577, LOC129791613, LOC129795673, LOC129795030, LOC129794981, LOC129794986, LOC129797825, LOC129788343, LOC129792547, LOC129795039, LOC129791907, LOC129790883, LOC129788419, LOC129788880, LOC129787358, LOC129796565, LOC129791747, LOC129790924, LOC129789747, LOC129793268, LOC129791961, LOC129790219, LOC129786600, LOC129795684, LOC129792417, LOC129797663, LOC129794781
OG0000142	ASIC011129, ASIC010497, ASIC004901	LOC129792316, LOC129793845
OG0000142	ASIC014682	LOC129797567
OG0000143	ASIC008422, ASIC008424, ASIC008426	LOC129791170, LOC129789375, LOC129796631, LOC129797016, LOC129795158
OG0000144	ASIC007887, ASIC015934, ASIC017525, ASIC021886, ASIC001515	LOC129787998
OG0000146	ASIC008229	LOC129797766, LOC129797769, LOC129797768
OG0000147	ASIC002221, ASIC002222, ASIC002220	LOC129794463, LOC129794464, LOC129795792, LOC129791878, LOC129794470
OG0000148	ASIC012007	LOC129790546
OG0000150	ASIC011027	LOC129796012, LOC129794490, LOC129793766, LOC129794455, LOC129794453, LOC129794454, LOC129793045, LOC129794465, LOC129787861, LOC129795803, LOC129788664, LOC129789815, LOC129789262, LOC129792961, LOC129794538, LOC129795599, LOC129795594, LOC129795597, LOC129787024, LOC129787028, LOC129794960, LOC129795247, LOC129795605, LOC129786474, LOC129796164
