Orthogroup	AsinensisChina	LlongipalpisASM
OG0001852	ASIC015215	LOC129797324
OG0001853	ASIC014486	LOC129794826
OG0001854	ASIC018344	LOC129794842
OG0001855	ASIC019590	LOC129794073
OG0001856	ASIC013509, ASIC013513	LOC129789363
OG0001857	ASIC002314	LOC129797241
OG0001858	ASIC019799	LOC129796202, LOC129796420
OG0001859	ASIC004396	LOC129791467
OG0001860	ASIC002154	LOC129796988
OG0001861	ASIC010187, ASIC010189, ASIC010188	LOC129792410
OG0001862	ASIC021592	LOC129787215
OG0001863	ASIC009132, ASIC010402	LOC129792072
OG0001864	ASIC003186, ASIC003187	LOC129790855
OG0001865	ASIC000587, ASIC000588	LOC129790845
OG0001866	ASIC008731	LOC129795328
OG0001867	ASIC002719, ASIC002720	LOC129788957
OG0001868	ASIC011957, ASIC011955	LOC129787270
OG0001869	ASIC012024	LOC129795513
OG0001870	ASIC021697, ASIC021696	LOC129786560
OG0001871	ASIC012345, ASIC012346	LOC129787708
OG0001873	ASIC021542	LOC129787651
OG0001874	ASIC009436	LOC129795307
OG0001875	ASIC012424	LOC129794108
OG0001876	ASIC007967	LOC129786760
OG0001879	ASIC011920, ASIC011921	LOC129794824
OG0001881	ASIC021170	LOC129787945, LOC129794298, LOC129794305
OG0001882	ASIC007272, ASIC007238, ASIC007261	LOC129789049
OG0001883	ASIC002883	LOC129793191
OG0001884	ASIC020748	LOC129790026
OG0001885	ASIC013229	LOC129791203
OG0001886	ASIC003977, ASIC003976, ASIC003975	LOC129785854
OG0001887	ASIC006252	LOC129789344, LOC129789624
OG0001889	ASIC009561	LOC129789558
OG0001890	ASIC005099	LOC129796812
OG0001891	ASIC017267	LOC129788054
OG0001892	ASIC010892	LOC129787869
OG0001893	ASIC014801	LOC129795913
OG0001894	ASIC005224	LOC129790362
OG0001895	ASIC007847	LOC129793818
OG0001896	ASIC014534	LOC129788046
OG0001897	ASIC006362, ASIC006363	LOC129790146
OG0001898	ASIC010238	LOC129793044, LOC129790873, LOC129793877
OG0001899	ASIC010611	LOC129788657
OG0001901	ASIC004873	LOC129791155
OG0001902	ASIC014059	LOC129792775
OG0001905	ASIC007571	LOC129787833
OG0001906	ASIC003552	LOC129788661
OG0001908	ASIC021541	LOC129787564
OG0001909	ASIC006929	LOC129790425
OG0001912	ASIC018298, ASIC018297	LOC129795945
OG0001913	ASIC005208, ASIC005230	LOC129790847
OG0001914	ASIC016511, ASIC016522	LOC129794648
OG0001915	ASIC013236	LOC129795734
OG0001916	ASIC012531	LOC129791707
OG0001917	ASIC004591	LOC129795172, LOC129795169
OG0001918	ASIC016928	LOC129790323
OG0001919	ASIC012967	LOC129791890
OG0001920	ASIC008312	LOC129789627
OG0001923	ASIC005465, ASIC018679	LOC129792576
OG0001924	ASIC009961, ASIC009962, ASIC009960	LOC129788384
OG0001925	ASIC017116	LOC129791354
OG0001926	ASIC007667	LOC129789853
OG0001928	ASIC010994, ASIC010995	LOC129787417
OG0001929	ASIC017135	LOC129790888
OG0001930	ASIC018934	LOC129791566
OG0001931	ASIC017142	LOC129788027
OG0001933	ASIC010074	LOC129790383
OG0001934	ASIC003097	LOC129793593
OG0001935	ASIC002642	LOC129787271
OG0001937	ASIC019720	LOC129792078
OG0001938	ASIC019487	LOC129796602
OG0001939	ASIC011519	LOC129787144
OG0001940	ASIC020414	LOC129788550
OG0001941	ASIC004459	LOC129790566
OG0001942	ASIC012314	LOC129787632, LOC129787549
OG0001943	ASIC006172	LOC129787936
OG0001944	ASIC018346	LOC129787103
OG0001945	ASIC017118, ASIC017115, ASIC017119	LOC129788609
OG0001946	ASIC004412	LOC129789835
OG0001947	ASIC007435	LOC129793148
OG0001948	ASIC020352, ASIC020351	LOC129790027
OG0001949	ASIC007223	LOC129791154
OG0001950	ASIC018763	LOC129791722
OG0001951	ASIC006483	LOC129788275
OG0001952	ASIC016664, ASIC016674	LOC129794314
OG0001953	ASIC018764	LOC129793162
OG0001954	ASIC021195, ASIC021185	LOC129794292
OG0001955	ASIC017365, ASIC017366	LOC129792214
OG0001956	ASIC006304	LOC129788139
OG0001957	ASIC012991	LOC129793821
OG0001958	ASIC015940	LOC129785990
OG0001959	ASIC002843	LOC129785955, LOC129786145
OG0001960	ASIC004698	LOC129789692, LOC129789672, LOC129795154
OG0001961	ASIC007253	LOC129792189
OG0001962	ASIC013443	LOC129796121
OG0001963	ASIC012780	LOC129790872
OG0001964	ASIC002077	LOC129793403
OG0001965	ASIC018334, ASIC018335	LOC129795975
OG0001968	ASIC011281	LOC129790144, LOC129793916
OG0001970	ASIC020957	LOC129797434
OG0001971	ASIC020075	LOC129793531
OG0001974	ASIC006809, ASIC006810, ASIC006808	LOC129785856
OG0001975	ASIC016307	LOC129792950, LOC129792892
OG0001976	ASIC002837	LOC129795962
OG0001977	ASIC007593, ASIC007592	LOC129789328
OG0001978	ASIC013183	LOC129794833, LOC129795403
OG0001979	ASIC021432, ASIC021431	LOC129786351
OG0001980	ASIC007105	LOC129789419, LOC129789930
OG0001981	ASIC004738, ASIC005416, ASIC005417	LOC129796027
OG0001982	ASIC009559	LOC129789617
OG0001983	ASIC000726	LOC129789082
OG0001984	ASIC007908	LOC129789641
OG0001988	ASIC009310, ASIC009309	LOC129795250, LOC129795018
OG0001991	ASIC015307	LOC129786287
OG0001997	ASIC008026, ASIC005202	LOC129787900
OG0001998	ASIC018519, ASIC007113	LOC129790854
OG0002010	ASIC009445	LOC129786915
OG0002016	ASIC022292	LOC129794168
OG0002016	ASIC022293	LOC129794169
OG0002027	ASIC003238	LOC129786348
OG0002028	ASIC004635	LOC129786183
OG0002029	ASIC004624	LOC129786150
OG0002030	ASIC003349, ASIC003350	LOC129796868
OG0002031	ASIC018682	LOC129794312
OG0002032	ASIC002958	LOC129796943
OG0002033	ASIC011378, ASIC011377	LOC129796820
OG0002034	ASIC012000	LOC129790140
OG0002035	ASIC021027	LOC129789332
OG0002036	ASIC000810	LOC129797306
OG0002037	ASIC011301	LOC129786088
OG0002038	ASIC021827	LOC129797429
OG0002039	ASIC002947	LOC129797746
OG0002041	ASIC005413	LOC129787111
OG0002043	ASIC016092	LOC129792702
OG0002044	ASIC020314	LOC129793762
OG0002045	ASIC003997	LOC129788678
OG0002046	ASIC022294	LOC129787153
OG0002047	ASIC015164	LOC129792995
OG0002048	ASIC019373	LOC129795712
OG0002049	ASIC022323	LOC129787065
OG0002050	ASIC019555	LOC129787969
OG0002052	ASIC019453	LOC129793489
OG0002053	ASIC019558	LOC129797520
OG0002054	ASIC017988	LOC129796471
OG0002056	ASIC014046	LOC129796303
OG0002057	ASIC001072	LOC129796472
OG0002058	ASIC021480	LOC129793910
OG0002059	ASIC020254	LOC129796534
OG0002060	ASIC001073, ASIC001075	LOC129794853
OG0002061	ASIC021479	LOC129787988
OG0002062	ASIC008087	LOC129796074
OG0002063	ASIC021534, ASIC021535	LOC129797489
OG0002064	ASIC005023	LOC129796436
OG0002065	ASIC007917	LOC129792004, LOC129794614
OG0002066	ASIC022139, ASIC007889	LOC129796138
OG0002067	ASIC008733	LOC129795350
OG0002068	ASIC008782, ASIC008781	LOC129797761
OG0002069	ASIC022124	LOC129797826, LOC129788594
OG0002071	ASIC018214	LOC129795692
OG0002072	ASIC021729	LOC129789432
OG0002073	ASIC021275	LOC129794275
OG0002074	ASIC021271	LOC129792662
OG0002075	ASIC021274	LOC129792271
OG0002076	ASIC021272	LOC129792610
OG0002077	ASIC018161	LOC129795742
OG0002078	ASIC021866	LOC129786002
OG0002079	ASIC021930	LOC129786109
OG0002080	ASIC021867	LOC129794911
OG0002081	ASIC018312	LOC129788016, LOC129795800
OG0002082	ASIC015286	LOC129794597
OG0002083	ASIC018021	LOC129787679
OG0002084	ASIC005781	LOC129791859
OG0002085	ASIC018454	LOC129788403, LOC129788402
OG0002086	ASIC018129	LOC129786135, LOC129786019
OG0002087	ASIC017914	LOC129796881
OG0002088	ASIC006000	LOC129795724
OG0002090	ASIC017867	LOC129796235
OG0002091	ASIC018456, ASIC018455	LOC129788450
OG0002092	ASIC018125	LOC129787669
OG0002093	ASIC017181	LOC129795709
OG0002094	ASIC017936	LOC129795213
OG0002095	ASIC007719	LOC129786568
OG0002098	ASIC004650	LOC129785822
OG0002099	ASIC001246	LOC129797209
OG0002100	ASIC005556	LOC129793188, LOC129793187
OG0002101	ASIC013962	LOC129787041
OG0002102	ASIC014056	LOC129787051
OG0002103	ASIC007670, ASIC012713	LOC129790062
OG0002104	ASIC022330	LOC129795021, LOC129788515
OG0002105	ASIC014546	LOC129790023
OG0002106	ASIC006877	LOC129791064
OG0002107	ASIC006879	LOC129796177
OG0002108	ASIC008629	LOC129788481
OG0002109	ASIC001854, ASIC001856	LOC129791914
OG0002110	ASIC016203	LOC129790068
OG0002111	ASIC022024	LOC129796167
OG0002112	ASIC009627	LOC129789295
OG0002113	ASIC005908	LOC129788380
OG0002114	ASIC002871	LOC129790798
OG0002115	ASIC016066	LOC129792622
OG0002116	ASIC002426	LOC129791818
OG0002117	ASIC002449	LOC129792628
OG0002118	ASIC014936	LOC129792365
OG0002119	ASIC021143	LOC129792165
OG0002120	ASIC005250	LOC129786317
OG0002121	ASIC006671, ASIC022374	LOC129789097
OG0002122	ASIC010254, ASIC013901	LOC129791865
OG0002123	ASIC007755	LOC129792550
OG0002124	ASIC000961	LOC129792128
OG0002125	ASIC015819	LOC129789847, LOC129791422
OG0002126	ASIC000959	LOC129793297
OG0002127	ASIC014918	LOC129792100
OG0002128	ASIC019705, ASIC019707	LOC129792548
OG0002129	ASIC019737	LOC129792129
OG0002130	ASIC019714	LOC129794340
OG0002131	ASIC019715	LOC129797194
OG0002132	ASIC019713	LOC129792102
OG0002133	ASIC019760, ASIC019759	LOC129793858
OG0002134	ASIC007671	LOC129790066
OG0002135	ASIC010759	LOC129795626
OG0002136	ASIC010608	LOC129789141
OG0002137	ASIC014649	LOC129789022
OG0002138	ASIC012823	LOC129786190
OG0002139	ASIC013576	LOC129788531
OG0002140	ASIC016191	LOC129792041
OG0002141	ASIC015744	LOC129794790
OG0002142	ASIC010760, ASIC010761	LOC129794293
OG0002143	ASIC019340, ASIC002840	LOC129794878
OG0002144	ASIC010953	LOC129796165
OG0002145	ASIC020567	LOC129794992
OG0002146	ASIC010207	LOC129792611
OG0002150	ASIC010178	LOC129793207
OG0002151	ASIC010199	LOC129792849
OG0002152	ASIC010176	LOC129787483
OG0002153	ASIC006529	LOC129792349
OG0002154	ASIC003166	LOC129786459
OG0002156	ASIC013182	LOC129795641
OG0002157	ASIC013249, ASIC011665	LOC129794282
OG0002158	ASIC016147	LOC129792677
OG0002159	ASIC016158	LOC129793989
OG0002160	ASIC005907	LOC129788807
OG0002161	ASIC006503, ASIC006502	LOC129789584
OG0002162	ASIC005909	LOC129792208
OG0002163	ASIC013595	LOC129789633, LOC129795922
OG0002164	ASIC006489	LOC129789915
OG0002165	ASIC014180	LOC129790660
OG0002166	ASIC016190	LOC129788457
OG0002167	ASIC017363	LOC129793573
OG0002168	ASIC014172, ASIC014173	LOC129790952
OG0002169	ASIC014175, ASIC014177	LOC129789473
OG0002170	ASIC017385	LOC129790189
OG0002171	ASIC014537	LOC129790264
OG0002172	ASIC017374	LOC129789140
OG0002173	ASIC015855, ASIC015859	LOC129789107
OG0002174	ASIC015765	LOC129790705, LOC129790700
OG0002176	ASIC015758	LOC129789087
OG0002177	ASIC010305	LOC129795949
OG0002178	ASIC010323	LOC129795722
OG0002179	ASIC006967	LOC129789021
OG0002180	ASIC006946	LOC129793143
OG0002181	ASIC006978	LOC129790196
OG0002182	ASIC006962	LOC129786453
OG0002183	ASIC006984	LOC129791374
OG0002184	ASIC011348, ASIC011347	LOC129797310
OG0002185	ASIC019987	LOC129795865
OG0002186	ASIC009871	LOC129797706
OG0002187	ASIC005548	LOC129786836
OG0002188	ASIC005547	LOC129786895
OG0002189	ASIC017009	LOC129787436
OG0002190	ASIC012115	LOC129788388
OG0002191	ASIC006119, ASIC004492	LOC129788510
OG0002192	ASIC006854	LOC129788448
OG0002193	ASIC006085	LOC129789440
OG0002194	ASIC010661	LOC129792408
OG0002195	ASIC006826, ASIC015187	LOC129793090
OG0002196	ASIC010660, ASIC009424	LOC129792947
OG0002197	ASIC017994	LOC129796307
OG0002198	ASIC020897, ASIC020896	LOC129796032
OG0002199	ASIC000166	LOC129794812
OG0002200	ASIC016662	LOC129793181
OG0002201	ASIC011783	LOC129793237
OG0002202	ASIC011776	LOC129793200
OG0002203	ASIC011768	LOC129793485
OG0002204	ASIC020338	LOC129788693
OG0002205	ASIC016661	LOC129794185
OG0002206	ASIC011778	LOC129793211
OG0002207	ASIC017189	LOC129797559
OG0002208	ASIC005717, ASIC005716	LOC129789628
OG0002209	ASIC010450	LOC129789680, LOC129789687
OG0002210	ASIC010672	LOC129791980
OG0002211	ASIC018457	LOC129787391
OG0002212	ASIC012834	LOC129797348
OG0002213	ASIC014686	LOC129788136
OG0002214	ASIC002967	LOC129788860
OG0002215	ASIC005356	LOC129786768
OG0002216	ASIC012340	LOC129794210
OG0002217	ASIC007862	LOC129793381, LOC129793379
OG0002218	ASIC007958	LOC129788862
OG0002219	ASIC005214	LOC129790860
OG0002220	ASIC003502	LOC129797609
OG0002221	ASIC004404	LOC129787562
OG0002222	ASIC013406	LOC129793261
OG0002223	ASIC009321	LOC129795732
OG0002224	ASIC005338	LOC129797443
OG0002225	ASIC018378	LOC129795743, LOC129795745
OG0002226	ASIC017768	LOC129796496
OG0002227	ASIC020108	LOC129795589
OG0002229	ASIC018388	LOC129795588
OG0002230	ASIC006570	LOC129796777
OG0002232	ASIC012482	LOC129785910
OG0002233	ASIC003803	LOC129793461
OG0002234	ASIC018832	LOC129792716
OG0002235	ASIC020246	LOC129796803
OG0002236	ASIC021864	LOC129789903, LOC129797367
OG0002237	ASIC011984	LOC129787792
OG0002238	ASIC004264	LOC129786065
OG0002239	ASIC008778	LOC129797602
OG0002240	ASIC009868	LOC129790493
OG0002241	ASIC013989	LOC129787979
OG0002242	ASIC012644	LOC129787955
OG0002244	ASIC006254	LOC129788699
OG0002245	ASIC012060	LOC129794046
OG0002246	ASIC006255	LOC129788702
OG0002247	ASIC012488	LOC129785965
OG0002248	ASIC015312	LOC129790227, LOC129797606
OG0002249	ASIC017046	LOC129789817
OG0002251	ASIC020017	LOC129789579
OG0002252	ASIC020013	LOC129786273
OG0002253	ASIC020516	LOC129788451
OG0002254	ASIC008970, ASIC008969	LOC129793410
OG0002255	ASIC002560	LOC129796246
OG0002256	ASIC008976	LOC129793333
OG0002257	ASIC021687	LOC129786737
OG0002258	ASIC014718	LOC129788415
OG0002259	ASIC020458	LOC129785858
OG0002260	ASIC007614	LOC129788509
OG0002261	ASIC018422	LOC129793788
OG0002262	ASIC010469	LOC129791873
OG0002263	ASIC010460	LOC129791669
OG0002264	ASIC018427	LOC129793023
OG0002265	ASIC011784	LOC129791657
OG0002266	ASIC017061	LOC129785912
OG0002267	ASIC019662	LOC129791731, LOC129791729
OG0002268	ASIC005984	LOC129797731
OG0002270	ASIC005100	LOC129795116
OG0002271	ASIC005986	LOC129795960
OG0002272	ASIC005985	LOC129790531
OG0002273	ASIC018296	LOC129794997
OG0002275	ASIC011148	LOC129788122, LOC129796151
OG0002276	ASIC007520	LOC129788796
OG0002277	ASIC002572	LOC129786934
OG0002278	ASIC002724	LOC129786933, LOC129786932
OG0002281	ASIC013797	LOC129787739
OG0002282	ASIC010435	LOC129788062, LOC129788066
OG0002283	ASIC012038	LOC129793663
OG0002284	ASIC010442, ASIC010444	LOC129786555
OG0002285	ASIC017303	LOC129788063
OG0002286	ASIC006645	LOC129793658
OG0002287	ASIC006647	LOC129793672
OG0002288	ASIC006646	LOC129793661
OG0002289	ASIC018649, ASIC018645	LOC129788137
OG0002290	ASIC009573, ASIC010433	LOC129789278
OG0002291	ASIC008587	LOC129787557
OG0002292	ASIC007907	LOC129795898
OG0002293	ASIC011292	LOC129794480
OG0002294	ASIC014393	LOC129786106
OG0002295	ASIC014391	LOC129797132
OG0002296	ASIC014370	LOC129790316
OG0002298	ASIC008215	LOC129792758
OG0002299	ASIC008306	LOC129797168
OG0002300	ASIC008212	LOC129787547
OG0002301	ASIC008296	LOC129797203
OG0002302	ASIC003284	LOC129797189
OG0002304	ASIC018180	LOC129795418
OG0002305	ASIC005594	LOC129797328, LOC129792354
OG0002306	ASIC018042	LOC129795987
OG0002307	ASIC018053	LOC129787027
OG0002308	ASIC019701	LOC129791629
OG0002309	ASIC003770	LOC129792903
OG0002310	ASIC011269	LOC129789716
OG0002311	ASIC012554, ASIC012555	LOC129797452
OG0002312	ASIC010993	LOC129785887
OG0002313	ASIC017979	LOC129795613
OG0002314	ASIC010674	LOC129797510
OG0002315	ASIC019351	LOC129794653
OG0002316	ASIC019352	LOC129796203
OG0002317	ASIC010685	LOC129793168
OG0002318	ASIC017653	LOC129790590
OG0002319	ASIC010684	LOC129797356
OG0002322	ASIC010914	LOC129789941, LOC129789940
OG0002325	ASIC013807	LOC129785876
OG0002326	ASIC012179	LOC129787545
OG0002328	ASIC014614	LOC129791851
OG0002329	ASIC012174	LOC129797403
OG0002330	ASIC019643, ASIC019654	LOC129786253
OG0002331	ASIC020931	LOC129786187
OG0002332	ASIC010499	LOC129786748
OG0002333	ASIC020932	LOC129786299
OG0002334	ASIC020940	LOC129786267
OG0002335	ASIC020933	LOC129786296
OG0002336	ASIC020937, ASIC020936	LOC129786256
OG0002337	ASIC010283	LOC129791435
OG0002338	ASIC009556	LOC129786699
OG0002339	ASIC015352	LOC129796019
OG0002340	ASIC013306	LOC129795472
OG0002341	ASIC013312	LOC129795471
OG0002342	ASIC009779	LOC129791807
OG0002343	ASIC021224, ASIC021223	LOC129786936
OG0002344	ASIC012532	LOC129786043
OG0002347	ASIC018191	LOC129794184
OG0002348	ASIC004325	LOC129787124, LOC129789001
OG0002349	ASIC021519, ASIC021518	LOC129787282
OG0002350	ASIC011104	LOC129787523
OG0002351	ASIC009921	LOC129787150
OG0002352	ASIC007654	LOC129790865, LOC129790231
OG0002353	ASIC009591, ASIC015326	LOC129789284
OG0002355	ASIC004931	LOC129795357
OG0002356	ASIC021496	LOC129786496
OG0002357	ASIC010108	LOC129796952
OG0002359	ASIC021495	LOC129796826
OG0002360	ASIC018824	LOC129793096
OG0002361	ASIC012405	LOC129794309
OG0002362	ASIC013622	LOC129786375
OG0002363	ASIC017364	LOC129792566
OG0002364	ASIC006141	LOC129786277
OG0002365	ASIC013631	LOC129792656
OG0002367	ASIC011485	LOC129794620
OG0002368	ASIC008520, ASIC008531	LOC129794057
OG0002369	ASIC009313	LOC129796302
OG0002370	ASIC002175	LOC129795401
OG0002371	ASIC017836	LOC129796313
OG0002372	ASIC008412	LOC129786076
OG0002373	ASIC005978	LOC129795733
OG0002374	ASIC012855	LOC129796619
OG0002375	ASIC004772	LOC129796931
OG0002376	ASIC017921	LOC129786382
OG0002377	ASIC004763	LOC129797330
OG0002378	ASIC004771	LOC129796930
OG0002379	ASIC004754	LOC129797640
OG0002381	ASIC004774	LOC129795607
OG0002382	ASIC011305	LOC129789462, LOC129786346
OG0002383	ASIC000807	LOC129797341
OG0002384	ASIC004856	LOC129797178
OG0002385	ASIC015007	LOC129793384
OG0002386	ASIC007365	LOC129788590
OG0002387	ASIC007364	LOC129790966, LOC129790962
OG0002388	ASIC014123	LOC129789974
OG0002389	ASIC006890	LOC129789922, LOC129789923
OG0002390	ASIC020170	LOC129790073
OG0002391	ASIC020823	LOC129789078
OG0002392	ASIC020168	LOC129790402
OG0002393	ASIC019906	LOC129796443
OG0002395	ASIC009156, ASIC004465	LOC129789386
OG0002396	ASIC016864	LOC129787280
OG0002397	ASIC010992	LOC129792725
OG0002399	ASIC016875	LOC129794857, LOC129787284
OG0002401	ASIC009075	LOC129789667
OG0002402	ASIC006470	LOC129790284, LOC129789947
OG0002403	ASIC009086	LOC129789084, LOC129789088
OG0002404	ASIC006598	LOC129790472
OG0002406	ASIC010155	LOC129791173
OG0002408	ASIC010157	LOC129797670
OG0002409	ASIC015515	LOC129794649
OG0002410	ASIC015582	LOC129796322
OG0002411	ASIC015504	LOC129794916
OG0002412	ASIC015548	LOC129794580
OG0002414	ASIC017442	LOC129793151
OG0002415	ASIC021870	LOC129788332
OG0002416	ASIC000414, ASIC013785	LOC129791826
OG0002417	ASIC002709	LOC129792313
OG0002418	ASIC003259	LOC129793117
OG0002419	ASIC020540	LOC129788994
OG0002420	ASIC012868	LOC129789356
OG0002421	ASIC020906	LOC129787829
OG0002422	ASIC005299	LOC129788374
OG0002423	ASIC002626	LOC129792721
OG0002424	ASIC005304	LOC129791358
OG0002425	ASIC012615, ASIC012614	LOC129790699
OG0002426	ASIC002624	LOC129790478
OG0002427	ASIC005574	LOC129787552
OG0002428	ASIC020903	LOC129787827
OG0002429	ASIC013876	LOC129794503
OG0002430	ASIC019093	LOC129792689
OG0002431	ASIC005571	LOC129794794
OG0002432	ASIC015755	LOC129790799
OG0002433	ASIC004804	LOC129796596
OG0002434	ASIC004806	LOC129796595
OG0002435	ASIC005577	LOC129788886
OG0002436	ASIC004808	LOC129795366
OG0002437	ASIC019645	LOC129793010
OG0002438	ASIC002437	LOC129790698
OG0002439	ASIC003107	LOC129793416
OG0002440	ASIC003106	LOC129793387
OG0002441	ASIC001377, ASIC016620	LOC129791833
OG0002442	ASIC010122	LOC129791169
OG0002443	ASIC014965	LOC129795304
OG0002444	ASIC014972	LOC129797612
OG0002445	ASIC014967	LOC129797371
OG0002446	ASIC002499	LOC129786723
OG0002447	ASIC021092	LOC129797406
OG0002448	ASIC020557	LOC129797407
OG0002449	ASIC012776	LOC129797012
OG0002450	ASIC020968	LOC129797097
OG0002451	ASIC020876	LOC129786982
OG0002452	ASIC020915	LOC129786996
OG0002453	ASIC007625	LOC129788324
OG0002454	ASIC006819	LOC129790669
OG0002455	ASIC008558	LOC129796197
OG0002456	ASIC013663	LOC129796391
OG0002457	ASIC007893	LOC129795197
OG0002458	ASIC007894	LOC129795191
OG0002459	ASIC007896	LOC129795190
OG0002460	ASIC022233	LOC129787295
OG0002461	ASIC022222	LOC129796078, LOC129787274
OG0002462	ASIC014024	LOC129797861
OG0002463	ASIC020320	LOC129793046
OG0002464	ASIC009948	LOC129797149
OG0002465	ASIC020587	LOC129785971
OG0002466	ASIC019349	LOC129796587
OG0002467	ASIC019430, ASIC019429	LOC129796038
OG0002468	ASIC011552	LOC129797066
OG0002469	ASIC011553	LOC129797060
OG0002470	ASIC010257, ASIC018856	LOC129790273
OG0002471	ASIC012058	LOC129789315
OG0002472	ASIC006568	LOC129790898
OG0002473	ASIC018869	LOC129793956
OG0002474	ASIC014426	LOC129788869
OG0002475	ASIC014434	LOC129791133
OG0002476	ASIC014429	LOC129790070
OG0002477	ASIC004761	LOC129791388
OG0002478	ASIC005798	LOC129793190
OG0002479	ASIC015087	LOC129789103
OG0002480	ASIC017345	LOC129791874
OG0002481	ASIC006614	LOC129788471
OG0002482	ASIC007108	LOC129797133
OG0002483	ASIC010486	LOC129793504
OG0002484	ASIC020961, ASIC020959	LOC129786397
OG0002485	ASIC021040	LOC129786440
OG0002486	ASIC020964	LOC129787049, LOC129793799
OG0002487	ASIC020954	LOC129786101
OG0002488	ASIC009336	LOC129791947
OG0002489	ASIC022364	LOC129797508
OG0002490	ASIC022160	LOC129795544
OG0002491	ASIC015614	LOC129796181
OG0002492	ASIC015613	LOC129795956
OG0002493	ASIC015890	LOC129787146
OG0002494	ASIC015612	LOC129795595
OG0002495	ASIC000337	LOC129797046
OG0002496	ASIC007061	LOC129793195
OG0002497	ASIC021722	LOC129786854
OG0002498	ASIC008689	LOC129786470
OG0002499	ASIC005073	LOC129795391
OG0002500	ASIC008998	LOC129790765
OG0002501	ASIC008992, ASIC008994	LOC129797391
OG0002502	ASIC014961, ASIC014962	LOC129796088
OG0002503	ASIC008990	LOC129786336
OG0002504	ASIC008988	LOC129797393
OG0002505	ASIC004554	LOC129790267
OG0002506	ASIC020872	LOC129786984
OG0002507	ASIC020875	LOC129786983
OG0002508	ASIC015242	LOC129787412
OG0002509	ASIC021499, ASIC021498	LOC129796998
OG0002510	ASIC002752, ASIC002751	LOC129791800
OG0002511	ASIC007053	LOC129797402
OG0002512	ASIC002750	LOC129790994
OG0002513	ASIC012633	LOC129786485, LOC129786483
OG0002514	ASIC002834	LOC129788143
OG0002515	ASIC003509	LOC129797549
OG0002516	ASIC012928	LOC129792429
OG0002517	ASIC012933, ASIC012931	LOC129791599
OG0002518	ASIC012926	LOC129794086
OG0002519	ASIC020118	LOC129786589
OG0002520	ASIC000725	LOC129795012
OG0002522	ASIC021263, ASIC021262	LOC129793999
OG0002523	ASIC021256	LOC129792441, LOC129791102
OG0002524	ASIC007579	LOC129791630
OG0002525	ASIC000827	LOC129797592
OG0002526	ASIC012302, ASIC012303	LOC129787633
OG0002527	ASIC000828	LOC129790487
OG0002528	ASIC000823	LOC129796578
OG0002529	ASIC000829	LOC129797613
OG0002530	ASIC014810	LOC129789414
OG0002533	ASIC014798	LOC129796137
OG0002534	ASIC014806, ASIC014796	LOC129789534
OG0002535	ASIC014484	LOC129794815
OG0002536	ASIC010632	LOC129791672
OG0002538	ASIC020720	LOC129790714
OG0002539	ASIC013106	LOC129789052
OG0002540	ASIC020731	LOC129797495
OG0002541	ASIC013105	LOC129789005
OG0002542	ASIC015285	LOC129793750
OG0002543	ASIC002949	LOC129797455
OG0002544	ASIC007414	LOC129789455
OG0002545	ASIC007254	LOC129788989
OG0002546	ASIC007266	LOC129788340
OG0002547	ASIC012905	LOC129792314
OG0002548	ASIC012910	LOC129792134
OG0002550	ASIC011099	LOC129794627, LOC129797017
OG0002552	ASIC018970	LOC129786445
OG0002553	ASIC007443	LOC129789486
OG0002554	ASIC016006	LOC129795184
OG0002555	ASIC011392	LOC129786513
OG0002556	ASIC012854	LOC129796819
OG0002557	ASIC018107	LOC129795783
OG0002558	ASIC018116	LOC129787179
OG0002561	ASIC013215	LOC129787231
OG0002562	ASIC016335	LOC129792527
OG0002563	ASIC016334	LOC129792521
OG0002564	ASIC003120	LOC129792823, LOC129792824
OG0002565	ASIC016276	LOC129795789
OG0002566	ASIC017832	LOC129795720
OG0002567	ASIC002420, ASIC002421	LOC129796882
OG0002568	ASIC017835, ASIC017834	LOC129795880
OG0002571	ASIC004358, ASIC004359	LOC129790829
OG0002572	ASIC005172, ASIC005173	LOC129788589
OG0002573	ASIC019271, ASIC000881	LOC129797580
OG0002574	ASIC018243	LOC129790149
OG0002575	ASIC015443	LOC129786052
OG0002576	ASIC018239	LOC129786026
OG0002577	ASIC003714	LOC129792319
OG0002578	ASIC008353, ASIC001767	LOC129796386
OG0002579	ASIC021086	LOC129795992
OG0002580	ASIC004910	LOC129788075
OG0002581	ASIC007713	LOC129788821
OG0002583	ASIC004911	LOC129788078
OG0002584	ASIC020124	LOC129795888
OG0002585	ASIC020126	LOC129796775
OG0002587	ASIC018012	LOC129796136
OG0002588	ASIC005051	LOC129795432
OG0002589	ASIC005050	LOC129795429
OG0002590	ASIC018014	LOC129795308
OG0002592	ASIC003528	LOC129787744
OG0002595	ASIC003840	LOC129791461
OG0002596	ASIC020997	LOC129797435
OG0002597	ASIC020998	LOC129796801
OG0002598	ASIC005788	LOC129793798
OG0002599	ASIC017737	LOC129788919, LOC129788918
OG0002600	ASIC017726	LOC129788917
OG0002601	ASIC014591	LOC129793503
OG0002602	ASIC011704, ASIC011703	LOC129794214
OG0002603	ASIC006181	LOC129793616
OG0002604	ASIC006117	LOC129789823
OG0002605	ASIC006110	LOC129791149
OG0002606	ASIC006109, ASIC006108	LOC129793535
OG0002607	ASIC017188	LOC129786254
